User,Reter,Comment,Votes,Time
@丸子爆炸嘞,,感谢分享  我要让你们都看看这性感的喉结 评论配图,48,2019-09-12 14:40
@冰凉的手ing,,感谢分享。李现的表现力真的太棒了，真的是什么风格都能驾驭。我现优秀@李现ing ,36,2019-09-12 14:43
@李现白十三的尾巴,,感谢分享，李现表现力一直都很好，满分还要给他在加10分，不怕他骄傲。@李现ing 评论配图,27,2019-09-12 14:53
@带着胖可爱去郊游,,表现力太A拉！！ 这种风格好cool ，,20,2019-09-12 14:40
@zhengtttt-,,这张！！ 评论配图,16,2019-09-12 14:43
@Sheryl颖,,感谢分享，这让人上头的喉结,12,2019-09-12 14:43
@lxnzdhhlx,,现哥最帅,10,2019-09-12 14:43
@Mary是小锦鲤呢,,现哥！！演斯文变态感觉也会很好,5,2019-09-12 14:44
@喜喜七七夕夕,,很帅,8,2019-09-12 14:38
@爱小闹,,国际现 太有时尚表现力了 帅李现@李现ing,3,2019-09-12 15:21
@现锅锅的窝窝,,A爆了,3,2019-09-12 14:43
@水蓝鸢尾88,,感谢分享@Twice-Chic  这组李现真的太A了@李现ing ,3,2019-09-12 14:42
@floating_like_nothing,,@Liwei_JJ,3,2019-09-12 14:40
@听不得啰嗦的人儿,,太帅气了！,3,2019-09-12 14:36
@需要解压的脑残粉,,英伦风 ,2,2019-09-12 15:05
@GIVCTORY,,这个男人太绝了 我爱他！！！,3,2019-09-12 14:43
@我的花花的花花,,冒黑烟有魔气吗？！,2,2019-09-12 14:42
@圆脸的好耶,,感谢博主分享,0,2019-09-12 15:17
@xjsoemcysoanckahe,,是我喜欢的那种颜和性格 哎太花心了 爱了,2,2019-09-12 15:07
@zhengtttt-,,这张！ 评论配图,3,2019-09-12 14:43
@-現在最愛李,,这个男人我爱惨了,1,2019-09-12 15:12
@-現在最愛李,,李现,1,2019-09-12 15:12
@愿同,,可以,1,2019-09-12 15:07
@最喜欢夏天了呢,,优秀,1,2019-09-12 14:59
@愿同,,489这三张太爱了,1,2019-09-12 14:54
@糖果鱼籽儿,,今天是被英伦现暗鲨的第n次 太帅了@李现ing ,2,2019-09-12 14:38
@ning_chi,,国际现男友,0,2019-09-12 18:57
