User,Reter,Comment,Votes,Time
@Fiona_范慧敏,,学校的保密工作做得太好了，哭了,2018,2019-09-12 17:44
@JNI我所爱G,,可惜我是大二的，只能在门口跟你合唱,1178,2019-09-12 17:47
@by糖小果,,期待电影！！！#杜江我和我的祖国# 评论配图,866,2019-09-12 17:41
@被王先生宠爱的小宝贝,,杜江男神太帅了,669,2019-09-12 17:45
@壑礼,,马上就要来西电了,653,2019-09-12 17:49
@乐多200110,,呜呜呜我在文体馆外面听到了,586,2019-09-12 17:50
@张·小·尘,,期待《我和我的祖国》《中国机长》,292,2019-09-12 17:47
@Ezgilina,,我在现场啊啊啊啊啊啊啊啊,134,2019-09-12 17:51
@圆脑袋爱吃草莓奶油蛋糕,,大四的学姐表示,83,2019-09-12 17:47
@Yuki-嗯哼豆浆燕窝吧,,江哥明天来深圳，我不在,34,2019-09-12 18:32
@青丝与鹿,,#用歌声为祖国献礼#  学校太会保密了，太会了,43,2019-09-12 17:57
@阿凯SUKI,,很高兴我们一起合唱！！！感谢您来到我们学校啊啊啊啊啊啊啊太幸福了55555 评论配图,41,2019-09-12 17:44
@小倩倩Lina,,最喜欢的男演员，可惜我已经毕业，还是在热搜看到啊啊啊啊,32,2019-09-12 17:42
@川若回首愚愿守候,,杜江真的有军人的感觉！,28,2019-09-12 17:53
@zhh-x,,我在现场姐妹顶我,32,2019-09-12 17:52
@liuBR77_,,看见你拉 评论配图,32,2019-09-12 17:48
@OYYviolet,,表白祖国母亲,1,2019-09-12 19:27
@zzmhwgo,,@杜江侦察记 大四真可怜江哥为啥不去体育场,4,2019-09-12 18:09
@by糖小果,,棒棒哒！,0,2019-09-13 00:17
@你可以回头看我一眼吗,,啊啊啊啊啊啊爱祖国,4,2019-09-12 17:41
@余悸屿,,太难忘了，我和我的祖国场面壮观，#杜江 西外# 一刻也不能分割,3,2019-09-12 18:19
@陪Daniel长大吖,,好好听，我和我的祖国一刻也不能分割,1,2019-09-12 21:35
@尼古拉斯薏米,,杜江好帅啊，很期待《我和我的祖国》上映#杜江 西外#,1,2019-09-12 19:05
@小丑鱼L,,开心,1,2019-09-12 18:19
@是陈玥啊,,我和你最近的距离就是你在文体馆里 我在文体馆外,4,2019-09-12 18:17
@Fiona_范慧敏,,只能靠偷来的图存活 评论配图,4,2019-09-12 17:45
@别多想了吧,,这场面太震撼了，这些大一新生真幸福！,2,2019-09-12 18:11
@程狗蛋的眉毛是弯弯的,,我觉得这个场面真的很壮观，笔芯,2,2019-09-12 18:05
@沈精灵冰,,杜江先生也太刚了吧,2,2019-09-12 17:48
@可爱用户丫,,江哥，你太帅了,3,2019-09-12 17:42
@钟小葵6,,啊啊啊啊啊啊,1,2019-09-12 17:41
@许久再见可好,,真的很感动，我和我的祖国 一刻也不能分开，我为祖国骄傲,1,2019-09-13 18:47
@我爱过你呢,,可惜我没见到杜江，没有参加大合唱的我更是很后悔,1,2019-09-13 18:46
@小米渣团子,,看完有不一样的感觉，我和我的祖国，一刻也不能分割,1,2019-09-13 18:33
@布什陈,,杜江的一身正气是最适合的演员,1,2019-09-13 18:31
@等故人归归归,,期待演员杜江饰演升旗手。,1,2019-09-13 18:30
@情深深天蒙蒙,,期待我和我的祖国，期待杜老师的表现,1,2019-09-13 18:29
@小玉宝贝甜甜的,,羡慕西外的学子，为什么不是我啊,1,2019-09-13 18:28
@做自己的小太阳啊素素,,看到觉得好感动啊，我和我的祖国，不可分割,1,2019-09-13 18:27
@悦悦悦萱,,看到好感动呀！,1,2019-09-13 18:26
@Kellylove518,,表示在现场,2,2019-09-12 21:11
@我说余路还能走多久,,#杜江 西外#想和杜江哥一起歌颂我们美丽的祖国,1,2019-09-12 20:38
@粉红色小野兽O_o,,杜江真的很不错,1,2019-09-12 20:37
