User,Reter,Comment,Votes,Time,Count
@无为防范,,@安徽反邪教 转发微博,1,2019-09-12 16:21,1
@祁门反邪,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,1,2019-09-12 14:59,2
@包河清韵,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-15 20:35,4
@瑶海清韵,,极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-13 02:24,2
@宿州正道,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:30,5
@萧县反邪,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:29,5
@涡阳防邪,,@安徽反邪教,0,2019-09-24 22:20,7
@合肥反邪教,,,0,2019-09-17 11:16,5
@庐阳正道,,,0,2019-09-16 17:19,5
@肥东清韵,,,0,2019-09-14 16:54,4
@淮上正道,,转发微博,0,2019-09-13 14:40,4
@枞阳防邪,,转发微博,0,2019-09-13 14:15,3
@胜利清韵,,@安徽反邪教,0,2019-09-13 13:20,3
@黄山反邪教,,转发微博,0,2019-09-13 00:17,2
@池州反邪教,,极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 22:43,2
@芜湖反邪教,,@安徽反邪教,0,2019-09-12 22:11,2
@宿松正道,,极具史料价值！#浙大校友捐颜真卿原碑#,0,2019-09-12 18:17,2
@大观反邪教,,转发微博,0,2019-09-12 17:20,1
@弋江区防范宣传,,@安徽反邪教,0,2019-09-12 16:41,2
@望江防邪,,转发微博,0,2019-09-12 16:06,1
@郊区防邪,,@安徽反邪教 转发微博,0,2019-09-12 16:00,3
@淮北反邪教,,@濉溪正道 @烈山反邪教 @相山区政法委,0,2019-09-12 15:59,3
@铜陵路清韵,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 15:28,1
@亳州反邪教,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 15:27,2
@六安反邪教,,转发微博,0,2019-09-12 15:13,3
@烈山反邪教,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 15:08,2
@徽州反邪教,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 15:02,2
@庐江清韵,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 14:57,3
@相山区政法委,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 14:57,2
@舒城县委政法委,,#浙大校友捐颜真卿原碑#,0,2019-09-12 14:36,1
@三山政法,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-12 13:43,1
@芜湖县正道001,,@安徽反邪教 转发微博,0,2019-09-12 13:24,2
@宿州正道,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:30,5
@萧县反邪,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:29,5
@涡阳防邪,,@安徽反邪教,0,2019-09-24 22:20,7
@合肥反邪教,,,0,2019-09-17 11:16,5
@庐阳正道,,,0,2019-09-16 17:19,5
@包河清韵,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-15 20:35,4
@肥东清韵,,,0,2019-09-14 16:54,4
@淮上正道,,转发微博,0,2019-09-13 14:40,4
@宿州正道,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:30,5
@萧县反邪,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-10-10 17:29,5
@涡阳防邪,,@安徽反邪教,0,2019-09-24 22:20,7
@合肥反邪教,,,0,2019-09-17 11:16,5
@庐阳正道,,,0,2019-09-16 17:19,5
@包河清韵,,【极具史料价值！#浙大校友捐颜真卿原碑#，是浙江唯一一块,0,2019-09-15 20:35,4
@肥东清韵,,,0,2019-09-14 16:54,4
@淮上正道,,转发微博,0,2019-09-13 14:40,4
@枞阳防邪,,转发微博,0,2019-09-13 14:15,3
@胜利清韵,,@安徽反邪教,0,2019-09-13 13:20,3
