User,Reter,Comment,Votes,Time,Count
@面条还要继续吃,,最好也问一下儿子的年纪，说不已经二十了…,17740,2019-09-12 14:32,1
@碎片馆,,真像兄弟俩,6383,2019-09-12 14:22,5
@看到我请赶我去背词单,,长的也过于年轻了吧,4979,2019-09-12 14:23,2
@途中之人,,中国话，这叫没长开。。。,2181,2019-09-12 14:35,1
@TimeLine时间线,,真正的「面嫩」。,1792,2019-09-12 14:23,1
@宋城价值投资人,,老男孩？,1159,2019-09-12 14:23,2
@樱桃丸子Shara,,这父亲有点侏儒的感觉啊,693,2019-09-12 15:12,1
@苋菜君,,远看根本就是小孩，近看还有一点大人样,345,2019-09-12 15:09,1
@yellowblindness,,神奇，看起来好年轻,314,2019-09-12 14:21,1
@小碎花F,,有个电影那个女孩三十多岁看起来只有十多岁,211,2019-09-12 14:22,1
@林黛玉,,让儿子还有其他人跟着臭二手烟，真是的,144,2019-09-12 14:26,7
@港島一只鹿,,主要是长得太小吧，肩窄，胳膊短，看着比旁边小朋友高不了多少，如果身型看上去明显比儿子大得多话，长个娃娃脸大家也会知道是个大人啊,182,2019-09-12 15:10,1
@最辣的生姜,,吸烟长的矮，实锤了,155,2019-09-12 15:09,2
@一只猪蹄丶,,这是老烟民啊,93,2019-09-12 14:23,11
@我太难了JPG,,我爸爸一直被认成我哥，不知道是不是因为我显老,61,2019-09-12 15:11,1
@柴草微,,远景镜头开美颜了而已，后面笑裂那张根本不特别年轻啊。三十多不就那个样子，眼角褶子还不少呢。,40,2019-09-12 16:21,1
@吃吃喝喝快快乐乐开开心心,,明白了，越抽越年轻,34,2019-09-12 14:22,1
@天蝎座的大胃王,,OPPO摄像机吗。,23,2019-09-12 14:22,1
@Naive_002,,难道不是因为身高的原因显得很像吗,17,2019-09-12 17:40,1
@抹茶冰淇淋兔,,神不像，其实年轻不是脸有多年轻，关键是神，人老了关键是“神”没了，小孩子眼睛里始终有光，表情生动自然，成年人大都眼睛里黯淡无光，表情僵硬做作，老年人眼睛里一般几乎看不到光，表情恐怕只有大笑才看得出来。年轻就是精气神足，这些目前真的没法通过其他方式获取,21,2019-09-12 16:41,1
@王校长别开枪是我,,实锤了，抽烟可以变年轻,16,2019-09-12 14:32,1
@abc亲敬的人,,我们常说：树有根人有种，父亲长得帅当然儿子也长得帅，有老帅就有少帅。,7,2019-09-12 14:36,1
@鲜虾鱼坂,,有点像国安巴塔拉,6,2019-09-12 14:23,1
@曼儿姐姐,,22的我看起来像未成年？,11,2019-09-12 16:03,2
@鱼头泡饼o,,长得年轻我不知道是什么体验，但是我知道长得老是什么体验,6,2019-09-12 18:45,1
@行叭自我放逐,,怎么长的？？？？？？？,4,2019-09-12 14:22,1
@生活小白板,,是在说抽烟的好处么？,2,2019-09-12 14:37,1
@SHIN你好我就好,,真的吗,4,2019-09-12 14:21,1
@粿条林,,吸烟使人年轻？,7,2019-09-12 14:25,1
@鸠摩罗什啊,,这也太显年轻了点吧,4,2019-09-12 14:32,1
@_Park_Chanyeol的小仙女,,这个摄像机自带美颜吗？？？！！！,2,2019-09-12 19:29,1
@师父猪,,我觉得这是侏儒人吧？,5,2019-09-12 17:56,1
@Belladrops,,@混血双生子 此处应@你 哈哈哈哈～,1,2019-09-12 21:34,1
@青羽璃湛,,我居然觉得抽烟的姿势有点好看,1,2019-09-12 19:32,1
@兔不归,,这就是娃娃脸而已，皱纹还是挺多的,2,2019-09-12 19:01,1
@阿芒cami,,哈哈哈哈，兄弟俩吗,1,2019-09-12 16:56,3
@清愁酒馆,,真·娃娃脸！,2,2019-09-12 14:22,1
@Bianca_713,,要不是看见那几道褶子，还真不信,2,2019-09-12 18:43,1
@走意,,我38了,1,2019-09-12 17:18,1
@是谁的xiner,,@疯不落 这个真的好年轻还以为是兄弟,1,2019-09-12 15:07,1
