User,Reter,Comment,Votes,Time
@现现的贝贝,,前排？！！！！！！,14931,2019-07-25 13:36
@肖小琦-,,现哥冲鸭！！,12371,2019-07-25 13:37
@鱼干菌Jun,,希望孩子们都能健康成长！！！,486,2019-07-25 13:37
@豆花姐姐ing,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊吧啊啊啊啊啊啊啊啊啊啊吧啊啊啊啊啊啊啊啊啊啊 文盲追星可以让哥哥看到我吗！！！！！！！！！！！！！！！！！！！！！！！！！！,397,2019-07-25 13:36
@月亮兔叽,,哥哥哥,350,2019-07-25 13:40
@嗲妹养成中,,哥哥爱你,284,2019-07-25 13:51
@蛮不讲理的小李,,现哥加油！,274,2019-07-25 13:53
@FOREVER-丞封的剑,,支持,184,2019-07-25 13:59
@草莓味的啊呦,,好的，和哥哥一起做公益啊,187,2019-07-25 13:36
@可爱如盼,,跟哥哥一起做公益,48,2019-07-25 13:37
@筠翳翳,,啊啊啊啊啊啊啊哥哥,55,2019-07-25 13:36
@失眠的神經病SaSa,,你的发型和努力，都不失败!!! 守护全世界最好的李现!!!,54,2019-07-25 13:36
@李现现的小朋友,,你最善良了啊啊啊啊啊啊啊啊啊啊啊啊啊啊 评论配图,66,2019-07-25 13:38
@Mint源本,,希望孩子们都能开心，快乐，有接受更好的教育的机会,51,2019-07-25 13:37
@Wanjiaayii-,,啊啊啊啊啊啊啊啊啊哥哥！,39,2019-07-25 13:36
@傻雨萌o3o,,,46,2019-07-25 13:38
@MaysKyfrEespaCe,,第一！！！,40,2019-07-25 13:36
@亲一口小李ing,,@李现ing韩商言是你吗 评论配图,47,2019-07-25 14:48
@LX屋屋,,啊啊啊啊啊啊李现我爱你啊啊啊啊啊啊啊啊！,39,2019-07-25 13:36
@这个踹踹有点肥,,善良的你最帅气,44,2019-07-25 14:59
@桃子桃子iiing,,跟现哥一起#倾听孩子的声音#，一起支持公益,35,2019-07-25 13:38
@是Erica穗穗啊,,跟着哥一起做公益,31,2019-07-25 13:37
@十一点睡刚刚好,,,36,2019-07-25 14:21
@立早人圭,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 评论配图,40,2019-07-25 13:37
@艳福不浅Li,,每个孩子都是天使，天使坠落人间，只愿人间值得@李现ing,33,2019-07-25 19:18
@Geo_莉莉老师_graphy,,各位上头姐妹，你们是住在微博的吗？ 评论配图,35,2019-07-25 13:40
@高大威猛的萌妹子,,冲呀。啊啊啊啊啊啊 评论配图,26,2019-07-25 13:38
@与巡哥热恋的第999天,,结婚啦 评论配图,27,2019-07-25 13:36
@李现的小孩啊啊啊啊,,最棒的青年演员李现,28,2019-07-25 13:38
@爱吃水果的白咔咔,,哥哥真是善良,23,2019-07-25 13:37
@唔柒-,,做公益的哥哥真棒 充满正能量 评论配图,31,2019-07-25 13:38
@明昊的魔芋爽,,活泼可爱的孩子们，祖国的花朵们，愿你们一切都好,23,2019-07-25 13:38
@薺DL,,我爱你现哥@李现ing ,23,2019-07-25 13:38
@llllllllyybest,,,15,2019-07-25 13:36
@Alice芊泽花ing,,李现不是爆红，是九年的沉淀。我只希望大家不是三分钟热度的喜欢，而是长时间的默默陪伴，我希望他不仅只是七月男友，是从此以后都想要守护的人。人红是非多，我知道之后一定会有各种黑料的出现，甚至是被捧杀。但我会，也希望喜欢李现的你们，可以坚持这份小小的喜欢。 评论配图,38,2019-07-25 18:19
