User,Reter,Comment,Votes,Time,Count
@東邪黃藥師mxd,,只能说塞尔维亚的主教练太业余啦！为什么最后几十秒领先5分时，不叫个暂停呢？害得美国男篮创造了，国际赛场的最差战绩！,356,2019-09-12 21:15,1
@顽固-FunPF,,球员实力真可以了  都是全明星和首发级别的球员   只是相对其他国家  这些人都基本没打过fiba   人家国家队队员基本都是固定的   第一有默契  第二适应国际赛场  美国每年都是临时组建    赢这么多年完全靠球员超强的个人能力   只不过这届有点逊色   没能弥补其他缺陷   但是横向对比还是占优的,148,2019-09-13 07:28,1
@小柏_啊,,十多年了篮球世界水平都在提高（除了中国）,137,2019-09-12 21:17,1
@小幡先生,,这个美国队教练辣鸡，教练下课。(部分中国球迷),64,2019-09-12 21:40,1
@在自律的边缘疯狂试探,,波波维奇下课,37,2019-09-12 21:47,1
@Aries_亮13,,图片评论 评论配图,28,2019-09-13 09:08,3
@英格拉姆小迷弟,,波波维奇：这是我的小号，先来练练手，明年夏天让你们看看我怎么玩满级号，挂机都打爆你们。,15,2019-09-13 09:35,1
@一位秃蜜网友,,辣鸡波波维奇你看看米尔斯打的辣么好在你手底下辣么坑,10,2019-09-13 08:59,1
@足球迷恋,,只能说美国男篮主力都没来吧，别说啥来的都是主力，nba前15都没来好吧,1,2019-09-13 17:16,1
@萌萌萌的小数,,唉，美国废了 评论配图,1,2019-09-13 14:42,1
@江love景,,所以美国队员要记住这种疼痛感，别以为在联赛打的好就有多了不起,1,2019-09-13 10:21,1
@z廣義,,重度度不够什么意思,0,2019-09-13 09:45,1
@杰娜永恒的LOVE,,好,3,2019-09-13 01:40,1
@星星里的尘埃1111,,可能,2,2019-09-13 00:03,1
@呵呵的Stephen,,整体性差一些，单打实力又没那些巨星强,6,2019-09-12 21:15,1
@-王云华,,只怪自己能力不行。,3,2019-09-12 21:15,1
@慧昭Q号,,不错了,1,2019-09-12 23:13,1
@喵星人略略略,,能请假的全退出了，就差教练组过来打球了吧,1,2019-09-12 22:34,1
@白开水00000,,球星和巨星的区别。,2,2019-09-12 21:30,1
@dieqs,,嗯,1,2019-09-13 01:20,2
@狼族少年1413,,。,1,2019-09-13 01:00,1
@樂東水果0527,,上场打土耳其就差点挂了,0,2019-09-13 00:32,1
@在人间11031,,的,0,2019-09-13 00:17,1
@kane-junpeng,,，,0,2019-09-12 23:40,1
@堀口真希,,。。。。,0,2019-09-12 23:30,1
@shuai_1,,,0,2019-09-12 23:23,1
@在海一方OMG,,,0,2019-09-12 23:19,1
@男青年bj,,差个选项，不行,0,2019-09-12 22:48,1
@wosb25226,,就哈哈哈哈哈,0,2019-09-12 22:48,1
@农民工饭饭,,嗨咯好,0,2019-09-12 22:23,1
@小怪兽心想事成_1993,,，。？！！,0,2019-09-12 22:19,1
@竹魅万古,,,0,2019-09-12 22:02,1
@dllyh05,,,0,2019-09-12 21:57,1
@隆隆隆隆泽,,波波维奇下课,0,2019-09-12 21:41,1
