User,Reter,Comment,Votes,Time
@别了枝了惊了鹊,,大山西，万物皆可醋,821,2019-09-12 20:23
@万年不更博无古可考的小胡,,所以中秋适合吃醋嘛,300,2019-09-12 21:15
@默然sry,,这个可以有，对于山西人民来说“无醋不欢”！哪里有，俺滴老家就是关公故里。@新华视点,198,2019-09-12 19:50
@我想要的从来都只是你,,大山西，有创新，哈哈，开心,142,2019-09-12 20:14
@别了枝了惊了鹊,,我大山西厉害了,105,2019-09-12 20:23
@傅儀贰叁,,@UNIQ-王一博 哥！来看看！咱可以吃这个！,89,2019-09-13 11:07
@WX耶啵的兔兔,,这个月饼可以给一博尝尝，一博喜欢吃酸的！,72,2019-09-13 11:04
@凯源玺晓熙,,@UNIQ-王一博 来太原请你吃啊,62,2019-09-13 11:10
@Mywanamrever,,花里胡哨,53,2019-09-12 19:38
@Xy_Kiyo,,@UNIQ-王一博 陈醋月饼 你值得拥有,48,2019-09-13 11:01
@萌萌哒EXO__宸Orson,,感觉还不错@UNIQ-王一博 来试一下,45,2019-09-13 10:41
@小白今天加糖了吗,,@UNIQ-王一博 进来吃,41,2019-09-13 10:40
@时间煮雨tan,,想尝尝,44,2019-09-12 19:44
@BEEPBOOMBEEPBOOM,,@UNIQ-王一博 你做的吗,38,2019-09-13 10:35
@梦呓米六LEO,,@UNIQ-王一博,33,2019-09-13 11:06
@-橘籽芒芒OQ,,小啵快来@UNIQ-王一博,33,2019-09-13 10:56
@今天也好好学习了鸭,,我怎么觉得王耶啵会喜欢,32,2019-09-13 11:12
@爱做白日梦贪吃的大喵,,想@UNIQ-王一博 ，嘿嘿嘿,27,2019-09-13 10:49
@Vitamin阳光,,好想尝一下，喜欢不一样的月饼,28,2019-09-12 19:44
@七月阿未,,耶啵dd应该喜欢,21,2019-09-13 11:06
@这里是霸王花,,这大概只有我们山西人喜欢吧 陈醋味月饼？,29,2019-09-12 20:12
@刘高端,,@UNIQ-王一博,16,2019-09-13 11:10
@懒丫头___,,看到这个标题瞬间想到了你@UNIQ-王一博 哥哥我觉得你会喜欢,14,2019-09-13 10:44
@ling吖灵灵灵灵灵,,听起来不错,16,2019-09-12 21:07
@Devoted802,,想尝尝,10,2019-09-12 19:43
@两个高手,,不，不吃,5,2019-09-12 19:41
@浅夏陌若安,,哇哦～新品种 很好奇诶,3,2019-09-12 19:34
@戬到一只小喵喵-莫莫,,@王子异  买点送我呀,3,2019-09-13 11:03
@-Cointreau,,我只想艾特一个人,4,2019-09-13 11:11
@海胆北鼻菌,,@StephenFurry 疯狂艾特某食醋蓝孩,4,2019-09-13 10:47
@山西老醋坊,,#万物皆可醋#  东湖#老陈醋月饼# 再次被点名，纯手工制作，松软爽口，甜而不腻，味道好吃到无法形容，简直妙不可言！这样的月饼，你吃过吗？,2,2019-09-13 11:02
@MadmanZhen,,@岁尹南山,1,2019-09-13 10:58
@SHIWIN,,这个可以有，甜的吃多了正好来点醋，酸酸甜甜过中秋,0,2019-09-13 10:30
@冉染噢,,@UNIQ-王一博 来吃！！,2,2019-09-13 12:49
@爱吃海鲜的菇凉-张,,在成都，买不到老家的月饼,0,2019-09-13 13:08
@相见不如怀念_54810,,哪里卖，我想买，支持我们山西的醋,0,2019-09-13 12:50
@吃瓜的某yue,,想艾特某酷盖，超喜欢吃醋,3,2019-09-13 11:09
@茄子要加糖呀,,完了我第一个想到让王一博来尝尝够不够酸带不带劲,3,2019-09-13 11:08
@木华若槿_13744,,买给王一博吃。,3,2019-09-13 11:08
@此心光明万物生_LS,,此处@UNIQ-王一博,3,2019-09-13 11:03
@崔孟遥,,web会喜欢的,3,2019-09-13 11:00
@最爱郑老板,,,0,2019-09-13 10:59
@那些回不去的年少时光817,,王一博应该会吃,3,2019-09-13 10:40
@Tmoie·,,@UNIQ-王一博 或许博弟喜欢吗？,3,2019-09-13 10:37
@天鹅绒音乐盒里的时光遗珠,,(⊙o⊙)啥？,0,2019-09-12 20:10
@槐月边上田小米,,@薄荷叶子- 快看，你家的月饼,0,2019-09-12 19:31
@吧啦啵啵biubiu,,@UNIQ-王一博,2,2019-09-13 12:48
@一万次来霖,,我……就……艾特一下哎吃醋的……@UNIQ-王一博 ……………………………………,2,2019-09-13 10:52
@梁Cactus,,你会喜欢吗,2,2019-09-13 10:46
@茜宇-,,@核弹头-titu 你自己说的爱吃酸,2,2019-09-13 10:41
@淡黄色旺旺仙贝,,@UNIQ-王一博,2,2019-09-13 10:37
@辛蒂克劳夫咘噜咘噜咘噜,,想吃！之前在东湖醋厂吃过老陈醋冰激凌！超好吃！,0,2019-09-13 13:14
@夏天的风和四季的你,,看到这个月饼第一个想到王一博,1,2019-09-13 13:08
@夏天的风和四季的你,,@UNIQ-王一博 哥 快来,1,2019-09-13 13:07
@十分之七-,,哈哈哈哈哈果然是山西,0,2019-09-13 13:07
@Eve界,,就知道这条新闻下的评论少不了web,1,2019-09-13 13:06
@王耶啵有钱吃饭,,王一薄快来,2,2019-09-13 13:04
@_遛弯的兔子,,竟然想吃！,0,2019-09-13 13:04
@热心市民lady陈,,太原哪里有卖,0,2019-09-13 13:00
@骄傲的借口是张艺兴啊,,哪里买,0,2019-09-13 12:57
@loski是小明,,@UNIQ-王一博 来太原我带你吃 带你去你买老陈醋,1,2019-09-13 12:56
@流水小乔人家,,#老陈醋月饼# 哈哈哈 不愧是我们大山西， 万物皆加醋， 还看到过老陈醋红枣粽子， 有机会回去，一定去尝一下。,0,2019-09-13 12:52
@輗喃,,看着怪好吃勒。,0,2019-09-13 12:52
@L-平安喜乐,,@UNIQ-王一博 哥哥快来，有醋,1,2019-09-13 12:47
@哈哈的笑声,,@谭晶Jacqueline,0,2019-09-13 11:12
@浅蓝色的天蝎,,,0,2019-09-13 11:07
@哒宰是世界一,,就算真的很酸我也一点都不介意,0,2019-09-13 11:04
@身为尘埃,,@Pann潇 缓缓打出一个？,0,2019-09-13 11:01
@芒里透咸·,,心动了,0,2019-09-13 10:59
@老妖精的猫,,想吃,0,2019-09-13 10:59
@山西老醋坊,,#万物皆可醋#  东湖#老陈醋月饼# 再次被点名，纯手工制作，松软爽口，甜而不腻，味道好吃到无法形容，简直妙不可言！这样的月饼，你吃过吗？,0,2019-09-13 10:58
@哈哈哈哈哈哈哈110120119,,想试试,0,2019-09-13 10:57
@晕头转向不撒野,,,0,2019-09-13 10:53
@我的小婧宝,,@嘴___兄_Zz 哈哈哈哈,0,2019-09-13 10:53
@禅心xi,,这dd应该喜欢,1,2019-09-13 10:51
@星河点亮你的世界,,震撼我妈,0,2019-09-13 10:50
@陈冬缘,,作为一个喜欢吃醋的四川人，我想说，我想尝尝，多放点醋，谢谢,0,2019-09-13 10:50
@YourHappyLittlePill_SCT,,@者行光 你们这么生猛的么 感觉像黑暗料理,1,2019-09-13 10:49
@ll暴躁lion,,可以尝尝嘛,0,2019-09-13 10:45
@朽木白幻,,@慕杨A 看起来好像不错,0,2019-09-13 10:41
@萌萌哒EXO__宸Orson,,嗯?,0,2019-09-13 10:41
@小Chelonia,,有点想尝尝,0,2019-09-13 10:39
@·泡芙小橙,,我们大山西真的万物皆可醋,0,2019-09-13 10:38
@王一博的摩托jiejie,,这种月饼可以买来送给王一博。我家一博最一天吃醋,1,2019-09-13 10:30
@老子喜欢你诶,,我还挺想试一下的,1,2019-09-13 11:04
@学主科学副科学文学理,,本太原人表示异常兴奋,1,2019-09-13 10:55
@低吟浅唱望破茧成蝶,,解腻嘛，一些月饼甜的我跳舞。真的想尝试我大山西的醋月饼啊,1,2019-09-13 10:41
@惠惠lqh,,感觉很不错的亚子,0,2019-09-13 13:22
@紫_清空,,@改个五大三粗的名字 哇！,0,2019-09-13 13:21
@小羊的菜·,,可以，但没必要,0,2019-09-13 13:18
@富察富察没有疯,,想试试,0,2019-09-13 13:17
@三哥哥的万能钥匙,,还挺想吃,0,2019-09-13 13:14
@勿逐灰20811,,想吃呢,0,2019-09-13 13:13
@鱼羽雨3219,,老陈醋月饼，吃了七八年了，真的，你可以试一试，好吃！！！,0,2019-09-13 13:12
@振蕃,,想买，山西醋我的爱,0,2019-09-13 13:12
@李宇春蘑菇菌团,,作为一个山西人，我打死也不会吃的,0,2019-09-13 13:12
@活捉一只月半居,,@一只月半居,0,2019-09-13 13:10
@不贴标签的固执者,,想试…,0,2019-09-13 13:09
@YiGeLuRen-,,好像尝试,0,2019-09-13 13:04
@女王八大人,,想！抽奖吗,0,2019-09-13 13:02
@我要吃糖糖呀,,想吃一下,0,2019-09-13 13:01
@爱上樱花的喵,,感觉很好吃,0,2019-09-13 12:58
@忽而今夏_年复一年,,想尝试,0,2019-09-13 12:58
@啊门啊前一颗酸葡萄,,酸溜溜,0,2019-09-13 12:57
@厐庞佳敏,,优秀,0,2019-09-13 12:57
@诶我是谁你是谁,,@奥勒不吃鸭鸭,0,2019-09-13 12:56
@和lay努力努力再努力xxx,,厉害,0,2019-09-13 12:54
@自然炸,,@盏中泉水,0,2019-09-13 12:52
@拉里星,,作为山西人 我可以,0,2019-09-13 12:51
@J_Aloofness十六鹤井,,没有醋做不到的,0,2019-09-13 12:50
@鹿疯蹄子,,但是，我看到了红绿丝,0,2019-09-13 12:48
@卟飘li,,黑…黑暗料理?,0,2019-09-13 12:47
@可攻可攻,,我好酸啊,0,2019-09-13 11:12
@鄭璟冬,,其实应该销往外地，我们山西人才不吃这玩意,0,2019-09-13 11:11
@我去办,,看起来不错哦,0,2019-09-13 11:11
@H平行宇宙,,想吃哪里买,0,2019-09-13 11:10
@各位观众四条诶斯A,,我酸了,0,2019-09-13 11:10
@晚安典,,山西小卖铺门口放一桶醋，孩子买辣条泡一下醋再吃，谁知道？？？,0,2019-09-13 11:04
@-只活一天李光洙-,,山西：万物皆可醋,0,2019-09-13 11:03
@浪里小阿姨,,我倒是蛮想尝试的，我很爱吃醋,0,2019-09-13 11:03
@XZ战无不胜1005,,这个是东湖出的醋月饼，美和居是有600多年的老字号。,0,2019-09-13 11:02
@Aries-15,,终于对月饼动心了,0,2019-09-13 11:02
@李卿言啊,,这是给单身人士准备的吗？,1,2019-09-13 11:02
@伪装姿势,,城会玩儿,0,2019-09-13 11:01
@Nysacye,,@我丶阎,0,2019-09-13 11:00
@萌萌的尾巴-,,东北人爱吃陈醋的我,0,2019-09-13 11:00
@WHAXRQYBZ,,我不想吃,0,2019-09-13 11:00
@yer---初,,听起来想尝尝,0,2019-09-13 11:00
@沉疴kz,,,0,2019-09-13 10:50
@这儿有信号,,8度老陈醋是,0,2019-09-13 10:48
@最喜欢的姓-萩原,,忻州也想吃,0,2019-09-13 10:48
@莞莞家的罗麻麻,,想吃！,0,2019-09-13 10:47
@茉莉薿薿687,,我还记得端午的时候，山西出了一款陈醋泡过的红枣粽子,0,2019-09-13 10:46
@宿四yhktt,,虽然我爱吃醋，但是陈醋月饼我不可,0,2019-09-13 10:46
@未JUE西决,,,0,2019-09-13 10:44
@鎂麗囘憶,,对于一个名资深醋友，我表示可以尝尝,0,2019-09-13 10:44
@老子迷人又磨人,,竟然想尝尝,0,2019-09-13 10:44
@壹纹小先生,,#为真[超话]#,0,2019-09-13 10:43
@Sapphire_苏猪使我快乐,,@_刘刘LIU刘刘_ 上,0,2019-09-13 10:42
@Jiawenbiubiubiu,,我可以,0,2019-09-13 10:42
@一闪一闪靓晶晶999,,@YYYueer ,0,2019-09-13 10:42
@小抠门女士,,求代购！,0,2019-09-13 10:41
@喝水小狂魔,,金金黄，看起来还蛮好吃的,0,2019-09-13 10:41
@鸡蛋仔仔880,,我想吃没吃过,0,2019-09-13 10:40
@鸡蛋仔仔880,,哈哈哈,0,2019-09-13 10:40
@你无法体会的随遇而安的小幸福,,@一支不断增大的力,0,2019-09-13 10:40
@Ihatekids2,,这个我孩子王放手他爸可能会喜欢,0,2019-09-13 10:38
@小彤彤今年要练出马甲线,,@小彤彤必须要练出马甲线,0,2019-09-13 10:37
@me嗜甜,,想买给你@UNIQ-王一博,0,2019-09-13 10:37
@不是手控啊,,我哈哈哈哈哈哈哈，干啥呀，追时髦啊，看别人月饼啥都包，你也赶一下潮流啊,0,2019-09-13 10:35
@想在1990s,,是给看到诛仙吻戏之后的我吃的吗,0,2019-09-13 10:34
@紫海里有我,,老陈醋月饼，特色，特色,0,2019-09-13 10:34
@不知道改个啥名儿好呢,,我可以,0,2019-09-13 10:30
@倪寂-DAN,,。,0,2019-09-12 20:00
@飲盡山河_,,王一博表示可以试一试,1,2019-09-13 10:51
@宛妮呀辰辰辰xi,,@UNIQ-王一博 哥，买它！,3,2019-09-13 11:11
@大花卤煮,,,0,2019-09-13 13:12
@Rxx01,,听着老陈醋。哈哈哈原谅我想吃酸辣粉,6,2019-09-12 19:41
@laviepasse,,哈哈哈哈哈哈哈@UNIQ-王一博,1,2019-09-13 10:52
@我才不笑l,,哈哈哈哈,0,2019-09-13 12:53
@执迷不悟6075809492,,所以我大山西也就是醋拿的出手了,1,2019-09-13 11:12
@暗號J-,,爱吃醋的我表示想次,0,2019-09-13 11:00
@耂弓6482419663,,我喜欢山西的这种创新方式,0,2019-09-13 10:55
@小千的无脸鬼,,@嘟嘟啊懒 哈哈哈哈哈哈，想尝一尝大山西厉害了,1,2019-09-13 13:18
