User,Reter,Comment,Votes,Time
@霉霉家亲戚,,这个头发好看，前排,138,2019-09-13 21:54
@萌方上下,,我的天17岁！！！阿徐你十七岁诶！,39,2019-09-13 21:55
@黑夜里最闪亮的我呀,,这个很好看诶！你一票我一票老徐明天就出道！,29,2019-09-13 21:55
@krilsutrien,,老徐有生以来你可能只能仿观音和孔孝真最像了，其他咱们就算了叭,22,2019-09-13 22:00
@世界贫困大赛形象代言人,,为什么韩国发型滴刘海都不会油啊，我滴刘海要是这样可能半小时都撑不过,7,2019-09-13 22:15
@心尖小玫瑰_,,老徐这个妆面就好好看！！！发型也是！,4,2019-09-13 22:01
@情商不高不会说话,,我一直觉得jennie的睫毛夹得特别好看，看完徐老师视频才知道方法，蟹蟹徐老师呀,5,2019-09-13 21:56
@噢轩,,有点jisoo的感jio,3,2019-09-13 21:55
@MercinaS方圆儿,,徐老师这个妆发太少女了吧！！！,2,2019-09-14 09:48
@O老大在天上看着我,,跪求jennie同款那期的唇膏笔和唇膏颜色，跟徐老师有同款唇色的我哭辽,2,2019-09-13 22:34
@大可爱青一下,,这才是你，徐水晶,2,2019-09-13 22:00
@瞿小仙吖-,,原来是这个！！这张图真的巨美,2,2019-09-13 21:56
@对C无敌all,,适合自己的叫日常妆～偶尔也要有点挑战～反正老徐我爱你！！！,1,2019-09-13 22:57
@听说大头不怕下雨,,nsjs,1,2019-09-14 14:25
@阿阿阿阿嚏啊丧兮兮嘻,,上热搜了嗷！！！,1,2019-09-13 21:58
@ZIZIZIZIYYY,,你又上热搜了，你晓得 吧？,1,2019-09-13 21:56
@阿阿阿阿嚏啊丧兮兮嘻,,哈哈哈哈哈哈期待！我真的喜欢这个系列！以及老徐中秋快乐鸭,1,2019-09-13 21:55
@爱吃鸡摩人_,,好看呀，甜美徐老师！！,1,2019-09-13 21:55
@_廿五清和,,快快快我等着的呢,0,2019-09-14 10:29
@爱吃樱桃的余酱,,老徐 你是很美的 我觉得哪个都是好看的你,0,2019-09-14 09:45
@营哥很Nice,,这个造型有点美～,0,2019-09-14 01:51
@椰子冻冻历险记,,好嫩！,0,2019-09-14 00:03
@纸巾有一天会是大长腿,,想看想看,0,2019-09-13 23:32
@SHENJIELIN-,,你很美,0,2019-09-13 23:14
@_桥本环奈子,,这个很OK啊.,0,2019-09-13 23:09
@Happylalaland,,看了这么多，还是觉得毛戈平老师画的最美,0,2019-09-13 22:47
@p1KajuuA,,老徐，你又上热搜了,0,2019-09-13 22:42
@nana娜_娜_,,美美哒,0,2019-09-13 22:20
@Pandalus-borealis,,孔孝真你好,0,2019-09-13 22:18
@圣诞袜里的小兔子,,头发i了！,0,2019-09-13 22:03
@普通美女曾美丽,,化完真的像韩国妹妹,0,2019-09-13 22:02
@X_laii,,好看！超级期待徐老师更视频！,0,2019-09-13 22:02
@姬苏鸡酥_,,哇这是徐智秀吗,0,2019-09-13 22:00
@Tokkyoreo,,发型好好看哦,0,2019-09-13 22:00
@特别能说话,,这是哪个美女！,0,2019-09-13 21:55
@就爱吃香菜的喵喵宋,,16不能再多了,0,2019-09-19 23:33
@oscarhyperrr,,这个特别像那个谁 和周冬雨演戏的那个,0,2019-09-17 14:14
@VivianYang9497,,期待期待,0,2019-09-14 23:55
@Caption609,,现在穿金丝绒的衣服不热吗,0,2019-09-14 23:13
@鸭云小姐姐,,这个妆好女人,0,2019-09-14 22:41
@看图识字上面就是我和你,,快发,0,2019-09-14 19:32
@是kiki小菲呀,,好美,0,2019-09-14 17:36
@江畔不知风_,,好看！！！,0,2019-09-14 17:17
@小嘎哒儿,,这个好看,0,2019-09-14 15:21
@768s,,这个妆真的太好看了,0,2019-09-14 14:35
@奶油桃子挞,,这个超好看  无敌好看,0,2019-09-14 14:23
@圈小圈cy,,哈喽，徐孝真,0,2019-09-14 13:20
@是林OO林呀,,发型好美呀，徐老师，温柔阔爱,0,2019-09-14 12:45
@-Cherry__,,这个好看多了,0,2019-09-14 11:31
@无聊白汉堡,,那岂不是破产了,0,2019-09-14 00:30
@E-fannnnnn,,这个发型好好看！,0,2019-09-14 00:26
@悠长假期1998,,老徐你尽力了,0,2019-09-14 00:01
@乌鱼饭的大王星,,这个好好看哦,0,2019-09-14 00:01
@两百斤的可爱,,等等等，期待期待,0,2019-09-13 23:58
@Sunflowers丶CH,,蹲,0,2019-09-13 23:47
@小多肉仙人球的魏魏,,这个好看,0,2019-09-13 23:47
@笨笨的肆肆,,哈哈哈哈所以为啥要选蓝色眼妆，其他妆也行啊,0,2019-09-13 23:44
@漆黑漆黑戏小游,,总感觉她很冷漠 不像日本化妆师傅亲切,0,2019-09-13 23:41
@ZHUXJIE,,好期待！！！！！！,0,2019-09-13 23:36
@是小泡泡呀,,这张好明星哦,0,2019-09-13 23:34
@我qiao认真的,,这期妆面快出来。。我要看,0,2019-09-13 23:21
@是菜特藍,,！！！！！BLACKPINK ！！！！？你说的是BLACKPINK吗,0,2019-09-13 23:20
@张翔多一定会上岸,,再次感叹头发好看！,0,2019-09-13 23:14
@暴富锦鲤附体,,哇，还有一期，期待,0,2019-09-13 23:13
@叮叮当宝贝丫,,这个笑怎么让我想起来延禧攻略里的海兰了呢，还有那个龙门镖局里的青橙呢？好像,0,2019-09-13 23:07
@卷卷要戒糖,,可以可以徐十八～,0,2019-09-13 23:06
@huiyi陈_,,好看！！！,0,2019-09-13 23:00
@Bones小仙女,,太美了,0,2019-09-13 22:54
@肿眼泡豆包呐,,可能是舞台妆比较华丽，所以不太日常吧,0,2019-09-13 22:48
@龙马精神_俩宝贝,,天啊，这张惊为天人！,0,2019-09-13 22:39
@刘亦菲的小包砸,,这个美,0,2019-09-13 22:36
@CarrotLU,,这个更适合你！,0,2019-09-13 22:33
@bluemoonhotel,,哈哈哈哈哈徐老师笑的好像马思纯呀,0,2019-09-13 22:32
@没见过少女吗,,想看这个妆容，日常的,0,2019-09-13 22:27
@爆炒辣椒儿,,发型好好看,0,2019-09-13 22:22
@幽灵与锈,,这张好年轻,0,2019-09-13 22:20
@杨歪歪啊啊啊,,好看,0,2019-09-13 22:19
@JaneJane是我,,好美哦,0,2019-09-13 22:18
@等你赞一声良木,,这个超美阿徐,0,2019-09-13 22:18
@贺绍仪H,,这个好好看，,0,2019-09-13 22:13
@不瘦下去你就别改名了,,这个造型好可爱耶！粉粉嫩嫩！,0,2019-09-13 22:13
@Florence的刘三岁爱吃桃,,超级喜欢这个造型，期待这期视频,0,2019-09-13 22:11
@阿扣抠不抠,,蓝色眼影的确很难hold,0,2019-09-13 22:08
@杂食人间,,这个发型好好看！什么时候出一期发型的视频呀,0,2019-09-13 22:06
@有点可爱的Viki,,这个很好看，嫩的出水,0,2019-09-13 22:06
@呀呀呀呀呀_噢噢噢噢噢,,我不是恶意的老徐我的热评第一,0,2019-09-13 22:05
@不腻的玉米芝士,,嫩嫩的,0,2019-09-13 22:05
@猪猪今天喝奶茶了么,,孔孝真女士你好，哈哈哈哈,0,2019-09-13 22:05
@都是乱说的,,这个好看,0,2019-09-13 22:02
@拜托让我的记性变好,,徐老师画这么多国家的妆容 自己化妆的时候不会混乱吗,0,2019-09-13 22:02
@ttmm688,,好看,0,2019-09-13 22:01
@蹦哒HX,,头发好看  眼睛好看  衣服好看,0,2019-09-13 22:01
@方知温良,,！！！！超爱,0,2019-09-13 22:01
@最初呢WY,,这个妆还有发型真的好好看啊！好喜欢,0,2019-09-13 22:00
@吴小翊,,汉服的视频呢？,0,2019-09-13 22:00
@J-Cr-W,,中秋快乐徐老师,0,2019-09-13 21:59
@荞麦君同学1014,,期待,0,2019-09-13 21:59
@cuijh72,,我就有预感老徐还有囤货！好喜欢看你这种外国化妆师妆发的主题呀～,0,2019-09-13 21:58
@鲵鲵鲵鲵鲵儿,,哇哇哇坐等视频,0,2019-09-13 21:58
@Thozero千子,,我喜欢这个.,0,2019-09-13 21:57
@Elly_向阳向暖,,我可以,0,2019-09-13 21:57
@91分少女,,哈哈哈哈哈哈哈哈哈我之前真的猜对了是bp的化妆师！自我开心下,0,2019-09-13 21:56
@一斤洗铁路,,好好看啊！！,0,2019-09-13 21:55
@蔓越莓味的小老头,,头发太好看辽,0,2019-09-13 21:55
@耳耳蓝,,诶你身上的衣服好好看哦,0,2019-09-14 14:35
@AN安北北,,刚要发好像徐老师…结果一看就是你哈哈哈哈哈,0,2019-09-14 14:44
@Cindyyyuu看来要改名字3_,,好看！！,0,2019-09-14 14:27
@第0410次游离,,为什么眼线总是耷拉着 感觉会有点点没精神的感觉～,0,2019-09-14 12:27
@飞檐走壁好孩子,,好看！！,0,2019-09-13 21:56
@勋的小宝贝,,喜欢这个眼妆,0,2019-09-13 23:10
@咆哮琦,,快发吧，等你,0,2019-09-13 22:09
@H慕T,,好看,0,2019-09-13 22:04
@就爱吃香菜的喵喵宋,,16不能再多了,0,2019-09-19 23:33
@茗茗茗茗茗啊茱,,,0,2019-09-18 19:39
@oscarhyperrr,,这个特别像那个谁 和周冬雨演戏的那个,0,2019-09-17 14:14
@VivianYang9497,,期待期待,0,2019-09-14 23:55
@Caption609,,现在穿金丝绒的衣服不热吗,0,2019-09-14 23:13
@鸭云小姐姐,,这个妆好女人,0,2019-09-14 22:41
@看图识字上面就是我和你,,快发,0,2019-09-14 19:32
@是kiki小菲呀,,好美,0,2019-09-14 17:36
@江畔不知风_,,好看！！！,0,2019-09-14 17:17
