User,Reter,Comment,Votes,Time
@钰宁啊,,三个老人遗体在冰柜发现，排除他杀！！！咋的集体自杀？这个意思？,538,2019-09-14 08:06
@人渣收纳箱,,真的好难过，为什么不是木子洋洋,172,2019-09-14 08:11
@知名娱乐博主,,当时听着这个新闻不可思议，都是至亲至爱的爱，怎么会这样,37,2019-09-14 08:09
@iBingo,,好可怕，希望真相可以大白于天下,76,2019-09-14 08:08
@当不了村花当村长,,怎么排除他杀呢？,37,2019-09-14 08:04
@人脉爸爸,,清风吹枕席，白露湿衣裳，寒天将来至，莫贪早晚凉。,2,2019-09-14 08:05
@小红花吃西瓜,,在冰柜里排除他杀?自己进去的?,15,2019-09-14 08:06
@小小小本璇,,……出游不应该高高兴兴？突然就想自杀？,9,2019-09-14 08:14
@仙女风格,,之前从来没有说过有遗嘱啊……但我一直觉得这外甥女有问题，作为成年人，一起出游的家人死后放冰柜这事她是知情的，却没有报警或通知其他家人，而是和网友奔现？！,12,2019-09-14 09:17
@A梁佳妮,,听起来有些可怕是什么那真相？,11,2019-09-14 08:03
@大简乐,,七子去，六子还。,1,2019-09-14 08:31
@备备的超粉,,另外两人呢,2,2019-09-14 08:04
@芦荟橙子白粥,,准拆迁户一家出游的故事,5,2019-09-14 08:13
@拐杖糖圣诞树,,真相只有一个，，，？？,6,2019-09-14 08:07
@云希醒,,明白的事不害怕，害怕的事不明白。这个事不明就里，只觉得非常恐怖瘆人！,7,2019-09-14 08:18
@二十一岁,,希望早日真相大白 逝者安息,4,2019-09-14 08:12
@生活百态须尽欢,,又是邪教组织,1,2019-09-14 10:29
@肆夕安安,,感觉很诡异，等一个真相,0,2019-09-14 09:37
@轻舟舟-,,又是悬案了,0,2019-09-14 09:16
@飘瓜宝宝,,莫名的可怕,0,2019-09-14 09:15
@宜春峡谷见,,@野生安妮酱 好吓人,0,2019-09-14 08:54
@狗粮店店长,,这字体不是一样吗,0,2019-09-14 08:51
@没有眼泪的宠物,,排除他杀？自己跑冰箱冻起来啦？,4,2019-09-14 08:07
@丑孙的羊_,,期待真相,0,2019-09-14 08:03
@Lydare,,老人真有先见之明啊，知道女儿之后会自杀，把遗嘱留给外孙女了,2,2019-09-14 12:23
@小小美太能吃辣,,女儿，情人和妈妈胁迫老人立遗嘱，然后因为分赃不均被女儿和情人推下楼的吧,2,2019-09-14 08:43
@南山_东篱_,,不给生病的人吃药，不给老人吃饭，这也算谋杀吧,1,2019-09-14 12:56
@皮卡蜡笔丘,,生病没有采取措施致死，死后被放进冰箱。女孩妈妈跳楼。之前舅舅想给父亲治病，但是全家人反对，并且五个人还动不动出去旅游不带舅舅。女孩妈妈一直挑拨舅舅和老父亲的关系。可真厉害呀……,1,2019-09-14 11:18
@秋香是只猫,,邪教？,0,2019-09-14 10:17
@偷懒的鱼宝贝,,细思极恐,0,2019-09-14 10:15
@猫家小呆_,,,0,2019-09-14 10:15
@橙子小姐_Xiao,,所以说为什么放进冰柜？？？,0,2019-09-14 10:10
@安东尼鸭,,所以这个活着的女儿  啥都知道？,0,2019-09-14 10:08
@吹梦到西洲201706,,排除他杀意思是不是别人致死的，又没有说不是别人把尸体放在冰箱的。,0,2019-09-14 10:05
@辞九吖-,,警方还排除他杀，去年的事儿到今年才发现，人死了，女儿还跑去找网恋对象，还不报警？这里一定有鬼。,0,2019-09-14 09:41
@我不是张宋凡,,排除他杀？难道是三个老人自己跑到冰箱去冻死了？,0,2019-09-14 09:18
@双胞胎邓雨邓林,,排除他杀？他们自己把自己扔冰柜里的？太好笑了,0,2019-09-14 08:59
@路人柚V,,排除他杀？迷惑了,0,2019-09-14 08:52
@嘻嘻小懒喵,,谜,0,2019-09-14 08:51
@亦斯庄,,不是他杀，自己躺进冰柜？有时候一些司法机构真的睿智,0,2019-09-14 08:49
@宣萱林,,排除他杀、却被藏冰柜？警方是不是漏了啥线索,0,2019-09-14 08:47
@Connie-二二,,@鳌拜今天怎么样了 你怎么看,0,2019-09-14 08:44
@牛奶小飞侠oO,,细思极恐,0,2019-09-14 08:39
@我要发芽我要开花我要长大,,确实可以，还活着那个19岁了，不可能什么都不知道,0,2019-09-14 08:27
@律魚兒,,是不是疾病太多都不想活著了？其中一個還自殺了,0,2019-09-14 08:25
@OMGASH-SMLXLXXL,,除非死因是冻死的，要不怎么排出的他杀,1,2019-09-14 08:24
@掩清浅,,绝食是自己绝食还是被动绝食……妈妈跳楼为什么不拦着,0,2019-09-14 08:14
@俊俊的仙女啊,,标题党  什么叫还被  明显替外甥女说话  新闻的底线是真实客观,0,2019-09-14 08:12
@三阴月五Fu,,等真相,0,2019-09-14 08:10
@中意夏林,,@我家的斯斯大可爱,0,2019-09-14 08:08
@你好搞笑siao,,排除他杀？？？,0,2019-09-14 08:06
@青青如此biu,,排除他杀难道是自己躺进去的吗  好恐怖,0,2019-09-14 08:06
@嗜睡的糖果,,等后续吧，挺惨的,0,2019-09-14 08:05
@你不出来我就等,,这件事情不是已经搞清楚了么,0,2019-09-14 08:03
@战为高佳琦,,必须严惩，期待真相,1,2019-09-14 08:03
@夏妍的秋天2018,,期待真相,0,2019-09-14 08:03
@悄悄话ing,,真相是什么,0,2019-09-14 08:03
@繁花落尽君辞去zel,,应该是邪教,0,2019-09-14 10:10
@我也曾对未来充满希望,,就这还排除他杀，够魔幻,0,2019-09-14 08:32
@单玖鱼,,居然是商丘，,0,2019-09-14 08:23
@假如你叫我大哥,,哇，好恐怖啊，跟小说破案一样,0,2019-09-14 08:09
@倾听者吖12138,,期待真相吧,0,2019-09-14 08:03
@等雨来warten,,警方都声明了还有啥真像,0,2019-09-14 09:17
@你是我的可乐多吗,,有点可怕,0,2019-09-14 08:11
@Giraffe_plays_the_guitar,,@溪上没有云,0,2019-09-14 12:31
@福尔摩妮美国租车枪械女神,,是什么玩意邪教,0,2019-09-14 10:49
@记过,,@王好帅2000,0,2019-09-14 10:47
@西瓜爷爷种西瓜-,,已经是老人了，如果有病不治就能加速死亡，更别说蓄意了,0,2019-09-14 10:16
@香菜丸子z,,@阿蔚啊蔚,0,2019-09-14 10:11
@levolar,,@木子魂魄,0,2019-09-14 09:05
@real__rensirong啊,,@wwww小鱼仙倌 天...可怕,0,2019-09-14 09:02
@西瓜冰奶茶,,@AD钙奶配咖啡,0,2019-09-14 08:34
@Faye_llllll,,@Stoneooooo,0,2019-09-14 08:32
@脚印太轻了,,会不会是传销或者mj，，，,0,2019-09-14 08:31
@李霹雳霹雳霹雳啪啦,,@张咚次咚次咚次哒次,1,2019-09-14 08:29
@毕业季校服厂家,,外甥女好奇怪，还有遗嘱给外甥女的，不太可能吧！一般都是给自己的儿子女儿，谁会把遗产给外甥女啊,0,2019-09-15 23:54
@骑阿凡提的吕驴驴,,我有点跑偏  深圳出租房  有具体位置吗  朋友最近就走深圳找房子,0,2019-09-14 14:55
@南山_东篱_,,不给生病的人吃药，不给老人吃饭，这也算谋杀吧,1,2019-09-14 12:56
@Giraffe_plays_the_guitar,,@溪上没有云,0,2019-09-14 12:31
@Lydare,,老人真有先见之明啊，知道女儿之后会自杀，把遗嘱留给外孙女了,2,2019-09-14 12:23
@毕业季校服厂家,,外甥女好奇怪，还有遗嘱给外甥女的，不太可能吧！一般都是给自己的儿子女儿，谁会把遗产给外甥女啊,0,2019-09-15 23:54
@骑阿凡提的吕驴驴,,我有点跑偏  深圳出租房  有具体位置吗  朋友最近就走深圳找房子,0,2019-09-14 14:55
@南山_东篱_,,不给生病的人吃药，不给老人吃饭，这也算谋杀吧,1,2019-09-14 12:56
@Giraffe_plays_the_guitar,,@溪上没有云,0,2019-09-14 12:31
@Lydare,,老人真有先见之明啊，知道女儿之后会自杀，把遗嘱留给外孙女了,2,2019-09-14 12:23
@didibangbang,,@wuliAdd 吓死人,0,2019-09-14 11:20
@皮卡蜡笔丘,,生病没有采取措施致死，死后被放进冰箱。女孩妈妈跳楼。之前舅舅想给父亲治病，但是全家人反对，并且五个人还动不动出去旅游不带舅舅。女孩妈妈一直挑拨舅舅和老父亲的关系。可真厉害呀……,1,2019-09-14 11:18
@福尔摩妮美国租车枪械女神,,是什么玩意邪教,0,2019-09-14 10:49
