User,Reter,Comment,Votes,Time
@DBSYYQLJ,,哈哈哈哈哈哈哈哈哈哈我真的笑死,2051,2019-09-14 11:00
@Urnotcaitlin,,这样看好搞笑,1023,2019-09-14 11:01
@坏水小屁孩,,哈哈哈哈哈哈哈哈昨天看到笑死了,699,2019-09-14 10:59
@巴别塔上的李宇春,,哈哈哈哈哈哈要是我当场笑成拨浪鼓，还怎么唱歌,684,2019-09-14 11:03
@Cold冷暖Warm,,李宇春：憋住，我不能笑,389,2019-09-14 11:06
@可兹果果,,这个出场方式难得春春没笑场，可是我笑场了,358,2019-09-14 11:02
@我偏开出仙人掌,,春春昨晚演唱自己作词作曲的歌很好听啊,308,2019-09-14 10:59
@葱Lu,,哈哈哈哈哈哈！李宇春：忍住不能笑,198,2019-09-14 11:12
@啊啊啊啊啊君啊Cc,,哈哈哈哈 哈哈哈哈,180,2019-09-14 11:01
@人间乐园的迷,,我特码爆笑！李宇春怎么忍得住，还唱得那么稳？？？,174,2019-09-14 11:11
@urnot-葱公,,哈哈哈哈哈哈哈哈,161,2019-09-14 11:10
@雨Lee记忆,,哈哈哈哈哈哈，昨晚上在宿舍不能笑出声，我憋出了内伤,158,2019-09-14 11:08
@大可要返程,,李宇春唱歌一直很好！很棒！,155,2019-09-14 10:59
@哥白尼白海棠,,哈哈哈哈哈,132,2019-09-14 11:01
@椰子如初,,#四小天鹅护送李宇春到下个路口# 哈哈哈哈哈哈，让我笑会儿再来表白,115,2019-09-14 11:13
@我的小亲亲spring,,哈哈哈哈哈哈嗝,99,2019-09-14 11:17
@Do木麦,,,129,2019-09-14 10:59
@AuTiStIc310,,昨晚的《下个路口见》太好听啦 李宇春自己作词作曲的歌就是能打 又引发了大家的回忆 ,116,2019-09-14 11:03
@奶烊的梨涡-Yee,,互动,59,2019-09-14 10:59
@葱Lu,,#四小天鹅护送李宇春到下个路口# 哈哈哈哈！又可爱又搞笑,61,2019-09-14 11:23
@葱明一辈子,,#李宇春[超话]# 我葱忍住不笑哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,77,2019-09-14 11:01
@香雪逸韵携春到,,喜欢，好欢快的！,63,2019-09-14 11:18
@李宇春家的庆来,,#李宇春[超话]# 昨晚看到时就笑疯了,52,2019-09-14 11:17
@李小葱的掌上明猪,,哈哈哈哈哈哈哈好土哦,40,2019-09-14 11:15
@李宇春家的庆来,,要笑死了,32,2019-09-14 11:15
@宇我是空号,,哈哈哈哈，小天鹅,56,2019-09-14 11:00
@枚枚月光是你独特签名·,,四小天鹅是我当晚最大的快乐源泉了,47,2019-09-14 11:05
@为LEE消得人憔悴,,天呐，笑死我了，哈哈哈，春春会不会也被逗笑了#四小天鹅护送李宇春来到下个路口#,51,2019-09-14 11:07
@葱Lu,,昨天看直播李宇春的live超稳！完全没注意到这么搞笑的开场，哈哈哈哈,22,2019-09-14 12:22
@烤玉米,,哈哈哈哈哈哈昨天一开始没找到春春在哪,38,2019-09-14 11:12
@伊夕-陌影,,好怕春春也被带顺拐,18,2019-09-14 12:35
@可爱的猪年来啦,,#李宇春四小天鹅护送出场#  央视安排的这土萌土萌的出场方式，我看一次笑一次，哈哈哈哈哈哈哈哈,11,2019-09-14 11:12
@一只鱼20011,,哈哈哈  这个出场方式,7,2019-09-14 11:54
@想喝我葱煲的汤,,哈哈哈哈，没事，我们漂亮姐姐还是那么稳 评论配图,8,2019-09-14 12:30
@光潆,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我还没仔细看那个太搞笑了！,13,2019-09-14 11:25
@可爱的猪年来啦,,央视爸爸这是专门找了4个比李宇春还高的伴舞，挡着李宇春，把李宇春护送到路口。哈哈哈哈哈哈。这舞台舞美谁想出来？哈哈哈哈,6,2019-09-14 11:31
@雨Lee记忆,,春春你没笑吗,7,2019-09-14 11:22
@CL的新物种,,#四小天鹅护送李宇春来到下个路口# ,7,2019-09-14 11:18
@李宇春家的庆来,,太傻了,5,2019-09-14 11:10
@李宇春家的庆来,,这是喜剧吗,4,2019-09-14 11:10
@urnot-葱公,,#四小天鹅护送李宇春到下个路口#笑死我了,6,2019-09-14 11:35
@棉花温妮i,,#四小天鹅护送李宇春到下个路口# 我葱太可爱辽,4,2019-09-14 12:37
@马软软哎,,哈哈哈哈,3,2019-09-14 11:16
@假想,,滴,4,2019-09-14 10:58
@春色挡不住,,昨天光顾看春春美女了，今天看了还是太好笑了，春春你憋住了吗,3,2019-09-14 13:17
@崽崽妮妮,,哈哈哈哈好可爱呀 评论配图,5,2019-09-14 11:09
@南方春风吹十里,,现场演唱《下个，路口，见》，这首轻盈浪漫的歌曲，律动悦耳，意境清新，对于流行音乐拥有敏锐触觉的李宇春，刻意挑高、细腻了声线，少女气息尽显，反而甜而不腻，分外清新讨喜，十分适合在中秋月圆的氛围里倾听，别有一番风味 ！,4,2019-09-14 12:21
@可兹果果,,#四小天鹅护送李宇春来到下个路口#哈哈哈哈笑死我了,8,2019-09-14 11:17
@芸朶天邉,,哈哈哈哈哈哈哈哈！逗死我了！春春竟然没笑场！造型好看！,2,2019-09-14 16:10
@一只陆香菇,,昨晚我明明看了的，竟然没注意到这个，我不是合格的沙雕网友了,2,2019-09-14 15:32
@吃猫的鱼hi,,我也搞不懂为啥不让姐姐自己走哈哈哈,2,2019-09-14 13:11
@摩天轮的时代,,哈哈哈哈哈哈哈哈李宇春昨晚演唱自己作词作曲的《下个路口见》 评论配图,6,2019-09-14 11:04
@一只萌球出墙来,,,2,2019-09-14 15:11
@葱Lu,,可爱又搞笑,2,2019-09-14 14:25
@砚台love葱,,哈哈哈哈哈我葱没笑场也是很厉害了，我是笑到肚子疼,2,2019-09-14 11:24
@小Lee家的汤圆,,姐姐肯定憋着笑呢,4,2019-09-14 11:15
@玲挚爱小葱,,原创作品，超好听,5,2019-09-14 11:05
@日常沉迷李宇春,,对叭起，姐姐，是不想笑的，可是我真的忍不住,4,2019-09-14 11:24
@小狐狸咔咔,,别逼我笑,4,2019-09-14 11:03
@原来是HQ-,,好听,5,2019-09-14 10:58
@urnot四季逗逗,,边听歌边看四小天鹅护送春春,3,2019-09-14 11:08
@李宇春家的庆来,,#四小天鹅护送李宇春到下个路口#,2,2019-09-14 11:09
@李宇春家的庆来,,啊哈哈哈哈哈哈哈哈哈哈哈哈哈,2,2019-09-14 11:09
@鸡蛋慕斯Tit,,好想看看我葱是怎么的步伐,4,2019-09-14 11:13
@纤维动物,,就他一个真唱的,1,2019-09-14 11:16
@甜葱盐葱的小圆子,,哈哈哈哈哈哈,1,2019-09-14 11:04
@粗鄙粗鄙,,李宇春现场实力是真的牛逼！,2,2019-09-14 15:52
@阿炳这个名字应该没人用,,哈哈哈哈哈优雅中透着一丝沙雕#李宇春[超话]#,3,2019-09-14 11:05
@小现很乖啊,,表白漂亮姐姐,2,2019-09-14 12:53
@麦乐丛-哇,,哈哈哈笑死,1,2019-09-14 12:46
@伊夕-陌影,,原来都一样，我还在纳闷镜头在移动，可是不见春春，结果,1,2019-09-14 12:34
@今天她喝假酒了吗,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈！我笑的超大声！,2,2019-09-14 12:18
@可爱的猪年来啦,,李宇春女士没笑场吗？专业歌手好厉害，我要笑得不行了,2,2019-09-14 12:18
@宇的轻舞曲,,哈哈哈，这话题够沙雕我喜欢#四小天鹅护送李宇春到下个路口# 评论配图,1,2019-09-14 11:53
@一个小琼,,昨天看到的时候，我就在想：李宇春居然没笑场，不容易啊。,2,2019-09-14 11:35
@萌萌哒汪汪酱Wang,,哈哈哈哈哈哈哈哈哈哈昨天我都没注意,2,2019-09-14 11:07
@柒夏骇浪,,,1,2019-09-14 18:24
@要记住的是今天晚上,,期待李宇春新专辑《哇》的首唱会@李宇春,1,2019-09-14 18:00
@我要烧了你的烦恼丝,,,1,2019-09-14 17:46
@秋田九月,,@李宇春 你是怎么做到当时没有笑场的，哈哈哈哈哈哈哈哈哈,1,2019-09-14 15:47
@坏水小屁孩,,之前没有看到人，后来才发现她在小天鹅后面 哈哈哈哈哈,1,2019-09-14 15:14
@源弟弟的姐姐,,这首歌真好听,1,2019-09-14 14:56
@Leslie_Larme,,哈哈哈哈哈哈哈哈哈李宇春你真的没有笑场么哈哈哈哈哈哈,1,2019-09-14 14:45
@葱花炫,,#四小天鹅护送李宇春到下个路口#,1,2019-09-14 14:42
@且微,,我第二遍才开始乐,1,2019-09-14 18:25
@李宇春-哇卡卡满地滚,,#李宇春[超话]# 哈哈哈哈哈哈 这个话题#四小天鹅护送李宇春到下个路口#,1,2019-09-14 17:56
@包子姐姐是菠萝包,,真的很厉害哦还特地找了个子那么高的伴舞！,1,2019-09-14 14:54
@和考试一直作斗争的老小孩,,哈哈哈哈哈哈哈把我春围起来,1,2019-09-14 14:46
@南方的姑娘美如花呀,,昨天被笑死了哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-14 14:36
@南方的姑娘美如花呀,,#四小天鹅护送李宇春到下个路口# 这是什么搞怪tag 不过我昨晚是真的差点笑死了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,1,2019-09-14 14:36
@有傲骨不臣服,,哈哈哈哈哈哈央视不愧是你,1,2019-09-14 14:28
