User,Reter,Comment,Votes,Time,Count
@YukiAsa,,表白这个一唱歌就停不下来的王总,26,2018-12-02 21:59:16,2
@孟瑞家的小仙女Bigdipperlove,,好想你王总,19,2018-12-02 22:09:56,1
@莲渔九九LianYu99,,好的呢,12,2018-12-02 21:56:44,1
@梅子味的颖宝,,妈呀,10,2018-12-03 14:31:53,1
@遇见心上的小优,,#王博文新专辑食光机# 前面你想象的签售会我觉得挺好的，但,3,2018-12-02 22:37:05,1
@forever笔亲,,这大概是我听过唱周笔畅的歌最好听的了，关键还清唱,11,2018-12-18 15:06:13,2
@一只猥琐发育的菠萝狗ZZ,,,1,2018-12-02 21:55:33,2
@烫哩个糖,,妈耶，王博文这么喜欢周笔畅啊,6,2018-12-18 15:09:07,3
@当时只道是寻常0830,,王总，演唱会安排一下,1,2018-12-03 07:23:43,2
@李芙惜,,跳伞可还行，恐高嘀咋整啊！,4,2018-12-02 23:45:00,1
@WinterAlcoholic,,王总今天好奶！！！！！！,3,2018-12-02 22:17:48,1
@叉会儿腰的妖妖,,晚安啦，宝贝,3,2018-12-02 22:07:12,1
@YukiAsa,,随便唱唱都这么好听！,5,2018-12-02 21:58:32,2
@你说他的眼里有星星,,#王博文新专辑食光机# 明天的我永远比今天更爱你，我的小王子吖,2,2018-12-03 16:03:52,4
@7上我心爱的小摩托,,签完跳伞下去啊,2,2018-12-02 22:38:01,2
@0518白,,晚安,1,2018-12-02 22:26:58,1
@榛子放风筝筝筝筝筝筝筝_RWR,,那次因为大雨真的好担心，谁想我们宝宝是晴天娃娃呢，签售会一办起来立马雨停,2,2018-12-03 00:58:54,2
@我真的要去睡觉,,王总也要多穿衣服,3,2018-12-03 00:16:17,2
@·焦糖拿铁·,,#王博文新专辑食光机# 要是签唱会在飞机上，也跟你一起哇哈哈哈哈哈,1,2018-12-02 22:26:02,2
@焦虑症患者______,,#王博文新专辑食光机# 呼吸，想你，工作，是每天都要做的事儿,1,2018-12-02 22:08:39,3
@云云云苏琛RayMa,,最后一句的“宝宝们注意身体 记得添衣”肯定是王总打的,1,2018-12-02 22:07:45,1
@小白老虎儿,,我崽实力宠粉，走着去,1,2018-12-02 22:06:55,2
@红烧肉炖三杯鸡,,羡慕工资君有小白的朋友圈,3,2018-12-02 22:02:08,5
@一只猥琐发育的菠萝狗ZZ,,来啦老弟,1,2018-12-02 21:55:51,2
@孟大树金狗MW,,一起跳伞,2,2018-12-03 00:05:44,1
@你说他的眼里有星星,,#王博文新专辑食光机# 我家宝贝真的是开口跪，随便唱两句别人的歌都那么好听,1,2018-12-03 16:02:12,4
@你说他的眼里有星星,,#王博文新专辑食光机# 怎么办怎么办，明天的我永远比今天更爱你,1,2018-12-03 16:01:24,4
@_七今天有在努力么,,,1,2018-12-03 14:41:24,1
@拽不住青春尾巴的怪阿姨,,喜欢听王总清唱，太好听了！！,1,2018-12-03 13:27:12,1
@Yuany楊,,#王博文新专辑食光机# 果然是爱唱歌的王小白,1,2018-12-03 10:33:12,1
@Chocolate瑞文甜蜜站,,#王博文新专辑食光机#   早@王博文小白  ,1,2018-12-03 10:09:18,1
@踩大树的蘑菇精,,“跑调儿啦”真可爱,1,2018-12-03 10:01:01,1
@Puuu__啊哈,,早,0,2018-12-03 08:28:13,7
