User,Reter,Comment,Votes,Time
@一只青柠味的DJ,,我们程序员……没这么无聊,12700,2019-09-14 13:29
@不吐不快BBKing,,不 我们程序员不关机,11882,2019-09-14 13:39
@Xback-酒窩騙子,,哈哈哈哈，张艺兴好评,8952,2019-09-14 14:36
@肆百味,,主要是看见了艺兴,8085,2019-09-14 13:37
@HISJUGWKO1,,评论里提别人黑称的真搞笑啊哈哈哈，怎么别人喜欢张艺兴有错吗？别人想用他照片妨碍到你了？咋滴？没用你家那位着急了？ 评论配图,7131,2019-09-14 15:20
@柴犬加菲金毛折耳仓鼠,,我老公张艺兴,6250,2019-09-14 13:54
@Eoao009,,虽然有我们兴哥，但是关机一般是ALT+F4,5662,2019-09-14 14:54
@Sandy_刺猬jj,,看到张艺兴了,5485,2019-09-14 14:58
@奶茶小胖砸,,张艺兴那么帅就不舍得关机了,5443,2019-09-14 15:18
@小皮卡蛋,,张艺兴,4713,2019-09-14 15:09
@小沐沐吖XING,,表白艺兴,4384,2019-09-14 15:19
@莫不是小深海,,刚打开看 猛然看见我们艺兴!!一声卧槽脱口而出,4278,2019-09-14 14:55
@月亮上的猫先生,,然后程序员并不会这么关机 还有可能长按电源键关机,3867,2019-09-14 13:35
@Hannieli,,看到了我们艺兴,3321,2019-09-14 15:45
@x犬兔一豹x,,张艺兴黑粉真可怕 没素质 不喜欢别看啊  张艺兴做什么了 无关微博也要喷 有病,3010,2019-09-14 16:22
@苏子啾啾然,,,3031,2019-09-14 14:33
@飞过秋千去nanan,,这样关机就能看到张艺兴？我去弄了，别骗我哦,2775,2019-09-14 16:10
@AlaudidaeX,,最后张艺兴好帅啊,2439,2019-09-14 15:37
@Xback_花柒,,关张艺兴什么事？无缘无故要挨你们骂？,2354,2019-09-14 15:56
@Xback-酒窩騙子,,我...都是长按关机键（电脑被搞死机了）,2175,2019-09-14 14:43
@戳你酒窝喔,,看看有些评论对别人的人身攻击是多么恶臭，自己跟弱智一样还不自知，还沾沾自喜，什么三观,2185,2019-09-14 16:10
@冒泡泡真好玩,,我们程序员要么不关机要么按电源,2077,2019-09-14 13:57
@会变瘦的团子,,对！就是这个视频，我昨天刚刷到过，请大家看到最后一秒,1864,2019-09-14 15:16
@馒头君微博名老是被占用,,设计师一般不关机、看见艺兴啦,1890,2019-09-14 15:58
@九尾_霸王龙,,看到了张艺兴,1718,2019-09-14 15:39
@冷星予曦2019,,程序员都喜欢张艺兴吗,1401,2019-09-14 14:42
@肥宅梦中牧羊,,卧槽 哈哈哈哈哈惊现小羊宝贝,1268,2019-09-14 15:57
@月月在云上,,我们程序员压根不关机……别黑我们,1183,2019-09-14 14:29
@一颗大芋圆w,,,1187,2019-09-14 16:35
@南拥夏栀XBACK,,我看见了张艺兴,1120,2019-09-14 16:21
@HANA小姐_,,张艺兴挺好的一小伙儿！真不知道一群人阴阳怪气的嘲弄什么？？？？？？,1042,2019-09-14 16:33
@超大糖福禄L,,张艺兴,909,2019-09-14 16:40
@皮皮-Y-,,卧槽，张艺兴好帅,703,2019-09-14 16:43
@Yuri无乐不作,,我们程序员不关机,670,2019-09-14 14:09
@原谅星星,,我的兴兴呀,631,2019-09-14 16:40
@惨绿少年金三坨,,这也太酷炫了,629,2019-09-14 13:18
@星星掉落蜜罐里,,哈哈哈哈哈哈爱辽张艺兴,549,2019-09-14 16:42
@吃葡萄的小松鼠,,我发现了什么,476,2019-09-14 16:18
@天凉镜,,不喜欢一个人 人家又不认识你 然后用脏话骂人家到处显示你的低素质 感觉是一件很值得骄傲的事么？？？？？？？？？？？,469,2019-09-14 16:28
@Heeeeeee-tui,,我们不关机,445,2019-09-14 14:46
@纵容喜,,妈呀，看到艺兴了，好开心,431,2019-09-14 16:09
@连家窝堡村民王先生,,程序员不关机，只关屏幕,401,2019-09-14 14:27
@JessicaCXback1007,,关机图片不错啊，张艺兴就是帅！,393,2019-09-14 16:44
@蕾酒九x,,啊，我看见我艺兴了，帅死啦,317,2019-09-14 16:45
@国内唱跳第一人,,评论里说黑称的真的很没素质 正常人谁在无关微博底下乱叫啊,316,2019-09-14 16:46
@阿欣LJ,,还好我是个正常人，少了生活很多麻烦,275,2019-09-14 13:02
@石叽i娘娘,,本正常人  直接盖下来 都不关机,265,2019-09-14 13:46
@倒音乐水养兴兴,,直接关机啊我都是，艺兴好评,260,2019-09-14 16:44
@是我这块小饼干哇,,先表白老张,155,2019-09-14 16:49
