User,Reter,Comment,Votes,Time
@是林嘉航的宝贝啊,,做一个独立的女性,145,2019-09-14 23:16
@小羊驼肖恩,,我觉得每个人的情况不一样，还得具体问题具体分析。 评论配图,74,2019-09-14 23:18
@是Sery的Amy,,相夫教子，也拥有自己的事业，女人要靠自己才能活的漂亮[加油],63,2019-09-14 23:14
@小酒七月兮,,现代女性在婚姻里还是应该在各方面独立比较好，至少东西是自己的，有安全感#郭碧婷闺蜜拷问向佐# 评论配图,42,2019-09-14 23:18
@哈宝开心,,很支持女神的想法，女生还是应该独立一些，表示赞成,14,2019-09-14 23:21
@围栏间隙偷看你,,看个人情况啊,30,2019-09-14 23:15
@爱喝奶茶的冰,,#郭碧婷闺蜜拷问向佐#我希望我能在我结婚以后，做一个好妻子，好妈妈，但同时也有自己的事业，自己的天地 评论配图,11,2019-09-14 23:21
@流域界,,没有女孩愿意只是相夫教子但是又渴望安逸,7,2019-09-14 23:18
@可爱的小人儿呀LL,,这还是要看自己的情况呀，不是看自己的意愿要看对方想咋样,1,2019-09-15 08:50
@躲猫猫的小兔妞儿,,我觉得看个人情况吧，假如结婚了比如对方比我强很多我肯定要努力缩小差距，也希望他拉我一把，我生孩子耽误两年也需要他更多陪伴和关心，假如我比他强一点我一定会在不搓他自尊心的同时多用心引导一下，一起进步一起成长，分工一定要商量着来，大家都有安全感，要是不顾对方只顾自己往前冲不如不结婚。,3,2019-09-14 23:28
@辣手祥子77,,肯定要做一个独立的女性，女性独立了就对什么都特别的有安全感，每天生活的也有方向了，所以女性朋友们一定要独立,2,2019-09-14 23:20
@爱你译添,,我觉得这个看个人吧，先祝福郭碧婷和向佐，要幸福哟,1,2019-09-15 08:50
@今天的我超甜哦,,#郭碧婷闺蜜拷问向佐# 我觉得还是看情况，但是女生独立真的很重要，能够更多的做自己喜欢的事,1,2019-09-15 08:49
@Anpon234,,女生还是要各方面学会独立，靠天靠地不如靠自己，独立的女生最美 评论配图,1,2019-09-15 01:33
@打不倒的小怪兽2013,,#郭碧婷闺蜜拷问向佐# 其实女人并不都喜欢在家相夫教子～希望你们把握好这个问题 评论配图,2,2019-09-14 23:32
@情感寄存地,,做一个独立的有个性的女性，爱生活爱家庭也爱自己！,2,2019-09-14 23:19
@屁话小明,,郭碧婷对于爱情也非常有自己的想法。还是希望他们以后能够幸福美满吧。,1,2019-09-14 23:31
@沐铉铉铉,,想知道那300人咋想的,0,2019-09-15 17:17
@真正的薛小姐,,夕又米不是高晓松前妻吗,0,2019-09-15 10:56
@老年人要开始努力啦,,看个人喜好吧！事实上结婚还不如一个人来得自在,0,2019-09-15 10:44
@爱我可以,,我觉得真的要做一个独立的人，要给自己安全感。,0,2019-09-15 08:53
@芸熙呢,,#郭碧婷闺蜜拷问向佐# 我觉得现在的女性就适合独立，自己什么都会，不用依靠别人！,0,2019-09-15 08:53
@考证勿扰,,#郭碧婷闺蜜拷问向佐#女性应该在各方面学会独立，其他的具体分析吧,0,2019-09-15 08:53
@凉生1997,,#郭碧婷闺蜜拷问向佐# 我个人觉得经济应该独立，这样也能生活，谁也不能保证人生一帆风顺,0,2019-09-15 08:53
@老年人要开始努力啦,,看自己喜好吧！事实上结婚都不想结，明明自己过也很开心啊！ 评论配图,0,2019-09-15 08:52
