User,Reter,Comment,Votes,Time
@男颜鉴赏中心,,中国好声音,13403,2019-09-14 21:35
@情疏忘川,,“你看他逃跑的样子，好像一只蟑螂哦。”,7802,2019-09-14 21:36
@粤C明白人,,丧家犬，只能落荒而逃，之后惶惶不可终日,3478,2019-09-14 21:35
@中节者,,伴随着“起来，起来，起来！”黄之锋他们果然站“起来”了,62,2019-09-14 21:37
@耀耀耀耀切克闹一起嗨,,以后我们也应该多邀请些反美者来清华北大,52,2019-09-14 21:39
@十月蝎子-艾伦,,就两学生唱歌，其他中国人呢，台上老师还握手聊天，这哥伦比亚大学是正大光明接见港独分子啊,45,2019-09-15 08:42
@千黛汐Rebecca,,就他也配让人唱国歌给他听 我看一首凉凉挺合适,34,2019-09-14 21:39
@十年一别,,爬,24,2019-09-14 21:34
@阿Q阿茵,,留学生的歌声有些孤立无援的样子，港独很淡定地握手离场,35,2019-09-14 23:00
@娅94779,,可以现场提问吗？结合他说的内容，拿一些现实，现场问到他语塞，问到他脸红，问到他说不出话来，这是最好的。,31,2019-09-14 21:42
@低调的柯,,这货除了会舔还会别的吗？,19,2019-09-14 21:35
@静漪微澜,,留学生好样的,19,2019-09-14 21:47
@Owena,,求助人民日报，为什么淘宝到今天还不下架香港黄DJ林海峰香港talk show的门票吗？他天天在电台嘲讽大陆人，黄得不得了！大班月饼只是讥讽蓝丝无脑，林海峰可是天天嘲讽大陆人支持黄丝骂黑警！,21,2019-09-14 23:15
@我是一名做涂料的农民工,,这种人能放出来，香港的法律是过家家吗,17,2019-09-15 04:21
@跑步课本007s,,大黄蜂犹如过街老鼠。,18,2019-09-14 21:35
@肖宁,,拿他没办法吗？只能唱歌？,14,2019-09-14 21:39
@Consolidacion,,中国最强音,13,2019-09-14 21:37
@永洁芳心,,原来外国名牌大学都是些狗屁大学！,14,2019-09-15 08:33
@热短句bot,,呦呦切克闹，中国新说唱，暴徒没了妈,14,2019-09-14 21:36
@聪聪一定要努力上进,,黄之锋等乱港分子必将也必然被钉在历史的耻辱柱上！！！遗臭万年！！！,11,2019-09-14 22:55
@Wondersay,,虽然歌声跑调严重，但此刻确是那么的悦耳动听，留美学子好样的,12,2019-09-14 21:49
@一只灬小怪兽,,乱港分子人人得而诛之,11,2019-09-14 21:35
@幻像Phantom,,我倒挺想听听他的演讲里面到底有些什么狗屁内容的,11,2019-09-14 21:38
@扎克婶·易,,这货怎么又跑美国去了，有种来内地试试,8,2019-09-14 22:41
@张梵青,,黄之锋只是想火，所以对于黄之锋，不要报导，不要给热度,7,2019-09-14 23:14
@争吵与和解,,出了香港就是丧家犬一个,8,2019-09-14 21:39
@怪物千层松饼,,这只越南猴子几时死？？？,5,2019-09-15 10:02
@Duanni-,,他肯定觉得他可牛逼了，敢于做出变革，成功了成为名垂千史的英雄,10,2019-09-15 09:02
@F公明,,子系中山狼，得志便猖狂,9,2019-09-14 21:36
@淡青花刺僵小鱼,,#CK港独#,4,2019-09-15 15:03
@锦鲤一只两只三只身边游,,哥大的什么学院啊，这他妈是学术交流还是政治交流？狗币老师…,5,2019-09-15 09:41
@掘地逃生大求杀,,前阵子不是抓了放，然后又抓了又保释，是我对保释有误解吗？保释不应该是限制一定的活动范围吗,6,2019-09-15 08:29
@燕隐红尘,,一定要打嬴舆论战！,6,2019-09-14 21:35
@立仔L,,在我看来人家熟视无睹，该谈的谈，该拉关系的拉关系！,4,2019-09-15 09:06
@手可摘星辰_李白,,暴徒还诱骗、威胁未成年少女为其集中提供性服务,2,2019-09-14 22:03
@不会数学题啊,,确定不是会议结束了 人家才走的？,3,2019-09-15 11:44
@面壁者和执剑人罗辑,,乱港分子一日不除，中国就永远无法安宁。现在英国、美国对这个世界做的事负面影响已经远远超过正面影响了，都应该灭国！,3,2019-09-14 21:49
@小麽王,,哥伦比亚好像是一个挺不错的学校，怎么这么好的学校，竟然请一个废青去讲座？,5,2019-09-14 21:39
@寻找自性,,哥大不就是刘强东和奶茶妹妹上的那个学校嘛！,1,2019-09-15 19:18
@MarioGooo,,我只想问干掉他然后逃回香港会不会被判刑？,2,2019-09-15 14:07
@琪琪儿BABYS,,为什么他不被处置 为什么 zf还不出手呢？,2,2019-09-15 13:53
@永远快乐的yeah晨,,背叛自己国家的人，逃到哪儿都不会得到别人真正的尊重。,2,2019-09-15 11:51
@刘先生爱黄先生ING,,不想管香港废青死活，只想看猪肉价格下降,1,2019-09-15 11:31
@Sophia藰,,留学生好样的,1,2019-09-15 11:15
@竹语念安,,真正的中国好声音,1,2019-09-15 10:23
@LuckyTen_10,,校方人员还互送?蛇鼠一窝,2,2019-09-15 09:52
@ShawYzf180,,全靠爱国学生和老大爷,1,2019-09-15 09:50
@See_九凛,,留学生好样的,1,2019-09-15 09:40
@期盼在梦里与你相见,,每次看到国外的中国留学生唱歌什么的一点开就浑身发麻 ,1,2019-09-15 09:40
@热搜专员,,还没被抓？？？,1,2019-09-15 09:22
@法号悟空04211,,这种新闻我都懒得看了。这种人 法律不管起来，还好意思放出来。政府和法官无能的要死，外国人的法律好啊，没人抗议啊。 大结局在看吧。,3,2019-09-15 09:15
@那些陪你去冒险的梦,,声入人心的中国最强音,1,2019-09-14 22:51
@心里住着一个jing-zzt,,为华夏爱过儿女点赞,2,2019-09-14 22:16
@予悸里,,最想听到的是你回复我的简讯通知,1,2019-09-14 22:05
@清涧的卷儿,,乱港分子人人得而诛之,1,2019-09-14 21:54
@走在乡间的小路上喂,,,1,2019-09-14 21:54
@倾心慕诗,,,1,2019-09-14 21:37
@专治各种哈哈哈萌萌小丸子,,干嘛让他去国外？不是抓了吗？艹,2,2019-09-15 10:13
@爱到离别时xy,,保释了就可以出国？,2,2019-09-15 14:15
@健康管理keys,,暴徒乱港，社会不安宁，一些人虽愤怒不满，但担心招惹麻烦，选择默不作声。素来敢于发声的艺人陈百祥，不怕被暴徒恶搞和滋扰，多次公开站出来反暴力、撑警察，他接受《大公报》专访时表示，他跟每一位香港市民一样感到痛心，他深信乱港分子背后有人别有用心,2,2019-09-15 12:47
@慕榮芳芳,,为爱国留学生点赞[贊][贊][贊],2,2019-09-15 12:08
@李熠C,,不是限制出境吗？他咋出去的？,2,2019-09-15 11:24
@汎栐莨OTZzxcoi,,唱国歌不如直接开骂得劲,1,2019-09-17 17:08
@水木清流源,,这两只过街老鼠赶紧被车碾死！,1,2019-09-15 16:58
@某十七,,哥大让他们来干嘛？,1,2019-09-15 14:41
@ASDLuffy,,这些留学生好样的,1,2019-09-15 12:10
@阿伦戴尔儿童美术,,哥伦比亚大学不是个好玩意,1,2019-09-15 11:28
@Akihi-魚,,起来！不愿做奴隶的人们,1,2019-09-15 11:18
@FjunDare,,在日中国留学生向每一位海外爱国学子们鞠躬致敬！,3,2019-09-15 10:20
@瘦成闪电劈死你hehehe,,瞬间觉得这学校不咋滴！,1,2019-09-15 10:11
@动感超人小王子,,真的爱国把我感动,1,2019-09-15 09:57
@最近太阳有点大,,国歌漂亮了！每一次，当国歌响起，都捍卫在着祖国，捍卫着民族，捍卫着人民。,1,2019-09-15 09:41
@小索miller,,过街老鼠人人喊打，丧家之犬何以猖狂，还不是狗仗人势,1,2019-09-15 09:34
