User,Reter,Comment,Votes,Time
@讨厌臭脚加1,,内马尔真的不容易，被嘘了一整场，克服了巨大的压力和干扰，始终带着激昂的战斗力拼到最后一刻来了个倒钩绝杀，你们尽管嘘不打脸算我输！我跪服！,4043,2019-09-15 03:29
@兔奶爸Leo,,所以，一名优秀的运动员，一名优秀的人，心理素质是必备技能之一，中国的团体运动，一定要加强这方面的建设。。。,2010,2019-09-15 04:20
@圣西罗的蚊子,,论实力，内马尔才是巴黎大腿，内马尔想离开和巴黎对姆巴佩的偏好有关，巴黎人如果搞清楚内马尔才是他们的国王，给他足够的尊重，他是可以留下的。,1437,2019-09-15 04:45
@阿拉小艾,,一群不停强调内马尔人品不好的，随意吧，反正再强调马儿依然强，我就喜欢马儿,1177,2019-09-15 06:56
@Hob1N_,,身价就是这么打出来的,997,2019-09-15 06:46
@捉住一只猫哦,,救赎的一球啊，如果是世界波什么的，都不会有这种效果。补时阶段，逆天倒钩，绝杀凑在一起，征服了骂了他90分钟的球迷，大腿还是大腿，依旧是除了梅罗之外的第三人,764,2019-09-15 07:35
@其实我不是吴彦祖丶,,主场球迷真香,327,2019-09-15 03:31
@你说谁是你爸爸,,内马尔真香系列,196,2019-09-15 04:11
@啥时候合法啊,,快来看上帝,145,2019-09-15 06:00
@土逗妮啊,,卧槽了  昨天才梦见马儿在我面前的球场跳舞 跳完了搂着我上去拍照   还摸了他腹肌,83,2019-09-15 07:59
@加加SEAN,,你可以嘘他，但是你不得不佩服他，发出嘘声是球迷本能，赢得掌声是内马尔的本事，太棒了，还有牛逼哄哄的球迷,91,2019-09-15 07:17
@走你的222,,哈哈  这得多强大的心理素质,47,2019-09-15 06:55
@一生有李-娜样足矣,,,24,2019-09-15 04:33
@skVfour9,,门将有点演 伸手又缩？,38,2019-09-15 08:11
@张双平,,我还是希望他留在大巴黎建功立业而不是重返巴萨 好马不吃回头草,19,2019-09-15 07:43
@槐序弍叁,,不愧是我高中凌晨爬起来追世界杯的男人,14,2019-09-15 09:06
@见说东园好,,翻译：左边传中，看看大巴黎有没有人能化解场上僵局，取得最后胜利，哦，天呐，内马尔，左脚倒勾，一脚漂亮的世界级倒勾，无与伦比的进球，这就是超巨，哪怕被嘘了一整场，他还是有机会取得进球，这就是巴黎的王：内马尔!,25,2019-09-15 08:50
@貓不可及,,内马尔np,18,2019-09-15 08:19
@男人最怕一事无成的温柔,,巴黎不配拥有内马尔，马尔虽然个性突出，但无论在哪个球场上，都对得起他的职业。,11,2019-09-15 13:11
@甜桃奶绿,,一段看到的话：最后这个倒钩破门，对方守门员楞在原地没动，为什么？因为他没想到马儿会直接打门还是倒钩破门。这球传过来的高度肯定都是停球，调整角度或者传给别人再或者射门！而马儿是直接倒钩，这么短的时间 最佳处理方法！所以守门员楞在原地！马儿球商真的高。,19,2019-09-15 09:29
@海和夏天,,内马尔牛逼！！真的牛逼！！！,14,2019-09-15 07:49
@喔喔迦迦--奶糖,,太帅了,15,2019-09-15 07:44
@WooWuuuuu,,所以我内少依然牛逼,15,2019-09-15 07:54
@Frank_July19,,不谈荣誉，就能力来说，健康的内马尔绝对是世界第一。,8,2019-09-15 08:59
@回忆里的七里香521,,常人真的做不到，所以天赋加后天努力成就了他,11,2019-09-15 07:55
@杨翼,,牛逼！！,6,2019-09-15 07:43
@门线灵狐,,你大爷还是你大爷,5,2019-09-15 08:06
@白礼娟,,怎么感觉这门将反应有点慢,7,2019-09-15 05:21
@上海的平平,,漂亮的进球,4,2019-09-15 03:44
@十元厘美,,内马尔帅就完事了,2,2019-09-15 10:58
@靳言BJY,,@赋歌予安风 马儿好帅啊,2,2019-09-15 10:56
@墓冬秋,,要是我，恐怕都快把自己感动的痛哭流涕了。,2,2019-09-15 08:27
@胡小六六儿,,我恨 晚上十一点睡着了,2,2019-09-15 06:43
@萌萌--不乖,,虽然听不懂，但我猜大概在说“天呐！难以置信，内马尔用神之左脚完成了一记惊世绝杀，完美的走位完美的预判完美的配合，彻底封杀了对手所有胜利的希望！这一刻属于内马尔，这一刻同样可以进入历史！压抑了整场的内马尔用强大的内心和惊艳的技术再一次证明了自己！”,5,2019-09-15 15:30
