User,Reter,Comment,Votes,Time
@钱孙,,你的微博内容一直没有让我失望过，宝藏博主,26,2019-09-15 17:57
@内涵彪哥,,刚看了你微博，这风格我是头一次见，挺喜欢的，关注你了,20,2019-09-15 17:37
@一只啵狸,,所以…和叠词有啥关系…真诚发问…,682,2019-09-15 17:53
@可爱的人都和可爱的玩,,热门？,140,2019-09-15 17:24
@我爱吃鱼干儿,,七个评论上了热搜？？？,63,2019-09-15 17:21
@西湖牛腩o,,为了买热门真是辛苦你了，挂羊头卖狗肉,118,2019-09-15 18:43
@BreezNel,,p6一眼没看清我还想说为什么after sex不能吃东西....,6,2019-09-15 20:15
@阿年有魚,,@阿年的BigDevil,0,2019-09-15 17:58
@无敌番茄大王,,哈哈哈哈我的机会来了(赞我,2,2019-09-15 17:24
@巨人浩克-,,@jwjkszd 我觉得这就是他想要的生活哈哈哈哈哈,1,2019-09-15 17:20
@Lazattt-30,,@Erpannn-23 看到了吧,0,2019-09-15 21:58
@未来VV良辰,,热门？ 评论配图,4,2019-09-15 17:19
@-吴十七呀,,@陈曦同学,0,2019-09-15 21:14
@一枚橙子的独白,,看见热搜标题点了进来 看了整组图以后觉得：emmm 很有道理 退出以后想起 ？？？ 这和热搜什么关系？？？,1,2019-09-15 23:34
@仙女在线下凡,,@孙乐le0 哈哈第一张太形象了,1,2019-09-15 20:39
@不要奇思妙想了,,@周五要跑步,0,2019-09-15 23:37
@妞玥玥,,@吴先涛Tao 逐渐变成after,0,2019-09-15 20:43
@很皮的然,,@是山居啊,0,2019-09-15 18:52
@前路充满无限可能,,“好萌哦 嘟嘟嘴”“怎么可以吃兔兔”,0,2019-09-16 01:26
@HypOx1a-,,怎么踢得是排球,0,2019-09-16 00:06
@桃子小姐_Icey,,@小钊莫风,0,2019-09-15 22:48
@姜樱_,,图一真的胸以下全是腿？,0,2019-09-15 22:12
@钢铁直男墙,,真实,0,2019-09-15 21:18
@GameGyuu,,探险活宝真的好看 但是这个和热搜有什么关系啊,0,2019-09-15 19:49
@陈攻子,,营销号,0,2019-09-15 19:32
@元氣少女Eileen,,@vega在那棵椰子树喔,0,2019-09-15 19:21
@王权富贵女朋友,,？,0,2019-09-15 19:17
@蒋达膘,,@东东姑娘,0,2019-09-15 18:48
@冰泡芙吖,,热搜？？？？？,0,2019-09-15 18:48
@Nonparticipant,,@zaxka_,0,2019-09-15 17:54
@少女喵酱日常,,Hi，我已将你的微博收录到新鲜事 精选壁纸头像美图 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-15 17:48
@李小尤的奶萌西柚腰,,其实都很幸福呀,1,2019-09-15 17:35
@美丽的月月姐姐,,这跟说叠词的变化有什么关系,1,2019-09-15 17:19
@Irpika穿睡衣,,我是真的惊了，花了钱的怎么不认真点？,1,2019-09-15 22:03
@A-zheng歌,,微博热搜又该整改了,1,2019-09-15 20:01
@cc十七日,,最近这热搜都怎么了？,1,2019-09-15 19:22
@李嘉琪女朋友,,我感觉我好前面 哈哈哈哈,1,2019-09-15 18:02
@桃子_桃子_大桃子,,所以叠词在哪儿呢？,1,2019-09-15 17:59
@姐姐不要那么快我不行了,,吃棒棒。我女朋友,1,2019-09-15 17:55
@虎子家的小草莓,,额，嗝～这个叠词的变化有啥子关系,1,2019-09-15 17:48
@王斯塔,,可以说是不审题的典范了,2,2019-09-15 17:30
@-WANGI鵺-,,我想不出骚话,1,2019-09-15 17:25
@卜多比鲁翁怀里的巨龙,,确认过眼神，我的机会来了（暗示）,1,2019-09-15 17:23
@啵啵环游日记,,第一次蹲到没啥评论的热搜,1,2019-09-15 17:20
@如果名字超长的话就不会重复了吧,,???,0,2019-09-16 02:33
@小柒Qz,,@Lu-超 是不是你,0,2019-09-16 02:25
@小昆蟲兒Claire,,啥意思？叠词？我理解错意思了吗？,0,2019-09-16 01:59
@Miss_小秋秋,,哔哔赖赖,0,2019-09-16 01:35
@果间衣,,全部相反？小编是不是弄颠倒了？,0,2019-09-15 23:38
@救救我的钱包,,买个热搜花多少钱啊,0,2019-09-15 23:38
@笑点草上飞,,@EMPEROR_Frederick,0,2019-09-15 23:34
@饭桌小漩涡,,@黯夜中的缪斯 是你了,0,2019-09-15 23:23
@嘻嘻姑娘不在线,,又骗我们结婚,0,2019-09-15 23:01
@SweetJY99,,很客观,0,2019-09-15 22:49
@鱼鳞啦,,这个热搜是啥？找来找去也没看到叠词啊,0,2019-09-15 22:49
@Tongsly_Elaine,,@Will_yea,0,2019-09-15 22:48
@喵咪喵喵喵-,,@LHY-LLY,0,2019-09-15 22:41
@胖胖濛吖,,@GPAQ-,0,2019-09-15 22:37
@谦语欣靓,,和叠词有啥关系啊,0,2019-09-15 22:12
@小懒懒_____,,@大喵说多谢 哈哈,0,2019-09-15 21:38
@阿馨顶呱呱,,你是弟弟,0,2019-09-15 21:29
@宝宝啃,,不是，盘子放在脚旁边。。,0,2019-09-15 21:18
@老师虐我千百变,,2281个赞上了热搜？？？还与名字不符,0,2019-09-15 21:17
@樱眠Sweetheart,,这热搜买的不值啊,0,2019-09-15 21:10
@HUMANTORCH,,@璇子Ciciiiii,0,2019-09-15 21:05
@九八的橘子汽水,,啥玩意兒啊,0,2019-09-15 21:02
@mmmsmya,,@超超热少年,0,2019-09-15 20:43
@失眠开始于每天和你说晚安,,潜移默化催你结婚生娃 逃得过爹妈 也逃不过微博,0,2019-09-15 20:42
@小仙女是会飞的鱼,,他们怎么没有胖，差评,0,2019-09-15 20:35
@有椒其馨其馨,,这也太幸福了吧,0,2019-09-15 20:24
@TaurusHin,,@Votre-chance,0,2019-09-15 20:13
@你老婆在此m,,这个买的热搜 ……,0,2019-09-15 20:04
@她未醒,,@youshhh 婚前婚后都看着幸福,0,2019-09-15 20:03
@罗钰敏,,@罗英斌,0,2019-09-15 19:56
@子木欣陈_Light,,四川女孩的叠词,0,2019-09-15 19:47
@wei渐渐,,@迷迭香xaut,0,2019-09-15 19:42
@菠萝味的少女dan,,@J_eromey,0,2019-09-15 19:41
@cc十七日,,热搜？？？？？？？？？？？？？,0,2019-09-15 19:22
