User,Reter,Comment,Votes,Time
@XDyuhe,,心肠太恶毒了吧！,9952,2019-09-14 11:55
@是栗子呢,,什么人啊！！！有病吧！,6397,2019-09-14 11:55
@热短句bot,,地狱坦荡荡，魔鬼在人间,2765,2019-09-14 11:56
@金主哥,,太可恶了，不建议活着,1642,2019-09-14 11:58
@脱单群高个群,,日本的变态坏起来真可怕，上次放火也是的，滥杀无辜，,803,2019-09-14 12:29
@一只毒特滴小可耐,,照这么来算的话，日本这个岛上人还不到100个？,389,2019-09-14 11:56
@大头企鹅,,是有多恶毒才能做的出来,391,2019-09-14 11:56
@吃货柴62794,,造日本嘛不稀奇，一个到处捕鲸的国家,249,2019-09-14 12:11
@跑酷的黑色风衣,,有监控就好了,219,2019-09-14 12:22
@Jone哎哟,,日本为啥对猫这么好，对鲸鱼，鲨鱼，海豚各种大肆捕杀,166,2019-09-14 12:26
@在下少年,,建议付费购买岛上的猫粮或者鱼，既保证猫的安全，岛上也有收入维护好岛上的设施。,111,2019-09-14 12:06
@没心情的AKIRA,,人类拥有的资源和能力想对弱小动物赶尽杀绝易如反掌 但强者的体现是保护和管理而不是伤害,73,2019-09-14 12:27
@三月有两条鱼,,我一直以为猫岛上有上千只猫。。。。,97,2019-09-14 12:53
@长久与凉介,,？？？？？？,42,2019-09-14 12:28
@realluoyonghao,,你们喜欢的对别人来说也许是灾难,46,2019-09-14 12:07
@游游蛋,,严惩！这种人会下地狱的！,50,2019-09-14 12:10
@Kelaisile要得否999,,愿因果轮回,26,2019-09-14 12:13
@程阿花花花花,,变态自己活的不顺心可以自残自杀不要祸害其他生命ok？,19,2019-09-14 12:37
@我家有只花生绵绵冰,,什么鬼人啊，自己心理变态还要去害猫,8,2019-09-14 13:43
@北大大大芳秀,,,6,2019-09-14 12:29
@uncle--c,,过分,5,2019-09-14 12:48
@kenzi楠,,好过分啊,5,2019-09-14 12:30
@谁说出汗多就是TM肾虚,,人工维持生态平衡？,1,2019-09-14 11:56
@虾球的Cecilia,,天呐,4,2019-09-14 13:08
@他娘家人,,靠,4,2019-09-14 12:46
@猫先生的刘胖胖,,太揪心了……,3,2019-09-14 13:20
@Eblouissante,,？？？？？？？？？,3,2019-09-14 11:55
@扣扣布娜娜,,天呐！是得多恶毒的人才能做出来这样的事！70只猫咪啊！,2,2019-09-14 16:30
@Lincoln·ObiWan·Amidala监护人,,人类大概是世界上最接近恶魔的生物…,1,2019-09-15 04:38
@我只是想叫莫冷而已,,,0,2019-09-14 15:42
@芮淇,,,0,2019-09-14 15:41
@为梦想加油呀,,,0,2019-09-14 14:48
@六七四十九-,,地狱空荡荡魔鬼在人间,0,2019-09-14 14:07
@gyq是有梦想的人,,真恶毒,0,2019-09-14 13:53
@Fantasticfart,,我艹,0,2019-09-14 13:52
@谭美娜na,,蛇蝎心肠,0,2019-09-14 13:43
@莫尔石头,,,0,2019-09-14 13:23
@此夜何极,,做个人吧，这些猫咪哪里得罪投毒的人了呢。坏人真是哪里都有。,3,2019-09-14 13:21
@细鬼崽,,可能就是岛上的某个居民？不喜欢猫那种…觉得太多太烦？,1,2019-09-14 13:04
@第九只抹香鲸,,@火巳 不知道咋说,1,2019-09-14 12:32
@悟空为湿不湿,,哦,0,2019-09-14 12:06
@PQRS26,,该绝育的绝育，但是毒杀那么多也是。。。,0,2019-09-14 12:01
@其其家的猫,,,3,2019-09-14 11:56
@蔓蔓不慢m,,@-Gxy1 ？？？？,0,2019-09-14 11:55
@a__Bingo,,从捕杀鲸鱼，到排放核污水，再到毒猫，没有哪样小日本是做不出的。,2,2019-09-14 14:02
@最辣的生姜,,我想这些猫咪应该是很信任人类吧,2,2019-09-14 13:43
@学ba杨小清,,很少骂人。死，全，家。,2,2019-09-14 13:25
@一直特立独行的猪_s,,卧槽！丧尽天良了,2,2019-09-14 13:18
@Charity7878,,什么鬼呀，是怕地狱人太满所以想要提前进地狱？？？,3,2019-09-14 12:22
@片片家的小走尸,,这是谁干的心肠如此歹毒，抓起来枪毙吧,1,2019-09-14 18:41
@鲤鱼王说她不在家,,bgm『手つかずの感情』，每次听都会产生又忧伤又复杂的感情，看番的时候是这样，看到这次事件的时候也是这样……,1,2019-09-14 16:03
@筱小知道了,,这人太恶毒了吧，，,1,2019-09-14 14:45
@Elaine-暖苏,,这种人典型的得不到幸福就欺负弱者,1,2019-09-14 13:18
@DEAR-YuI,,人比兽坏多了,1,2019-09-14 13:16
