User,Reter,Comment,Votes,Time
@脱单群高个群,,致敬斯科拉,229,2019-09-15 22:42
@再续天爱恋,,看看人家足球篮球都是世界一流水平，羡慕,41,2019-09-15 22:42
@XTloveXMU,,想起08年逼平西班牙进入加时赛。。。。。。,18,2019-09-15 23:55
@为球痴迷,,西班牙已经是那个能更美国扳手腕的男人，咚咚咚跟上收,12,2019-09-15 23:41
@奉天女子_安非他命,,真好。看的我激动，和我自己拿冠军一样,18,2019-09-15 22:38
@毛哥体育Sports,,情感上希望钻石斯科拉夺冠，但理智上还是推荐了西班牙，收！,3,2019-09-15 23:01
@Mr_Shanks,,恭喜斗牛士了,1,2019-09-18 06:55
@第二个半价吗,,红色的...金色的...我哭了,6,2019-09-15 22:40
@WFendiman,,上一场搞定了澳大利亚，西班牙就是我偶像了，恭喜,4,2019-09-15 23:11
@玉中石_,,这哥们有前途……还知道要科比签名 评论配图,12,2019-09-15 22:41
@猴爸,,恭喜西班牙夺冠！ 同时祝贺小加索尔剑指双冠，三个月内拿下NBA总冠军和世界冠军两项至高荣誉，这个夏天他可能是世界上最幸福的篮球运动员了,2,2019-09-16 02:17
@王大小姐1122,,图片评论 评论配图,1,2019-09-16 01:25
@YTDBH,,最好的球队获得最后的冠军,0,2019-09-15 23:46
@大威少007,,从彩票的角度来说，西班牙和菠菜机构双赢，中国男篮只是陪衬罢了~,1,2019-09-16 13:32
@一只追狼的兔子,,西班牙  体育为啥这么强  ,0,2019-09-16 11:04
@足球少年赵本山,,牛逼,0,2019-09-16 05:39
@FJG19931213,,恭喜！,0,2019-09-16 01:35
@仗剑走天涯0001,,这个解说是谁？有没有觉得很烦人,1,2019-09-16 06:29
@Song香水,,加油加油,1,2019-09-16 00:17
@大胆非狂徒,,幸好没跟中国队碰上，不然周琦郭艾伦双子星2v5都能打爆你西班牙队！,1,2019-09-15 23:25
@渣男队长_,,真羡慕人家国家的球迷 无奈我们有#李楠# 和#周琦# 两位大神,0,2019-09-15 23:13
@奔跑吧炒冰,,西班牙人拿了冠军就得意忘形了，竟然目无法纪去拆篮网！,1,2019-09-15 23:10
@MrH雨露,,,0,2019-09-16 22:12
@青水函,,西班牙大球都厉害,0,2019-09-16 16:21
@等一个人9cd,,,0,2019-09-16 06:01
@只愛維他檸檬茶,,,0,2019-09-16 02:18
@思维斯,,男篮无缘奥运会,0,2019-09-15 23:28
@幸福LUCK2016,,漂亮,0,2019-09-15 23:26
@陌路丫MLY,,。,0,2019-09-15 23:17
@无苇何以航,,为啥人家足球篮球都这么厉害啊,2,2019-09-15 23:16
@念旧的人爱听老歌,,我觉得中国队可以上韩德君这种体格的人打一打……,0,2019-09-15 23:10
@田卓睿呀,,这一届世界杯认识了很多球员，西班牙的卢比奥，阿根廷的斯科拉，塞尔维亚的7号神射手波格丹诺维奇(3分9投8中卧槽)，捷克的萨托兰斯基。见识了他们一次次精妙的配合与传球学到了很多，啥也别说了为他们鼓掌,0,2019-09-15 23:08
@加油林星宇,,特喜欢卢比奥，西班牙实至名归。,0,2019-09-15 23:08
@AirIsAir,,为什么腿都这么细，不应该有很多肌肉嘛,0,2019-09-15 23:02
@谢利强,,甜甜,0,2019-09-15 22:52
@上帝的左手-17,,恭喜西班牙，阿根廷明年再来！,0,2019-09-15 22:48
@PS3保罗,,足球篮球都是世界冠军,1,2019-09-15 23:26
@我也要成为扛把子,,原来西班牙是足球篮球都厉害的国家,0,2019-09-16 02:35
@PIGBOY杨胖胖,,那个谁，下巴被奖杯顶了一下,0,2019-09-16 02:08
@Mr7潇先生,,人家足球好篮球也好 我们足球烂篮球也烂,0,2019-09-16 01:05
@再吃一颗爸爸啊,,我好想念加索尔,0,2019-09-16 01:05
@Swiftttttttt,,举杯的时候打到队友了 哈哈哈,0,2019-09-16 01:00
@不算苦口的药,,06年，西班牙夺冠，梦三08年全胜大比分复仇！20年奥运会美国会组下一只梦之队么？,0,2019-09-16 00:51
@Patentman专利大大大侠,,牛角打钻石，李楠早已看穿了一切,0,2019-09-16 00:06
@三千弱水我硫酸,,小加人生赢家,0,2019-09-16 00:00
@阿米菠萝,,祝贺！每个球员都在维持传统，为国争光。奉献自己的力量！,0,2019-09-16 00:00
@树风的诗和远方,,不是美国？,0,2019-09-15 23:49
