User,Reter,Comment,Votes,Time
@浅筱言713,,不止我一个人在家躺了三天吧,4435,2019-09-15 19:12
@猪猪女孩生活Y,,上班度过,1843,2019-09-15 19:12
@MY闫小九,,表示没放假,1125,2019-09-15 19:12
@捏捏烊,,军训,1140,2019-09-15 19:13
@别吻我臭流氓,,羡慕，出去玩挺贵的，我有点舍不得。真希望我喜欢的女生带着钱陪我游山玩水，我一定会感动，舍得为我花钱的女生一定是真的喜欢我,313,2019-09-15 20:10
@赵婉婷-婉转天下,,白天上班过 晚上下班跟同事聚餐过,189,2019-09-15 19:14
@罗熙姨母一号番茄酱,,家里躺,223,2019-09-15 19:15
@欧小橘-,,地球不爆炸，医院不放假，医护人员不配拥有中秋假期,169,2019-09-15 19:56
@柚柚柚柚子_白水煮一切,,连续加班三天,63,2019-09-15 19:13
@twilight-1307,,值了一个24小时 回家睡到现在 中秋节过去了,65,2019-09-15 19:14
@牛仔bu盲,,上班使我快乐！,51,2019-09-15 19:13
@亲爱的背锅侠,,上班,36,2019-09-15 19:13
@宋晚风--,,宿舍躺三天，睡到浑身酸痛,26,2019-09-15 20:30
@阿阿阿啊阿瑜,,数学建模,28,2019-09-15 19:55
@可怕的神品,,有没有数学建模的？？,33,2019-09-15 20:59
@工大古惑仔,,军训,30,2019-09-15 19:25
@半瓶子醋的知道分子,,掰棒子,21,2019-09-15 19:18
@谁在熊,,你会发现生活中经常看到47这个数字，而且都像是注定好的,18,2019-09-15 19:13
@不可思议的jack是我,,实在不想出去添堵,16,2019-09-15 19:19
@吃不胖睡不够527,,建模疯了三天,19,2019-09-15 20:52
@此生缺糖,,哪也没去趟了三天,11,2019-09-15 19:13
@微博媒体,,Hi，我已将你的微博收录到新鲜事 今日最热投票 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-16 11:32
@Aprilcff,,上班,8,2019-09-15 19:13
@囧囧宇宙神,,没有加班项吗？,8,2019-09-15 19:13
@李京宾mn,,没有正常工作的选项么,6,2019-09-15 19:15
@猴犀利wohooo,,我在军训,9,2019-09-15 19:31
@Jaszmyfine笑鞍馬煙塵一剎風吹渺,,武功山看月亮，第二天早上风太大雾也大，不过感觉很棒,8,2019-09-15 20:10
@许柠,,假期三天花了大半个月的工资,6,2019-09-15 21:59
@时间会带走的奶奶,,辅修补课,4,2019-09-15 20:43
@冰凌紫蕊123,,宿舍,4,2019-09-15 21:04
@-糖尛果-88782,,在学校军训中度过的,4,2019-09-15 19:45
@亲亲wuli凯凯,,军训,3,2019-09-15 20:03
@阳光下de森林中,,写作业呀,1,2019-09-15 22:00
@渡小鸦198207,,哈哈哈哈3.1万人和我一样躺了三天,2,2019-09-15 20:25
@一朵猫丽,,看了那么多人都躺了我就很开心，找到了同伴,2,2019-09-15 20:02
@陈WEI婷,,趟了三天,2,2019-09-15 19:24
@微颜大大,,工作,0,2019-09-15 19:24
@一个靠谱的好少年,,我们这景区惨不忍睹啊，根本就没有人,2,2019-09-15 19:20
@丁香地雷天线,,大三四天半的假期,1,2019-09-16 00:40
@看到我的话请喊我去学习,,考研狗就不给大家添堵了,2,2019-09-16 00:18
@韵乖乖郭靖哥哥,,没有上班度过的选项？,1,2019-09-15 23:13
@与之梦娟,,我工作了三天，我哭了吗，没有！,1,2019-09-15 22:29
@Ander小幸运,,不好意思，我给大伙拖后腿了,1,2019-09-15 22:01
@丫丫珺丫,,家里带娃！！！,2,2019-09-15 21:57
@Z楼兰937,,考研狗没有假期,1,2019-09-15 21:53
@毛茸茸的是毛毛虫呀,,这里边儿可没有我,1,2019-09-15 21:50
@纳兰阿董,,宿舍躺,1,2019-09-15 21:31
@南街浊酒917,,没有上班的选项？Why？,1,2019-09-15 20:58
@JIXINYAO_,,2.8万人选择在家躺了三天,2,2019-09-15 20:22
@你是闪闪的发光体·,,在家躺三天,2,2019-09-15 20:22
@LiuxrMAX,,上班,1,2019-09-15 20:16
@玺啵啵1128,,在学校呆了3天,1,2019-09-15 22:19
@不想和你玩hum,,我太开心了！不是一个人躺了三天,1,2019-09-15 20:59
@小女兔七七,,我在家里打了三天游戏,1,2019-09-15 20:40
@髙富HonG,,统计标准是什么？？？,2,2019-09-15 20:30
@望舒自清T,,最后一个选择莫名亲切,2,2019-09-15 20:20
@牛哒蹦蹦,,我贡献了三块钱的公交车费,2,2019-09-15 20:17
@这个游戏一点都不帅,,家里蹲,2,2019-09-15 20:13
@阿姨-我中意你女儿,,在家躺了两天,2,2019-09-15 20:04
@赵小美x,,看吧  一放假我国旅游部经济收入就增长  看来应多几个这样的小长假,3,2019-09-15 20:00
@青春总是糊涂555,,我需要休息一下,0,2019-09-17 14:00
@落花如沙细无声,,休息和工作。,0,2019-09-16 09:37
@陈QQ是我哥哥,,工作中度过,0,2019-09-16 06:16
@帅国--,,军训没放假,0,2019-09-16 05:34
@海豚先生K,,躺尸三天,0,2019-09-15 23:45
@李喋喋1211,,军训,0,2019-09-15 23:37
@袁岳,,不简单,0,2019-09-15 23:31
@噫呀玺,,军训军训,0,2019-09-15 23:25
@阿黄想开空调吃拉面喝奶茶,,没赶上车,0,2019-09-15 23:24
@星星lr,,上班,0,2019-09-15 23:19
@小李米粥,,荣幸成为1.05亿分之1,0,2019-09-15 23:02
@飞天小宁仔,,@疯狂的小辫子啦啦啦 其中一员,0,2019-09-15 22:58
@Imastone,,在学校躺了三天,0,2019-09-15 22:45
@凯瑟琳爱吃冰激凌,,那我国庆会被踩死的吧,0,2019-09-15 22:44
@鸭蛋粒,,省内省外自驾游三天,0,2019-09-15 22:43
@2019快还我活力健康开朗柯,,没有加了三天班的选项么,0,2019-09-15 22:31
@观海看世界,,出了个区，往返六十公里，耗时三小时，正好赶上回家午睡。花费650元,0,2019-09-15 22:22
@云深处有彩虹,,那国庆呢,0,2019-09-15 22:19
@不喜欢Money的蟹老板,,我是个穷人，家里供我读书吃饭都已经够吃力了家里哪里还有那个闲钱来去旅游,1,2019-09-15 22:16
@想早起看晨昏的阿爽,,还有9.9万+三天在家躺着,1,2019-09-15 22:08
@今天吃香菇了没,,军训,1,2019-09-15 21:55
@米糊的糊糊,,我值班三天为什么不能有姓名？！,1,2019-09-15 21:31
@史芬快樂,,去了红馆看关智斌演唱会～,1,2019-09-15 21:18
@X沈星月,,#中秋假期1.05亿人次出游# 我参与了@中国新闻网 发起的【这个中秋节你怎么度过的？】，我投给了“在家躺了3天”这个选项，你也快来表态吧~,0,2019-09-15 21:10
@CCCCCMerlin,,正常上班，交通运输行业没假期,0,2019-09-15 21:08
