User,Reter,Comment,Votes,Time
@南亚蝙蝠,,去年在涠洲岛，我们一起八个人，六男两女，四台电瓶车晚上骑着出去玩了，由于有快有慢，我们到住宿地点后还有还有台车没有回，我们去找她们(一男一女)，碰到当地两个人一直叫靓女去玩啊，给那个女同事都吓哭了，后来看我们人多就骂骂咧咧的走了，大晚上还是有点恐怖的，岛上发生点什么你都没办法。,193,2019-09-16 08:00
@杨柏林瑞,,时间很赶？之前网上听说有专门的自杀群，希望政府重视,172,2019-09-16 07:57
@声音,,会不会在人身受到控制时被胁迫写下的呢？？在这里短时间内发生年轻女孩自杀的频率有点密集，感觉上不太对，还望警察叔叔能仔细查查,163,2019-09-16 08:24
@lalisa233333,,评论里，又开始了 抑郁症，自杀，讨厌父母的全跑出来了，这种新闻就不应该放,69,2019-09-16 08:41
@开心Diby,,我觉得最有可能的是这俩女孩被骗去了某个地方！失去了人身自由。到不一定会自杀。花季年华，最好的时光...,49,2019-09-16 08:29
@千与寻谦,,想到去年我一个人带着我女儿去玩，早上为了看日出，大概5点多就醒来了，当地的一个司机开着三轮车载我们去的，一路上天都特别黑，我走到半路的时候，我突然意识到特别的危险，但是幸亏那个师傅人比较好去了一定要找，信得过的人，要不然真的很危险，我事后想起这个事情，我觉得真的是蛮危险的。,55,2019-09-16 08:12
@狐妖妈咪,,所有的父母都以为很了解自己的子女，但是事实却往往令人伤感！！！,39,2019-09-16 07:56
@你冂唯一,,这是有组织的群体么   ？？？,36,2019-09-16 07:55
@glenn_shen_,,这下苦了涠洲岛了。旅游业估计受打击很大吧！,38,2019-09-16 08:26
@brother_gz,,会不会是有个专门网络洗脑的组织？类似于暗网之类的。我觉得公安机关应该联合网络平台好好深挖一下。,30,2019-09-16 09:08
@我的钱都是刮风来的吗,,自杀的话，为什么不能写清楚一点呢。为什么要自杀。或者细写自己遇到什么事情了。就算不自杀，写一写自己出去游玩，准备去什么地方游玩。干嘛要这样疑神疑鬼的行为。让人捉摸不透，人到底干嘛去了。为什么非要留下困惑给大家，让大家提心吊胆,23,2019-09-16 08:09
@深呼吸阳光依旧美好,,回头看不一定有人追，倒像怕被别人看到的样子，真有人追赶应该是疯狂的跑才对，看女孩子跑得问并不是很慌张。,32,2019-09-16 08:12
@迟到公子,,希望网警多多注意下一些自杀群，很可能这个女生加入了这种群，之前就看到一个专刊报道过一位父亲潜入自杀群劝说一些轻生的人。,27,2019-09-16 08:34
@格格股评,,不应该是入了传销，传销需要发展亲戚朋友，这个遗书会被证伪的。但如果不是传销，后果就更严重了,22,2019-09-16 08:24
@网络新手2019,,想到蓝鲸那个自杀,15,2019-09-16 08:32
@Sindy_Rosa,,哪有人写遗书老是在说赶时间！想自杀的人还会被这些虚无的东西束缚吗？难道不应该是“反正我要死了，什么东西都无所谓了，走到哪算哪！只要可以让我安静的离开”,7,2019-09-16 09:30
@lightvon,,人的思想真的有太多的不可捉摸,5,2019-09-16 08:04
@施嘉豪_,,不敢去那边了太可怕了,5,2019-09-16 08:06
@大关_关关,,就是想问一下，有多少父母是真正的能认的自己孩子字迹的,6,2019-09-16 08:38
@都敏俊曦,,不是查手机聊天记录什么都可以知道了吗？从聊天记录找线索,8,2019-09-16 08:25
@G-Infinite43540,,我总觉得不是简单的自杀,9,2019-09-16 08:56
@晓荷1982,,可能有人逼迫,4,2019-09-16 08:29
@第几座灯塔让你心动,,现在的女孩子真不让人省心,3,2019-09-16 07:57
@恍若风干,,这年头当父母真心不容易，心疼爸妈们,4,2019-09-16 09:31
@一饼矛盾论,,坦白说，她反复回头看，不是仿佛有人追赶，而是反过来，她害怕有人靠近自己，自己会暴露，自己的计划会被阻止。（求轻喷，我已经对女孩的去向抱了悲观态度）,8,2019-09-16 08:56
@来pink我呀,,岛上本土村民很彪悍！法律意识特别淡薄！三四十岁的也一样坏！真的真的亲身经历！据他们讲，岛上有岛主！,6,2019-09-16 09:53
@头道汤-李晓,,个人感觉被传销团体控制了，然后逼着写遗书,4,2019-09-16 09:47
@素不素不,,还有一种可能被私人囚禁，看着两个女孩都是八点多失踪，时间线上一样，还在知乎上提了嫁给广西人怎样，说明是被网恋骗过去的，那个瞎说女孩抽烟哭泣的人可以调查一下,4,2019-09-16 08:56
@大大儿童716,,首先排除自杀，大家的智商都在线，哪有那么巧合,2,2019-09-16 18:37
@阿夸没有体力,,恐怕是抑郁症吧，他人眼里的乐观生活都是表象其实内心已经有自杀倾向了，但是自杀的人是不会背着一个笨重的包去自杀的，监控里的她更像是在逃跑。不是该着重调查她们在网络游戏上的好友吗，她们有可能是被不怀好意之人通过网络游戏诱导去那里的,2,2019-09-16 17:26
@无昼无夜不哭,,@广西公安   公安机关，借助腾讯，新浪看看后台浏览数据。,2,2019-09-16 09:09
@浪道侠,,这事背后可能有什么不为人知的秘密，应该严查，查清楚，以防下次再发生类似事件,2,2019-09-16 20:25
@越来越方的小方,,家长不相信会自杀的女儿是你认为了解的女儿，不是何宏宇她自己,1,2019-09-16 09:11
@申0东,,好好的活着不好吗,2,2019-09-16 08:39
@霓寳,,现在只想那两个女孩平平安安的回来!,1,2019-09-16 14:31
@你的仙女茗儿,,所有的评论都在往沟通少、自杀方向引导 遗书多次提到不让妈妈找她 有没有考虑过是被胁迫写下的遗书,2,2019-09-16 12:27
@沽酒罗生九千胜,,不像自杀。遗书提到赶时间，这就疑点很大。而且两个女孩子失踪，肯定有问题,1,2019-09-16 09:29
@在那百花深处,,扑朔迷离,1,2019-09-16 07:51
@洁癖却养了两只掉毛怪,,特别是高考那段时间，父母和我们都很大压力，我们少于沟通，互相不够了解。所以不知道哪一件小事，就是压垮心理防线的最后一根稻草！,1,2019-09-16 10:03
@似浪非浪最浪,,在爸妈眼里我是一个很懂事的孩子 但是我从来没在他们面前装过 我也做过很多胡闹的事很多不可理喻 可是即便是这样他们也觉得我自己知道什么该做什么不该做 很信任我 我不知这样我是不是该开心 就是觉得好搞笑 因为我很能作很不老实也会干过分的事情哈哈哈,0,2019-09-16 08:56
