User,Reter,Comment,Votes,Time
@堂堂晨家大小姐,,真正赶飞机,3363,2019-09-16 11:34
@许老师he黄同学,,这真的是在赶飞机,3157,2019-09-16 19:22
@珈源子,,绝尘而去……,1529,2019-09-16 12:41
@啾啾家的大可爱,,没有点儿体力不配追星,1094,2019-09-16 12:23
@像你一样zz,,跑步的样子好好看,649,2019-09-16 13:25
@熊猫山楂,,他昨天早起赶飞机，晚上又赶飞机回片场,179,2019-09-16 19:23
@何处不相逢ZZ,,一天无锡北京往返，一支MV两首歌加开会，太南了,163,2019-09-16 12:59
@嘉倍宝气,,不懂为什么要追着明星去送机，人家赶时间就让他走呗，自己早点回家干点啥不好,145,2019-09-16 13:35
@陳是Eason的陳,,恭喜许同学又一次凭沙雕热搜哈哈哈哈哈哈哈哈,123,2019-09-16 19:26
@爱洲洲的月野兔,,哈哈哈哈哈帅哥怎么连赶飞机都是帅的？,86,2019-09-16 19:26
@小狮子是底线,,哈哈哈哈 可爱的一群人,57,2019-09-16 11:35
@未来已来UV,,摘掉墨镜＝解除封印,79,2019-09-16 19:25
@我可是宇宙博呀,,我洲啥时候才能摆脱沙雕热搜,68,2019-09-16 19:36
@流水村瀑儿,,看看人家，这才叫“追星”呢,35,2019-09-16 19:15
@搇衣,,噗哈哈哈他怎么这么搞笑,39,2019-09-16 12:23
@Tracy愛啾啾,,,22,2019-09-16 12:35
@黄景瑜的致命wink,,太可爱了,24,2019-09-16 19:24
@陳是Eason的陳,,@加米吖 看这个,16,2019-09-16 19:30
@1119只是啾啾奶瑜的路人啊,,体力不好都不敢追星,19,2019-09-16 17:38
@追忆_惘然,,看一次笑一次,22,2019-09-16 12:17
@然后就不管它,,上次看到许魏洲，我错认成别的明星，喊他，结果他还对我笑笑：你认错人了,18,2019-09-16 20:02
@孤独坚守步履沉沉,,摘掉眼镜加速！嗖的一声就发射了,16,2019-09-16 20:09
@XXX-Gekyume,,洲洲也太可爱了叭哈哈哈,8,2019-09-16 19:34
@有人说啊有人说62,,我先跑一步,15,2019-09-16 19:27
@瑜和洲的爱情故事,,,9,2019-09-16 19:49
@迎风奔跑的妮子,,哈哈哈我也想跟着跑,7,2019-09-16 19:46
@长颈鹿和七小只爱洲喵喵,,这种感觉我体验过,4,2019-09-16 20:40
@misshongstar,,哈哈哈，感觉粉丝快跑吐了,8,2019-09-16 13:53
@非常喜欢小黄丽,,啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈，追星得身体好，跑得快,3,2019-09-16 20:02
@迎风奔跑的妮子,,太可爱了,3,2019-09-16 19:59
@超麻瓜皮皮鸭,,这大概就是真正的“追星”吧！哈哈哈哈 之前还为了配合粉丝慢慢跑，最后实在着急，许魏洲：不好意思，我先跑了,7,2019-09-16 19:31
@周心悦Y,,哈哈哈哈哈哈哈哈我傻儿子 （一天中有一点点时候还是帅的哈哈哈哈哈哈 评论配图,4,2019-09-16 19:25
@羁袅1,,不是他的粉，但觉得他很帅,6,2019-09-16 19:43
