User,Reter,Comment,Votes,Time,Count
@古离塔的风啊,,好看，满屏的青春气息,17,2019-09-17 14:21,1
@八點贰拾叁,,校服模范生,11,2019-09-17 15:02,1
@白兔美人no2,,好看,3,2019-09-17 15:07,1
@一见郑爽就笑,,立夏我本命,4,2019-09-17 14:25,1
@肥肥de小鱼儿呐,,立夏,3,2019-09-17 23:45,1
@蒸老大的小奶糕,,喜欢郑爽，漂亮善良,2,2019-09-18 11:51,8
@蒸老大的小奶糕,,太好看了,2,2019-09-18 11:51,8
@蒸老大的小奶糕,,最爱的女明星,2,2019-09-18 11:51,8
@遇见易遥遇见你,,小爽漫画脸漫画腿，太喜欢啦,2,2019-09-18 08:11,1
@蓝浅喵君,,,2,2019-09-17 23:38,1
@一粒壳壳糖,,超好看,2,2019-09-17 18:23,1
@Soga虚拟,,郑爽,2,2019-09-17 14:56,1
@宇寻墨亦然,,郑爽,2,2019-09-17 14:49,1
@我是洛杉机回来的,,我的小怂夏,2,2019-09-17 14:28,1
@草莓味的蒸小爽,,立夏宝贝,2,2019-09-17 14:25,1
@爱小爽的正版哇,,郑爽,2,2019-09-17 14:24,1
@梁泽英lzy,,郑爽,2,2019-09-18 10:17,1
@lml倆仨,,郑爽,2,2019-09-18 10:12,1
@太阳照着爽,,好看啊,2,2019-09-18 09:33,1
@佳慧188,,郑爽,2,2019-09-18 09:21,2
@乱了感觉blog,,立夏,2,2019-09-17 21:30,1
@微微goodluck,,#郑爽[超话]# 少女爽#郑爽沈晨曦#,1,2019-09-17 20:05,1
@奈何倾城ZS,,好好看,1,2019-09-17 18:32,1
@蒸老大的小奶糕,,郑爽郑爽郑爽,0,2019-09-18 11:51,8
@蒸老大的小奶糕,,我爱立夏,0,2019-09-18 11:51,8
@我这叫呆萌201710,,超好看呀立夏,0,2019-09-19 23:17,3
@挽歌朽悦,,好看好看,0,2019-09-18 16:37,3
@ZBJJ999,,郑爽立夏,0,2019-09-18 12:19,2
@佳慧188,,郑爽,0,2019-09-17 16:35,2
@zs我只想粉你,,她饰演的每个角色都是我的白月光。,0,2019-09-17 16:26,1
@居居sy最可爱,,吹爆这个颜,0,2019-09-17 14:51,1
@爽叉会腰,,郑爽,0,2019-09-17 14:39,1
@人间歌手林俊杰,,怂夏,0,2019-09-17 14:39,1
@苏嘉蔓小甜豆,,郑爽,0,2019-09-17 14:37,1
@孤海星辰123,,好看,0,2019-09-17 14:36,1
@温暖H-,,郑爽,0,2019-09-17 14:35,1
@向真哎老虎油,,郑爽,0,2019-09-17 14:34,1
@童话的时光jn,,我们立夏宝贝真是好看,0,2019-09-17 14:32,1
@美妮泡泡糖,,立夏呀,0,2019-09-17 14:26,1
@天才有点神经质,,怂夏,0,2019-09-17 14:25,1
@蒸小易,,小怂夏超美,0,2019-09-17 14:24,1
@初心最love大壳,,青春,0,2019-09-17 14:23,1
@愿唯你眼若星辰,,立夏,0,2019-09-17 14:21,1
@爽宝爽宝爽宝,,,0,2019-09-17 14:20,1
@大壳的小小壳,,怂夏,0,2019-09-17 14:20,1
@独自等待316,,郑爽,0,2019-09-17 14:19,1
@这世界那么hey,,美,0,2019-09-18 09:22,1
@温_Rachel,,真的是太好看了,0,2019-09-17 17:23,1
@我是星儿阿,,小仙女,0,2019-09-17 15:46,1
@会爆炸的大夏天,,奈何想不到都快要奔三的人啊,0,2019-09-18 09:10,1
@王甜甜洗洗睡吧,,漂亮姐姐,0,2019-09-17 23:34,1
@羊羊羊羊儿咩咩叫,,漂亮,0,2019-09-17 22:33,1
@每一天ta啊,,,0,2019-09-17 22:30,2
@languifang_,,立夏,0,2019-09-17 21:25,1
@i王昭君,,这漫画腿酸了,0,2019-09-17 20:35,1
@何为睿智,,真爽 郑爽,0,2019-09-17 19:59,1
@佛山柏豪条女,,郑爽,0,2019-09-17 17:35,1
@鳄梨炸炸,,想看小爽肖战组剧cp…,0,2019-09-17 17:09,1
@不负如来不负ni,,好看,0,2019-09-17 16:07,1
@股壳一鲸,,郑爽啊,0,2019-09-17 14:57,1
@思思小小涵,,画风唯美过头不太真实好看确实好看,0,2019-09-17 14:31,1
@大壳家的201811,,美,0,2019-09-17 14:22,1
@Geimiga,,pedro,0,2019-09-18 17:04,3
@特别看好媳妇老郑,,妥妥的,0,2019-09-17 15:09,1
@曳水sama,,她的腿我真的可以,0,2019-09-17 23:29,1
@aump雪儿,,郑爽,0,2019-09-18 11:52,2
@天气总会好起来的,,加油加油郑爽,0,2019-09-18 11:14,1
@zb_源远流长,,#郑爽[超话]##喜欢你，不止十年#   立夏的颜就是我心中最纯洁的少女模样[爱你],0,2019-09-17 19:36,1
@我这叫呆萌201710,,超好看呀立夏,0,2019-09-19 23:17,3
@Geimiga,,pedro,0,2019-09-18 17:04,3
@挽歌朽悦,,好看好看,0,2019-09-18 16:37,3
@我这叫呆萌201710,,超好看呀立夏,0,2019-09-19 23:17,3
@Geimiga,,pedro,0,2019-09-18 17:04,3
@挽歌朽悦,,好看好看,0,2019-09-18 16:37,3
@懵钟肯定在一起啦,,,0,2019-09-18 12:57,1
@ZBJJ999,,郑爽立夏,0,2019-09-18 12:19,2
@蒸老大的小奶糕,,#郑爽[超话]#  最喜欢郑爽[心],0,2019-09-18 11:52,8
@aump雪儿,,郑爽,0,2019-09-18 11:52,2
@蒸老大的小奶糕,,喜欢郑爽，漂亮善良,2,2019-09-18 11:51,8
@蒸老大的小奶糕,,太好看了,2,2019-09-18 11:51,8
