User,Reter,Comment,Votes,Time
@Never19940906,,我的大郑州,1,2019-09-17 14:53
@孤岛it,,加载不出来啊,3,2019-09-16 20:34
@灵韵相伴,,最美的牡丹花,0,2019-09-16 20:40
@来自白羊座的蓝色男孩,,大河南是不鸣则已，一鸣惊人,1,2019-09-17 14:13
@来自白羊座的蓝色男孩,,通过这次运动会，我觉得河南真的很棒,2,2019-09-17 14:10
@来自白羊座的蓝色男孩,,你想象的样子是什么？,0,2019-09-17 14:10
@来自白羊座的蓝色男孩,,要是刘浩然能回来为民族运动会助把力多好,0,2019-09-17 13:57
@来自白羊座的蓝色男孩,,出彩河南，活力郑州,1,2019-09-17 13:50
@小纠结反反复复大未来矢志不渝,,,0,2019-09-17 07:54
@猫哥大大大大,,没参加，但超棒,0,2019-09-17 07:42
@灵韵相伴,,这实力杠杠的,0,2019-09-16 20:38
@灵韵相伴,,实际的河南,0,2019-09-16 20:38
@灵韵相伴,,黑河南的好好看看,0,2019-09-16 20:37
@孫清同學,,好,0,2019-09-16 20:36
@灵韵相伴,,节奏真美,0,2019-09-16 20:36
@灵韵相伴,,真好看,0,2019-09-16 20:35
@灵韵相伴,,好看,0,2019-09-16 20:35
@柔情止水,,必须棒,0,2019-09-16 20:35
@大李子小栗子,,解说我服了,0,2019-09-16 20:33
@大李子小栗子,,这解说,0,2019-09-16 20:30
@大李子小栗子,,28,0,2019-09-16 20:16
@大李子小栗子,,熄灭了,0,2019-09-16 20:16
@金色九月初,,26,1,2019-09-16 20:16
@枫言lm,,25,0,2019-09-16 20:16
@大李子小栗子,,23,0,2019-09-16 20:15
@大李子小栗子,,22,0,2019-09-16 20:15
@大李子小栗子,,21,0,2019-09-16 20:15
@大李子小栗子,,20,0,2019-09-16 20:15
@大李子小栗子,,19,0,2019-09-16 20:15
@大李子小栗子,,18,0,2019-09-16 20:15
@大李子小栗子,,17,0,2019-09-16 20:15
@大李子小栗子,,15,0,2019-09-16 20:15
@大李子小栗子,,14,0,2019-09-16 20:14
@大李子小栗子,,13,0,2019-09-16 20:14
@恒者久大者强,,地铁上报道！,0,2019-09-16 20:14
@大李子小栗子,,12,0,2019-09-16 20:14
@大李子小栗子,,11,0,2019-09-16 20:14
@大李子小栗子,,10,0,2019-09-16 20:14
@柔情止水,,河南郑州金水报道,0,2019-09-16 20:14
@恒者久大者强,,9,0,2019-09-16 20:14
@大李子小栗子,,8,0,2019-09-16 20:14
@大李子小栗子,,7,0,2019-09-16 20:13
@恒者久大者强,,举办的时间真好！,0,2019-09-16 20:13
@大李子小栗子,,6,0,2019-09-16 20:13
@大李子小栗子,,5,0,2019-09-16 20:13
@高惟肖,,河南最棒哇⊙ω⊙,0,2019-09-16 20:13
@大李子小栗子,,4,0,2019-09-16 20:13
@柔情止水,,嗨起来,0,2019-09-16 20:13
@大李子小栗子,,3,0,2019-09-16 20:13
@大李子小栗子,,2,0,2019-09-16 20:13
@大李子小栗子,,1,0,2019-09-16 20:13
@灵韵相伴,,大河南。真好,0,2019-09-16 20:13
@柔情止水,,没人看？,0,2019-09-16 20:13
@无为自然song,,大郑州加油！,0,2019-09-16 19:56
@夜华君1920,,闭幕式?,0,2019-09-16 19:47
@金牛座Monica,,优秀的韩宇,0,2019-09-17 20:49
@Ericaca97,,全国少数民族传统体育运动会The Traditional Games of Ethnic Minorities,0,2019-09-17 10:37
@阿云云云儿呐,,真的很棒,0,2019-09-17 08:05
@现在ilx,,棒棒哒,0,2019-09-17 08:01
@MIYASSAR-BDRD,,闭幕式躺在酒店看直播呢CCTV5,0,2019-09-16 20:14
@晶_back,,那是谁啊，黄衣服的,3,2019-09-16 20:26
@阿笙dr,,棒呆！！！！！！河南棒呆！郑州棒呆！！！！,1,2019-09-17 08:51
@J素色锦年,,有我的同学参加,1,2019-09-17 08:46
@起啥名字了,,这次是最没有曝光率得运动会 关注量少的可怜,2,2019-09-17 07:53
@连鹏达,,应该让李健来唱,1,2019-09-16 20:31
@杼侑,,大河南真的很棒，大郑州出彩,0,2019-09-17 12:49
@喜欢你sjn,,加油 奋进新时代，中原更出彩,0,2019-09-17 10:55
@亦心以沫2013,,先转再看,0,2019-09-17 10:24
@根号下的喵,,韩宇，你又优秀了！,0,2019-09-17 09:11
@根号下的喵,,胖宇，好帅啊！,0,2019-09-17 09:10
@根号下的喵,,胖宇开启新技能,0,2019-09-17 09:09
@女子不才是夏天,,不错不错，可惜没抢到票,0,2019-09-17 08:30
@林羁,,于是乎，咱们军训开始了,0,2019-09-17 08:21
@浪花199403,,全运会，各民族团结的盛会，全民族大联欢。,0,2019-09-17 08:02
@啊妍妍妍呐lli,,为河南骄傲,0,2019-09-17 08:01
@浪花199403,,全民族盛会让河南走向世界，世界了解河南。,0,2019-09-17 08:00
@董晓歌800,,棒,0,2019-09-17 07:58
@浪花199403,,好美的节目，好漂亮的舞台。,1,2019-09-17 07:57
@浪花199403,,为郑州的热情服务点赞。,0,2019-09-17 07:56
@浪花199403,,活力新郑州，点赞新时代！,0,2019-09-17 07:55
@凯旋而singing,,开幕式热搜没持续多久，闭幕式这么嗨,0,2019-09-17 07:50
@蓝尾糊糊,,什么时候开幕的？,0,2019-09-17 07:47
@紫非鱼焉知,,棒棒哒,0,2019-09-17 07:46
@戴大领,,好好好,0,2019-09-16 20:36
@戴大领,,真好真好,0,2019-09-16 20:36
@戴大领,,越来越好,0,2019-09-16 20:36
@戴大领,,真的好,0,2019-09-16 20:36
@戴大领,,太好啦,0,2019-09-16 20:36
@戴大领,,好好好,0,2019-09-16 20:36
@连鹏达,,有点爱乐之城的感觉,0,2019-09-16 20:33
@你的小朋友啊啊啊啊啊,,这谁啊,0,2019-09-16 20:31
@连鹏达,,以为是大张伟,0,2019-09-16 20:28
@湳外W,,同问,0,2019-09-16 20:28
@杨琪琪琪呀,,同问？,0,2019-09-16 20:28
@二郎腿x,,加一问,0,2019-09-16 20:27
