User,Reter,Comment,Votes,Time,Count
@左右江南,,这个辣鸡开发商,4473,2019-09-18 11:54,3
@放空黑与白,,精装修水特别深，千万不要买精装修的,2634,2019-09-18 11:58,1
@axz52007,,作为业内人员，强烈要求国家取消精装房，恢复清水房。开房商和装饰公司，沒一个有良心的。开房商以精装提高房价，材料上压装饰公司，装饰公司只有愉工减料。以后问题会更多。,2688,2019-09-18 12:25,1
@晨曦下的守望者,,中国老百姓真不容易，好不容易买个房子各种各样的问题，维权还那么难。,1985,2019-09-18 12:09,1
@哈罗MrFu,,之前看过一篇文章，说最近几年内要爆发业主维权潮………,906,2019-09-18 12:02,1
@旭风005,,二十几年的房地产大牛市，开发商已经被惯坏了，就是推出一堆臭狗屎也会有炒房者疯抢，当然不会用心造房子。,559,2019-09-18 12:09,1
@Mini_Liuuu,,武汉房管局只管出政策，没有任何的监管，现在弄成这样的房子，谁的过错？？？现在让老百姓全部买单，而且是全款。2000一平的装修就是这样的 ，可想而知   武汉的开发商 赚了多少黑心钱！！！！绿地只是一个缩影，应该是所有的武汉的开发商全都是一个样字。各位网友如果不信，可以去“武汉城市留言板“,575,2019-09-18 13:18,1
@摇乐乐11,,作为曾经是相关从业者的本人劝大家千万不要买精装修说是精装修其实都是赶工装修，墙纸乱贴，地板没扫干净给你铺地板一踩就像她这样灰往外冒，家里各种地方都会有磕碰，地漏堵塞，电线信号线乱走，厕所都被工人用过还有残留，问题再多开放商也不可能给你退房，做这行当的真的是昧着良心才干的下去,332,2019-09-18 13:02,2
@珊珊晓迷糊,,实际可能500一个平方,231,2019-09-18 11:55,2
@VANILLA_七色,,辛苦一辈子，还几十年的房贷，就为买一个烂房子。,154,2019-09-18 12:18,1
@喝可樂的剪刀手,,这房子说实话得全刨了重新做防水，铺管改水电不然时间长了还是会出各种问题。毛坯房自己装还得时刻盯着装修队别说这种了。,147,2019-09-18 12:08,1
@十七快快走,,整个武汉的精装修都变成了惊装修，真是黑心,121,2019-09-18 11:55,1
@纪录片之王,,这个辣鸡开发商,79,2019-09-18 11:53,1
@三三良要玩的日常,,不懂为啥要哭,50,2019-09-18 11:55,1
@一越月,,2000一平还不如自己装,67,2019-09-18 11:56,1
@潜行2015,,精装修就是个大坑，可是各大中城市都在强推，出政策的都是250,64,2019-09-18 12:53,1
@单枪破双枪,,这个品牌好像质量很不好，经常有纠纷。,51,2019-09-18 11:59,1
@本宫闺名嬛嬛MY,,我就是这个小区的业主，真是验房的时候气死人，投诉无门，投诉无效，希望有关部门能帮忙解决,58,2019-09-18 13:58,1
@-刘书浩-,,欺负人呢,46,2019-09-18 11:55,1
@胜达世界,,军运过后，必有大规模维权活动，以恶惩善，天理不容，大伙要万众一心，舍得时间，敢于维权，实干兴汉，不干毁家，精装一日不解决，百姓命运不如鳖。声讨武汉市委书记，敢出面么？有这个气魄么？能解决全武汉精装修一事么？让千万百姓花光积蓄还住不成房子，怎么还能当一个书记？敢深入群众么？,43,2019-09-18 14:34,1
@哈尔滨李琳,,理想城？？？？？？,35,2019-09-18 11:54,1
@TGdad,,门口一碰就掉 评论配图,41,2019-09-18 14:21,2
@幽冥魔方,,武汉在房地产坑钱方面真的是  敢为人先，追求卓越 努力践行自己的口号,36,2019-09-18 12:57,1
@混金坛的恋米baby,,我们汉南绿地城现在正在诉讼期间，4月8日开庭时，我方律师在庭上要求绿地城对提出诉讼的50户业主家停止装修，绿地城不理会，我们多次去找法院，法院说对方不执行没有办法，截止今天有业主家都开始走线了，我们业主投诉无门，等官司结束了，装修都完成了，我们打这个官司还有何意义,32,2019-09-18 14:50,1
@LinBaoTianShan,,如果强制精装修就是耍流氓！！,31,2019-09-18 12:18,1
@云龙炸虾,,高价拍地，取得开发机会，后期转嫁给消费者就好，但是也不能太高。低价建房，不让房价过高，太高卖不出去。,30,2019-09-18 12:00,1
@ctinyj,,杭州之前有个绿都的盘，闹得也挺凶的。六千的装修标准，跟这个差不多吧。,30,2019-09-18 12:20,1
