User,Reter,Comment,Votes,Time,Count
@我爱祖国爱家人O,,一定不要谈恋爱了,58,2019-09-18 20:29,1
@魏婴要干嘛,,没有精心打扮自己,39,2019-09-18 20:31,1
@星愿66,,如果时光能够倒流那该多好啊！！ 评论配图,37,2019-09-18 20:31,1
@花儿爱乖乖鼠,,如果重回大一一定把会计学学的很精很厉害,30,2019-09-18 20:30,1
@大概有趣z,,真的特别后悔，现在忙着找工作，每天醒来都是迷茫 评论配图,22,2019-09-18 20:28,1
@321喜欢晴天,,有一个更好的生活状态,15,2019-09-18 20:33,1
@锅锅要变白哦,,那我一定要多做一些事情，不要太颓废了 评论配图,10,2019-09-18 20:29,1
@李荣川_,,好后悔我大一过得那么颓废呀！,5,2019-09-18 20:33,2
@丶贾温暖,,后悔的事情有好多啊，一定要努力 评论配图,2,2019-09-18 20:32,2
@勇敢的aUnion,,我最后悔的是就是没跟喜欢的女生表白,5,2019-09-18 20:29,2
@鸿儒09,,我会在军训时就找个男朋友,2,2019-09-18 20:40,2
@水手庞蹄花,,一定不要再谈恋爱了，不要再认识那个人！,2,2019-09-18 20:55,1
@阿居呆叒呆,,不交学费 买了机票回家,1,2019-09-18 20:40,1
@无语的呵呵oc,,好好规划自己，绝不在寝室浪费时光！！！,2,2019-09-18 20:31,2
@IG的Jackylove,,后悔没有做任何规划，现在还要重头规划自己的人生。 评论配图,1,2019-09-18 20:38,2
@Bo爷的小宇宙,,不辜负那个女孩 其他的学业 前途 统统不要,1,2019-09-18 21:29,1
@Artemis_想念,,好好考证书，不再喜欢他,1,2019-09-18 20:46,1
@夏冰凉心冬冰寒心,,精心打扮自己 评论配图,1,2019-09-18 20:48,1
@离不开的是人心0,,后悔自己当初没有目标，一直熬着时间的过日子,3,2019-09-18 20:39,1
@Couisini,,好好过好每一天！这个很重要，没什么好迷茫的,1,2019-09-18 20:45,1
@谁的臧大大,,我觉得我没什么后悔的，可能是大一刚过完想不起来,1,2019-09-18 20:39,2
@dalovelin,,后悔的事情好像有点多，回到大一我一定利用假期四处游玩 评论配图,0,2019-09-18 20:37,2
@今天也胡吃海塞了吗,,提醒我爸骑车记得带头盔，这样他就不会出车祸了,2,2019-09-19 09:51,2
@Wu_____LY,,没多搞几个对象,1,2019-09-18 21:09,1
@哦豁小弟,,还是多参加社团 比赛 加入学生会 评论配图,2,2019-09-18 20:32,1
@Carbokai,,退学！,0,2019-09-23 01:44,2
@两个人39877,,。,0,2019-09-19 06:28,2
@Ma-scara,,退学回去复读,0,2019-09-19 00:04,2
@Ni的sugar_,,好好读书吧 期末考还是蛮重要的 可以拿奖学金,0,2019-09-18 23:41,2
@我于北,,没有以上所有,0,2019-09-18 23:15,2
@凉风有信1235,,卖血也要买房,0,2019-09-18 23:07,2
@傻瓜刘海,,换专业！,0,2019-09-18 21:55,1
@橘子是橙子开出的花,,退学复读,0,2019-09-18 21:14,1
@民民不乖,,没上过大学,0,2019-09-18 21:13,1
@泡椒糖糖儿,,我会狂甩霸凌我的室友一耳光,0,2019-09-18 21:12,1
@叽叽叽咕咔,,早点和三观不正的舍友闹翻,0,2019-09-18 21:03,1
@会飞的cz敩,,退学复读,1,2019-09-18 21:02,1
@美特乐了了00,,不要认识张少岳 不要报驾照 不要去面试 不要随便交盆友 不要和任何人说话 去找赵 和她住,1,2019-09-18 20:59,1
@希澈宝贝么么哒,,让我回到一年级好不好,0,2019-09-18 20:59,1
@芒人_,,本来就读的不是自己喜欢的学校喜欢的专业，所以，感觉做什么都无所谓了,0,2019-09-18 20:53,1
@凉_汐_,,把大学做的的全都不做，远离那些人,0,2019-09-18 20:53,1
@温润如玉朱公子,,嘻嘻 做最真实的自己 不会后悔,0,2019-09-18 20:51,1
@冰可乐的,,我现在连工作都没有，迷茫要死，赚了两万的存款，现在去三亚玩，不知道回来了怎么办,0,2019-09-18 20:47,1
@时过境迁万事休,,去自己想去的地方，爱自己，爱自己所爱的人,0,2019-09-18 20:47,1
@那个女孩是迪哥,,换个专业   宿舍的事太多了  太在意的事太多了  失望的事太多了  我就是那个在甄嬛传里第一集就死的人,1,2019-09-18 20:45,1
@李小咖ca,,最后悔的就是没有上大学，没有感受到上大学的时光，如果可以，我愿听妈妈的话去上学,0,2019-09-18 20:44,1
@BALAABIGDEVIL,,大1？？？,0,2019-09-18 20:43,1
@酒足饭饱也痛苦,,没有买房啊！不然现在就自由了。,1,2019-09-18 20:39,1
@你的碗呢,,高数上下不想挂掉了,0,2019-09-18 20:39,1
@迢迢古风悠悠君心,,一定要活的更精彩,0,2019-09-18 20:35,1
@谢柚子i,,规划好要做的事情 不让时间荒废 大一真的过的太迷茫了,0,2019-09-18 20:33,1
@凹凸曼JJ-Jans,,256！认真的！,0,2019-09-18 21:24,1
@爱与时光的歌颂者,,必须是玩命借钱炒股啊，炒到大二下学期全抛了，然后等到大学毕业时全都付首付再贷款买房,0,2019-09-18 21:15,1
@取个名字这么难1234,,没有给喜欢的学长表白,0,2019-09-18 21:12,1
@墨墨墨莫陌,,不要认识他,0,2019-09-18 21:08,1
@小北鼻卟会笑,,得罪了不该得罪的老师 保研被各种黑幕拉下水 从来不敢想自己大学会碰到这样的老师 对学校只剩下失望 绝望,0,2019-09-18 21:05,1
@就要亲亲抱抱举高高嘛DAYTOY,,退学，重读,0,2019-09-18 21:01,1
@任阿嫩啊,,一定跟当时的男朋友（现在是我老公了！)好好谈恋爱！当时超级懒 爱窝宿舍不出门,0,2019-09-18 21:00,1
@源来是你1222,,转发微博,0,2019-09-18 21:00,1
@策二爷,,没读过大学,0,2019-09-18 20:48,1
@赴一场十年之约i,,后悔没有给自己的大学生活奠定一个好的基础,0,2019-09-18 20:41,1
@野柚木,,多做爱,0,2019-09-18 20:41,1
@基地李政委,,我就不一祥了，我没有读过大学,1,2019-09-18 20:44,1
@石榴子儿儿,,后悔没有照顾好自己的身体,0,2019-09-18 22:30,2
@安晶080,,我后悔就是没有好好玩,0,2019-09-18 21:20,1
@firefly_20609,,惊醒梦中人,0,2019-09-18 21:20,1
@sygdaccount,,谈恋爱,0,2019-09-18 21:10,1
@我想静静已被注册01,,多看书,0,2019-09-18 21:09,1
@Simon·Song,,找个女生好好干一次,0,2019-09-18 21:05,1
@JulesGary陈光桦,,多买点比特币，然后换成房子,0,2019-09-18 21:05,1
@芫荽618,,嗯 退学做买卖,0,2019-09-18 21:03,1
@小狐仙的胡萝卜,,退学，重考,0,2019-09-18 21:03,1
@00o小静o00,,大学无悔。书也读了，社团也参加了，证也考了，各种比赛也参加了，社会实践也做了，拖也拍了，该追的剧也追了，也没强迫自己合群，挺好挺好，不负时光,0,2019-09-18 21:02,1
@你是我的牛头梗,,如果回到大一，一定要学护理专业，不学会计专业,0,2019-09-18 21:02,1
@我是洋气的,,别剃光头啦！！趁谢顶之前，多拍几张照片。,0,2019-09-18 21:01,1
@麆儞,,谈一段恋爱,0,2019-09-18 21:01,1
@秀幸君,,我想回6岁，所有的一切重新开始,0,2019-09-18 21:01,1
@汤小咸-,,几乎全中，浪费时间，专业一般，努力融进自己本没有那么喜欢的圈子。,0,2019-09-18 21:00,1
@放养式姑娘B-Tin,,谈恋爱,0,2019-09-18 21:00,1
@yh呜啦啦,,不合群……独来独往,0,2019-09-18 20:59,1
@培根小顽固,,4和7,0,2019-09-18 20:45,1
@钮祜禄·三弟,,拼命挣钱吧,0,2019-09-18 20:40,1
@sillycatdrinktheMilkyWay,,进戏剧社,0,2019-09-18 20:40,1
@毒狗001,,回到大一的话我肯定不要再耍朋友了,0,2019-09-18 20:32,1
@狗粉丝女德丶,,其实这种东西只有回首过去把握未来，就好像过十年后再问十年前重来会如何一样,0,2019-09-18 21:19,1
@我想做一辈子小朋友,,全中……,0,2019-09-18 21:20,1
@猫猫猫头鹰呀,,重回大一    没有及时退学复读,0,2019-09-18 21:17,1
@可爱哒凡凡哒,,我会兼职买房,1,2019-09-18 21:16,1
@沁透你生命好么,,去兼职，好好赚钱存钱，毕业之前绝不谈恋爱,0,2019-09-18 21:12,1
@Rrainbow1,,后悔没选对专业,0,2019-09-18 21:06,1
@这老去的思念,,可以好好谈个恋爱。放聪明点。学会怜香惜玉。,0,2019-09-18 21:05,1
@加菲猫20094,,我都后悔，我想回去……,0,2019-09-18 20:59,1
@铁甲小宝冲冲冲,,不要怂到快毕业才给你表白,0,2019-09-18 20:58,1
@一酱要早睡,,减肥,0,2019-09-18 20:43,1
@援y手p抵hI抗,,是真的,0,2019-09-18 20:35,1
@Mr_杜某某_,,没有买一堆房子或者地@幸福de女奴er,2,2019-09-18 20:35,1
@zXg恣肆拆X零,,,1,2019-09-18 20:34,1
@Carbokai,,退学！,0,2019-09-23 01:44,2
@今天也胡吃海塞了吗,,提醒我爸骑车记得带头盔，这样他就不会出车祸了,2,2019-09-19 09:51,2
@light_the_fuse,,我喜欢她，我会追求她，而不是像现在这样错失了无数良机,0,2019-09-19 06:52,1
@两个人39877,,。,0,2019-09-19 06:28,2
@Ma-scara,,退学回去复读,0,2019-09-19 00:04,2
@Ni的sugar_,,好好读书吧 期末考还是蛮重要的 可以拿奖学金,0,2019-09-18 23:41,2
@我于北,,没有以上所有,0,2019-09-18 23:15,2
@凉风有信1235,,卖血也要买房,0,2019-09-18 23:07,2
@石榴子儿儿,,后悔没有照顾好自己的身体,0,2019-09-18 22:30,2
