User,Reter,Comment,Votes,Time
@愿长留望长安,,,9365,2019-09-17 13:10
@冷知识,,百因必有果，你的报应就是我，记得关注么么哒~,4417,2019-09-17 15:41
@夏离纪,,玉帝沉迷于拆散小情侣,12284,2019-09-17 15:39
@投稿,,一个开始一个终止,7525,2019-09-17 13:47
@瀚轩宇洛,,一个牵了红线，一个断了尘缘,7708,2019-09-17 15:27
@对象,,我晕！他俩是一对！那谁跟我是一对？！,3697,2019-09-17 15:42
@别吻我臭流氓,,我觉得两个极端真的很容易有火花，就是像一娇弱小男生就喜欢霸气女孩子,1747,2019-09-17 15:21
@草莓味仙吉,,我想到了玄七和十九揶,1767,2019-09-17 15:31
@咳咳咳咳KK,,所以月老的红线越来越多 就是想牵到孟婆啊,1158,2019-09-17 15:21
@摇不摇0不摇0滚,,所以老婆老婆 始于月老 止于孟婆,1122,2019-09-17 15:51
@沐浴兰芳,,月老爷爷啊  你睁睁眼吧  看看我 单身26了  救救我吧,673,2019-09-17 15:46
@幸然南风知我意,,我感觉月老孟婆现在都很闲啊 （不光是痴男怨女少了 连线都懒得牵了 月老你看到我消息记得给我牵线） 评论配图,385,2019-09-17 15:52
@奶萌草莓婧,,能拍戏吗，我天天追,400,2019-09-17 15:55
@拿着鸡腿的小瘦子c,,月老以为终有一天有那么一根线会把自己和孟婆牵到一起。而孟婆也以为终有一天会熬制出可以使她忘记月老的奇汤...,329,2019-09-17 16:20
@姆姆顶天立地,,玉帝和王母娘娘是不是每天没事干，专门拆散小情侣,277,2019-09-17 15:47
@在霍格沃茨吃芝士,,姐妹们 快看！！！！我们可以磕新的cp了,202,2019-09-17 15:37
@你的Doris_,,玉帝有点不厚道啊 自己能娶妻生子不让别人谈情说爱,147,2019-09-17 15:45
@凉文欧尼酱,,之前看过一句话，说为什么要叫老婆，因为缘是从月老的老到孟婆的婆。,165,2019-09-17 16:20
@智齿拔不拔y,,一个在天上掌管姻缘 一个在地下斩断情丝,109,2019-09-17 15:33
@诗侠大人,,神话故事里玉帝和王母娘娘就没做过一件好事,97,2019-09-17 16:18
@菊香小姐,,孟婆 和 月老？难道是年轻版的牛郎织女？？？,78,2019-09-17 15:30
@蛋蛋后的小吃货,,一个缘起，一个缘灭，and玉帝真的是拆cp专业户,52,2019-09-17 16:40
@王啊豆啊豆,,上穷碧落、月老执红线、定宿命姻缘 下极黄泉、孟婆煮浓汤、解三世执着,64,2019-09-17 16:22
@可爱的天天小朋友,,之前看过一本小说，讲的就是月老喜欢孟婆的，不过忘了小说名字了,39,2019-09-17 16:23
@陈诺橙nora,,孟婆：煮汤煮汤 月老：牵线牵线,37,2019-09-17 15:46
@我的唯C--Vin,,电视剧可以安排了,35,2019-09-17 16:18
@阿栓来啦,,？？？？真的假的？？？？？其实我总是看到说他们两个是一对的YY，但我一直觉得这种说法就是乱讲的,24,2019-09-17 16:19
@咩咩村村长,,一个牵了红线，一个断了红尘,17,2019-09-17 17:16
@puraurora,,孟婆变成了孟婆。emmm 不然呢哈哈哈,21,2019-09-17 13:29
@上课刷微博的黄少侠同学,,他们的工作一个使人忘却前尘，一个却使人有了羁绊,15,2019-09-17 17:15
@eva-瑜心,,月老明知孟婆在忘川发孟婆汤，居然不再去找孟婆？,8,2019-09-17 17:20
@相柳1012,,玉帝太坏蛋了,9,2019-09-17 15:31
@半日闲xxx,,这个人设也太太太太太好嗑了吧！！！kswlkswl,5,2019-09-17 16:17
@honeycat2000,,我想做孟婆,4,2019-09-17 16:57
@懿小妞yomi倓小姐,,这个世界上的故事，都好玄幻啊,7,2019-09-17 16:21
@喵小易,,@Shenqqqi_ 这个有意思,1,2019-09-17 17:18
@承认吧我是仙女,,一个牵了红线，一个断了红尘,6,2019-09-17 16:01
@一米九的小叔叔·,,从月老开始到孟婆结束所以叫老婆,5,2019-09-17 15:58
@阿曼_kk,,牵一辈子线你牵啥呢,2,2019-09-17 16:29
@最辣的生姜,,出自哪个记载？还是人们自己编的？我只是觉得这样把他们两个人拉在一起万一他们其实不是一对呢？那人家不能愿意啊,315,2019-09-17 15:38
@谢左右,,这都是啥 评论配图,261,2019-09-17 12:54
@叔阿汫摄影约拍,,俺还了拍了这个话题呢,24,2019-09-17 16:14
@Kiriyane,,有没有典籍依据？个人觉得冷知识也要严谨,23,2019-09-17 16:08
@大白的宇宙梨梨,,,27,2019-09-17 16:16
@孟婆十九,,我也不知道说什么，给大家劈个叉吧,17,2019-09-17 20:22
@流水村瀑儿,,木子洋洋和邱少华是gay,22,2019-09-17 15:34
@月老玄七,,这是…在助攻？,15,2019-09-17 20:22
@伦恩福戈,,这俩出处都不一样,8,2019-09-17 16:53
@梦里悬空啃萝北,,这些神话故事说白了都是玉帝在搞事,13,2019-09-17 15:38
@尼古拉斯·昱,,一个牵姻缘一个斩情丝 我能脑补一部小说,11,2019-09-17 15:26
@乔木于归Cici,,万丈红尘 缘起缘灭 前世来生 终不再见[傷心],8,2019-09-17 18:31
@萌神耶嘿,,一个教我怎么爱人，一个叫我怎么忘记爱的人,4,2019-09-17 15:34
@有一种治愈叫Happy,,@哈密瓜儿王子,1,2019-09-17 16:40
