User,Reter,Comment,Votes,Time
@一個隔壁小姊姊,,十天？度假,2561,2019-09-18 08:17
@我只是个出周边的,,这种人都是垃圾，比如那几个撞羚羊的,1438,2019-09-18 08:17
@北京微整形_孙医生,,判决再人性化一点，判俩人开快艇互相拖！,1344,2019-09-18 08:31
@SUNNYZHONG233,,十天而已啊，这些垃圾其实也可以把他也吊在游艇后面让他冲一冲,800,2019-09-18 08:30
@l30639,,怎么美国人素质不是中国人的灯塔吗？,203,2019-09-18 08:17
@情感小马丁,,国籍一换，评论过万。,245,2019-09-18 08:18
@自渡过吗,,在中国这种行为能判几天？,56,2019-09-18 08:24
@或许今天你学习了吗,,10天根本不长记性,69,2019-09-18 08:18
@呆橘科技,,才他妈10天？,46,2019-09-18 10:51
@Precious_Wayne,,让鲨鱼拖他十分钟就好,30,2019-09-18 10:51
@今天的晚安呢,,总有一天美国会被大海吞噬,18,2019-09-18 10:40
@兔子精--,,十天？度假,21,2019-09-18 08:24
@默默支持就好了,,变态,23,2019-09-18 08:19
@跑步课本007s,,人类野蛮的天性,15,2019-09-18 08:17
@做欧皇的小尾巴,,一条生命就十天监禁，有时候人真的比魔鬼还恐怖,16,2019-09-18 10:20
@玖月柒拾一,,我看成终身监禁了,4,2019-09-18 08:23
@小6毅i,,鲨鱼他妈会来复仇的,8,2019-09-18 11:11
@爱德华爱刷微博,,一看标题大快人心，进来一看，关十天，告辞,3,2019-09-18 11:40
@熊之告白,,可以的，我们一天都不会判,5,2019-09-18 11:10
@安然10068,,人类应该找到适当的方法来宣泄自己的情绪,5,2019-09-18 08:18
@心眼巨大,,才10天,3,2019-09-18 08:16
@愿得一龙心,,建议把这两人绑快艇后面拖,5,2019-09-18 10:54
@可爱小赵的可爱一天,,他们的十天，鲨鱼的一生没了,1,2019-09-18 12:20
@-糖小夕-,,终生监禁吗？,1,2019-09-18 09:55
@落魄研究生的食堂,,10天？10年都不足矣,1,2019-09-18 09:18
@兴杰星科技,,应该把他俩个放水里拖一拖。,1,2019-09-18 08:40
@摩羯座礁石,,拘留十天算什么？应当把他绑在快艇后面。 拖他一次。,0,2019-09-19 01:05
@球球麻麻牛牛媳妇,,这种人下地狱,0,2019-09-18 18:43
@candycanna,,一辈子会得到报应,0,2019-09-18 11:51
@喵仆_琳子lynn,,看来美国法律也不完善嘛……这么恶劣才十天监禁……他们上帝会惩罚他们吗 ,0,2019-09-18 11:34
@呀__小番茄,,犯罪成本太低,0,2019-09-18 11:19
@无聊啊02,,应该判把他们绑在后面用同样的速度跑最后要是他们活下来了就放过他们,0,2019-09-18 11:12
@LESLIEXZ,,这是牲口吗？？！,0,2019-09-18 11:06
@流小檬,,美国人素质好差啊,0,2019-09-18 11:04
@没错我就是王一博的女朋友,,变态,0,2019-09-18 10:51
@陽光下的小狐狸Naomi,,應該先把他們放到海里然後用快艇拖行讓他們感受一下是什麼感覺……再讓他們去關上半個月,0,2019-09-18 10:06
@一株小帝休,,早晚会遭天谴，万劫不复的那种！！！,0,2019-09-18 09:14
@丶说了可乐不加冰怎么还这么凉,,鲨鱼会惨叫吗？可怕……这种人掉进去被吃掉好了,0,2019-09-18 09:12
@呆瓜囖,,。,0,2019-09-18 08:58
@吱哇少女的撸猫日常,,才十天？,0,2019-09-18 08:55
@允柒柒呀,,垃圾人,0,2019-09-18 08:50
@SunSquishyZen,,才十天？轻了点吧！,0,2019-09-18 08:33
@上善若水-Mr-zhang,,太轻了,0,2019-09-18 08:31
@我就是娇娇呀,,美国才是最丧心病狂的国家,2,2019-09-18 11:30
@听水星记的呀,,可以不爱，但不要伤害,1,2019-09-18 14:29
@阿齐爱美食,,才判那么轻？？？动物的命就不是命了，没有人性,1,2019-09-18 11:36
@超级可爱的大能猫,,10天？？？  那我把他两拖在后面，判我10天行不行？,1,2019-09-18 11:30
@以时光为眸5,,死刑没必要，我觉得把他们绑在后面，拉个几分钟就行了。,1,2019-09-18 11:29
@咸鱼和喵酱,,监禁干啥，把他也拖拖不就两清了。古代那种，栓在马屁股后面,1,2019-09-18 11:27
@莲子羹大碗汤,,有钱人的生活就是这么朴实无华，而且枯燥,1,2019-09-18 11:22
@萌萌哒tomato,,怎么没一口咬死他们,1,2019-09-18 09:48
@富二代果儿,,擦擦,0,2019-09-19 08:38
@讨厌的人永远别滚回来,,残忍,0,2019-09-18 22:01
@cc趁你还年轻,,一看快船以为nba又有了大动作,0,2019-09-18 18:41
@苏30soul,,把折磨生命作为娱乐的方式，死后必入阿鼻地狱,0,2019-09-18 17:13
@ay小蔡,,那日本捕鲸呢,0,2019-09-18 15:57
@嬉皮笑脸_,,你试试把他们身上吐上血腥味，丢入大海中，我喜欢看到他们频临绝望大喊大叫的样子，那画面真是太有趣了,0,2019-09-18 14:31
@赞美菌,,还好是人把鲨鱼拖死了，不是鲨鱼把人吃了， 所以人很残忍哈，,0,2019-09-18 13:17
@赞美菌,,还好是人把鲨鱼拖死了，不是鲨鱼把人吃了， 所以,0,2019-09-18 13:17
@我非我么,,十个月也不多，才十天？,0,2019-09-18 12:21
@新华通爱心亭,,真过分，就判十天,0,2019-09-18 12:16
@萨兰德本人,,对不起，我想起了 老人与海 ,0,2019-09-18 12:14
@凉梦颠沛,,十天就可以虐杀一条生命,0,2019-09-18 12:07
@一颗强大的小铜豌豆,,十天，这跟没判有区别吗,0,2019-09-18 12:04
@独得娘娘恩宠MT,,法律就是，你可以吃了它，但是你不能虐待它,0,2019-09-18 12:03
@小破碗er,,没有人性的垃圾,0,2019-09-18 12:01
@KirinKirinboom,,对不起,0,2019-09-18 12:00
@花容月貌我见犹怜,,死刑 死刑,0,2019-09-18 11:59
@天使旅行箱88211,,总有一天他估计也会死在大海里，大自然会惩罚他们的,0,2019-09-18 11:58
@夏特哦特,,有想弄死他们的心,0,2019-09-18 11:43
@mushroom垚垚coming,,10天？呵呵 怪不得命不值钱,0,2019-09-18 11:42
@彩橘蘭hnc,,那日本那些疯狂杀海豚的人是不是应该直接死刑,0,2019-09-18 11:39
@铮爱一生109,,来香港，干什么伤天害理的都可以保释，全世界最民主的地方。放弃美国籍,0,2019-09-18 11:36
@周维vivienne,,才十天 动物的命真不值钱 好生气 没人性,0,2019-09-18 11:33
@船长大人在这里哟,,才十天还管吃？,0,2019-09-18 11:26
@区女王,,判刑太低了。我觉得开快艇拖他们也不行，在陆地上，开车拖死他们！,0,2019-09-18 11:16
@幸运的猪猪女孩是我,,建议扔大海喂鲨鱼,0,2019-09-18 11:15
@eR_Wong,,累死？,0,2019-09-18 11:13
@灭绝大甜甜,,十天？？？？？,0,2019-09-18 11:12
@今天千寻和白龙相遇了吗,,好想拖死他哦,0,2019-09-18 11:09
@马勒个呆,,我们国家的动物保护法还是一步一步来吧，毕竟国家还在发展，人民素质和平均受教育程度还需要个一二十来年提升来做铺垫。,0,2019-09-18 11:09
@钟雨Tian,,十年都不够,0,2019-09-18 11:09
@普林斯基,,这么好的食材，可惜了,0,2019-09-18 11:06
@昕昕芮芮久久,,怎么绑鲨鱼的 也是有点狠,0,2019-09-18 11:03
@闽荣医疗,,美国两男子#开快艇拖死鲨鱼被判监禁#：虐待动物、违反当地动物保护法,0,2019-09-18 11:02
@粥粥粥米尔,,判决未免也太任性了吧,0,2019-09-18 11:02
@晓章宇,,这个世界太病态了,1,2019-09-18 10:58
@妮子小熊2号,,不用10天，请把他们绑上快艇高速拖行10分钟，能撑下来算我输,0,2019-09-18 10:56
@Xxxibshan,,十天实在太少了,0,2019-09-18 10:54
@阿包哥哥,,把这俩货拖快艇后面10天 差不多,0,2019-09-18 10:52
@凭阑日晚的鱼,,这是怎么绑上去的，真他娘是个天才,0,2019-09-18 10:07
@____晚来天欲雪,,,0,2019-09-18 09:51
@小嘴抹了板蓝根,,以取乐为目的的杀戮都应该停止！,0,2019-09-18 09:40
@吾乃州民中镇守大将军小金刚是也,,拖尼哥貌似没事儿？,0,2019-09-18 09:28
@薇娅苏东坡,,哪天把他拖后面,0,2019-09-18 09:14
@软软的小号-u-,,什么畜牲,0,2019-09-18 09:13
@靳宇慧,,才十天,0,2019-09-18 09:07
@金针菇佩奇卷,,畜牲全球都有。。,0,2019-09-18 09:05
@绿色的胭脂,,应该判半年！,0,2019-09-18 08:59
@牡蛎六便士,,十天轻了,0,2019-09-18 08:48
@本命属龙,,艹,0,2019-09-18 08:45
@Lightning灬龍,,判十天其中应该包括每天两小时海上拖行,0,2019-09-18 08:45
@郭苦瓜,,果然哪个国家都不缺“人才”啊,0,2019-09-18 08:40
@寻信飞海,,才10天？,0,2019-09-18 08:29
@不可爱的皮皮鱼,,才十天？去吃个饭，睡个觉回来了？,0,2019-09-18 08:29
@旁观者陈先生,,有病！,0,2019-09-18 08:28
@玉晓范,,十天???不应该把他们绑在上面开快艇嘛，让他们也尝尝被拖的滋味,0,2019-09-18 08:27
@爱殇九儿,,中国也应该这样，虐待动物的狠判,0,2019-09-18 08:26
@女孩青衫飛白7087,,太殘忍了,0,2019-09-18 08:26
@配枪的小羊,,十天 呵呵,0,2019-09-18 08:24
@Fgyq,,好歹人家还判了十天，在中国估计也就判一份盖饭吧,0,2019-09-18 08:23
@闻香书蠹,,真是虐待狂,1,2019-09-18 08:21
@悠悠思鸣,,LOW！,0,2019-09-18 08:20
@被口腔溃疡折磨的热心市民张小姐,,十天？！！！！！！,0,2019-09-18 08:17
@去年·冬天,,一条生命没有了。就十天。还是稀有动物。可恨,0,2019-09-18 11:48
@太湿啊,,建议终身监禁,0,2019-09-18 18:43
@野猪佩奇吼吼吼,,是拖死，鲨鱼，还是拖，死鲨鱼,0,2019-09-18 17:29
@瑶妹的少女心啊,,才10天？,0,2019-09-18 12:39
@林懿,,监禁？开快艇也拖他啊，以其人之道还其人之身啊,0,2019-09-18 11:59
@Issac徐梓剛,,@苏臻的头盔漏风 草 看着真生气,0,2019-09-18 11:57
@只道相思了无益Y,,为什么不是十年,0,2019-09-18 11:56
@是_木子甜心本人啊,,十天？？？？请把他们放海里拖，,0,2019-09-18 11:53
@serendipity91-,,活该，多关几年,0,2019-09-18 11:50
@一平凡先生,,麻痹 变态,0,2019-09-18 11:50
@逍遥游_涅槃,,十天？呵呵！十个月还差不多。,0,2019-09-18 11:46
@_橘生淮南LL,,这是人？,0,2019-09-18 11:37
@西双版纳沉醉咖啡酒馆,,草特么的，有病不去治病。,0,2019-09-18 11:36
@到世界尽头找你_,,我艹,0,2019-09-18 11:34
@Kersenbioesem,,中国的法律好像就没有虐待动物这一条？所以很多人虐待动物都不会付出代价。,0,2019-09-18 11:33
@当镜子,,啧，把快乐建立在施虐上，保不准哪天对象就是人了，10天？呵,0,2019-09-18 11:27
@当你和心跳一起出现,,憨批,0,2019-09-18 11:23
@WantP丶,,十天太少了 杀了他,0,2019-09-18 11:23
