User,Reter,Comment,Votes,Time
@江苏神秘市民刘女士,,拒绝观看如此残忍制造的动物表演,91,2019-09-17 22:09
@种草大魔王_,,动物表演有啥意思有啥乐趣？,53,2019-09-17 22:10
@张龙-律师,,马戏团早该取消了！,43,2019-09-17 22:10
@南亚蝙蝠,,不能把我们的快乐建立在动物们的痛苦之上。动物也是生命。我们能做到不伤害她们，,32,2019-09-17 22:10
@laodvae梦,,身而为人，请务必善良！它们是这个世界跟我们一样共存的生命，人类跟自然索取的时候，请务必赠与自然界动物应该有的自由和保护,5,2019-09-17 22:21
@卟甜,,应该  拒绝动物表演,3,2019-09-17 22:14
@阅读手记,,观看动物表演的人类就是把自己的快乐建立在可怜的动物身上,3,2019-09-17 22:13
@磕疯的憨批,,动物 : 不必保我 弃了吧,3,2019-09-17 22:09
@十月ooOO,,没什么好说的，观看动物表演，就是帮凶。,2,2019-09-18 00:23
@K_K1999,,人的天性也是吃喝玩乐，为啥要读书要工作？？？,2,2019-09-17 23:29
@诺神大人,,你觉得我们该不该吃动物？比如鸡鸭鱼牛羊,2,2019-09-17 22:10
@北野直树,,禁止表演，都吃了算了，一个个食肉动物谈触目惊心？,2,2019-09-17 22:18
@就超甜呀,,我点错了！问题看成该不该表演 选了不应该 我他妈！,2,2019-09-17 23:37
@咕噜阿福,,该取消动物表演 呼吁反虐待动保法出台！,1,2019-09-18 18:49
@宋Ben_Ben,,@陈逸慧cyh,1,2019-09-18 15:00
@小花同学No_1,,我觉得有用吗？,1,2019-09-18 13:19
@zzzlllqqq,,海豚表演也应该禁止！！？,0,2019-09-17 23:24
@夺你妹的冠,,题目看错了，投错票了。,1,2019-09-17 22:32
@Claluuuuur,,说实话我每次在电视上看见马戏团表演我都觉得好无聊，不知道有什么好看的,1,2019-09-17 22:13
@浮生未歇夜未央,,审错题了，点了不应该,1,2019-09-17 22:12
@周p666,,弱肉强食,0,2019-09-18 16:51
@师兄都被师傅抓走了,,让动物去表演的您老为我们也去表演个劈叉，走钢丝吧,0,2019-09-18 11:13
@被注视着,,人类把自己的快乐建立在动物的痛苦上，真的有意义吗？,0,2019-09-18 09:19
@水可相依,,等下 点错了 还能取消么,0,2019-09-18 08:45
@寵愛苗,,我参与了@头条新闻 发起的投票【你觉得动物表演该不该禁止？】，我投给了“应该，表演违背了动物天性”这个选项，你也快来表态吧~,0,2019-09-18 05:39
@白杨树叶,,禁止！拒绝观看动物表演！！！,0,2019-09-17 23:32
@史梦圆,,有些人类表演，如芭蕾杂技等该不该禁止呢？,0,2019-09-17 23:14
@唐瘪瘪,,太应该了 保护动物释放天性,0,2019-09-17 22:37
@灯梧桐,,这两个选择，说实话，看到真的特别舒服！,0,2019-09-17 22:10
@爱梦水晶_,,应该,0,2019-09-17 22:09
@稀饭n绿豆,,还是那句话没有买卖就没有杀害，人都不去看，谁还训练动物啊,0,2019-09-19 06:27
@-李不懂-,,真不觉得动物表演有什么好看的,0,2019-09-18 18:41
@我就笑笑-呵,,以前看过，发现他们根本不是用食物引诱动物做动作而是拿着鞭子逼迫动物做动作,0,2019-09-18 18:27
@Norman瑞瑀,,教育改革搞好同理,0,2019-09-18 17:16
@天彭街道办事处,,该禁止,0,2019-09-18 14:41
@kof0123,,首先要认清一个事实，这些动物已经没办法放归野外了。如果一刀切动物表演，那么这些动物面对的就是安乐死，除非有慈善组织接手，不然没有一个商人会贴钱饲养这些动物。动物表演只能通过老百姓意思提高后让他自然消亡，单纯的一刀切之后让现有的表演动物遭到灭顶之灾,0,2019-09-18 13:38
@小小FrankieBaby,,该,0,2019-09-18 13:09
@静安谨,,点错了,0,2019-09-18 12:57
@自行车上的小丑,,突然觉得某些明星就和动物表演一样,0,2019-09-18 08:36
@无法早睡鸭,,选不应该的人，希望你妈也被合理训练,0,2019-09-18 00:53
@子無語焉,,应该！我从小就不看，现在和以后依然。,0,2019-09-18 00:39
@阿呆是大猫,,21世纪老人，还看动物表演呢？,0,2019-09-18 00:27
@六元元苑,,早就该禁止了,0,2019-09-18 00:25
@漫游东,,拒绝马戏团,0,2019-09-18 00:13
@若文老大,,然而这个投票又能怎么样？,0,2019-09-18 00:07
@漂流的小辣椒,,以商业行为经营的动物园都不应该存在 这和动物马戏团表演没差别,0,2019-09-17 23:53
@猫言猫语喵,,绝对不去看马戏团，这和奴隶制没啥区别。,0,2019-09-17 23:52
@西柚是朵小花花,,投错了！！是应该禁止,0,2019-09-17 23:23
@坏人烂人衰人贱人臭屎变态死ViVi,,养宠物也是挺残忍的,0,2019-09-17 23:20
@Fiore_肥芋泥,,我喜欢看他们活的自由自在自己玩的开心，拒绝训练表演,0,2019-09-17 23:16
@截止期限,,动物园都违背动物天性，把它们关在笼子里,0,2019-09-17 23:14
@点心渣儿,,有个瘠薄毛可看的？就该取缔，当归自然,0,2019-09-17 23:14
@大眼儿晨晨,,这些投票的人都去过海洋馆么？,0,2019-09-17 23:14
@鹿十八cy,,拒绝动物表演，让它们回归自然，别让你一瞬的欢愉，夺去它们一生的自由！！,0,2019-09-17 23:11
@天使之喑,,有本事以后别看。,0,2019-09-17 23:11
