User,Reter,Comment,Votes,Time
@爱成小仙女,,哇这个我真的不敢看，从小就害怕鬼片，特别恐怖的 评论配图,58,2019-09-18 21:11
@小伙伴都哭了_,,@椰子树-m,1,2019-09-18 23:52
@费丽西亚丫,,要不然找个人一起吧，反正我也自己不敢 评论配图,2,2019-09-18 21:17
@晴天娃娃389,,讲真我觉得喜欢看恐怖电影的人很有胆量。 评论配图,1,2019-09-18 21:15
@俄亥俄温柔的海浪,,我们还找不到看的你看这么多@超级雪莉哎,1,2019-09-19 09:11
@INspirit-Jun,,@只要笑一笑她们就会原谅我啦,1,2019-09-19 10:32
@臭care,,@yaliii鸭梨 来,0,2019-09-19 14:13
@黄子哈哈,,@宋阳笠子 兰坚看吗,0,2019-09-19 07:17
@白羊姨母,,@铉与 冒死艾特你,0,2019-09-19 15:30
@养一只小猫叫未央吧,,从小就胆小，怕鬼，怕黑，恐高，密集恐惧症，深海恐惧症，怕蟑螂，怕老鼠，怕蛇……暂时想不起来还怕啥，反正觉得活着就是奇迹,1,2019-09-19 11:51
@LY18993,,反正我是不敢看，要是有人一起的话，我们可以一起看。 评论配图,0,2019-09-18 21:19
@aceleramiento1,,我有一个同学真的非常喜欢看恐怖片，可以推荐给他。 评论配图,0,2019-09-18 21:13
@羽中大王,,小时候看过童眼 是杨丞琳和余文乐主演的吧 小时候有被吓到过,2,2019-09-19 12:10
@刘家珊珊,,想和男朋友去看，巨恐怖的电影推荐一下,0,2019-09-19 17:49
@新衣_故人,,好像挺好看的,1,2019-09-19 17:11
@流线型CRH380AL,,码了，推荐给女朋友看,0,2019-09-19 16:12
@清浅旧时光o,,爱奇艺看不了 别的都要买会员,1,2019-09-19 13:54
@LY升,,推荐，向西闻记,1,2019-09-19 13:52
@ifyou_F,,想看！又不敢看,0,2019-09-19 12:42
@Luciuscloud,,@Victor渐待victory,0,2019-09-19 12:40
@凪咲111,,再生号真的超级烧脑，好看，喜欢刘青云,0,2019-09-19 11:48
@Dear胖哥,,@姜阿岚 @Eve-Evelyn,0,2019-09-19 09:57
@Weedso,,李碧华的那个真心不错的,0,2019-09-18 22:49
@安生-phoebe,,不给资源只介绍就是刷流氓,0,2019-09-18 22:39
@受死吧卡路里,,收藏先，想找个人一起看鬼片,0,2019-09-18 22:32
@NEMO_Tian,,@张委婉同学,0,2019-09-18 21:03
@王同學之,,在哪个网站可以观看，求推荐，谢谢,0,2019-09-19 11:35
@郑云龙的未婚妻,,马,0,2019-09-19 23:28
@饼干死掉了呢,,马一↓,0,2019-09-19 19:11
@凌子cream,,@prime_q,0,2019-09-19 17:48
@三文鱼和陈二囍,,@Leebarrrry,0,2019-09-19 15:01
@云霄tyyyy,,曾经看过午夜凶铃的我，到现在房间不放电视机，客厅电视看完就盖上罩布,0,2019-09-19 13:50
@幸福月小兔,,小时候看过恶胎，快吓死了,1,2019-09-19 10:25
@阿鲸啊,,@阿什么啊V 你的菜,0,2019-09-19 09:38
@徽音sunny,,童眼看过，吓死人,0,2019-09-19 09:31
@刘博今天卖萌了吗,,@别抢我娜美,0,2019-09-19 09:09
@Vone-琦琦,,推荐给肖战看  哈哈哈,0,2019-09-19 09:05
@慕白思宇,,今天都去看一遍,0,2019-09-19 08:48
@-ZGTRDYLGDEWN-,,@二月二十五十月七,0,2019-09-19 08:46
@HowieHo_嘉豪,,马一个,0,2019-09-19 08:36
@I·am·Seven,,僵尸看了好几遍 还是很恐怖啊,0,2019-09-19 07:05
@嘟桃屋喵,,再生号可以,0,2019-09-19 06:53
@早安丶情感,,Hi，我已将你的微博收录到新鲜事 情感生活语录 ，微博会被推荐给更多用户（什么是新鲜事收录？）。如不希望微博下出现新鲜事标签，请戳 删除标签说明,0,2019-09-18 23:04
@爱国熊猫,,有几部看过了,0,2019-09-18 21:22
@LY本命宋继扬,,僵尸是还挺好看的,0,2019-09-19 18:41
@未来可期的小丫丫呀,,@筷子戳不出酒窝,0,2019-09-19 18:22
@Ni洛晨,,没事看什么恐怖片，是喜剧片不好笑了，还是一个人睡觉不害怕，看完恐怖片，脑子自行幻想鬼怪，看到黑暗的地方就自行联想，特别是近视，容易把模糊的东西看成各种恐怖的东西。所以不看恐怖片。,0,2019-09-19 18:09
@你不上相,,@k妹爱吃花花肉,0,2019-09-19 17:42
@汪大琪琪贼tm萌,,香港的话，推荐见鬼系列，异度空间，漂移凶间，office有鬼，冥宅系列，校墓处等等都是不错的恐怖片,0,2019-09-19 17:40
@李星仔Xi,,再生号还好吧，当时看的时候感动多于恐惧，我觉得都不算恐怖片,0,2019-09-19 17:37
@空白的影子zz,,晚上一个人在家关灯看比较有感觉 尤其是十二点以后,0,2019-09-19 17:32
@小企鹅妈妈-于,,山村老尸是我童年的噩梦呀。怎么会没有？？？,0,2019-09-19 17:01
