User,Reter,Comment,Votes,Time,Count
@MrNiermann,,让我中一次吧……,3,2019-09-20 15:16,2
@ZHUSHIYA-,,414,1,2019-09-18 22:23,1
@-夜空中最亮的仙女,,没有彩虹色吗？？？,1,2019-09-18 23:27,1
@起昵称不难eee,,对于不挑的人来说，哪个都可以,0,2019-09-19 08:48,1
@小香蕉皮啊,,财神眷顾,0,2019-09-19 08:35,1
@皮卡KB,,财神看到我,0,2019-09-19 07:15,1
@一根想脱非的聪,,从不死心的我,0,2019-09-19 02:42,1
@爱情伤感小说,,109,0,2019-09-19 00:22,2
@爱情伤感小说,,是我的啦！,0,2019-09-19 00:22,2
@阿丙爱吃披萨,,mm,0,2019-09-19 00:00,1
@GeekJoker城,,我想要，可以看看我吗,0,2019-09-19 00:00,1
@在下吞吞,,不说了，肯定又不是我,0,2019-09-18 23:41,1
@哇哦Wa_o,,抽我吧,0,2019-09-18 23:36,1
@二三可爱多,,我想要,0,2019-09-18 23:14,1
@tttttCX,,万能好运绝缘体来了,0,2019-09-18 23:02,1
@圆嘟嘟的Estar,,凑个热闹，没准呢,0,2019-09-18 22:55,1
@花熙莹仔仔,,我试试,0,2019-09-18 22:53,1
@弟弟是诺诺,,25年了敢不敢让我中一次奖,0,2019-09-18 22:43,1
@Cowry小小小小影,,心存侥幸,0,2019-09-18 22:37,1
@霖心里的每一寸都属于莹,,转发微博,0,2019-09-18 22:29,1
@桉ananan,,来了啊啊啊,0,2019-09-18 22:20,1
@不要熬夜了哇,,看看我!,0,2019-09-18 22:15,1
@周甜甜饼,,举爪,0,2019-09-18 22:09,1
@肖莫楠,,这呢,0,2019-09-18 22:06,1
@蕾蕾儿的小汭,,好的没问题,0,2019-09-18 22:06,1
@网绿驴与鱼与绿鲤鱼,,康康这边,0,2019-09-18 22:03,1
@你說我聽92124,,。。。,0,2019-09-18 22:00,1
@爱喝安慕希的喵,,来,0,2019-09-18 22:00,1
@洛洛洛洛柏,,我我我可以,0,2019-09-18 21:58,1
@话不多说再胖也吃,,勤勤恳恳转发 求中 求翻 许愿,0,2019-09-18 21:58,1
@_山高海阔_,,送呀送呀,0,2019-09-18 21:57,1
@IAries_,,是我是我就是我！！！！,0,2019-09-18 21:56,1
@Nigara啊,,康康我吧~,0,2019-09-18 21:52,1
@青衣白马天涯,,姐姐说的对,0,2019-09-18 21:47,1
@薯味果冻,,提前恭喜我,0,2019-09-18 21:45,1
@汪斌20678,,好,0,2019-09-18 21:43,1
@初阿晴,,康康孩子,0,2019-09-18 21:43,1
@小精灵靖靖,,最爱绿色了,0,2019-09-19 10:33,1
@爱吃糖的小姐姐呢,,开奖了吗,0,2019-09-19 09:03,1
@阿松哥哥呀,,百年没中过,0,2019-09-19 08:29,1
@居帅帅的超级可爱小笼包,,从来不会放弃的我，来了,0,2019-09-19 09:07,1
@麻利麻利雅,,送我送我,0,2019-09-19 07:42,1
@Nick_小鱼,,期待，支持,0,2019-09-19 07:35,1
@北极-微凉,,肯定不是我,0,2019-09-19 07:33,1
@童ton9,,1,0,2019-09-19 07:03,1
@阳光下等着你,,404,0,2019-09-19 07:00,1
@姜屿楠,,再试一次吧〖不死心的我〗,0,2019-09-19 05:11,1
@Vv哇塞Cc,,期待,0,2019-09-19 00:54,1
@JK不是罗琳啊,,1,0,2019-09-19 00:42,1
@张某某oooo,,求中奖,0,2019-09-19 00:10,1
@小勺子白雨薇,,能让我中了估计就是走狗屎运了,0,2019-09-18 23:21,1
@憨憨桃韬,,让我中次奖吧，一次就够,0,2019-09-18 23:20,1
@一趟428,,谢谢你给我谢谢,0,2019-09-18 23:18,1
@千鹤大人丶,,我我我,0,2019-09-18 22:54,1
@沉迷于王俊凯无法自拔0921,,康康贫民窟女孩吧,0,2019-09-18 22:52,1
@啊0丸子,,看看我！！,0,2019-09-18 22:49,1
@林林林安歌,,然后呢？怎么送？可能吗？,0,2019-09-18 22:47,2
@蕃茄味的鸡蛋,,1,0,2019-09-18 22:39,1
@KevLawrence,,,0,2019-09-18 22:38,1
@在等一场金色的雨,,我来了,0,2019-09-18 22:27,1
@爱吃辣条的小刘,,来啦,0,2019-09-18 22:25,1
@皮不皮z,,,0,2019-09-18 22:18,1
@仙女的tree,,前排,0,2019-09-18 22:17,1
@六少不是喵,,我来啦我来啦,0,2019-09-18 22:17,1
@逸儿MZX,,俺来了,0,2019-09-18 22:09,1
@Yibo的xj,,前两天中口红的的我，想沾沾运气,0,2019-09-18 22:04,1
@升级打怪攒经验,,,0,2019-09-18 22:03,1
@以涵为名,,送给我怎么样,0,2019-09-18 22:00,1
@迟小馨530,,给我吧木马,0,2019-09-18 21:58,1
@贪玩的猪儿,,是我没错了,0,2019-09-18 21:57,1
@超可爱的林三岁宝宝,,我我我我我我,0,2019-09-18 21:54,1
@Power小怪兽-,,你说得对!求,0,2019-09-18 21:53,1
@是坤坤陈更鸭,,先恭喜我,0,2019-09-18 21:51,1
@lucky汇子,,是我，请恭喜我,0,2019-09-18 21:50,1
@易笙易奕,,这里这里,0,2019-09-18 21:46,1
@景圆9998,,看这里,0,2019-09-18 21:46,1
@冫Rain,,可以给我一个绿苹果吗？？？,0,2019-09-18 21:43,1
@小尹在心尖,,会是我吗qaq,0,2019-09-18 21:38,1
@戒掉忘崽牛奶吖,,我来44,0,2019-09-18 22:44,1
@大梦一十年,,提前恭喜你们,0,2019-09-18 21:46,1
@熊爸爸的小花边,,中！,0,2019-09-19 09:51,1
@南风草木香198203,,康康我吧,0,2019-09-19 08:06,1
@戚文松G,,财神驾到,0,2019-09-19 07:48,1
@hI向日葵一样的微笑,,怎么抽奖了,0,2019-09-19 07:47,1
@物已逝人已非0837,,我我我,0,2019-09-19 07:30,1
@从未想过竟会爱你那么深,,就中一次,0,2019-09-19 01:55,1
@爱大脸爱肉肉lzy,,转发微博,0,2019-09-19 01:34,1
@深巷少女z,,我从来没用过苹果手机，因为买不起，求送我,0,2019-09-19 01:14,1
@QQ蝎子的鬼屋,,挤一挤,0,2019-09-19 00:05,1
@辣味百香果,,绿色多好,0,2019-09-18 23:41,1
@Youngbeansmallnumber,,！,0,2019-09-18 23:40,1
@清蒸二锅头,,绿的，你们别跟我抢,1,2019-09-18 23:36,1
@后来的你说,,中吧,0,2019-09-18 23:28,1
@蔡妍妍-,,啧啧啧 试一试,0,2019-09-18 22:59,1
@彩色泡沫aa,,希望是我呀,0,2019-09-18 22:57,1
@双鱼带着乌龟散步,,挤挤,0,2019-09-18 22:47,1
@释怀5995233865,,来了,0,2019-09-18 22:31,1
@一切都随你去了,,来惹,0,2019-09-18 22:31,1
@现哥哈哈,,看这边,0,2019-09-18 22:21,2
@现哥哈哈,,看过来,0,2019-09-18 22:20,2
@倥偬1234567,,6666,0,2019-09-18 22:15,1
@果味喵19,,最近左眼皮一直跳，不知道是不是要中奖,0,2019-09-18 22:09,1
@22FOCUS,,@让我为你CQG,0,2019-09-18 21:37,1
@阿萝萝萝萝鸭,,太棒了！,0,2019-09-18 21:36,1
@Way_ovo,,wo,0,2019-10-10 16:49,2
@Way_ovo,,wo,0,2019-10-10 16:49,2
@oneMOREthing科技,,啦啦啦,0,2019-09-22 15:21,1
@MrNiermann,,让我中一次吧……,3,2019-09-20 15:16,2
@唤笙520,,都没中过，,0,2019-09-20 12:58,1
@余生love请陪我走到老,,我也要,0,2019-09-19 15:31,1
