User,Reter,Comment,Votes,Time
@我们村最能打的男人,,我承认我的手确实放在了对手的后脑勺上 但是我觉得我那种状态下，没法箍颈 而且对手是要打我击腹拳，他自己低头，然后我扶着头顶膝 但是作为运动员 我还是选择尊重裁判,13,2019-09-19 18:17
@刘佳琪_,,大将风度,14,2019-09-19 17:38
@青木堂CEO,,是条真汉子！,8,2019-09-19 17:32
@太陽ss,,选手都是爷们。裁判就…,9,2019-09-19 18:14
@丶HHH万,,是个汉子,9,2019-09-19 17:58
@7Even1983,,小日本就是这点很不错，当初甜心打赢罗糖，赛后都是哭着说其实自己真输了！我门这方面确实不如小日本。,1,2019-09-19 19:18
@三流勇士李晟,,日本格斗选手的职业素养还是很高的,2,2019-09-19 19:11
@没有呼吸的青春,,看看武林风和农药的选手脸皮多厚！,1,2019-09-19 18:34
@龘文硒,,爷们！,1,2019-09-19 19:42
@港澳任我行,,也只有勇士的荣耀军团可以杀杀他们的锐气@勇士的荣耀官微,0,2019-09-20 21:19
@风之缘TOP,,排出那个膝法，他也是输了没什么好说的,0,2019-09-20 10:31
@逗比征服世界,,还行，算个汉子,1,2019-09-19 19:50
@lovetitigoal,,赞,0,2019-09-19 19:21
@爱喝凉白开哈丶,,日本人别的不说 部分人素质还是可以的 相比较棒子就,4,2019-09-19 18:28
@会飞的豆腐花,,真男子汉,0,2019-09-19 21:23
@港澳任我行,,也只有勇士的荣耀军团可以杀杀他们的锐气@勇士的荣耀官微,0,2019-09-20 21:19
@龘文硒,,爷们！,1,2019-09-19 19:42
@7Even1983,,小日本就是这点很不错，当初甜心打赢罗糖，赛后都是哭着说其实自己真输了！我门这方面确实不如小日本。,1,2019-09-19 19:18
@港澳任我行,,也只有勇士的荣耀军团可以杀杀他们的锐气@勇士的荣耀官微,0,2019-09-20 21:19
@风之缘TOP,,排出那个膝法，他也是输了没什么好说的,0,2019-09-20 10:31
@会飞的豆腐花,,真男子汉,0,2019-09-19 21:23
@逗比征服世界,,还行，算个汉子,1,2019-09-19 19:50
@龘文硒,,爷们！,1,2019-09-19 19:42
@lovetitigoal,,赞,0,2019-09-19 19:21
@7Even1983,,小日本就是这点很不错，当初甜心打赢罗糖，赛后都是哭着说其实自己真输了！我门这方面确实不如小日本。,1,2019-09-19 19:18
@三流勇士李晟,,日本格斗选手的职业素养还是很高的,2,2019-09-19 19:11
@没有呼吸的青春,,看看武林风和农药的选手脸皮多厚！,1,2019-09-19 18:34
