User,Reter,Comment,Votes,Time
@松松發文物资料君,,神秘的石峁//@于赓哲: 转发微博,49,2019-09-19 15:17
@陕视新闻,,@秦岭云 @考古君  @考古系大师姐  @中国考古网 @考古小队长 @于赓哲 @秦祎墨,21,2019-09-19 15:06
@菠萝味的源子,,我才刚进来，居然结束了,3,2019-09-19 16:22
@今日宝藏,,我大中国就这么牛逼,78,2019-09-19 15:48
@思年忆相逢,,陕西不愧是文化古都,54,2019-09-19 15:50
@世界Estelle,,古城修筑于龙山中晚期，即距今4300年左右，毁于夏，即距今4000年左右。,41,2019-09-19 15:35
@新浪陕西,,正在直播#中国史前最大城市考古新发现#，四千年前新石器时代的文物到底长啥样，一起来围观,1,2019-09-19 15:06
@维多利羊,,画重点！石峁遗址和良渚古城！,10,2019-09-19 16:18
@豆芽La_bambina,,比夏朝应该略早吧？,17,2019-09-19 15:25
@不二史书,,也许真实的历史，比传说更让人惊叹！,12,2019-09-19 17:33
@豆芽La_bambina,,距今4000年,5,2019-09-19 15:24
@鲁哈哈奇jeff,,,2,2019-09-19 16:53
@青阁逸墨,,地球已经46亿岁了，我不相信人类之前就没有过高等智慧生物，就像我相信外星人一样，,1,2019-09-20 01:25
@妖怪喵大,,依山而建的王城！太厉害了！发现史书就更厉害了,1,2019-09-19 20:42
@妖怪喵大,,贝壳货币出现在陕西，简直不要更厉害了！,2,2019-09-19 20:40
@LIMYOONA__98,,。,0,2019-09-19 16:57
@IAAMF,,有回放吗，在医院等看诊怕错过,1,2019-09-19 16:14
@妖怪喵大,,夏朝吗？,0,2019-09-19 20:39
@妖怪喵大,,有玉石,0,2019-09-19 20:34
@妖怪喵大,,"这种大建筑不是陵墓,是宫殿",0,2019-09-19 20:34
@JETHERRY,,没开空调,1,2019-09-19 17:56
@生米·胡胡,,没有人吗,0,2019-09-19 16:39
@早晚炖了猪蹄,,卡了？,0,2019-09-19 16:26
@IAAMF,,再报一下那俩公众号可以不，评论区求号！,0,2019-09-19 16:21
@豆芽La_bambina,,我去过 据说是有很多墓葬,0,2019-09-19 16:19
@发图少女,,51区有外星人,0,2019-09-19 16:13
@豆芽La_bambina,,陕西石峁遗址,0,2019-09-19 16:08
@单纯的爱吃肉,,我大中国就这么牛逼,2,2019-09-19 15:43
@考拉---,,夏朝？,1,2019-09-19 15:25
@是晞晞的晞饭_鸭,,陕西石峁遗址，重大考古发现就在自己身边真的是太激动了,1,2019-09-19 23:30
@李-萍,,,0,2019-09-19 22:44
@不爱吃莽莽的小qianqian,,你笑什么,0,2019-09-19 19:48
@乔治乔治爱恐龙,,真好,0,2019-09-19 19:32
@我差不多已经是只废零了,,实时嘛,0,2019-09-19 18:30
@默笙人z,,没人么,0,2019-09-19 17:24
@破空凌云ccc,,。。。,0,2019-09-19 17:22
@丅o晴a,,。,0,2019-09-19 17:16
@电台司令EP,,没人吗,0,2019-09-19 17:01
@电台司令EP,,牛逼,0,2019-09-19 17:01
@我为迩,,这是野人,0,2019-09-19 17:00
@兀自12345,,刚下课,0,2019-09-19 16:51
@那颗芒果啊,,早就开始探索遗址了，并不是最近才发现的，只是大家都不关注,0,2019-09-19 16:50
@叫一声祥哥123,,中间部分，一把弓箭。左边，动物头。右边，侧面人脸像。,0,2019-09-19 16:39
@Sz阿壮,,大神木,0,2019-09-19 16:31
@苍穹之翼-傲游天下,,八嘎牙路，没人吗,0,2019-09-19 16:29
@MyohMy__,,,0,2019-09-19 16:23
@Una娜娜777,,古代我们就很讲究了,0,2019-09-19 16:22
@赵垣镔,,昌明坊,0,2019-09-19 16:22
@赵垣镔,,陕视新闻,0,2019-09-19 16:21
@Una娜娜777,,还会雕刻，厉害,0,2019-09-19 16:21
@维多利羊,,考古学专业,0,2019-09-19 16:20
@Una娜娜777,,看城市遗址就很牛了,0,2019-09-19 16:20
@阿七姑娘wy,,神木大柳塔,0,2019-09-19 16:20
@备注汉子,,我是神木人,0,2019-09-19 16:20
@维多利羊,,良渚古城申遗就成功了,0,2019-09-19 16:19
@Una娜娜777,,那我们4000年前建筑就很厉害了，还有排水系统,0,2019-09-19 16:19
@北风向寒97,,噢！,0,2019-09-19 16:17
@若水悠长66,,题外话:这个记者有些帅,0,2019-09-19 16:17
@Emmmilien,,夏朝之前应该还是石器吧,0,2019-09-19 16:17
@Una娜娜777,,厉害,0,2019-09-19 16:17
@维多利羊,,小哥哥的声音好好听,0,2019-09-19 16:16
@水就是水的水,,没有统治者就没有文明,0,2019-09-19 16:16
@维多利羊,,就是人力,0,2019-09-19 16:16
@Una娜娜777,,怎么做到的，还有金字塔怎么起的，我都很想知道,0,2019-09-19 16:15
@维多利羊,,赶快翻开我的中国大百科全书的考古卷,1,2019-09-19 16:15
@咕噜噜噜噜100,,陕西厉害啊,0,2019-09-19 16:15
@Una娜娜777,,很厉害,0,2019-09-19 16:15
@Una娜娜777,,以前没有现代的工具，挖掘机，那时候的人那么厉害,0,2019-09-19 16:14
@当代青年叶半生,,感觉是一座城池,0,2019-09-19 16:14
@维多利羊,,完了感觉今年考古学热点了,0,2019-09-19 16:13
@维多利羊,,就是考古学,0,2019-09-19 16:13
@咕噜噜噜噜100,,用贝壳当货币吗,0,2019-09-19 16:13
@Una娜娜777,,石器时代么？,0,2019-09-19 16:13
@不会纠结的小女孩,,51区PK史前金字塔,0,2019-09-19 16:12
@不会纠结的小女孩,,哈哈哈,0,2019-09-19 16:12
@当代青年叶半生,,这是什么朝代,0,2019-09-19 16:12
@不会纠结的小女孩,,别说，直接放图呀,0,2019-09-19 16:12
@Una娜娜777,,那时候种什么吃的,0,2019-09-19 16:12
@咕噜噜噜噜100,,想看想看 出土文物,0,2019-09-19 16:11
@不会纠结的小女孩,,哇哇哇，微博居然有直播,0,2019-09-19 16:11
@曳灵魂,,属于史前时期。,0,2019-09-19 16:11
@咕噜噜噜噜100,,没有朝 史前文明,0,2019-09-19 16:11
@曳灵魂,,不是墓葬，是四千多年前在这里生活的人们留下来的生活遗迹。,0,2019-09-19 16:10
@咕噜噜噜噜100,,我没看到文物 我来晚了吗,0,2019-09-19 16:10
@Una娜娜777,,那这里以前属于什么朝,0,2019-09-19 16:10
@star-是我,,希望有很多的人专注到这里，真的像奇迹一样,0,2019-09-19 16:10
@咕噜噜噜噜100,,石器时代？可怕,0,2019-09-19 16:09
@Una娜娜777,,说是大城市,0,2019-09-19 16:09
