User,Reter,Comment,Votes,Time,Count
@官方不让我改好名字,,随机,1150,2019-09-19 20:46,1
@宋景瑜,,爸爸年轻想当兵没当成，最后我哥叫精忠 我叫报国,639,2019-09-19 20:49,7
@荞麦芝士,,崔懿潇 爸崔妈肖 懿拆开“一次心”崔一生只爱肖一人,696,2019-09-19 20:47,2
@w岚瑟,,随便乱取的,489,2019-09-19 20:47,1
@姑娘你掉钱包了,,根据生辰八字、五行取名,354,2019-09-19 20:47,1
@阿强功课写完了吗,,我爸是水手，爸在我出生几天就上船去，我的名字就是那艘船的名字,267,2019-09-19 20:47,1
@都暻秀超爱笑,,当时 我都生出来了 护士说得写新生儿的名字 但是那时我爸妈还没有给我取名,209,2019-09-19 20:51,1
@7212231597_707,,家族辈分不能丢,163,2019-09-19 20:48,2
@哥练的胸肌,,自己算,126,2019-09-19 21:05,4
@little白one,,抱养，取爸妈的姓，一个培字。寓意:他们两个把我培养长大。,149,2019-09-19 21:02,1
@糖醋橙汁,,单字一个光，说是因为出生那天一直下暴雨，出生哭的时候开了一阵太阳，就是这样,148,2019-09-19 20:49,1
@清欢与鹿,,我的名字是当时电视放新闻，我父母就取了那个主持人的名字，好草率,127,2019-09-19 20:47,1
@居宅门前的小狮子,,族谱上：我太爷爷那一辈中间字是：重。爷爷那一辈中间字是：礼。爸爸这辈人中间字是：维。我们这一辈中间字是：世。我们的下一代中间字是：新。族谱里还有很长很长，传承是最好的记忆,100,2019-09-19 21:49,1
@BILLRYU,,会当凌绝顶 一览众山小，凌岳,81,2019-09-19 21:02,1
@寡人要做资产阶级,,名：一锦。一帆风顺，锦绣前程，,55,2019-09-19 21:22,1
@玲玲振玉,,老爹取自文心雕龙--则声转于吻，玲玲如振玉，有名还隐着姓,55,2019-09-19 20:50,5
@韩晴沫沫_,,我的名字谐音：含情脉脉,52,2019-09-19 20:55,1
@原来是涓涓呀,,我爸爸说我长得好看 就叫婵娟吧,52,2019-09-19 20:50,4
@想喝2碗鱼丸汤,,我奶奶:前村有家孩子叫xx，真好听，我家也叫xx吧,52,2019-09-19 20:53,1
@最可爱的沙雕井汪汪JYY,,我出生在冬天，我爸锁骨骨折在家养伤我妈在医院，我姑姑家哥哥在家和我爸想了一天叫什么好，我哥说叫玉莹吧，后来我爷爷找人给我改了钰，我今年23了，别人说我名字很好听，我也很开心，我很想我哥哥，他离开我们两年了，不知道在另外的世界过得开心不开心，但我很喜欢我的名字，我也很想你,45,2019-09-19 21:09,1
@博叽复博叽,,带这些字的爸妈小说电视剧看的不少,43,2019-09-19 20:48,1
@Andre9686,,爺爺取的 我哥叫書漢 我叫楚天,40,2019-09-19 20:47,2
@天天天要上天,,我爸妈喜欢打王者荣耀，所以给我取名叫王者荣耀,29,2019-09-19 20:47,3
@热短句bot,,百度的,28,2019-09-19 20:46,15
@专业水军五毛一条童叟无欺,,成都有一女神童，三岁只会打夺夺,38,2019-09-23 17:59,1
@啾口甜葵,,两个姐的名字各取一个拼的,24,2019-09-19 20:47,1
@韩阿青,,自己取的，我好厉害,17,2019-09-19 20:53,1
@你知道我都知道你知不知道的,,阿吧阿吧打夺夺,35,2019-09-23 16:12,1
@脸要瘦下来呀,,出生八个一 单名就是一 阳历一月一日   阴历十一月十一   星期一 加上名字,19,2019-09-19 20:50,1
@蚝式永动,,孙夺夺，孙阿巴,37,2019-09-23 14:36,1
@吉吉国航天军元帅,,李阿巴和李夺夺,45,2019-09-22 08:17,1
@一个喜欢吐槽的人,,那是个冬天 出生正好下雪 所以我叫,23,2019-09-19 20:47,1
@GengHan_,,我爸的姓加上我妈的姓,32,2019-09-19 20:56,1
@千本樱yy,,爸爸说我是他最珍贵的礼物，于是就叫“珍珍”，虽土但意义非凡,23,2019-09-19 20:54,1
@小李子的大柚子,,我叫玉宇，爷爷起的，说有文化,18,2019-09-19 20:47,1
@罪孽的滋味,,小心老穷!,35,2019-09-20 22:39,1
@东海小公举,,爷爷以前当过兵，一直盼望祖国统一，奶奶希望我们晚辈都能有个好工作，各个有饭吃，所以我们这辈分的分别叫：国（谐音锅）、统（桶）、婉（碗）、钢（缸）、韶（勺），中间全部是 玉 字，但我们是姓范啊，上学时难免被起花名……,26,2019-09-19 23:08,2
@小猫汪汪汪__,,1997.07.01出生的，所以就单名一个港字,30,2019-09-19 22:35,1
@coledrick,,小心李老八,33,2019-09-21 19:44,1
@一只苍猫,,家里太有钱了所以姓李名老穷,41,2019-09-21 08:54,1
@止水I若谷,,我姐叫瑾，美玉的意思；我叫琎，像玉一样的石头，陪伴美玉的石头,22,2019-09-19 22:29,1
@小柠檬mong,,我亲妹，刚出生时算命的说这姑娘命里缺金又缺水，所以我爷爷给她取了：黄金水,25,2019-09-19 22:24,2
@OysterL,,苏伊南 我妈是南方的 我爸说他的伊人在南方,20,2019-09-19 23:20,1
@甜唯宅大神,,我名字是我18岁去办身份证的时候自己改的…,14,2019-09-19 22:01,1
@盲将1234,,老八点赞,19,2019-09-24 16:31,1
@尼美同学的室友今天死了嘛,,小心李老八,20,2019-09-24 13:33,1
@许我个未来1314,,看电视的时候，在演员表里找的,13,2019-09-19 21:02,2
@呜呼aha,,我们家族我这辈的都叫韦江什么韦江什么，然后我爸说我是我们这一辈里最小的那一个，我后面已经不会再有人了所以我就叫韦江婷了，说明韦江这一辈到我这里停了……（就是这么随意）,13,2019-09-19 22:33,1
@Lily-MengZ,,赵奕萌，爸爸名字是大明，妈妈名字是献萍，取了爸爸的大明做底，加上偏旁部首，意思是有爸爸的基础上有了我，又取了妈妈的艹，代表是母亲是我生命中的一部分天，而且我属牛，有太阳有月亮有草，一生温饱无忧,14,2019-09-19 23:10,1
@我的肚腩特大,,小八点赞,21,2019-09-22 14:15,1
@老赵的狗蛋,,云想衣裳花想容，我爷爷根据这一句诗取的。,14,2019-09-19 20:56,1
@列宁斯基,,别问，问就是垃圾桶里捡来的，随便取的名字,11,2019-09-19 20:52,7
@瑾檀yuying,,取名字可别再翻字典了，深受其害,13,2019-09-19 21:47,1
@7212231597_707,,当然是家族辈分啊，这是老祖宗留下来的，必须传承下去，不能丢,6,2019-09-19 20:59,2
@啊卜,,阿巴阿巴,25,2019-09-26 15:50,3
@自闭的Common,,1949年国庆生的 所以我叫建国,8,2019-09-19 22:27,1
@卿雪公子,,我的名字啊，我的名字是用元素周期表取的，硒钒。原因无它，我爸是从本科开始一直读到硕士都是化学，毕业以后还被导师叫回去做实验，参与的那个实验现在在我们化学书里能找到痕迹,8,2019-09-20 00:05,1
@Nini巷,,随便取的,7,2019-09-19 20:47,2
@玉簪锦葵,,提前6个月开始起名，起了20几个，一个没用上，最后在医院硬憋了一个,6,2019-09-19 20:50,1
@末离Molly,,妈妈怀孕的时候和爸爸不在一块，然后很想念彼此，我妈就给我取了单个恋字，表达他们的感情。好了今天又是被爸妈喂狗粮的一天,6,2019-09-19 22:46,2
@中比特ZB,,爷爷是那个年代的教书匠，他希望我们样样精通，总共四个堂兄妹，分别姓的后面是：琴、棋、书、画，就这样,8,2019-09-19 21:41,2
@幽灵·暴龙兽,,家祖父一代以海字结尾，家父一辈都是以克字为中间，我这一辈都是以民字结尾！,9,2019-09-19 21:01,1
@你侬我侬_70150,,我出生时叶倩文很火，家里还有海报，当时我爹看了眼海报来了灵感说就叫文倩吧,7,2019-09-19 22:33,1
@烟花等雨我等你,,不负责任，姑姑家捡剩的,6,2019-09-19 21:13,1
@高星星co,,赶上香港回归，全国人民都特别高兴，就叫高兴了,9,2019-09-19 23:18,1
@日免日青G_,,据说我本来叫顾婉芹，但是给我上户口的时候妈妈小姨他们觉得太琼瑶，不好，所以换成了中性一点的顾晚晴了。,7,2019-09-19 23:02,1
@花花土豆泥,,随便选的，叫语汐,4,2019-09-19 20:46,1
@刘昊然的小新娘,,四维，祖祖取的，因为我妈姓罗，把罗字的繁体（羅）拆开就是四和维了,9,2019-09-19 21:03,1
@灵蛇女娲,,家人翻字典的,4,2019-09-19 20:51,1
@我是一只猫x,,我妈说当时很多人家里小孩叫这个名字，所以就跟风取了个一样的，白白浪费了温这个姓氏，从小到大都很不好意思念自己全名,3,2019-09-19 22:59,1
@李pabo不pabo,,姗，因为爸爸妈妈结婚晚，姗姗来迟,4,2019-09-19 22:38,1
@甜桔猫子,,我的名字是我哥哥取的，家里墙上贴了一个小女孩叫甜甜，就说我也要个甜甜妹妹,3,2019-09-19 21:52,1
@我有一个小宝贝呀,,因为我生了个女孩，全家真的是太开心了，所以我孩子就叫“可心”。,4,2019-09-19 20:54,1
@幸运仔本仔,,辈分吧,2,2019-09-19 20:46,2
@小姑凉的糯米团子,,我妈说，我要像亦舒一样有文采；我爸说，我要一诺千金，也是我们家的宝贝，所以，我叫张亦诺。,5,2019-09-19 22:46,1
@迷伱小路,,我妈生我时，来不及到医院就在一条小巷生，所以取了……迷小路,5,2019-09-19 21:22,1
@闲庭小筑落残红,,我觉得我的名字不会重,2,2019-09-19 23:17,1
@是菡也是我,,史书菡 重名的很多 但字都不一样 本人也不是年轻小女孩 22岁老阿姨了 基本上遇见过许多个5 6岁 7 8岁甚至十几岁的“淑涵”“书涵”我可能就是归功于姓吧 实在难听 所以不好重哈哈哈,4,2019-09-19 23:02,1
@今年就上幼儿园了,,我名字有个蕊字，很普通，重名的也多，可我姑姑告诉我，我家，叔叔家，姑姑家三个家庭只有我一个女孩，所以都要捧在手心上，做三个家庭的小心心,8,2019-09-19 21:26,1
@边海月光,,伯伯儿子名字里抓一个字，舅舅儿子名字里抓一个字，我就是这么随意来的,4,2019-09-19 20:51,1
@栎亮不打烊,,爷爷给取的,3,2019-09-19 20:48,2
@简单的做个二货,,给我儿子取名叫周翰，惟申及甫，惟周之翰；还有就是我老婆姓周！,4,2019-09-19 22:20,1
@澳肥会瘦,,澳门回归那天出生，所以叫澳回,3,2019-09-20 16:42,1
@泥垢了啦,,爷爷给起的  我们这辈都是林字辈  我是种种原因来到这个家  爷爷说我最小  最后一个  就是加上的了  所以叫俞林佳。,3,2019-09-19 22:54,1
@幼稚园杠把子悦兮同学,,我单字一个逸。有飘逸的意思。我妈说起个中性名小孩会很有出息，别人一听我这名都以为我是个男的,3,2019-09-19 22:49,1
@show祥祥730,,我奶看电视上唱，村里有个姑娘叫小芳。。。从此就跟着我了,4,2019-09-19 22:48,2
@笙箫屐履,,现在的轩，涵，梓，萱啊就跟我当年的伟，丽，娟，彬啊一个样,5,2019-09-19 22:29,1
@番茄Kiki蛋,,姓田！不知道取啥名好,0,2019-09-19 22:25,1
@内人夕夕夕夕,,……我爹说是神仙托梦啊  /摔  我命里缺木  颜郁丛  郁郁葱葱  名的俩字繁体有4个木,5,2019-09-19 21:09,1
