User,Reter,Comment,Votes,Time
@奶牛猫丢丢酱,,不好意思，我的假期里只有微博和绿洲 评论配图,388,2019-10-06 18:05
@一见肖战误终身呐,,太真实了,122,2019-10-06 18:00
@肖铁块最爱的老干妈,,我怀疑你在窥探我们的生活,80,2019-10-06 18:02
@Atmosphere-bar,,我的假期 评论配图,38,2019-10-06 18:02
@kristineyin_,,终于要放完我7天的假期,25,2019-10-06 18:02
@司孜chen,,我也一样 不过我还有作业,16,2019-10-06 18:01
@晗哔哔,,我没假期,24,2019-10-06 18:00
@捧起,,哈哈哈哈哈是我没错了！,12,2019-10-06 18:00
@捧起,,再加一个和平精英,13,2019-10-06 18:05
@许嵩嵩嵩嵩v,,内容过于真实 建议出书,9,2019-10-06 18:00
@一枚戏精君,,俺也一样,5,2019-10-06 18:00
@Snowman_浪花,,我只有第二张图的1.3.4.5,6,2019-10-06 18:03
@橘子味的隔壁老王,,真实！！,5,2019-10-06 18:00
@今天吃烊烊,,还有多多自走棋,5,2019-10-06 18:00
@某人路人,,过于真实 不要偷窥我生活,4,2019-10-06 18:01
@这樱花树下直到永远吗,,绿洲C位！！！,2,2019-10-06 18:12
@柠檬味的果酱气泡水-,,真实，是窥探了我的生活嘛,3,2019-10-06 18:01
@Jessie_JingxueMEN,,过于真实了,2,2019-10-06 18:14
@有乜野-,,巧了我也是！,1,2019-10-06 18:14
@isMiya_,,我的假期 每天看洲洲,1,2019-10-06 18:00
@我还没想好囧,,没有绿洲的举个手,109,2019-10-06 18:02
@Lee李苏风,,绿洲？我不关注绿洲，我只关注沙漠,12,2019-10-06 18:03
@西瓜香肠,,咋滴，看不起美团？？,4,2019-10-06 18:08
@LIXxXxUE,,9Q39SE新邀请码,3,2019-10-06 19:13
@投到进接着投,,互，滴,2,2019-10-06 18:01
@爱吃馒头的肥仔,,不，别人的假期是这样的 评论配图,4,2019-10-06 19:14
@乘舲上沅,,38VQ5D,2,2019-10-06 18:20
@李的仙女烬,,你怎么这么真实,3,2019-10-06 18:02
@凉MM私人vip,,NTE6JJ新的,1,2019-10-07 10:52
@你算哪颗小豆子,,我的假期,1,2019-10-07 10:23
@Nidi__赵先生,,哦豁，竟然是一样的，阔以,1,2019-10-07 08:35
@长腿叔叔,,UAS7CB 拿走,1,2019-10-07 06:50
@Regina_筱铭,,太真实了,13,2019-10-07 00:05
@iooayo,,7V8T9U冲啊,4,2019-10-06 23:55
@小赞赞赞赞哥哥,,我不配打游戏，我只有作业,2,2019-10-06 23:13
@京房小马达,,哈哈哈,1,2019-10-06 20:32
@Eva秋蘩,,哈哈哈哈真相了,1,2019-10-06 20:15
@自言字话,,是你！让我戒掉了他们,1,2019-10-06 20:02
@九囍十梦,,我的国庆还多了,1,2019-10-06 19:21
@有一种内涵叫Mercedes,,半月假什么时候才结束啊唉,1,2019-10-06 18:53
@O蕾蕾纯色婚纱-金鱼O,,看来不是我一个人是这样,1,2019-10-06 18:28
@噜啦咧噜啦咧噜啦噜啦咧Biubiu,,真实的可怕,1,2019-10-06 18:27
@特工V仔的美食档案,,我的假期是一个有仙人掌的app,1,2019-10-06 18:27
@逸笔流年,,太真实了,1,2019-10-06 20:22
@狂5农夫,,别人的国庆假期 vs我们的国庆假期,2,2019-10-06 19:04
@柰由,,LYRN5G,1,2019-10-06 18:59
@TrueSYYY,,咋的小绿 是QQ不配拥有姓名吗？？？？,1,2019-10-06 18:58
@武体西体王奎明,,我想要内侧码,2,2019-10-06 18:56
@浅秋初雪,,放心，我只有微博，我太难了,1,2019-10-06 18:54
@嗜甜少女_x,,你个十八线小糊app凭啥给自己抬咖，还给自己c位,1,2019-10-06 18:49
@欧陈珍,,可是我还多了一个看一博,1,2019-10-06 18:49
@文字感动生活,,KGVNHR  新鲜邀请码,1,2019-10-06 18:30
@路子衿,,邀请码9HGPPK,1,2019-10-06 18:29
@橙子味的焦糖珍珠,,同一个假期,1,2019-10-06 18:28
@晓冰啊啊,,是本人了啊,1,2019-10-06 18:22
@钓因鹤守,,是我！,1,2019-10-06 18:18
@詹姆斯官方绿洲,,邀请码：QPFK72,1,2019-10-06 18:15
@张小晨Mina,,EB WQFS,1,2019-10-06 18:12
@千我是真的,,你碰瓷了,1,2019-10-06 18:04
@少帅的野望,,饿了么配么，明明是美团,1,2019-10-06 18:03
@南看台的烟火_,,第三个是啥,1,2019-10-06 18:02
@呜噜柚子,,我没有绿洲,1,2019-10-06 18:02
@小鲸鱼小海豚,,2YBVXG  还有10几个邀请,0,2019-10-18 20:12
@胖橘---,,绿洲PSS7BM最新邀请码,0,2019-10-17 22:41
@巫山若沧海,,HPZ32Q,0,2019-10-10 10:12
@三岁加一岁,,ZJERLH,0,2019-10-09 17:24
@海妖妖0805,,我的就比较复杂了，哪里有王一宝哪里就有我的身影,0,2019-10-09 10:36
@海妖妖0805,,笑死我了，怎么这么形象啊,0,2019-10-09 10:36
@安之若素待流年,,可以给个邀请码嘛,0,2019-10-09 06:54
@雪过无痕e,,,0,2019-10-08 11:40
@燕然燕遇,,想要邀请码……@绿洲,0,2019-10-07 17:28
@ZUOCLIANG,,@譞彧_黑光白影的交错,0,2019-10-07 14:14
@deyi啊得益,,看剧看剧,0,2019-10-07 12:58
@点点点点啊点点点点,,WM7Y6P，还能邀请20个,0,2019-10-07 11:10
@小阿丹鸭-,,邀请码怎么搞鸭,0,2019-10-07 10:43
@烂羊杨,,TUJGAZ,0,2019-10-07 10:29
@Onionao,,N2PTPW,0,2019-10-07 10:29
@我怎么就不怕失去_,,QZ8KN3,0,2019-10-07 10:15
@Weliiii,,TL3Q26最新,0,2019-10-07 09:54
