User,Reter,Comment,Votes,Time
@果实是果实,,我想投领领与秋秋 感觉踏实点,421,2019-10-11 09:06
@用户可不改名,,今早看了一半，那些主持人还有领领都怎么回事啊，还稀里糊涂的，哪里是错过了？？？卓逸凡根本就不喜欢领领，是他故意后面不跟领领选一起的，领领最新一期说的那些假如，都不存在，再用力也不会有结果。。。。。。。。。。,368,2019-10-11 09:33
@素心小忙人儿,,有些不必要的就算了吧，本身凡哥也不喜欢她，哪有那么多所谓遗憾,239,2019-10-11 09:08
@菲菲菲非凡的兔子,,这投票搞事情吧，毫无意义,134,2019-10-11 09:35
@素心小忙人儿,,一元从不诋毁，不像有些f，得不到就黑，酸别人，真没意思,104,2019-10-11 09:10
@lovemyself晨,,这投票是不是有点闹，应该是一元和秋湲吧，领领跟卓逸凡已经没戏了,87,2019-10-11 09:21
@堡堡白,,必须一元一元一元！一元大旗扛起,70,2019-10-11 09:06
@LHY-但愿,,宋湲，卓逸凡，秋秋都挺好的，喜欢这三个人，其她人不做评价,57,2019-10-11 09:08
@Bellaloveing,,我感觉宋源有点渣，别人都是锁定一个人，就她两边都暧昧。,62,2019-10-11 10:34
@可心可-,,一元啊  这还用投嘛  多明显呀,23,2019-10-11 09:24
@我是你的甜甜崽嗷呜,,我怀疑连官博的号都在蹭热度,25,2019-10-11 09:08
@素心小忙人儿,,只有一元一个选项,23,2019-10-11 09:08
@gwysgdsj09,,宋湲赶紧跟凡，不要害我秋,31,2019-10-11 09:10
@豆豆love科宁,,一元,21,2019-10-11 09:10
@七七-Allison,,这个投票毫无意义，甚至还有点引战,15,2019-10-11 09:56
@小木子i1,,明显一元更甜 宋湲卓逸凡互相喜欢,13,2019-10-11 09:56
@三月里的客尘,,你是官博吗,14,2019-10-11 09:35
@pupil-Fan,,这个投票有意义？？？,10,2019-10-11 10:50
@罗pd铁粉,,这种投票纯属有病，你们官博做个人吧,11,2019-10-11 09:50
@癫了还没疯的兔子,,真的是！哪对有火花这瞎子也看出来了吧,8,2019-10-11 09:56
@Consideration7366,,算了我比较喜欢宋湲和锦秋,8,2019-10-11 09:13
@Wendy59300,,其实是大宝喜欢z，还是有些心有不甘。因为昨晚大宝一直纠结是错过，如果不错过……而z已经明确说了，你是个好人。不是错不错过问题。好人，懂不？两个人智商情商都很高，说话非常成熟。,7,2019-10-11 14:05
@人非贤良,,我喜欢领证cp,8,2019-10-11 11:12
@沈斯亮你在哪,,这是啥投票？是因为这俩对上热搜了还是最后有反转？,4,2019-10-11 10:14
@文君儿Z,,喜欢领领，但是支持一元，希望领领可以遇到那个眼神所到之处都是你的影子的人,9,2019-10-11 09:31
@袖手枕月,,滚,4,2019-10-11 09:26
@saturn土萌萤,,这投票没有意义～领领，秋秋，卓逸凡都挺好的，喜欢这三个人，其她人不做评价,2,2019-10-13 02:35
@无语得你27901,,有些不必要的就算了吧，本身凡哥也不喜欢她，哪有那么多所谓遗憾,5,2019-10-11 14:34
@想要一个樱桃班戟,,衣领？？不爱就是不爱，遗憾啥,5,2019-10-11 11:57
@月亮香槟,,你这个时候搞个投票，简直是搞事情啊梦梦，,2,2019-10-11 11:00
@柳树下的那个亭,,节目组是怎么了？明明更多的是某一方的多投入啊。为什么要强组cp?卖看点？这个节目要不是冲人看早弃了 乱剪辑说话都连不在一起,2,2019-10-11 10:21
