User,Reter,Comment,Votes,Time
@nan栀菇凉,,真有人买64g的吗,3853,2019-09-20 12:57
@海南吴玉婷,,果蛆：还行，比华为贵，面子保住了,3827,2019-09-20 12:06
@雨雨發大財o,,我7.24买的的8p 64g 花了4700,28,2019-09-20 21:00
@娱七品,,女主找到了@卟萝莉脸 生活很多丰富吗,27,2019-09-20 18:49
@辛弟不是Cindy,,别想了，进了拼多多找券很难找到，这价格基本就看看,3925,2019-09-20 12:31
@被拯救了_嘿嘿,,拼多多好狠啊。。。。。,2150,2019-09-20 11:54
@种草小屁猪,,这是拼多多的百亿补贴啊，赚噱头，花钱买流量，又不是苹果降价，不过有一说一，pdd这一波真的狠，这价格真香,1720,2019-09-20 12:35
@狗熊将军TT,,720 跑马黑边框 外观和红米最低端看齐。要5000 还说没牌面儿。有没有智商？ios加分再大也不值 而且还是英特尔基带,405,2019-09-20 12:01
@一只哇塞的废纸,,已经入手了，嘿嘿 评论配图,737,2019-09-20 12:44
@但行好事嗼问前程,,4g手机 还想卖个万把儿？  ,297,2019-09-20 12:19
@张·小·尘,,苹果良心发现了？,112,2019-09-20 12:13
@難教,,还是iPhone香,116,2019-09-20 12:49
@我就是很可爱dei,,卧槽？？？？正品吗 我本来还想等双十一,99,2019-09-20 12:43
@吔瓜,,现在5g的具体行业标准都没有呢还成天5g 微博网民就是容易被带节奏,111,2019-09-20 12:34
@二楼十三,,"这价格,xr还有人买吗。",84,2019-09-20 11:51
@iBingo,,苹果不行了,85,2019-09-20 13:12
@鲤鲤Going-,,6999买的xr后悔了……,61,2019-09-20 13:14
@拉宝宝阿,,从来就没有信过拼多多也没在拼多多买东西听说质量很差,34,2019-09-20 12:49
@脱单群高个群,,震惊！华为发布会直接导致iPhone首发降价近千元~,58,2019-09-20 12:19
@脱单群高个群,,震惊，华为上市苹果竟暴跌，卧槽，价格屠夫，黄牛哭死,51,2019-09-20 12:22
@老可爱Leey,,都开始用了 评论配图,15,2019-09-20 13:34
@欧巴钊钊钊,,网上喷子就是他妈贱，人家贵说苹果贵。现在苹果便宜了，又说廉价,31,2019-09-20 14:02
