User,Reter,Comment,Votes,Time
@-甜栗,,哈哈哈哈哈哈哈哈还有这个！！！ 评论配图,1078,2019-09-20 16:01
@秃头少女阿黑,,出去吃火锅空调空调开的有点大，我妈把我的外套扒下来给狗穿,932,2019-09-20 17:02
@AboutLaura,,贼幸福 评论配图,820,2019-09-20 16:15
@盐焗小茴香,,还要我给她们拍照...... 评论配图,690,2019-09-20 16:28
@zhTianyu,,来晚了…… 评论配图,361,2019-09-20 16:19
@少年请放开那位大叔,,,332,2019-09-20 17:15
@peanutbutterbubblegum,,我外婆和我妈 评论配图,266,2019-09-20 16:02
@小仓鼠妹妹_,,我爷爷,311,2019-09-20 16:27
@_是鲸鲸啊,,我妈给我们家狗买了婴儿床… 评论配图,309,2019-09-20 17:05
@阿皮皮月,,我爸的朋友圈,242,2019-09-20 17:29
@叛逆行为艺术,,当爸妈养宠物时，我在家中排名就是老四,202,2019-09-20 15:59
@24KYO-,,我妈 抱着狗去吃我最爱的麻辣烫 让我舅妈拍照给我看 评论配图,205,2019-09-20 16:30
@浪味水星,,衣服还是同款,203,2019-09-20 17:06
@-瑶瑶叉会儿腰-,,此处必须有我，我妈给狗子包瓜子 评论配图,170,2019-09-20 16:32
@Madman_Fin,,害  谁不是呢  我妈当时说  我敢养猫她就把我扔楼梯道睡去  然后我抱回来了一只   剩下的俩都是她抱回来的  还有个英短在回来的路上,150,2019-09-20 16:47
@一只喵叽-,,当初那个说我要是养猫就把我和猫一起丢出去的人,118,2019-09-20 16:42
@鲜于香瓜,,我爸去长沙开会回家进门第一件事是大喊猫的名字 评论配图,128,2019-09-20 17:16
@SISARAH,,我的老父亲在家的常态 怀里一只猫 脚下踩条狗 评论配图,110,2019-09-20 16:49
@渐变心跳,,下雨我妈去接我俩（主要是接狗 我自己在后面跟着,98,2019-09-20 16:56
@LAN桑内牛牛,,说着把猫拿回来就把猫扔掉的老男人！ 评论配图,90,2019-09-20 17:01
@Gilda-K,,我妈说最讨厌狗了 评论配图,67,2019-09-20 16:56
@肉肉鳖,,,68,2019-09-20 16:56
@俗人阿袁,,我妈 给我崽 买的衣服,83,2019-09-20 17:06
@小灰兔Takumi-,,一去客厅发现我妈居然在跟猫对话,78,2019-09-20 18:41
@泉谷阿唧唧,,说猫很脏有病毒别带回家的我亲妈,60,2019-09-20 17:04
@Black_Yia,,对啊，我妈，抱狗像在抱孩子，老大尿尿被我打，我妈还安慰他，然后对着狗说姐姐坏，我们不喜欢姐姐了,58,2019-09-20 16:47
@LeeluLue,,我家狗子整天跟我抢 妈妈的怀抱,33,2019-09-20 17:54
@我有一头小毛驴耶,,这样的 http://t.cn/AinzEKXJ,42,2019-09-20 17:04
@Mualcy,,我妈发我的 一家三口斗地主 http://t.cn/Ain2tFQ7,22,2019-09-21 09:05
@女朋友很多的人,,宠物是亲生的，我是充话费送的,21,2019-09-20 16:07
@Liam49·,,图片评论 http://t.cn/Ainz0z9g,27,2019-09-20 16:19
@快乐收集站ll,,图2的泰迪有点幸福,16,2019-09-20 16:00
@鸡和宣,,我们家狗狗挑食不想吃狗粮 我爸趴在地上假装和她抢… http://t.cn/Ain2ckQG,18,2019-09-21 09:09
@别来我的梦里_,,一起睡觉 http://t.cn/AinZZmS8,14,2019-09-20 18:29
@一z只ne,,出门忘带它水瓶的我和我妈妈… http://t.cn/AinzBhAi,23,2019-09-20 17:28
@GNIJNAIB627,,图片评论 http://t.cn/AinwQcDF,20,2019-09-21 01:05
@杨嘉铭Wayne,,我是捡来的,5,2019-09-20 16:04
@手机用户小小T,,第三张的猫好像人啊啊啊啊啊哈哈哈哈哈哈！,14,2019-09-20 16:00
@月野君,,之前养过一只小狗狗在家里乱小便 我妈给它穿了我的内裤还垫了卫生巾,15,2019-09-20 21:57
@是杰啊宝啊,,@布小撅,0,2019-09-20 18:35
@抚猫教父维克多,,问：爸妈不让养猫怎么办 答：直接把猫带回去，剩下的猫就替你解决了,7,2019-09-20 19:33
@小枕奶不动了,,“有一只了还不够，还要买，给你扔了” 然后 评论配图,5,2019-09-20 21:42
@黄景瑜先生你好,,我爸妈来看我进门的第一件事,11,2019-09-20 17:34
@-tomatooo,,@-potatooo,2,2019-09-20 16:27
@LittleKK小金金,,@Alex-大表哥,0,2019-09-20 16:24
@Evababy沈大毛,,我只是意外,1,2019-09-20 19:25
@遙月輝,,我爸天天抱着它睡觉 我妈还给它织了个毛衣！？ 评论配图,15,2019-09-20 19:02
@一z只ne,,@我爱蓝色lxy,1,2019-09-20 17:28
@荞布斯-,,@燎原山火,4,2019-09-20 17:04
@Mellifluous_chat,,哈哈哈加字的那个也太秀了,3,2019-09-20 16:03
@君島1207,,@今天贝蒂开心了吗,1,2019-09-20 16:35
@怒吼吧蜗牛牛牛,,第一张照片是我家牛牛诶 评论配图,6,2019-09-21 01:25
@欧美吉他社,,@星星藏眼睛·,1,2019-09-20 17:07
@智力爆表小天才,,@迷九七 我真的好怕叔叔会让图九会成为现实,2,2019-09-20 16:30
@无忧果粒,,@不是诗诗是涛涛 此处应该艾特哈哈哈,0,2019-09-20 17:03
@是个隐姓埋名的土拨鼠,,@June7cey,0,2019-09-20 16:58
@双歧果,,@白敬亭最爱的aj,1,2019-09-20 16:29
@我就是鼻孔鸡,,说一辈子不养宠物的我妈 现在正在抱着我家猫猫抓着她爪爪给她上课。。。“一～加～一～等于～二～”（dbq选了半天还是想发丑照,2,2019-09-21 15:32
@Nur_ya,,@猫丞r_,1,2019-09-20 18:55
@狂躁症的大妞子,,@萌萌哒小肥羊儿 ,0,2019-09-20 17:16
@种颗泡芙,,真香@王氏为一,0,2019-09-20 17:14
@吧啦吧啦扒啦啦,,,1,2019-09-20 16:56
@那么我去吃饭了先,,哈哈哈哈,2,2019-09-20 16:17
@好多鲸鱼游啊游,,我爸的腿… 评论配图,2,2019-09-24 14:20
@蒜味儿女孩小媞,,@进击的小兔几 一开始看觉得很搞笑，看着看着又觉得心里难过,1,2019-09-20 23:36
@小天想吃小蓝人,,@小山帮Melody,1,2019-09-20 22:14
@阿尔托利鱼,,@徐大环子 此处应有你滴妈咪,1,2019-09-20 16:34
@每一个人都以为自己是个例外,,@大西西咯 哈哈哈,0,2019-09-20 16:27
