User,Reter,Comment,Votes,Time,Count
@破晓ccccy,,我觉得涵哥的学识当得起，别酸了,45053,2019-09-19 16:27,6
@MrMischief,,不让老百姓管吧你说不民主是专治，给公众人物管把你说那人不配，意思是只有让你来你才没话说？键盘侠真难伺候。,23441,2019-09-19 16:33,2
@伊贤,,汪老师确实 有当常委的气质,17075,2019-09-19 16:25,8
@纪青要减肥,,是特约监察员，不是行政职务。,13804,2019-09-19 16:38,2
@叔叔怪蜀黍,,看过天天向上的应该都知道汪涵确实厉害，接触了好多国家政界的人。,11574,2019-09-19 16:34,2
@大天狗的木屐有多高,,汪涵确实厉害啊,5992,2019-09-19 17:31,2
@L-1485and0408,,你酸可以，但是如果不了解汪涵这个人，说话还是不要这么难听，还有说戏子的，请问你真的活在9102年吗,4556,2019-09-19 17:33,2
@袅袅秋风处,,不要误会，科普一下特约监察员，大致类似于市民监督代表，选一些在市民中较有影响力的人。,4418,2019-09-19 17:35,2
@星星有光彩,,不愧是我最喜欢的主持人,3167,2019-09-19 16:23,4
@天牙牙海脚,,涵哥做节目都很正能量,2545,2019-09-19 16:46,2
@枫亭水谢,,说汪涵是戏子的，眼睛长在屁股上吧。,259,2019-09-19 17:39,2
@风乐先生,,恭喜汪涵老师,257,2019-09-19 16:46,2
@耶啵的脸脸呀,,涵哥优秀,147,2019-09-19 17:37,2
@咔嗒响的骨殖,,评论区有些臭鱼烂虾自己也不掂量下，有什么资格在这阴阳怪气,146,2019-09-19 16:36,2
@耀娇我为博肖来反黑,,主持界的骄傲，湖南人的骄傲。,140,2019-09-19 17:44,2
@我不难瘦biubiubiu,,大家可以看看天天向上的简介 涵哥有24个公益身份 还是方言推荐官 是真的在做事的,107,2019-09-19 19:08,2
@piupiu小香香,,我觉得汪涵担得起～凭借超高的政治觉悟，天天向上才越办越好啦,92,2019-09-19 17:38,2
@我会开出一个你无法拒绝的条件,,讲道理他应该算是比较讲道理的了吧,86,2019-09-19 16:32,2
@cy满是幸福,,评论里酸的人真多,80,2019-09-19 17:11,2
@四十当不惑,,记者懂什么是赴任吗,45,2019-09-19 17:08,2
@富甲一方的恶霸,,可以 涵哥还是靠谱,61,2019-09-19 16:41,2
@贾小仁,,感觉汪涵挺假的,40,2019-09-19 17:51,2
@胖啵妞妞妞,,有些人连特约监察员是什么都没搞懂，就开始酸。特约监察员各行各业的人都可以有，主要是行使监督职能。,40,2019-09-19 17:44,2
@飞吧歌子,,我觉得最有资格的是崔老师！,20,2019-09-19 17:01,2
@星星有光彩,,涵哥威武,43,2019-09-19 16:22,4
@ONEA2001,,舆论民情，很贴切汪涵,29,2019-09-19 16:29,4
@冰冰酱很nice,,汪涵真的很会说话了,35,2019-09-19 17:52,5
@扫眉才子笔玲珑,,不想看评论，因为会生气，但是那些脑残喷子不值得生气，一个没有是非观没有思维逻辑的喷子，跟他们理论什么啊，浪费时间。,32,2019-09-19 17:45,10
@荷叶伞教育总部,,民主促进会，不是民进党哦,29,2019-09-19 16:26,8
@普林斯基,,用词不当，只是特约监察员，不是行政职务，怎么可以用赴任？,26,2019-09-19 17:46,2
@岳桐同,,国内的主持人，我最喜欢汪涵，德艺双馨。,24,2019-09-19 17:44,2
@摩羯魔x,,汪涵会搞关系…果然名不虚传,19,2019-09-19 17:53,2
@我要像蜡笔小新一样快乐,,当官了,7,2019-09-19 16:23,2
@我多喜欢这样的人呐,,涵哥 ,17,2019-09-19 19:28,2
@awesome_jjk,,厉害了涵哥！所以他在天天向上掌舵人期间弘扬了我国很多文化，包括很多非遗、美食文化、祖国的大好河山等等等，传播了很多知识点！天天向上这个栏目在涵哥带领下真的越来越棒！@天天向上,19,2019-09-19 17:57,2
@锦衣卫指挥使大人从来不怕期末考,,我爱涵哥，爱天天向上，爱天天兄弟，这个节目真的能学到很多东西，真的会让我长见识!,19,2019-09-19 18:17,6
@野原翠花,,我觉得他对从政一直很向往,17,2019-09-19 17:17,2
@八月不歸,,人生赢家。,12,2019-09-19 16:24,2
@每日沙雕gif,,想到了牛群县长,7,2019-09-19 18:10,16
@励志励志再励志,,他的天天向上一直积极正能量，宣传中国文化传统美德，以及很多快没人继承的传承,15,2019-09-19 18:16,2
@腹黑嘟嘟嘴,,太优秀咯，所以评论说东说西的。哈哈哈哈哈,5,2019-09-19 18:14,2
@张发宗呀,,涵哥牛逼。,12,2019-09-19 17:45,2
@24k小辛辛,,从小看天天向上长大，我真的觉得天天比某本营强多了，知识含量都不一样，而且涵哥真的是学识渊博的好吗！不了解他的人请闭嘴,20,2019-09-19 17:49,2
@努力减肥的大大啊,,《天天向上》每期必看，汪涵有学识、有深度、幽默、沉稳、正能量，我觉得可以,9,2019-09-19 18:15,2
@锦衣卫指挥使大人从来不怕期末考,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊哥大发!敬佩 德艺双馨，这么多年了，一直很敬佩!,11,2019-09-19 18:15,6
@Yuna酱酱酱,,汪涵是唯一一个在地方台可以混出央视档次又邀请不到的人 他对湘土太有感情了,7,2019-09-19 22:36,3
@小摩托在家,,涵哥很优秀，主要他有情怀。一直想把湖南的中国的一些文化发扬下去，也是这么去做的，我不知道怎么形容，但是能感觉出来。,10,2019-09-19 17:58,2
@年近30的大龄剩女,,觉得汪涵确实比较厉害,11,2019-09-19 17:40,4
@齐国布衣Szheny,,作秀吧！多年来这做法层出不穷，但何曾有效？,14,2019-09-19 16:25,2
@云谈连营娘娘,,汪老师是一个很值得我们去肯定去信任的主持人，他发散出来的正能量和传达出来的三观，做一名特约监察员，是民众和ZF的肯定。支持,7,2019-09-19 18:28,2
@澡雪_晴天and快乐,,涵哥,3,2019-09-19 18:14,2
@夏夏xx,,是特约监察员，相当于协助监察工作的第三方群众代表，并不是行政职务，这个标题“赴任”有误导。用受聘更合适。,6,2019-09-19 18:10,2
@TLY_荦彦,,汪涵的涵养，学识，临场反应哪个不强？从越策越开心开始我就觉得汪涵很强，说别人学历，你有别人强？垃圾,11,2019-09-19 17:56,2
@gg19818,,涵哥可以的,8,2019-09-19 17:12,2
@深圳凉薄青年,,#汪涵赴任湖南省监察委#今天上午，湖南省监察委聘请27名特约监察员，省委常委、省纪委书记、省监委主任傅奎颁发聘书并讲话。民进中央委员、湖南省政协常委、著名主持人汪涵在列，聘期至2023年1月。湖南省监察委的决定显示，聘请特约监察员，是为了推动监察机关依法接受民主监督、社会监督、舆论监督,5,2019-09-19 16:37,2
@开门一看是杰大,,恭喜涵哥！,2,2019-09-19 19:44,2
@红豆薏米2009,,涵哥值得啊，做了很多有意义的事情,2,2019-09-19 19:43,2
@连吕大红都被注册了,,汪涵是我们学校的老师。。就，好像讲方言。很厉害的。！,6,2019-09-19 18:48,2
@傲氣琪琪,,这标题起得也是纯粹为了吸引眼球！！！赴任这个词怎么能乱用？？？明明只是作为特邀监察员！又不是行政职务何来“赴任”？？！！！,2,2019-09-19 20:29,2
@我是一个善良的北鼻,,给涵哥点赞,2,2019-09-19 18:41,2
@飞絮晚悠之,,涵哥真棒，学识眼界涵养没得说,5,2019-09-19 18:16,2
@莫要森奇,,涵哥棒,9,2019-09-19 16:53,2
@虞情予矣,,汪涵老师的学识担得起这身份,1,2019-09-19 19:55,4
@如梦令花语,,我感觉汪涵贼棒。,1,2019-09-19 19:54,2
@易只源宝,,涵哥，服,1,2019-09-19 19:53,2
@沫沫里拉mom,,祝贺涵哥,1,2019-09-19 19:51,2
@带我的喵去吃鱼,,不错,1,2019-09-19 19:51,2
@甜崽王,,坚持做了十几年的文化交流节目 涵哥三观正口才好人品佳 祝福涵哥,4,2019-09-19 18:38,2
@牛莲芝士酱,,小时候喜欢何老师，老了喜欢汪涵老师了,6,2019-09-19 18:29,2
@战哥的啵啵奶盖满分甜,,涵哥担得起，实至名归,9,2019-09-19 17:47,2
@__石,,汪涵不配？你配吗？ 酸什么酸？,2,2019-09-19 17:44,2
@hhihihihihihi,,涵哥可以的,6,2019-09-19 17:43,2
@_谨慎提交,,评论里酸了吧唧的都是些什么妖魔鬼怪,10,2019-09-19 17:34,2
@长得像吹风机的猪,,98年的小时候喜欢看快本，长大了就喜欢看天天向上了，天天向上都是有营养的东西n,3,2019-09-19 21:32,2
@我姐的口红太红,,不是嘞，我翻了一下，没看到骂汪涵的，到很多人骂那些骂汪涵的人……所以，柠檬精都不在了？还是？,5,2019-09-19 21:30,2
@北辰光痕HF,,汪涵当常委没啥毛病，但是我确实酸,2,2019-09-19 21:24,2
@丨忍者无敌丨,,为人民发声！为正义发声！！,2,2019-09-19 18:19,2
@_朽沐,,涵哥厉害，有些人酸了吧,3,2019-09-19 18:15,6
@wbearyy,,监察委,2,2019-09-19 17:45,2
@猫Rani,,人家的学识人品工作能力都完全胜任。,4,2019-09-19 17:40,2
@贪吃的小晴天,,什么头衔不重要，能不能起作用才重要。,4,2019-09-19 16:35,2
@震的不能改名字了,,真的优秀！！,5,2019-09-19 16:27,4
@爸妈觉得你瘦,,1,2,2019-09-19 16:22,2
@断魂的心痛,,都吃饱了！,1,2019-09-21 05:54,2
@边看边想再评论,,感觉很矛盾，公众人物担当监察员敢不敢发声？是流于形式做做表面工作还是正真的履行监察之职都交给时间来证明吧,1,2019-09-19 23:18,2
@红尘中迷途书童,,想起了芮成钢,2,2019-09-19 21:38,2
@尛孑孓wo邵,,阔以,1,2019-09-19 20:58,2
@南十字星宿,,一句话，听其言观其行，不管汪涵以前，自从他担任这个职务起，我们拭目以待,2,2019-09-19 19:40,4
@惊天动地JS,,知识面广博，而且亲民，这块儿我真的很佩服涵哥！,4,2019-09-19 19:26,2
@天天天蓝11111111,,涵哥厉害了，相信你一定能胜任[加油][加油][加油][加油],5,2019-09-19 18:43,2
@Cheese_南瓜,,涵哥不愧是涵哥,3,2019-09-19 18:21,2
@我们幸福的种子,,只要是进步就支持,6,2019-09-19 16:26,2
@85香菜醋的猫头,,有的人总就认为学识就是学历，搞不懂,1,2019-09-19 22:59,4
@浩毅軒成,,很好啊 一些评论网友酸死你算了,1,2019-09-19 18:26,2
