User,Reter,Comment,Votes,Time
@我是一颗芦苇哦,,大概抑郁不是因为被骂胖的原因吗？,1469,2019-09-20 15:39
@今天的晚安呢,,难道不是因为被别人说的抑郁的？,846,2019-09-20 19:07
@今天的晚安呢,,脂肪过多增加抑郁风险，节食也增加抑郁风险 你要我怎样,363,2019-09-20 19:10
@uu会飞678,,为什么我每次跑完步之后就有种死到的感觉,259,2019-09-20 15:30
@两块211_____,,我是抑郁开始胖，胖了之后被人议论更抑郁了，就不想出门不想运动,190,2019-09-20 19:26
@张·玄·尘·通州,,但是吃的越多我会越快乐啊,114,2019-09-20 19:01
@酱油味的汽水,,是因为来自周围人各种的嘲讽变得越来不约不自信越来越自卑,59,2019-09-20 19:44
@慕冥,,你都胖了会不抑郁吗 ？,48,2019-09-20 19:30
@Y不可以生闷气,,你直接说胖的人更容易被歧视，更容易自卑，从而更容易抑郁！,34,2019-09-20 19:19
@伴卿卿十几载,,希望开心能不请自来 评论配图,21,2019-09-20 19:40
@Evababy沈大毛,,不开心使人发胖,10,2019-09-20 19:23
@解俊俊的衬衣,,我........ 评论配图,10,2019-09-20 19:17
@自在逐月华,,我今天买衣服都一肚子火。店员上来就这个那个显瘦适合你，说扣不上敞着穿有气质。。。店员是瞎的么。。。我他妈肚子里是娃，不是肉。,3,2019-09-20 21:23
@流水村瀑儿,,脂肪过少增加焦虑风险，不要问谁说的，问就是专家,13,2019-09-20 19:13
@香菜杀手小张,,之前砖家不是说大腿肥胖代表心脏功能好么？？？,2,2019-09-21 00:01
@逍遥王走走,,确实会抑郁   吃完了就胖  就想瘦就抑郁,2,2019-09-20 23:49
@bibi不懂事长,,老子抑郁就是从瘦下来之后开始的,1,2019-09-20 21:27
@韦斯莱兄弟的951357,,其实有一些小胖子很幸福呢,0,2019-09-21 00:28
@陌桑勾搭不留,,何必这样，我就蛮胖的，我觉得人生在世第一就是要爱自己，所以你要对自己好，不管别人眼光，自己觉得开心就行，我做什么我自己开心就行，自己吃什么，吃的多少，喜不喜欢运动这个自己开心就行。你强行让自己每天跑几千米，你很累你觉得开心就行，但是要是你那么累又不开心，是别人逼迫的，谁会不抑郁。,2,2019-09-20 20:56
@Ivy梦话小子,,那是肯定的,0,2019-09-20 20:46
@赫尔假的王木木,,请放心，我还活着,0,2019-09-20 20:33
@做一个甜甜的姑娘吧,,我的内心活动都在这层下面,0,2019-09-20 20:29
@老沈家的二女儿,,@木木三的二次方,0,2019-09-20 19:31
@落尽堇丫头,,说好的心宽体胖呢,1,2019-09-20 20:33
@Oreocookies渣渣,,可心宽体胖呀,1,2019-09-20 20:33
@腰果精,,@刘欣宇Yu_,1,2019-09-20 20:10
@魄水並妖子,,不就是因为老有人bb才抑郁的吗?,1,2019-09-20 20:07
@佐伊的八赫,,是啊...！！就是来自大众审美的压力，和每天照镜子时的自我负罪感造成的抑郁啊。//@我是一颗芦苇哦:大概抑郁不是因为被骂胖的原因吗？,1,2019-09-20 19:42
@资深小透明话梅君,,让谁胖20斤不抑郁？这个研究是否考虑了其他影响因素？,1,2019-09-20 19:39
@就问你有没有见过比我还长的名字,,因为胖受到歧视所以自卑所以会抑郁,1,2019-09-20 19:28
@自保叔,,#脂肪过多增加抑郁风险# 胖子招谁惹谁了？,1,2019-09-20 19:22
@好想肥家啊,,怪不得我一直不开心,1,2019-09-20 19:19
@不值得一提的人,,不是说吃东西会开心吗,1,2019-09-20 19:12
@慕然lrfc,,太狠了吧，又有一个打击胖子的理由了,1,2019-09-20 19:11
@cj-蔡洁,,@郑-小臻 你看看,1,2019-09-20 19:07
@都是你啦都是你啦,,闲的吧。。我做梦都想瘦，前段时间的热搜可不是这样的，怎么滴？现在的开心不开心，只能跟胖瘦扯关系了吗？ 评论配图,0,2019-09-22 14:24
@Linlinlin173,,@-Xpppppp,0,2019-09-21 00:23
@不能再吃火锅啦,,可能我一年有5个月都在自我矛盾中就是这个原因？,0,2019-09-21 00:07
@笪笪是个豆沙包,,@mia小鸡会有大猫的,0,2019-09-20 23:46
@喜乐姑娘进化中,,没毛病。,0,2019-09-20 23:14
@每天都要捏捏小肚腩,,更抑郁难道不是不能穿更多漂亮小裙子吗？,0,2019-09-20 22:37
@农夫山泉Oo有点甜,,@andy_23_,0,2019-09-20 22:04
@Eva_杨阳羊,,@总有那么一群人_,0,2019-09-20 22:02
@Genjoman,,那我应该就是脂肪太多了,0,2019-09-20 21:23
@叽哩咕噜案例分析大师,,,0,2019-09-20 21:09
@奶冻赐我力量吧,,@睡不到黄景瑜人生没有意义 人生急等没有意义了,0,2019-09-20 21:09
@想要甜甜的昵称_,,@史蒂芬·鑫 我心情不好的时候一定是又胖了,0,2019-09-20 21:08
@哈温的小脸迷妹儿,,@cony爱哭脸,1,2019-09-20 21:07
@深巷w少女,,我体脂率12.3%，BMI15.5,0,2019-09-20 21:07
@薛之谦的黑口罩_,,@liuliugogogo 我就觉得越跑步越累,0,2019-09-20 21:05
@红烧Peppa,,我现在心情不好！！！！,0,2019-09-20 21:00
@母胎单身的基排睿_,,@那夜陪你看日出,0,2019-09-20 20:57
@木子壮壮,,@VV小陈同学 我更容易抑郁，你不容易,0,2019-09-20 20:53
@啊啊啊啊啊丹同学,,难怪最近有点抑郁,0,2019-09-20 20:51
@虚拟拖拉机二级主机,,呵呵,0,2019-09-20 20:44
@阿勇哥哥亲亲我,,但是吃东西能使我快乐,0,2019-09-20 20:41
@秘思橘,,胖到一定程度就是会难过想死，但是运动一样想死,0,2019-09-20 20:35
@Sunny_Sai赛,,@小西点大师夫 @__真心真意____ 你俩容易抑郁,0,2019-09-20 20:29
@一杯清水丶丶,,可是吃东西的时候我不知道有多快乐,0,2019-09-20 20:27
@大约是坨废猫啦,,,0,2019-09-20 20:22
@安和桥与南_,,放屁 我吃药才长的肉,0,2019-09-20 20:01
@球球的室友,,图片评论 评论配图,0,2019-09-20 20:00
@Candy酱爱生活,,#脂肪过多增加抑郁风险#  有没有人和我一样，感觉自己肉多了就很焦虑？ 然后就不想吃，多运动，折腾自己。,0,2019-09-20 19:53
@默默的莫莫yu,,谁胖会心情好啊……,0,2019-09-20 19:51
@JoyceBey,,@Lwz-Rothschild 别让我胖了，你看胖容易抑郁,0,2019-09-20 19:50
@1renren,,@巨蟹就是小海鲜 不是故意要 @ 你的,0,2019-09-20 19:49
@蒙胖胖最爱我,,@你与日落,0,2019-09-20 19:47
@可爱之人亦是可爱之人,,脂肪过低，我也挺抑郁的,0,2019-09-20 19:45
@城南南_CNN,,还让不让我这个小胖子活了！,0,2019-09-20 19:42
@懒羊羊10,,一会儿又说胖会更长寿，一会儿又说胖容易抑郁，到底让我胖还是瘦,0,2019-09-20 19:41
@胖胖与罐罐,,刚查了，拿了很多药，不知道与我体重有没有关系，我觉得心理因素是关键的吧？ 评论配图,0,2019-09-20 19:41
@果砸作死君,,钱过少估计也会,1,2019-09-20 23:56
