User,Reter,Comment,Votes,Time
@西西西西IaX,,看生图,767,2019-09-19 22:43
@曰哥,,迪丽热巴 评论配图,593,2019-09-19 22:42
@喜欢傲娇迪,,美美 评论配图,484,2019-09-19 22:45
@洛星记,,迪丽热巴太美了吧,415,2019-09-19 22:43
@Wendi·rb,,太美了 评论配图,345,2019-09-19 22:45
@晓鹿木子,,真的绝了，好看呐 评论配图,268,2019-09-19 22:43
@暴脾气斗士郭芙蓉,,绝了 评论配图,205,2019-09-19 22:42
@依依复琪琪,,太漂亮了，一见误终身,69,2019-09-19 22:44
@nice彭儿,,蓝色的姐姐很好看啊,94,2019-09-19 22:42
@aff-Dear-蓝色妖姬,,哇姐姐,74,2019-09-19 22:44
@卡-莉-莎,,漂亮,16,2019-09-19 22:42
@守护夜空中最亮的星8,,太好看了吧我的迪丽热巴呀 http://t.cn/AinvEAq6,13,2019-09-19 22:54
@要你狗命mngt,,仙女迪！ http://t.cn/Ainv8QTc,22,2019-09-19 22:47
@ZZ-居北以白啊,,人比花娇的美少女,11,2019-09-19 22:51
@我是你捧在心尖儿上的人呐_L,,我爱了,9,2019-09-19 23:00
@贩卖涂鸦,,姐姐好美啊,11,2019-09-19 22:47
@木子李王-,,周六时尚大师约起来！ http://t.cn/AinvEG8y,9,2019-09-19 22:55
@方沁萱,,表白热热,5,2019-09-19 23:05
@独孤葭芠,,姐姐好漂亮,6,2019-09-19 22:42
@lorrianyoung,,优雅知性,4,2019-09-19 22:49
@晓鹿木子,,天哪 真的好好看,7,2019-09-19 22:42
@与齐沉溺,,替美女防杠精 评论配图,7,2019-09-19 22:57
@Joa7y,,这姐们的驾驭服装颜色这块粉丝真的从来不发愁,4,2019-09-19 22:49
@心系爱凯,,好美啊,2,2019-09-20 07:56
@巧克力马修嘿,,生图太美,2,2019-09-19 23:13
@漫溯墨清岸,,迪丽热巴，漂亮,2,2019-09-19 23:13
@Dear-梦迪儿啊,,超好看,1,2019-09-20 08:31
@紫萝冰樱31053,,好好看啊,1,2019-09-20 08:20
@是巴巴不是爸爸,,想嫁,1,2019-09-19 23:28
@Alva_婷婷,,真的是很羡慕了，,1,2019-09-19 23:26
@抱住一一呀c,,,0,2019-09-20 23:56
@接受水冰月的暴击,,好美,0,2019-09-20 15:42
@华昱青,,清新可爱，温婉动人,0,2019-09-20 14:43
@亲亲阿丝苒宝,,,1,2019-09-20 08:23
@我22点之前睡,,awsl,1,2019-09-20 07:57
@梅格妮-Kris,,咋都是空瓶啊 耳朵上那朵花怎么没科普？,0,2019-09-20 07:43
@是阿黄不是黄黄吖,,真滴美,0,2019-09-20 07:43
@云小妹儿AA,,美迪,1,2019-09-20 06:59
@爱你个捶,,爱了,0,2019-09-20 06:17
@扮次元,,浅蓝色迪丽热巴,0,2019-09-20 03:04
@诺阿-,,回复@想为你热爱世界 的表态:是这个 但是我忘记是哪个大佬修的图了 评论配图,0,2019-09-20 01:09
@nan音Y,,清新靓丽,0,2019-09-20 00:56
@回瞬浅笑颠倒众生,,热巴好看啊,0,2019-09-20 00:37
@Arbitrariness-梦旅人,,是吴亦凡的了，,0,2019-09-20 00:34
@再熬夜就秃头sike,,热巴太美了,0,2019-09-20 00:05
@是妖精不是大长腿,,太好看了,0,2019-09-20 00:04
@再热就要挂,,,0,2019-09-20 00:02
@酸奶疙瘩YMJ,,我的小花仙子,0,2019-09-20 00:00
@爱吃酸奶疙瘩的甜甜圈,,,0,2019-09-19 23:58
@47追的是光啊,,,0,2019-09-19 23:52
@蛋挞皇后,,太绝了,0,2019-09-19 23:50
@混沌fffb,,真漂亮,0,2019-09-19 23:34
@Teng翊凌,,太美了,0,2019-09-19 23:34
@甜热热的糖果甜心,,迪丽热巴太美了,0,2019-09-19 23:15
@被遗忘的蓝梦,,迪丽热巴,0,2019-09-19 23:12
@接受水冰月的暴击,,太好看啦！,0,2019-09-19 23:02
@雪冰柠,,超美,0,2019-09-19 22:58
@雪冰柠,,爱了,0,2019-09-19 22:57
@七七我是一条会飞的鱼,,大美女谁不爱呢@Dear-迪丽热巴 ,0,2019-09-19 22:56
@岁月静流心如简,,美女,0,2019-09-19 22:56
@阿兰若官方后援会,,图片评论 评论配图,0,2019-09-19 22:56
@华昱青,,爱情来的太快就像龙卷风,0,2019-09-19 22:55
@小迪么么哒7788,,感谢分析,0,2019-09-19 22:55
@华昱青,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 莫名心动啊,0,2019-09-19 22:55
@接受水冰月的暴击,,好康！！！,0,2019-09-19 22:55
@轻风细雨的爱你,,我迪崽美美哒@Dear-迪丽热巴 期待电影日月和电视剧三生三世枕上书,2,2019-09-19 22:55
@爽朗的弹指一挥间300_564,,美貌杀我 评论配图,0,2019-09-19 22:51
@Hungyeah0218,,熱巴,0,2019-09-19 22:49
@楠木缓缓可依,,今天是甜甜的热巴 评论配图,0,2019-09-19 22:47
@脾气超坏的,,热巴还是很漂亮呀,0,2019-09-19 22:46
@aff-Dear-蓝色妖姬,,姐姐真好看 评论配图,0,2019-09-19 22:45
@一条秋靛鱼,,哇,0,2019-09-19 22:45
