User,Reter,Comment,Votes,Time
@哼哈ltz,,人家是“人车合一”，你是“人车分离”,855,2019-09-21 16:44
@昝永梁,,我的教练班长20多秒就完成了 从按喇叭开始 3进两退完成 车轮不压线  不原地打方向 最后操作完车身要正,14,2019-09-21 16:45
@大球球家的小哪吒,,但是科目二难是真难,7,2019-09-21 16:43
@玄大妞儿_xue,,厉害啊！！膜拜,6,2019-09-21 16:41
@熊熊部落,,哇塞这速度霸气，了不起,11,2019-09-21 16:42
@GOODNESSZC,,科二不考掉头吧,6,2019-09-21 16:42
@水木一了,,加个护栏吧，划线不太公平,3,2019-09-21 16:54
@张小个儿,,驾照已经考，,3,2019-09-21 16:49
@飞速逃跑的猫脑袋,,厉害厉害,4,2019-09-21 16:48
@南兔不识路,,我觉得科三比科二难 毕竟我是科三考了五次的人,5,2019-09-21 16:46
@小幸运v66,,厉害,2,2019-09-21 16:55
@SandStatue丶,,教练不让单手操作,2,2019-09-21 18:44
@千本樱yy,,科二学了20天，至今不敢上坡,3,2019-09-21 17:08
@控制不住的女神经,,厉害,2,2019-09-21 16:41
@假人儿呀,,瑞思拜,2,2019-09-21 16:41
@Chimchimmmmy_,,但是 学车实在是太难了,3,2019-09-21 16:42
@LI海峰27,,绝对是老司机水平,1,2019-09-21 22:02
@烟雨佳人伴明月,,窄路掉头还好，S弯才是噩梦,1,2019-09-21 20:44
@源真妍,,我什么时候能,2,2019-09-21 18:14
@泽罗凯ZEROKAI,,我有点想看军卡漂移,2,2019-09-21 17:54
@zu海洋,,我爸开了二十年大卡，13米长度的挂车。估计水平都赶不上并哥哥,1,2019-09-21 17:49
@Attack_饭特西,,,0,2019-09-21 17:10
@明天一样燃,,谁能跟兵哥哥比帅呢,3,2019-09-21 17:04
@世界Estelle,,现在考驾照加项目了呀，还有夜路和掉头过杠,1,2019-09-21 16:56
@云梦清颖,,方向盘打的真六,1,2019-09-21 16:55
@schafeeea,,我科二挂的那天，从考试中心一路哭着回去的,1,2019-09-21 16:54
@可爱寂1111,,厉害,2,2019-09-21 16:49
@陈佳欣0521,,为军人点赞,2,2019-09-21 16:46
@天津德云社开张了,,科目二第一把出库就挂，第二把神奇般的通过了,1,2019-09-21 19:56
@郜晗郜晗大郜晗,,你试试？考试这样属于危险驾驶，直接给你挂科,1,2019-09-21 18:07
@等爱的季节ILOV,,人家是兵哥咧,1,2019-09-21 17:19
@灯红酒绿大乘子,,只看看都晕车了,1,2019-09-21 17:07
@姑娘略傻,,我记得...我当时被要求双手握方向盘来着？,1,2019-09-21 16:59
@圈养一只睫毛精,,一般人单手抡方向盘考官给过么？,1,2019-09-21 16:58
@心里有话1,,性能不错，方向盘很滑,1,2019-09-21 16:56
@maple丶pen,,单手持车把，扣10分,2,2019-09-21 16:50
@飞扬的腿毛丶,,我就是在部队学的车，考试时有这个，压到路边石了。。。,1,2019-09-21 16:49
@Mr_储,,两进两退 考验的是车感。,1,2019-09-21 16:48
@丶KarmapaChenno,,台上一分钟台下十年功,1,2019-09-21 16:47
@Wis-cool,,谢谢你们   保家卫国,1,2019-09-21 16:45
@小牛2020年考法考,,压线了吧,0,2019-09-24 20:45
@言又一十,,我也是要成为32秒调军卡的男人,0,2019-09-23 09:58
@杨家小糯,,,0,2019-09-22 23:22
@等待花开yuH,,太强了,0,2019-09-22 13:58
@战狼雪月,,都是一把过的吗？,0,2019-09-22 12:51
@蔡试场,,真是进步了，以前老解放怎么可能这样搓方向盘,0,2019-09-22 11:00
@唐等等-,,还记得科二我挂在起点,0,2019-09-22 08:59
@花开花叶不相见,,这方向盘撸的贼溜,0,2019-09-22 05:52
@不过科目二你就别改名了吧,,我,0,2019-09-21 21:56
@洪浚嘉的小怼怼,,我还没考科二呢，但看了这个之后，我决定奋发图强，做这条马路上最靓的女司机,0,2019-09-21 21:46
@安迪说白龙马不容易,,厉害,0,2019-09-21 21:42
@coco666123,,瑟瑟发抖,0,2019-09-21 21:32
@-鵬_仔-,,老哥的车就是在部队学的，也是海军,0,2019-09-21 20:30
@雨期没有眼泪,,汽车兵：有路吗？有路我就能过,0,2019-09-21 20:00
@l_ksama,,FPP绝地求生,0,2019-09-21 19:09
@龙头妖谷,,还好我没丢人，我是1把萌过去了,0,2019-09-21 18:56
@李老师夏星月,,666,0,2019-09-21 18:54
@占占侠_,,这个单手真的太帅了,0,2019-09-21 18:53
@来一杯多冰芒果奶盖,,满分一次考过的我：什么玩意儿 这就过了 我还没觉得啥呢,0,2019-09-21 18:36
@今天也是呷柠檬的一天啊,,不就是手扶在方向盘上左转转右转转吗？害，我也会。,0,2019-09-21 18:23
