User,Reter,Comment,Votes,Time
@爱ni不是一两天,,隐隐约约有听说啦这个真的太搞了,1342,2019-09-21 17:29
@SerendipityAD,,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈笑晕了,1084,2019-09-21 17:31
@谁是别人啊,,见人说人话见鬼说鬼话,401,2019-09-21 17:32
@盼盼白小白,,,31,2019-09-21 17:35
@Daisydm,,@大熊饼干吃吗 啊哈哈哈哈哈哈哈哈哈哈哈哈哈哈,12,2019-09-21 20:07
@甜甜圈好好吃呀,,网友有病吧。人家怎么祝福是人家的事,3835,2019-09-21 17:29
@URNOTCHRISQIN,,？？网友三观都尼玛碎了吗？这哪里有趣了？人家喜洋洋的结个婚打开评论不心塞吗？他们也是人啊,3257,2019-09-21 18:36
@陈南矜_w,,这届键盘侠说话都不看场合的吗？,2345,2019-09-21 17:29
@孤僻的春,,把刻薄当有趣,1959,2019-09-21 18:27
@小秀快跑,,好烦 还不如控评,1870,2019-09-21 17:54
@JKDM_ming,,这样的评论真的是有趣不是杠吗？,1573,2019-09-21 17:54
@高贵路人易易酱,,希望你结婚的时候你讨厌的七大姑八大姨也对你说这些话 毕竟我看你觉得挺有趣的 你一定很爱听,1282,2019-09-21 18:56
@瑜酱不咸,,戏精又犯贱的明明是网友啊 哪里有趣了 别人真实什么关系也不知道 倒是网友个个觉得自己很熟,1040,2019-09-21 18:28
@香芋迪,,当代网友真的管的太宽了,968,2019-09-21 17:29
@锦小篱,,不好笑，简直是一群杠精，别人结婚送个祝福，一群说不合适的，指手画脚冲上前排，结婚的膈应，送祝福的也不开心，可见控评还是有一定的合理性的。,728,2019-09-21 19:12
@榴莲味儿的小咸鱼,,人家好歹是作为朋友送上祝福的....,605,2019-09-21 18:20
@你不要乖啦,,搁人结婚微博下说这话，还觉得自己挺有意思？？有毛病吧,505,2019-09-21 17:50
@不减掉20斤不改名,,有病吧,441,2019-09-21 17:50
