User,Reter,Comment,Votes,Time,Count
@uMentor留学,,哇~真的很贴心了~,82408,2019-09-20 15:37,1
@宫爆厨魔小胖石,,比资助那些上去卖惨，领着助学金平时经常烧烤聚餐KTV的好多了,47206,2019-09-20 16:37,1
@jupiter--凌风,,这才是学校真的应该办的事情~~,28979,2019-09-20 15:38,1
@木偶奇遇四叶草,,如此人性化有风格的学校太值得宣传赞扬了,18449,2019-09-20 15:46,1
@pengxxxyyymmmjjj,,很合理了,8543,2019-09-20 15:37,1
@Jebberwocky,,找出每月在食堂吃饭60次以上、每天吃饭低于平均值8元的学生进行资助&lt;- 这个真的很科学阿 ～,7808,2019-09-20 16:07,1
@美食运动者,,这一堂贴心课打了无数学校的脸,3807,2019-09-20 16:31,1
@SUNSUNSUN猴纸,,之前报道的中国科技大学好像也在用，感觉挺好的，比让学生去申请更精准，而且还保护了学生的自尊,2363,2019-09-20 16:31,1
@梅梅見,,(⊙o⊙)哇真的暖,1016,2019-09-20 15:38,1
@着手准备找对象,,打码啊！？！学校都知道尊重学生，媒体真完犊子。,805,2019-09-20 15:51,1
@YY歪歪Y,,好感动啊，我的天,881,2019-09-20 15:38,1
@倒车入库倒两圈的人,,比国家补助贫困生那个好多了，有多少人是真贫困？一个班多少多少名额，就算没有贫困生也都把名额争下来，好像没选到几等几等吃很大亏一样，我一女同学两台笔记本打游戏，报的时候说她和她妈都有低保，真不知道哪来这么厚的脸皮,595,2019-09-21 14:42,1
@茶心柚,,很暖心，之前评助学金的时候学校让那些孩子上去一个个讲自己家的情况，有多困难，让我们投票，基本台上的谁哭的厉害谁最有可能，但是那些自尊心强的敏感说不出口的可能家里更困难。每次听我都得带卫生纸，其实谁困难生活中就看得出，没必要搞那些,510,2019-09-21 14:41,1
@左记鸣的小微博,,别人家的学校,355,2019-09-20 15:41,1
@Dear-S-Y,,比每次助学金评选搞的像买惨大会强了百倍，见过太多出国旅游着手里拿着苹果身上穿着阿迪依然拿着助学金的人，这样真的太棒了,325,2019-09-21 15:07,1
@BEA_TY品牌折扣,,真的不错。,195,2019-09-20 15:38,1
@痘印er,,学校真的好贴心(虽然149还没发,205,2019-09-21 15:03,1
@Ankerli-蜀龍,,别人家的学校,188,2019-09-20 15:43,1
@不太靠谱的半仙,,emmm，八块钱，我们学校...不说了，都是泪,125,2019-09-20 15:45,1
@幽慵,,好棒,70,2019-09-20 15:38,1
@l不见长安il,,为自己是西电er感到自豪,83,2019-09-21 15:07,1
@我是微琛,,真暖啊,66,2019-09-20 15:42,1
@羊羊得亿鸭,,中科大很早很早就有了,75,2019-09-21 07:49,1
@-王富贵啊-,,我们学校别说给你补贴，就是本该退给我们的书费都要拖个半学期一学期的，各种捞钱，宿舍装空调一人多收200，八人间，都可以买个空调了好不，而且是每年收，四年大学下来光空调费一个宿舍收了6400，电费另算自己充钱,58,2019-09-20 16:54,1
@狼萧的折叠式梦想,,这不是我的学校吗@西安电子科技大学 ,50,2019-09-21 15:07,1
@JUNE-小小鹿,,比起学生自己申请，这种方式既人性化又能真正的帮到那些真正需要帮助的学生，超赞的,39,2019-09-21 15:06,1
@深海的现代气候,,太暖了！利用大数据干好事的学校,31,2019-09-21 15:08,1
@从今的我是张艺锎,,暖心,33,2019-09-20 15:41,1
@一只羊羽,,我上大学的时候一个同宿舍的每天去学校食堂吃饭，一般只点米饭加一份冬瓜或青菜，一共一块6。可人家也不贫困，没毕业就去过很多国家旅行了。对了他玩摄影的,34,2019-09-21 14:44,1
@为梦想努力奋斗爱笑的人,,这他妈才是真正的学校,30,2019-09-21 15:10,1
@诺诺若诺诺诺言,,既资助了贫困学生，又兼顾了学生的内心，这大学赞了。,34,2019-09-21 14:43,1
@不为我蓝2333,,助学金要是都这样发放，也不会出现为了争助学金卖惨的人了吧,18,2019-09-21 16:46,1
@CornfieldRanger,,吹爆我大西电,33,2019-09-21 15:37,1
@Maggie张1010,,真的是好学校啊,16,2019-09-21 15:06,1
@月博007卖海南房的小伙,,这种学校教育不会差,19,2019-09-21 15:08,1
@SeaDint,,感谢这些真心为学生着想的老师们,24,2019-09-21 12:44,1
@小哇抓鱼,,我天  太人性化了,5,2019-09-21 15:56,2
@有人牵着啾啾,,真的很感动啊啊啊,4,2019-09-21 16:01,2
@牛股妖,,太棒了这学校，爱的很有温度,8,2019-09-21 15:08,2
@几几不叽叽,,好喜欢里面的那个老师温温柔柔,7,2019-09-21 15:04,1
@薛定的猫饿了,,这个多好。无形的爱。如果人人都献出一点爱，这个世界将变成美好的人间……,6,2019-09-21 14:56,1
