User,Reter,Comment,Votes,Time,Count
@伊丽莎白兔biu,,相对于外表，人品重要多了，所以太自私自利是最不可的,12,2019-09-21 12:04,2
@溪峪芒颖麦草,,脾气暴躁,6,2019-09-21 11:52,2
@DogJumak,,自卑导致的过度的自尊心,7,2019-09-21 12:26,1
@Myladyzhang,,不上进,8,2019-09-21 11:52,1
@怪姐姐喜欢小奶狗,,自私自利,3,2019-09-21 11:51,3
@瘦成闪电劈死你hahaha,,当和女朋友发生关系之后跟自己的室友朋友讲，还在那里做对比。什么什么的……,5,2019-09-21 12:59,1
@Murray_Spurs,,邋遢,1,2019-09-21 11:51,1
@林慕涵Victoria,,以上三条都不能接受,3,2019-09-23 06:45,3
@__Rhinoceros,,本来女人就吃生理上的亏孩子又不姓女人的姓，再碰个自私自利的的男人那不用活了或者自己活吧。,1,2019-09-22 11:29,2
@__Rhinoceros,,自私自利斤斤计较,1,2019-09-22 11:27,2
@老丸子啊哟,,以上都是,1,2019-09-21 12:35,4
@吴总少爷,,自私自利,1,2019-09-21 11:51,2
@寥樨,,包括但不仅限于以上,0,2019-09-21 17:50,1
@林听疯语,,都,0,2019-09-21 12:36,1
@喵星星xingxing,,不能多选吗？,0,2019-09-21 12:31,1
@安烨想带大成回家,,疯狂diss我追星,0,2019-09-21 12:19,1
@_树深时见鹿__,,为什么不能多选,0,2019-09-21 12:06,1
@17k莫以薰,,非得单选,1,2019-09-22 23:29,1
@源小源嘟嘟,,不负责任,1,2019-09-21 12:25,1
@烟水杳渺,,以上全部,1,2019-09-21 12:15,1
@Dragon_WL_,,我男朋友全占，我可以全选吗,0,2019-09-23 09:45,3
@在五中好好学习,,都不接受,0,2019-09-22 23:40,1
@QUINN--LEE,,都不能,0,2019-09-21 12:37,1
@爱喝酸奶的小奶毛,,大男子主义,0,2019-09-21 12:36,1
@法梧桐叶间罅隙的时光,,都有,0,2019-09-21 12:35,1
@日常share,,自负，自我感觉非常良好还经常贬低身边的人,0,2019-09-21 12:35,1
@80后夜猫子小姐,,能都选么,0,2019-09-21 12:34,1
@追剧少女的日常啊啊啊啊,,这三种都挺接受不了的。。,0,2019-09-21 12:34,1
@一生有你gy_88482,,都不能忍受,0,2019-09-21 12:33,1
@kristindanz,,智商低,0,2019-09-21 12:31,1
@亲爱的不二带我走吧,,都受不了,0,2019-09-21 12:31,1
@取个啥名字鸭,,都受不了,0,2019-09-21 12:31,1
@蜜桃阿一,,这三点都不能接受,0,2019-09-21 12:31,1
@你若盛开缓缓归矣,,邋遢脾气暴躁自私自利,0,2019-09-21 12:30,1
@樗栎散材,,以上都有，还有大男子主义，不做家务，家活懒，外活勤，不会存钱，喝酒抽烟不知道量，花言巧语，满天撒网……,0,2019-09-21 12:30,1
@倔强的易生喜爱,,邋遢，自私，只想着自己,0,2019-09-21 12:29,1
@恬恬清甜,,全部,0,2019-09-21 12:28,1
@宇宙欠我一个含光君,,以上都是,0,2019-09-21 12:28,1
@ty蔷薇花,,都不喜欢,0,2019-09-21 12:27,1
@皇家小哩哩,,虚荣,0,2019-09-21 12:26,1
@趣多多好有趣_,,都不能忍受,0,2019-09-21 12:26,1
@墨晞e,,每一点都不能接受,0,2019-09-21 12:24,1
@唐甜Anna,,以上全部,0,2019-09-21 12:21,1
@motherfxxktube,,屌太大,0,2019-09-21 12:21,1
@宫小博1234,,爱聊骚,0,2019-09-21 12:17,1
@古朵亲你,,抠,0,2019-09-21 12:02,1
@猫头鹰vs老四,,以上都不喜欢,0,2019-09-21 12:00,1
@我姓王也是你的王,,是不是有缺点都不能忍受,0,2019-09-21 11:53,1
@三岁小哥哥qwq,,转发微博,0,2019-09-21 11:52,1
@陶渊明2008,,自私自利,0,2019-09-21 11:52,2
@Julie张荔棉舒华,,转发微博,0,2019-09-21 14:03,1
@今夜也甜,,会呼吸,0,2019-09-21 13:21,1
@节操_80802,,呼吸。,0,2019-09-21 12:41,1
@蓝湛金牌助理,,都不能忍受,0,2019-09-21 12:27,1
@大鱼大鱼灬,,女人一般最自私,0,2019-09-21 12:19,1
@Dragon_WL_,,我男朋友全占，我可以全选吗,0,2019-09-23 09:45,3
@林慕涵Victoria,,以上三条都不能接受,3,2019-09-23 06:45,3
@Dragon_WL_,,我男朋友全占，我可以全选吗,0,2019-09-23 09:45,3
@林慕涵Victoria,,以上三条都不能接受,3,2019-09-23 06:45,3
