User,Reter,Comment,Votes,Time,Count
@汐末,,人美心善我爽姐，一元起竞拍衣服，收取全部捐给慈善机构,2148,2019-09-22 09:35,1
@阿鹿余生请多指教,,这样一套居然才卖30 评论配图,1656,2019-09-22 09:41,1
@KTV微微一笑很倾城,,人美心善，支持郑爽姐姐做公益,1660,2019-09-22 09:34,1
@yanyan68526,,人美心善,1234,2019-09-22 09:32,2
@大壳辫儿,,会～因为她好看，因为她善良,1084,2019-09-22 09:36,1
@celoie,,主要是尺码不合适，没她瘦,856,2019-09-22 09:42,1
@世间无欢客,,应该是受了花花万物的影响把哈哈哈,623,2019-09-22 09:36,2
@爱爽爽呀sssss,,人美心善，支持郑爽郑能量 评论配图,466,2019-09-22 09:35,1
@娱小楼,,支持郑爽，因为她好看，因为她善良,362,2019-09-22 09:47,2
@安娜7189,,公益无大小，这样的活动支持起来 评论配图,322,2019-09-22 09:41,1
@慕容饭小果,,支持郑爽做公益，加油小姐姐 评论配图,312,2019-09-22 09:49,1
@秋秋秋壳南兮,,支持小爽做公益 评论配图,272,2019-09-22 09:45,1
@四枼幸运草,,支持姐姐做公益 评论配图,238,2019-09-22 09:38,1
@爱小爽的正版哇,,一元起拍 所得收益全部用作公益 拍卖价都没有原价高 人美心善的郑爽 她真的很好很善良,175,2019-09-22 09:42,1
@机械设计clong,,支持郑爽,182,2019-09-22 09:31,3
@那时欢喜_,,她的衣服我穿不上,88,2019-09-22 09:39,1
@幸福旅途,,这样的公益事业必须支持起来！买了 评论配图,118,2019-09-22 09:39,1
@土味情话展览馆,,人美心善,117,2019-09-22 09:37,2
@大壳的小羊,,支持,69,2019-09-22 09:41,1
@星星的qi待1,,有爱心,82,2019-09-22 09:32,2
@z郑和周,,人美心善，支持郑爽姐姐做公益,49,2019-09-22 09:41,1
@旺旺之杭,,拍不到啊，男粉太厉害啦,45,2019-09-22 09:45,1
@苏家离陌mo,,得夸，不是粉丝，pljj超棒,60,2019-09-22 09:36,1
@月亮知我心意,,小爽太棒了！,48,2019-09-22 09:40,1
@加油努力杨咩咩yx,,支持,63,2019-09-22 09:32,1
@星星的qi待1,,,66,2019-09-22 09:31,2
@流年Tide,,支持公益没毛病，人美心善我爽姐,54,2019-09-22 09:35,1
@脱单群高个群,,我为啥觉得挺便宜（弱弱的说），而且有的不是本来就很贵么，她没怎么穿便宜那么多很划算啊,49,2019-09-22 09:47,6
@Ms董笨笨二姐,,很棒,40,2019-09-22 09:31,1
@了乐叻嘞,,一直都喜欢郑爽的性子，没想到她这么有爱心,28,2019-09-22 09:45,1
@Ts美猫喵喵喵,,我觉得30的那个蓝色小格子的上衣好看，哈哈,12,2019-09-22 10:53,1
@梓上小妮,,这必须支持,32,2019-09-22 09:32,2
@那一片清音,,说实话，这审美这衣服，送给我我都不要,9,2019-09-22 10:52,1
@最喜欢啾啾了06,,爽妹子要做慈善了，这个必须要支持一把。 评论配图,22,2019-09-22 09:39,1
@兔兔那么可爱67,,人美心更善，支持郑爽做公益，加油 评论配图,20,2019-09-22 09:43,1
@儒雅的落幕哥,,这个必须的支持一波啊，没想到郑爽那么有爱心,19,2019-09-22 09:41,1
@薛妍panda,,不买 太有心机了心机女,5,2019-09-22 10:24,2
@-爽芯悦目-,,支持郑爽姐姐做公益,16,2019-09-22 10:09,1
@一颗苗Ya,,衣服一元起拍，衣服原价本身就不便宜，最后所拍的会全部捐给慈善组织呦，支持正能量的姐姐做公益 评论配图,19,2019-09-22 09:39,1
@雪三岁x,,不是她粉丝也不会买，但是觉得这种做慈善的方式挺好的，既满足粉丝想收藏偶像物品的愿望又有收益可以做慈善，我觉得挺棒的。,15,2019-09-22 10:47,1
@洛娃66MM,,支持爱心公益,15,2019-09-22 09:33,2
@小笼女3399,,支持支持 看看效果图 评论配图,11,2019-09-22 09:53,1
@你怕不怕我啊,,这么有意义的事情怎么能少得了我呢？一起去支持爽妹子。 评论配图,11,2019-09-22 09:45,1
@钱被大风刮跑了,,昨天刚看完她那一期的花花万物，被性格圈粉了,5,2019-09-22 12:31,1
@mouse爱吃巧克力豆,,人美心善,3,2019-09-22 12:20,3
@mouse爱吃巧克力豆,,支持姐姐公益,3,2019-09-22 12:20,3
@纪小囧,,我居然在认真的看有没有好看的且我买得起的,4,2019-09-22 10:56,1
@二千微鲸,,我想买，但是尺码我不配,8,2019-09-22 10:16,3
@葭月廿yi,,大型控评现场,4,2019-09-22 10:17,1
@天下贰暗月风追忆,,支持正能量，支持公益，没毛病,9,2019-09-22 09:34,2
@手绢上de花,,她没有大牌赞助商吗？通告都是自己买的衣服，好像也不走红毯。,3,2019-09-22 12:02,1
@hbyzszs,,#郑爽拍卖衣服# 人美心善说的是我爱豆本人了！郑爽冲鸭！！！,4,2019-09-22 11:41,2
