User,Reter,Comment,Votes,Time,Count
@THGIRB-,,撒野,8194,2019-09-22 22:10,1
@M_athilda_,,活着,7770,2019-09-22 22:10,1
@鱼不橘,,默读！！,4809,2019-09-22 22:15,2
@天然卷卷然天,,天官赐福,4180,2019-09-22 22:13,1
@AdoreTube,,活着 许三观卖血记,3697,2019-09-22 22:12,1
@我要给你两坨子,,十年一品温如言,3261,2019-09-22 22:11,2
@啥时候才能中个奖,,白夜行，真的太好看了,3293,2019-09-22 22:59,1
@桐廿一,,撒野，真的百看不厌，我真的看了好多好多次，这几天还在看撒野！！！,2206,2019-09-22 22:49,1
@张起灵的大裤衩子,,全球高考,2176,2019-09-22 22:11,1
@对-我是路克,,高等数学A类,2207,2019-09-22 22:19,1
@菠菜陈_,,死亡万花筒,1950,2019-09-22 22:13,2
@风信ovo,,重生之将门毒后,1657,2019-09-22 22:11,1
@枳酒orz,,七根凶简 怨气撞铃,1566,2019-09-22 22:13,1
@西野七鹿,,杀破狼！,1766,2019-09-22 22:13,1
@他们仨的烊光,,伪装学渣！！！,1769,2019-09-22 22:32,1
@Fyatto4RDJ,,盗墓笔记,1625,2019-09-22 23:31,1
@菠菜陈_,,默读 剧情好喜欢,1472,2019-09-22 22:11,2
@highlight_zj,,?居然没有  魔道祖师  ?排面赶紧的!道友们,1592,2019-09-22 23:58,1
@1号打卡机,,上瘾,1285,2019-09-22 22:11,1
@脱口秀bot,,三体,1205,2019-09-22 23:46,2
@杨嘉铭Wayne,,恶意,1023,2019-09-22 22:23,12
@请给我来一杯月光,,百年孤独。真的很好看，虽然第一遍几乎都看不懂但是二刷三刷的时候简直沉迷……,1107,2019-09-22 22:26,1
@Bddovo,,哈利波特,948,2019-09-22 23:00,1
@眉于宴和,,怎么少得了 昭奚旧草,856,2019-09-22 22:13,2
@Tsundere1015,,不知道大家知不知道周浩辉，他的《死亡通知单》太好看了，喜欢看反转的姐妹一定要安排，我是看了二三部才看的第一部，本来以为早就熟知情节了，没想到还会被反转震惊到，他的每一本书都好看，掌阅就可以安排！,715,2019-09-22 22:12,1
@碍你事了呗,,傲慢与偏见！！！第一遍看前面想说这是个啥人都分不清...看完又看一遍！！！细节太棒了！！！名著不愧名著！！！！,929,2019-09-22 23:40,1
@四月春闺,,房思琪的初恋乐园,689,2019-09-22 22:47,1
@拢龙是男朋友,,镇魂 杀破狼,740,2019-09-22 22:22,1
@就叫班大叔吧,,5年高考，3年模拟,710,2019-09-22 22:14,1
@曦和今天要早睡,,汀南丝雨！！,435,2019-09-22 22:13,1
@好大一只兔叽,,我在博主下面也问下，有没有比较沙雕欢乐多或者升级流，或者又沙雕快乐又升级流的耽美小说推荐吖？,262,2019-09-22 22:12,1
@六斤W_,,活着 月亮与六便士,471,2019-09-22 23:36,3
@眉于宴和,,看了几遍的书可能是 摆渡人  吧,355,2019-09-22 22:12,2
@遗落半岛_,,平凡的世界,439,2019-09-22 23:48,3
@_毅燃,,死亡万花筒,334,2019-09-22 22:11,1
@昜九,,评论咋都是bl  bg党太难了,355,2019-09-23 09:06,1
@i平平wl,,亲爱的阿基米德！.！！！无限推！！！太好了了！我真的太爱男主了！！！,274,2019-09-23 00:29,1
@遗落半岛_,,簪中录,306,2019-09-22 23:47,3
@girlzy7,,他知道风从哪个方向来！！,283,2019-09-22 22:23,1
@阿邶sleep_,,八月长安的书,298,2019-09-22 23:49,1
@鹿晗关晓彤多久能分手,,安知晓的系列文,234,2019-09-22 22:19,20
@2019做只可爱的锦鲤吧,,追风筝的人！！！  超级好看,259,2019-09-22 22:33,1
@Hus不搭,,为什么现在一推书几乎全是耽美？,215,2019-09-23 11:11,1
@你笑起来真像好天气嗷,,撒哈拉的故事,243,2019-09-23 11:21,1
@遇纾,,默读,239,2019-09-22 22:15,1
@星河一粒我,,不算小说，是个散文集，我已经看完第二遍了。 评论配图,209,2019-09-22 22:24,1
@六棵菩提,,别再推荐那些已经被推烂了的书好嘛！！！！！,210,2019-09-22 22:11,1
@喜欢的人叫做丁程鑫,,骄阳似我,207,2019-09-22 22:24,1
