User,Reter,Comment,Votes,Time
@wu2198,,最大的问题是“圈钱伟业”，本质不变股市难牛！,47,2019-10-11 18:44
@司弭,,我们投的是血汗钱，应该理智一点！没错，点赞,6,2019-10-11 15:55
@自古淫兄出马蚤年,,这里是唯一不能靠吹牛逼吹上去的地方 全要要靠真金白银的 吹牛逼这里不管用,3,2019-10-11 15:52
@买了1000来万茅台,,支持,2,2019-10-11 15:51
@史鉴通远,,真理永远掌握在你手里手里。,2,2019-10-13 09:13
@多空知道2,,严禁减持，立马牛；造假退市，立马疯牛,2,2019-10-12 18:01
@99御剑,,踏空了,2,2019-10-12 15:17
@WORLDWILLING,,需要你这样的大v提醒我们风险,2,2019-10-11 16:11
@若愚200801,,跟妩媚豆会理智,2,2019-10-11 16:09
@王先森0726,,等它跌就是不跌,3,2019-10-11 16:04
@侠家军小癞肚,,,2,2019-10-11 15:53
@望穿眼_va3,,圈圈是套环。,1,2019-10-12 05:42
@苏胖胖1119,,现在的制度，还是需要所谓的砖家、大V吹捧的，否则就不热闹、更死水一潭了，这些人还是有市场的，只是咱们对这类人不屑一顾罢了。,1,2019-10-11 22:30
@闲素衣,,,1,2019-10-11 21:56
@厦门顺势而为,,,1,2019-10-11 17:02
@顺眼娃,,好多好多吹牛市来了，马上来了，各种底到了……这些大V的嘴泡，泡沫挤了好多年，好像还没挤干净,1,2019-10-11 16:43
@南粤股师爷,,但是没砖家也不行……下周牛市会否开启？,1,2019-10-11 16:30
@___孔孔_,,现在理智多了,1,2019-10-11 16:16
@馨馨咕咕,,是的,1,2019-10-11 16:08
@东方资侠,,别总是释放负面情绪，我A正康复性成长中！,1,2019-10-11 16:06
@七叔FW,,这话实在,1,2019-10-11 16:04
@顾丽萌小号,,,1,2019-10-11 16:03
@Flipped_maoiii,,谢谢吴姐,1,2019-10-11 15:52
@瑾拓CNY,,回复@赏玩6W何某阻拦 的表态:就是中国特色特色,0,2019-10-23 11:41
@辽东君,,西游记的故事流传千古，一个唐僧引发多少血案，,1,2019-10-12 11:46
@柏丽阿涛,,是的血汗钱，投资要理性啊,1,2019-10-12 10:40
@肚皮争口气,,嗯,1,2019-10-12 09:12
@帝之鞭,,太对了,1,2019-10-12 06:26
@南胡5,,股市问题越多越好，领导干部闷声发大财的机会就越来越多，我理解对吗,1,2019-10-11 22:51
@流浪的云霞,,对,1,2019-10-11 21:43
@打卤面0720,,什么意思能说明白点吗,1,2019-10-11 21:01
@老怪飞翔鸟,,你不是砖家大V吗？！！,1,2019-10-11 20:48
@赫曲玛舞,,你赚到的那点，是机器搅拌掉下来的小渣渣,2,2019-10-11 19:44
@正文12345,,,1,2019-10-11 19:41
@快抓住那只法斗,,周一清仓,1,2019-10-11 17:23
@阿稻米,,美国想要检查我们的监督机制，这是不可接受的，涉及国家独立性问题。,1,2019-10-11 17:08
@潇湘蒸水6124,,,1,2019-10-11 17:08
@招太阳黑,,@李大霄,1,2019-10-11 17:06
@一个人的团独立团,,好人，贵人,1,2019-10-11 16:51
@软软Erica,,,1,2019-10-11 16:51
@上古元龙,,波段王者,1,2019-10-11 16:49
@我是局座01,,订阅号+思路固然重要,1,2019-10-11 16:47
@览兮有余777,,好的。这么说，卖飞了，也就不后悔吧,2,2019-10-11 16:45
@简单是福1977,,是啊，风控第一,1,2019-10-11 16:45
@WGH爱美的云朵,,吴姐你怎么那么厉害@wu2198 教教我们小散,1,2019-10-11 16:42
@男人h027,,理智，血汗钱不易呀,1,2019-10-11 16:41
@股海小韭菜o0,,,1,2019-10-11 16:34
@z此景可待成追忆,,良心大V,1,2019-10-11 16:31
@别人贪婪的时候我恐惧,,外围一片大好！3000没啥问题啊！,1,2019-10-11 16:29
@透明弟弟,,被割韭菜了,1,2019-10-11 16:28
@蓝天白云子牛,,没错！听您的！老大,1,2019-10-11 16:23
@水准凌真,,减仓了，妩媚,1,2019-10-11 16:21
@邾邾_38657,,所以为自己负责。,1,2019-10-11 16:11
@邾邾_38657,,对的。吹牛没有成本，而我们是真金白银。,1,2019-10-11 16:11
