User,Reter,Comment,Votes,Time,Count
@e妮妮的爱,,焦俊艳看着好帅，比那几个男主帅，这是什么感觉,3505,2019-09-24 15:37,1
@24K纯美_1993,,李现呀,2091,2019-09-24 15:06,1
@sunrisewj5526,,想听现哥的声音@李现ing ,1297,2019-09-24 16:13,1
@小可爱钟爱柠檬茶,,现男友,753,2019-09-24 15:17,1
@李现空间站,,李现,661,2019-09-24 15:50,1
@图兔兔图儿,,李现李现,227,2019-09-24 18:06,1
@夏天遇见可爱的你ing,,现现,217,2019-09-24 17:19,1
@小渔儿yyhz,,李现,181,2019-09-24 17:52,1
@西风瘦马Amy_2019,,为李现去看这个电影，尽管镜头不多！,179,2019-09-24 21:42,1
@鉑鏻,,李现！李沁！,189,2019-09-24 21:29,1
@快乐的米亨,,焦焦,180,2019-09-24 15:00,1
@后知后觉19496,,欧豪,174,2019-09-24 19:36,1
@xf_太阳花沉默的爱,,李现李现李现@李现ing,129,2019-09-24 16:44,1
@李现是我梦中人,,都是实力派演员，不过我还是喜欢李现,83,2019-09-24 21:51,1
@Chat-C,,李现李现,80,2019-09-24 20:33,1
@Vme7941,,欧豪,78,2019-09-24 16:08,1
@奕与山,,这个阵容还是蛮顶的，都是实力派,53,2019-09-24 15:07,1
@Venirtot,,欧豪！,53,2019-09-24 23:31,1
@Huaaaaaar,,李现啊啊啊啊啊啊啊！,51,2019-09-24 20:16,1
@小圣诞2918,,看电影不是看剧情、演技之类的？为了谁去看电影，你不如去买张海报回家抱着看个够,33,2019-09-24 21:16,1
@西红柿不吃菜,,亚文！朱亚文！,48,2019-09-25 14:28,1
@胖豪的窈窕水鸟,,当然是@欧豪 哥哥呀,32,2019-09-25 07:57,1
@是清沐鸭,,李现,29,2019-09-26 05:49,1
@佩奇麻,,现男友,30,2019-09-24 23:50,1
@李总的小甜豆呀,,袁泉！！！,34,2019-09-27 00:28,1
@920ing,,为了李现，必须去啊,23,2019-09-25 10:59,1
@·幽兰儿·,,李现,24,2019-09-25 09:35,1
@Snowin-雪,,李现,21,2019-09-25 21:07,1
@吉·可雪达,,支持支持,8,2019-09-24 16:01,1
@BD不点ing,,李现啊,16,2019-09-25 18:13,1
@M·七墓凉,,为了李现,18,2019-09-25 17:48,2
@花朵Rita,,看我现哥,18,2019-09-25 16:50,1
@黎梅同學love,,李现呀！我的现男友！,18,2019-09-25 16:34,1
@蓑笠翁的孤舟,,接线小哥，5秒钟李现上线,18,2019-09-25 16:06,1
@我家小孩最棒,,全部演员,19,2019-09-24 16:55,4
@肥胖小专家,,@我是红 这阵容,1,2019-09-25 07:45,1
@迷路的鹿小姐L,,李现,17,2019-09-25 17:39,1
@朱亚文的小迷妹呀,,朱亚文,24,2019-09-24 18:21,1
@77号小可爱,,李现呀,12,2019-09-26 13:42,1
@祝周惟虐,,李沁，焦俊艳，李现，都是我的爱豆，我赚了，哈哈哈,18,2019-09-24 18:17,1
@我是老王我没住在隔壁,,卧槽，机长呢,4,2019-09-24 21:32,1
@Crystal的小VV,,张天爱,7,2019-09-25 18:01,1
@糖糖是个小孩子,,张天爱,7,2019-09-25 18:00,2
@山的静静,,李现呀@李现ing,10,2019-09-25 15:52,1
@我都杀完了你们人呢,,细节不太严谨 瞬间失去了兴趣,1,2019-09-24 21:45,1
@TiTi_田甜,,四川8633,11,2019-09-24 19:15,1
@导弹_53788,,。,2,2019-09-24 15:35,1
@思钱想厚_200410,,李现呀,3,2019-09-27 20:27,1
@GUySNiYa,,阚清子也是很美了,8,2019-09-25 15:14,1
@花哥的铲屎官,,张涵予,7,2019-09-24 20:58,1
@晓-佑,,都喜欢,6,2019-09-24 16:54,1
@又现见李,,刚开始出来的时候   看到那么多演技派在里面 就决定要看  而且还是真实故事改编的 肯定支持 后来了解到李现也在  ,3,2019-09-28 22:09,1
@素颜荒歌_,,焦俊艳,3,2019-09-27 15:05,1
@Dip豫龙,,看完我和我的祖国就立马接着看这个,0,2019-09-27 14:43,1
@石林老慧,,嗯,0,2019-09-27 12:51,1
@mini071,,为了李沁和焦俊艳,3,2019-09-27 08:25,1
@许多年后ooo,,好,0,2019-09-27 01:11,1
@奇妙奇妙超奇妙,,李沁！,5,2019-09-26 20:26,1
@破而又立,,最后一个好,0,2019-09-25 23:35,2
@卡迪酷乐,,朱亚文,2,2019-09-25 21:05,1
@Hsu_HM,,哇哦 查看动图,0,2019-09-25 07:35,1
@我是阿呆1a,,焦俊艳@焦俊艳,3,2019-09-25 00:20,1
@MOPA喜庆用品厂,,如果我说为了 杨天宝，会不会挨揍,1,2019-09-24 21:43,1
@洛辰栩,,李沁,11,2019-09-24 19:26,1
@BK0625,,欧豪,4,2019-09-28 09:23,1
@蓉洋瑾,,焦俊艳,2,2019-09-25 23:08,1
@我家小孩最棒,,期待这个电影票房大麦，都去看吧,2,2019-09-24 22:03,4
@李现的小如意,,李现演的很好很自然，最后憨憨笑有一种如释重负的感觉～朱亚文戏虽然短，不过演的也很好！都非常自然，很真实,1,2019-10-01 13:36,1
@我家小孩最棒,,小now扮演的罗晓霖的镜头有很多，和空管主任互动，最后站起来超级帅。电影太好看了，张涵予和袁泉，欧豪，杜江都演得很好，欧豪最受伤，是本剧的搞笑担当，二刷呀,1,2019-09-30 22:12,4
@末栀56,,为了李现呀@李现ing,1,2019-09-30 15:13,1
@每天可以在家疯狂吸猫,,我为了川航去看的,1,2019-09-30 13:55,1
@玛丽莲monroe要爱自己,,为了我李现哥哥,1,2019-09-29 14:28,1
@小树林边,,朱亚文！！！！,1,2019-09-29 07:57,1
@Happy-小确幸,,亚文哥呀！,2,2019-09-28 22:50,1
@lx物是人非,,我心上人李现呀@李现ing,1,2019-09-28 14:55,1
@今天我过气了吗_,,不为哪个明星，为川航去看,1,2019-09-28 13:59,1
@予悸里,,最想听到的是你回复我的简讯通知,1,2019-09-27 22:24,1
@兔子是白羊,,李现,1,2019-09-27 21:38,1
@心悦成白,,突然好期待哦,1,2019-09-27 18:44,1
@烟宝520,,为了李现,1,2019-09-27 16:22,1
@玫瑰小姐_RoseLiu,,谁也不为 只为自己心中的航空梦,1,2019-09-27 13:55,1
@一只灌子,,李现吖李现,2,2019-09-27 13:37,1
@现ing最好的现在,,李现李现,2,2019-09-27 11:08,1
@shininggirl真真,,李现,2,2019-09-27 10:30,1
@Maki酱酱酱,,啊啊啊,1,2019-09-27 00:10,1
@庄生晓梦迷李现,,演员都很优秀，也想看戏份不多的现男友,2,2019-09-26 23:58,1
@食色性野子,,袁泉，一个眼神，我就把票安排好了,1,2019-09-26 23:32,1
@噢大潘潘ing,,李现鸭,2,2019-09-26 22:33,1
@檀璐暂时不加V,,李现,3,2019-09-26 13:02,1
@木南_Rosemary,,李沁,2,2019-09-25 23:59,1
@twoseventow,,李现！,4,2019-09-25 23:15,1
@Liu螃蟹,,为了自己 所以不去看,1,2019-09-25 19:59,1
@Crystal小迷弟,,美丽空姐张天爱,2,2019-09-25 19:38,1
@Crystal张小可,,张天爱,1,2019-09-25 18:10,1
@Yanz89,,现,3,2019-09-25 12:36,1
@绀香十八Hc,,现哥和江哥,3,2019-09-25 10:59,1
@目目_KannaYoung,,作为空乘我很自豪很骄傲！,1,2019-09-25 10:32,1
@可爱的玮14,,焦俊艳帅啊，,1,2019-09-25 09:29,1
@H皮文,,现哥，看看他的腮帮子,2,2019-09-25 07:58,1
@Cream夏,,居然看到了林涛和大宝,3,2019-09-24 22:35,1
@姬颜禾兮,,宝哥和林队哈哈,2,2019-09-24 22:23,1
@球球宝贝儿0318,,票已买，不为谁为了这个故事,1,2019-09-24 19:08,1
@狗耶不是,,欧豪，李现,0,2019-09-29 15:51,1
@自己_96220,,赞,0,2019-09-29 15:33,1
@張傻碩,,,0,2019-09-29 15:25,1
@天涯若比琳_,,很帅,0,2019-09-29 10:32,1
@寒凌星空,,,0,2019-09-29 07:09,1
@繁花落叶终会老,,李现,0,2019-09-29 06:21,1
@默恋_dyy,,转发微博,0,2019-09-29 02:58,1
@_dwh_89732,,转发微博,0,2019-09-29 01:16,1
@乐乐呀biu,,欧豪,0,2019-09-29 01:03,1
@活得尽兴188,,1,0,2019-09-29 00:29,1
@倾vv,,不好,0,2019-09-28 21:43,1
@山猪猪ZHU,,嘿嘿嘿,0,2019-09-28 21:07,1
@卟一样嘚我,,，,0,2019-09-28 17:53,1
@伶俐38428,,额,0,2019-09-28 16:42,1
@儒雅之微笑,,为了李现#中国机长#,0,2019-09-28 16:34,1
@萌萌6548,,6,0,2019-09-28 14:34,1
@曾庆龄20,,神仙阵容呀,0,2019-09-28 10:29,1
@李1026李,,没人陪我去看啊,0,2019-09-28 07:24,1
@1003706776_eaf7565wlm,,怎么了,0,2019-09-28 06:18,1
@言若_Zoe,,都想呀,0,2019-09-28 05:42,1
@vip岁月静好520,,想看，几号上映,0,2019-09-28 00:46,1
@曾裕民啊,,.,0,2019-09-28 00:15,1
@伤员2018,,女美男帅的组合,0,2019-09-28 00:01,1
@lxu77258,,不不不,0,2019-09-28 00:01,1
@随便12469,,美丽的一天,0,2019-09-27 22:50,1
@浮梦ic,,h,0,2019-09-27 22:32,1
@亦尐吖頭,,当然看现男友吖，葯不然呢,0,2019-09-27 22:26,1
@Pseudo-lover_200908,,李现，肯定是现哥,0,2019-09-27 22:10,1
@Elaine62784,,,0,2019-09-27 21:03,1
@嗯哼36976,,。,0,2019-09-27 20:11,1
@向孙俪看,,杜江，朱亚文！欧豪！李沁！袁泉！！！,0,2019-09-27 19:06,1
@漂亮的最美的樱花草,,,0,2019-09-27 16:52,1
@12345FqacC,,,0,2019-09-27 14:28,1
@琅寰t,,都可以,0,2019-09-27 14:15,1
@一直奔跑的小牛,,额,0,2019-09-27 14:09,1
@珊7890,,,0,2019-09-27 12:34,1
@苏格拉没有底33629,,,0,2019-09-27 12:13,1
@波哥神一般的男人,,在,0,2019-09-27 09:29,1
@hvdykbcmvx,,，,0,2019-09-27 08:35,1
@也許9679,,厉害,0,2019-09-27 08:34,1
@微光少年鹏,,帅！,0,2019-09-27 08:33,1
@kiKi7898,,,0,2019-09-27 08:13,1
@疯狂的存在732016,,,0,2019-09-27 07:21,1
@重来一次的话,,期待,0,2019-09-27 07:05,1
@Chehg258,,好看,1,2019-09-26 18:54,1
@oo牛0牛oo,,帅气,0,2019-09-26 16:25,1
@FAT心窝,,会为了这个故事去看,0,2019-09-26 16:02,1
@最佳冷月516,,都喜欢,0,2019-09-26 00:51,1
@rothsilt,,不错，期待,0,2019-09-25 23:59,1
@大只旋捏丶,,h,0,2019-09-25 21:02,1
@心在海边Celia,,阅,0,2019-09-25 19:55,1
@晓鹿lh,,都挺喜欢的！！支持！！,0,2019-09-25 19:50,1
@王要发发,,,0,2019-09-25 19:44,1
@不吃素的咩,,杜江,1,2019-09-25 18:59,1
@其实是为了偷头像,,都喜欢呀,0,2019-09-25 18:05,1
@啵啵于小妞儿,,,0,2019-09-25 17:55,1
@Pisces_yester,,毕竟正剧,0,2019-09-25 16:23,1
@文鹰168,,看起来情景挺好,0,2019-09-25 16:14,1
@待我象从前一样好,,有北鼻就算了看了,0,2019-09-25 13:10,1
@娜尼亚的魔法世界,,袁泉，李现，焦俊艳！,2,2019-09-25 12:27,1
@萌萌哒的小松鼠200302,,我和我的祖国和中国机长上映时间是同一天吗？,0,2019-09-25 12:25,1
@蜜宫Star,,因为有奇葩的审核体制，可以确定的是电影“深度和含义”绝对超不过“萨利机长”。差距估计跟“我不是药神”和“达拉斯买家俱乐部”类似。有奇葩的审片体制一天，中国电影票房再高，即使某一天超过美国，但是电影各种层次也达不到老美的水准。,0,2019-09-25 12:11,1
@李现ing小宝贝Lucy,,为了李现了解到的电影之后发现电影本身很棒，其他演员也很优秀，期待,2,2019-09-25 11:45,1
@星河私藏记,,虽然只有一句还是想看李现,2,2019-09-25 11:03,1
@林大虹ing,,我现哥,2,2019-09-25 10:54,1
@宇河1,,李沁我老婆,0,2019-09-25 09:59,1
@Ponnenult旧青春,,李沁,0,2019-09-25 09:43,1
@柳州小乖,,666,0,2019-09-25 09:33,1
@-怪味十三,,欧豪欧豪了，欧豪太帅了,2,2019-09-25 09:06,1
@·班玛央金·,,袁泉,2,2019-09-25 08:52,1
@poppy一生所爱,,帅,0,2019-09-25 07:13,1
@喜欢看到你-笑,,现宝宝，袁泉，阚清子，焦焦，朱亚文，张总，,1,2019-09-27 13:22,1
@君junaiJ,,我炮哥，焦俊艳啊,1,2019-09-27 11:17,1
@后羿射日喽,,,1,2019-09-27 09:35,1
@六二零同学,,@阚清子 当然是我家宝宝,1,2019-09-26 18:19,1
@LX-GN,,李现呀,1,2019-09-26 07:44,1
@只想为李而倾心,,现男友,1,2019-09-26 07:34,1
@巨蟹小胖子冯,,李现,1,2019-09-26 06:36,1
@2387gh,,悄悄李现一下,1,2019-09-26 00:19,1
@小短腿runrun,,期待李现！！@李现ing,1,2019-09-25 13:07,1
@RussianWanda,,李现,1,2019-09-25 12:19,1
@超A无敌美少女,,李沁,2,2019-09-24 21:21,1
@瘦成素烧饼,,李沁,1,2019-09-24 18:30,1
@现宝宝冰冰,,李现,0,2019-10-09 11:15,3
@SummerBluesccc,,烦死了怎么都那么帅呀,0,2019-10-03 01:36,1
@若兰素心,,这些演员都喜欢，最喜欢朱亚文、李现,0,2019-10-01 13:43,1
@我不是Liudi,,朱亚文，袁泉！,0,2019-10-01 13:23,1
@桃门清角,,给我们做了很好的宣传,0,2019-10-01 13:15,1
@Toca_chen,,李现！,0,2019-10-01 13:08,1
@馬會特派員,,期待，看起來不錯,0,2019-10-01 12:29,1
@Vvi一定要快乐无边,,李现！！今天晚上就去！,0,2019-10-01 12:07,1
@包洪博,,,0,2019-10-01 11:19,1
@风走过九千里,,杜江，袁泉，张涵予，欧豪,0,2019-10-01 11:18,1
@董先生爱你呦,,李现,0,2019-10-01 09:32,1
@您喜欢的彤彤,,好看,0,2019-10-01 09:30,1
@飘渺之若尘,,袁泉,0,2019-10-01 06:11,1
@居尊前行,,为了机长本人,0,2019-10-01 05:36,1
@经典巧克力·,,期待！,0,2019-10-01 01:24,1
@扈Hu扈Hu,,李现哈哈哈,0,2019-10-01 01:14,1
@客仙乐儿,,棒啊,0,2019-10-01 00:14,1
@慧君XHJ,,现哥,0,2019-09-30 23:53,1
@赵胖妞0066,,焦俊艳酷酷滴,0,2019-09-30 23:47,2
@就喜欢lqt,,每一位都很棒都是演员,0,2019-09-30 23:38,1
@重拾陌染,,加油,0,2019-09-30 23:06,1
@半茶酱,,焦俊艳和李现,0,2019-09-30 23:00,1
@EVAN_YIFENGLl,,阚清子呀,0,2019-09-30 22:15,1
@你的眼里满是星星辰,,为啥没有张涵予？,0,2019-09-30 22:13,1
@小香家人,,1,0,2019-09-30 22:05,1
@年费会员改名能不受限吗,,袁泉,0,2019-09-30 21:30,1
@你的宝叔,,给阚清子打电话,0,2019-09-30 20:23,1
@w鹿森w,,为了我喜欢的人。曾经因为他，我了解了飞行员这个职业,0,2019-09-30 20:00,1
@张张的B612,,为了前男友,0,2019-09-30 19:54,1
@MonstersZzzzz,,袁泉呀,0,2019-09-30 19:39,1
@胡一天的女朋友,,说实话不怎么好看？,0,2019-09-30 19:25,1
@怪兽醒了没,,焦俊艳是所有男生里最帅的,1,2019-09-30 19:22,2
@9WINDY4,,为了我的祖国去看这部电影！,0,2019-09-30 18:04,1
@克力麻嚓你萌,,,0,2019-09-30 17:48,1
@怪兽醒了没,,阵容我全都挺喜欢的诶！！！,0,2019-09-30 15:05,2
@还是那个婷婷啊,,欧豪欧豪,0,2019-09-30 14:49,1
@吃瓜群众陆小姐,,欧豪！！！！！给我上去！,0,2019-09-30 13:32,1
@李现我可以1019,,李现 袁泉 欧豪 ,0,2019-09-30 10:36,1
@Wo的宝贝铭儿,,李现，李现,0,2019-09-30 09:37,2
@Carrieeen,,袁泉,0,2019-09-30 09:22,1
@Danhd_,,@水原英子 想看,0,2019-09-30 09:13,1
@始终如一28231,,李现@李现ing,0,2019-09-30 09:10,1
@_YiYoung,,,0,2019-09-30 09:09,1
@熊熊本本,,已买票！,0,2019-09-30 09:07,1
@老迷糊璐,,左下角那个,0,2019-09-30 08:30,1
@现在的麦小曼,,李沁很适合小空姐的感觉,0,2019-09-30 08:09,1
@evelynkhy,,李现 ,0,2019-09-30 07:24,1
@老夫达文西-是也,,为了卡萨帝,0,2019-09-30 07:12,1
@沐爷勇往直前,,被李沁美到,0,2019-09-30 07:09,1
@娟子pfj2015,,李现@李现ing,0,2019-09-30 06:41,1
@嘘_这是个不能说的秘密,,李现,0,2019-09-30 02:55,1
@哈士岐青铜饲养员,,,0,2019-09-30 02:34,1
@鱼妹bibi,,。。。我光看脸一个名字都说不出来,0,2019-09-30 01:50,1
@LetsCallitAday,,@LosUnidades,0,2019-09-30 01:25,1
@奶茶给你喝_,,@赵昕蕾,0,2019-09-30 00:57,1
@TM种草机,,缺一个张涵予！,0,2019-09-30 00:48,1
@雨花区迎财儿,,放假了马上看！焦俊艳真的又甜又帅！,0,2019-09-30 00:26,1
@_Swang_冲鸭,,冲电影本身,0,2019-09-30 00:16,1
@vivo小老虎,,好好,0,2019-09-30 00:13,1
@孤屿ing,,李沁！！！,0,2019-09-30 00:04,1
@想当老板娘但是缺个老板,,制服真的好帅！,0,2019-09-29 23:48,1
@Y英落i,,好,0,2019-09-29 23:35,1
@lady指尖的阳光,,欧豪,0,2019-09-29 23:30,1
@罗宁606,,哇哦,0,2019-09-29 23:29,1
@专属_小菲,,李现,0,2019-09-29 22:44,1
@ZhaoTengYun,,已经买票啦等明天去看,0,2019-09-29 20:53,1
@钟天照i,,,0,2019-09-29 20:16,1
@poxyzpo,,所有的演员都很棒，但是这次支持因为李现@李现ing 评论配图,0,2019-09-29 20:15,1
@伟胜1017,,亚文哥,0,2019-11-23 08:57,2
@touristui6785533331,,袁泉,0,2019-10-27 21:03,2
@shadow易脸红,,为什么焦俊艳的镜头辣么少,0,2019-10-09 23:29,2
@现宝宝冰冰,,李现,0,2019-10-09 11:15,3
@阿苏李,,欧豪，亚文哥！,0,2019-10-08 11:05,2
@伟胜1017,,亚文哥,0,2019-11-23 08:57,2
@touristui6785533331,,袁泉,0,2019-10-27 21:03,2
@shadow易脸红,,为什么焦俊艳的镜头辣么少,0,2019-10-09 23:29,2
@现宝宝冰冰,,李现,0,2019-10-09 11:15,3
@阿苏李,,欧豪，亚文哥！,0,2019-10-08 11:05,2
