User,Reter,Comment,Votes,Time
@共青团广安市委,,大家转发本微博后，快去看你的小尾巴,998,2019-09-24 19:18
@共青团广安市委,,大家转发本微博，然后点回自己的主页，就能看见小尾巴了,409,2019-09-24 21:05
@共青团广安市委,,早安，团子们！,151,2019-09-25 07:57
@共青团广安市委,,早安，团子们,5,2019-10-11 07:15
@共青团广安市委,,早安，团子们,3,2019-10-30 07:25
@情霜不染,,#我是五星红旗护旗手# 永远为阿中哥哥打call！！来生还做花家人！！！,1328,2019-09-24 13:15
@大蓝鲸的一枚傻妞,,不知道操作对不对，很想得到一面,1029,2019-09-24 13:28
@奈斯Krystal,,国庆快乐！,441,2019-09-24 13:09
@蔡小心,,"#永葆开国精神[超话]##不忘初心,坚定父辈精神# [心]",172,2019-09-24 12:52
@一纸红笺只为ZYJL,,爱我中华,192,2019-09-24 13:21
@一只中二的天秤君,,真的有唉,7,2019-09-24 15:49
@密斯特丶法克,,我后面没有啊，咋回事呢,7,2019-09-25 00:50
@nO1·KingofPOp,,中国强则名族兴,3,2019-09-24 18:24
@凯源玺与渝都,,爱我中华！,7,2019-09-24 13:53
@杨晓阳杨,,祖国万岁,1,2019-09-25 05:37
@京九v,,真的有了哎,5,2019-09-24 14:51
@a-0-W,,请问后面的小爱心怎么获取,2,2019-09-25 06:56
@一只中二的天秤君,,想要一面一面小红旗,4,2019-09-24 15:45
@魔术师龙宝,,转发微博,3,2019-09-24 15:14
@无与伦比小凤娃,,我也想要五星红旗，我要做阿中哥哥最忠实的粉丝,5,2019-09-24 14:47
@关注房产很多年,,不是真的假的,3,2019-09-24 14:34
@北地男儿201802,,好好好好好好,1,2019-09-25 10:26
@蜂蜜都不甜,,路过,1,2019-09-24 14:05
@兴_钮祜禄_2爷,,我爱你中国,0,2019-09-26 10:05
@烟花那一瞬间的美好,,转发微博,0,2019-09-25 19:44
@佳侯星南,,没有小尾巴,0,2019-09-25 18:38
@马拉加太阳_12944,,国旗,0,2019-09-25 11:11
@謝浩煒,,。,0,2019-09-25 11:05
@心jMt9,,大家转发本微博，然后点回自己的主页，就能看见小尾巴了,0,2019-09-25 10:59
@波多瓦星球柠檬精,,为阿中哥哥打call,0,2019-09-25 10:55
@活在七秒记忆里的鱼,,怎么没得？,0,2019-09-25 10:44
@小美医生文华0909,,祖国万岁,0,2019-09-25 10:39
@大美人不错的时候,,,0,2019-09-25 10:33
@分手何必带走电饭锅1981,,,0,2019-09-25 10:33
@浓缩的小腊肉,,国庆快乐,0,2019-09-25 10:26
@诸葛令羽,,,0,2019-09-25 10:19
@骑着海龟去追日,,赞,0,2019-09-25 10:18
@雨中漫步1049,,,0,2019-09-25 09:40
@Capricorn-Boy-,,加油,0,2019-09-25 09:26
@韩小金金,,祖国万岁，加油,0,2019-09-25 09:24
@致爱鹿不羁,,我想要五星红旗@共青团广安市委,0,2019-09-25 08:41
@宇宙第一美妞,,中国万岁,0,2019-09-25 08:35
@试试才更好理解,,国庆快乐,0,2019-09-25 08:33
@Liqueur_张小星,,为阿中打call,0,2019-09-25 08:29
@你们的佑大大,,。。。。,0,2019-09-25 08:29
@帅气de折颜,,我爱祖国,0,2019-09-25 08:24
@紫儒,,祝祖国繁荣昌盛。,0,2019-09-25 08:24
@彡明志2009彡,,#我是五星红旗护旗手#,0,2019-09-25 08:15
@雅致大叔,,国庆快乐,0,2019-09-25 08:09
@止戈子,,转了,0,2019-09-25 08:08
@莫得意思ovo,,有了,0,2019-09-25 07:53
@宋野北,,爱国敬党,0,2019-09-25 07:53
@我也是醉了兔兔,,,0,2019-09-25 07:52
@落燕飞鸿处碧海蓝天,,,0,2019-09-25 07:46
@凉晶晶163,,我爱祖国，祖国万岁！,0,2019-09-25 07:44
@给我一个拥抱的理由018,,,0,2019-09-25 07:43
@ZouZ鄒先生,,,0,2019-09-25 07:43
@蔡85295,,,0,2019-09-25 07:40
@开发201303,,给我个女朋友,0,2019-09-25 07:39
@明荷荷,,有意思,0,2019-09-25 07:34
@Diar浩,,,0,2019-09-25 07:33
@与你拉钩起誓,,转发微博,0,2019-09-25 07:30
