User,Reter,Comment,Votes,Time
@动漫头像,,喜欢动漫的小可爱可以关注我啊，每天分享许多好看的动漫头像,4,2019-09-24 14:59
@橙色佛系少女,,我想要个哆啦A梦,57,2019-09-24 14:07
@我最爱的小羊星球,,想要哆啦A梦口袋,24,2019-09-24 14:02
@小雮,,我想拥有时光机 来挽回我失去的人,12,2019-09-24 14:15
@火锅烧烤人间美味,,即将好多场考试的人有记忆面包就够了！！,8,2019-09-24 14:57
@是予宁吖,,竹蜻蜓,2,2019-09-24 17:06
@海海Ling_,,竹蜻蜓,2,2019-09-24 16:50
@九尾灵猫C,,任意门好,2,2019-09-24 15:27
@凝萌檬呐,,哆啦a梦就是最实用的,1,2019-10-01 14:07
@_赫小呆,,说实话，任意门可以改变的不只要地点，还有时间,0,2019-10-02 16:05
@很努力的孙昊梅,,时光机和记忆面包都想要,0,2019-09-26 18:58
@是予宁吖,,竹蜻蜓,0,2019-09-24 22:11
@9Nian-Y,,竹蜻蜓!!!,0,2019-09-24 20:24
@路人Jie克,,我要如果电话亭,1,2019-09-24 20:00
@顾筱27999,,我想要时光机,0,2019-09-24 19:29
@黑鲸星,,熟知哆啦A梦的人都知道有如果电话亭这一作弊神器,0,2019-09-24 17:32
@实习憨憨,,竹蜻蜓 因为我实在不想不走也不想坐车 我只想上天,0,2019-09-24 17:23
@木有OYO,,竹蜻蜓,1,2019-09-24 15:34
@xback_紫,,竹蜻蜓,1,2019-09-24 15:18
@一朵蔡小葵吖,,如果真的有就好了,0,2019-09-24 14:49
@大猫的橘,,人生重来机吧,0,2019-09-24 15:35
@千宇默sklly,,我想拥有哆啦A梦,0,2019-09-24 15:30
@我在手心,,点子发明机，想要什么自己说自己动手,0,2019-09-24 15:26
@小巷里的丫头薪羽,,我想要任意门，那样我就可以想去哪就去哪了！,0,2019-09-24 15:01
@快乐是流动的空气,,我参与了@动漫头像 发起的投票【如果穿越到《哆啦A梦》中，你希望拥有哪个道具】，我投给了“任意门”这个选项，你也快来表态吧~,1,2019-09-24 14:23
@阿迪亚的日常,,那个说反话就可以成真的药水,1,2019-09-24 15:32
@Dear-尚影雪,,想要他的口袋,1,2019-09-24 15:01
@蓝家小天使,,任意门,0,2019-10-01 20:13
@兔子姬小尢,,我要那个百宝袋就行了,0,2019-09-28 19:18
@sa姑娘L,,拥有多啦A梦便足矣,0,2019-09-24 22:42
@易见欢玺_,,口袋,0,2019-09-24 21:23
@全世界唯一的薛先森,,小孩子才做选择，我都要,0,2019-09-24 15:37
@戳戳鹅本鹅,,我要多啦A梦,0,2019-09-24 15:34
@阿虹的信箱,,记忆面包！,0,2019-09-24 15:33
@咕噜咕噜咕噜雨,,用任意门去偷别人的记忆面包和时光机,0,2019-09-24 15:29
@四百德曼,,当然是时光机！！,0,2019-09-24 15:29
@日月光的约定806,,现在在背毛概的我就挺想要一个记忆面包的,0,2019-09-24 15:29
@Ning-柠X,,如果真的有时光机就好了,0,2019-09-24 15:29
@高子懿iiii,,我想要他的兜,0,2019-09-24 15:26
@八万里旅途,,身体合并黏胶,0,2019-09-24 15:21
@阿一朵麻花-,,想要他的口袋,0,2019-09-24 15:15
@发呆的Wait,,如果电话亭,0,2019-09-24 15:08
@白小笑666,,原谅帽,0,2019-09-24 15:03
@一壶浊酒尽余欢的丶,,我只要哆啦A梦的口袋,3,2019-09-24 15:01
@假装是坚果,,我想要个口袋就好了,0,2019-09-24 14:56
@淡淡的菊2019,,#最实用的哆啦A梦道具#,1,2019-09-24 14:32
@朴灿烈媳妇边伯贤,,我想拥有全世界的东西,0,2019-10-01 21:30
@貓咪萌噠噠,,如果电话亭，因为这样什么都有了,0,2019-09-25 18:44
@朴灿烈媳妇边伯贤,,永世不得超生,0,2019-09-24 19:51
@虚琨菜菜子,,时光机 把我说的后悔的不该说的都收回去,0,2019-09-24 18:57
@错落丶那年夏末,,首选哆啦A梦本梦,0,2019-09-24 15:24
@有一哥哥呀,,11111,0,2019-09-25 22:18
@抹茶红豆加份冰,,选时光机的都是有故事的人吧,0,2019-09-24 15:32
@野鸡丶贩大叔,,恶魔护照，想干嘛就干嘛。（我就yy了，勿喷）,3,2019-09-24 15:04
@暮冬十二,,时光机 来珍惜曾经,1,2019-09-24 14:26
@_赫小呆,,说实话，任意门可以改变的不只要地点，还有时间,0,2019-10-02 16:05
@朴灿烈媳妇边伯贤,,我想拥有全世界的东西,0,2019-10-01 21:30
@蓝家小天使,,任意门,0,2019-10-01 20:13
@凝萌檬呐,,哆啦a梦就是最实用的,1,2019-10-01 14:07
@_赫小呆,,说实话，任意门可以改变的不只要地点，还有时间,0,2019-10-02 16:05
@朴灿烈媳妇边伯贤,,我想拥有全世界的东西,0,2019-10-01 21:30
@蓝家小天使,,任意门,0,2019-10-01 20:13
@凝萌檬呐,,哆啦a梦就是最实用的,1,2019-10-01 14:07
@兔子姬小尢,,我要那个百宝袋就行了,0,2019-09-28 19:18
@很努力的孙昊梅,,时光机和记忆面包都想要,0,2019-09-26 18:58
@有一哥哥呀,,11111,0,2019-09-25 22:18
@貓咪萌噠噠,,如果电话亭，因为这样什么都有了,0,2019-09-25 18:44
@sa姑娘L,,拥有多啦A梦便足矣,0,2019-09-24 22:42
@是予宁吖,,竹蜻蜓,0,2019-09-24 22:11
