User,Reter,Comment,Votes,Time,Count
@生活越丧我越坚强,,英砸，开门，呆滴,27742,2019-09-24 11:31,1
@犽犽被关小黑屋了,,谁说过沙溢是综艺咖啊？他一直都是实力演员啊！,21329,2019-09-24 11:37,1
@天蓝1112,,好的演员就是有一个剧抛脸！这就是实力派老戏骨的演技 演啥像啥！,10828,2019-09-24 11:31,9
@嵩嵩也太甜甜了吧,,演技派,6092,2019-09-24 11:30,1
@克拉拉酱婶儿,,真的 看到那个女的我本来还在出戏 沙老师一下给我拽回来了,3550,2019-09-24 16:45,1
@黄泥米果,,3个小时把作品完成的这么棒，导演和沙溢都很棒啊！,2185,2019-09-24 16:47,1
@荔枝响铛铛,,之前当群演去过郭敬明的片场，确实在现场非常严谨，不要凭刻板印象黑别人，我对郭敬明蛮有好感的,2063,2019-09-24 16:53,1
@YALI--YALI,,从上错花轿嫁对郎的时候喜欢沙溢   我是不是暴露年龄了,1566,2019-09-24 16:46,1
@zmk小可爱,,沙溢现在虽然长的很喜剧，但人家年轻的时候可是帅气的。演技一直很棒。,1120,2019-09-24 16:43,1
@镇元普尘,,剧本的内容，可以成就一个演员，也可以毁了一个演员。,515,2019-09-24 11:35,4
@哦应该是我吧,,为什么我还是想笑,424,2019-09-24 16:45,1
@CHIN阿清,,不要瞎给头衔，你是个官博，说话要严谨，沙老师一直是演技派,447,2019-09-24 13:34,1
@久逢欣喜,,以前看了不起的挑战第一次了解生活中的沙溢老师,266,2019-09-24 16:46,1
@三命通会命理,,沙溢很优秀了。郭敬明入伤官格，食伤势旺，配以印星，构成伤官配印，主利文才，年上枭神夺食，虽然也是一个事业方面的劳模，但是不免刻薄了些，言语会比较苛刻而不近人情，汲汲于财利而有损声名。整体的运势上看命主先行东方木运，后行北方水运，尽皆喜用当旺的吉运，故其事业上还是长青到老的。,157,2019-09-24 17:20,2
@KlyoessGi,,没人觉得沙溢是综艺咖吧,232,2019-09-24 16:42,1
@奇妙贩卖,,金钟罩 铁布衫儿～,232,2019-09-24 16:53,11
@潜水中的牛肉,,沙溢什么时候就综艺咖了？。。。。,239,2019-09-24 11:59,1
@北枳沁甜,,在对比一下小欢喜，沙溢演什么像什么，这才是真正的演员！,223,2019-09-24 17:02,2
@o呈w凡o,,白展堂了解一下，当年真的是男神,194,2019-09-24 16:47,1
@木土小蝉,,只有我在想，为什么香蕉黑了没扔就是不关心家了,111,2019-09-24 16:56,1
@李瑾摄影,,所以导演们出品人制片人...们，你们选演员的时候能不能走点心，演员不是光看脸光看流量的，演员是要会演戏的，选对演员对得起你们自己辛苦的制作也对得起观众,105,2019-09-24 16:57,1
@是小严阿,,一直忘不了白展堂,88,2019-09-24 17:14,1
@小可爱扑捉一只,,沙溢演技的确很好，但是把郭敬明演哭……郭敬明可是导小时代的人啊,64,2019-09-24 17:17,7
@洛枫maple,,我不否认沙溢的演技，真的挺好的。但是郭敬明会哭不是太家常便饭了嘛,66,2019-09-24 16:50,1
@明-明明明,,英仔，开门呀！我是呆地,40,2019-09-24 11:35,2
@郭郭蝈蝈,,男演员的魅力不止少年感,43,2019-09-24 17:21,1
@一阵糖果风,,期待演员请就位,27,2019-09-24 11:31,1
@Pink7-Band,,闪开，让我来：金钟罩铁布衫,24,2019-09-24 17:59,2
@宋肥肥啊,,虽然我一看到沙溢的脸我就想笑，但我还是迅速入戏了,29,2019-09-24 16:59,1
@晚饭真好吃,,当然，沙溢何许人也！！从来都是男神（除了在男人帮）,18,2019-09-24 18:24,1
@冰封女王WF,,中午吃饭的时候看了，一个好的演员遇到一个导演，就像鱼儿与水，相互成全,19,2019-09-24 17:18,1
@坚持早睡早起哟,,中年男演员的沉淀,18,2019-09-24 17:12,1
@猫南北七,,我去，那句关不关心我一出来就想哭,12,2019-09-24 17:50,1
@橘子味的风o,,不行不行，哈哈哈哈，我现在看到沙溢只想哈哈哈哈哈啊哈哈啊,12,2019-09-24 17:43,2
@hh_闹心,,武林外传,14,2019-09-24 16:52,1
@浪漫达人秀,,这是用眼泪买热搜的节奏吗？,10,2019-09-24 17:33,1
@吸猫猫主人,,还有小欢喜本来沙溢原定的角色乔卫东是客串 结果因为演的太出彩 给他加戏成了主演之一 这就是演技实力 三观正演技好爱家庭还搞笑 粉就应该粉这样的男人@沙溢,13,2019-09-24 18:13,1
@Tiger2m,,开始我怕哈哈哈哈哈哈哈哈看到沙老师就想笑，中间沙老师眼中含泪，我呜呜呜呜好想哭，后面沙老师坐凳子上，手随意搭在桌子上，我卧槽真特么迷人，我可,10,2019-09-24 17:24,1
@王丽iiiii,,这个秒哭真的绝了,9,2019-09-24 17:39,1
@室外逃员,,沙雕的人设，优秀的演员！,6,2019-09-24 18:33,1
@TF网拍-豆豆,,沙溢一直是演技派的,4,2019-09-24 17:53,3
@LV曙光站,,沙溢只是综艺感挺好，演技也好,9,2019-09-24 17:43,2
@哎呀是不是疯了啊,,小四本来就天天哭，大惊小怪。,12,2019-09-24 17:18,4
@我就是我yaner,,对男的怎么就那么不感冒 女生如果演撕心裂肺会很有共鸣。男生一点都没有 总觉得男生应该顶天立地包容女生，向女生求索关心和感受，还吼叫  真的很反感,8,2019-09-24 17:14,1
@手不要给别人牵c,,沙溢:所以我说那么多话，你竟然没听到？,6,2019-09-24 20:24,1
@邓北北的腿毛,,实力演员沙溢@沙溢,12,2019-09-24 11:32,1
@溢溢溢溢溢姐,,沙溢老师的表演太有感染力了。这就是好演员！,2,2019-09-24 19:48,1
@子虚今天看英语了吗,,沙溢演技没的说,2,2019-09-24 17:34,1
@牙齿经常坏的辣鸡,,一身鸡皮疙瘩,5,2019-09-24 17:11,2
@一份雞蛋仔唔該,,行啊老白,6,2019-09-24 16:54,1
@热带雨林的心灵守护驿站,,沙溢一直都可,3,2019-09-24 17:37,1
@花果山__山大王,,沙溢，孙漂亮，黄渤，黄磊。这些老戏骨都是专业，真正的演员。综艺里的展现是个人人格魅力，和阅历的提现。黄金一代。永远敬佩！,8,2019-09-24 18:22,1
@白展堂lin,,佟湘玉：国内最强的演技派就是你！,11,2019-09-24 17:02,1
@轻描淡幕,,演的很好，但是我看见他就想笑,9,2019-09-24 16:55,1
@婉毓Kelley,,沙溢老师一直是演技派啊！刻画得角色都很出彩～很多都是经典呀,1,2019-10-25 23:58,3
@aguiler0321,,实力派演员,1,2019-09-24 18:26,1
@橘子味的风o,,不行，我看见沙溢只想哈哈哈哈哈哈哈哈哈哈,2,2019-09-24 17:42,2
@泉边的月光如洲,,本来就是好演员,3,2019-09-24 16:52,1
@李少年的汤圆,,流眼泪的那一刻真的太牛b了,2,2019-09-24 19:37,1
@以茫茶,,偶像实力派的沙老师,2,2019-09-24 16:51,2
@达拉崩吧微小薇vvv,,把我看哭了,6,2019-09-24 11:35,1
@人生嘛开心就好,,,1,2019-09-24 17:35,1
@文清一兰,,为什么我看到沙老师就想笑哈哈哈哈哈哈哈,8,2019-09-24 16:55,2
@你水哥阿,,金钟罩，铁布衫！,3,2019-09-24 16:45,1
@昵称还特么不可用,,我真没觉得多好啊，甚至沙溢嘴唇抖得还有点假，反正我没看进去，有点出戏。。。,2,2019-09-24 20:25,2
@爱姥姥的男孩,,实力派演员,2,2019-09-24 17:43,1
@看到的全都要,,郭敬明。。。。。。,4,2019-09-24 16:59,1
@危笑的二乔,,郭敬明挺好的呀 他为什么口碑这么烂呢（ 求求你快把爵迹2上了吧,1,2019-09-25 23:28,1
@大王是小仙女吖,,在我心中，白展堂是白展堂，沙溢是沙溢，他俩不是一个人,1,2019-09-25 13:33,1
@Dear宇宙之心,,很棒！,1,2019-09-25 09:27,1
@杰西要努力再努力,,我还是只可以记得那句～“英子，开门，是daddy～”哈哈哈哈哈,1,2019-09-24 23:54,1
@隔墙有只耳朵PFL,,好演员好导演,1,2019-09-24 18:27,1
@挚爱丶炎天王_说说哥,,,1,2019-09-24 18:24,1
@童笑很芒,,真的厉害！,1,2019-09-24 18:19,1
@暮色时倾Sean,,,0,2019-09-25 10:38,1
@Baizhinana,,,0,2019-09-25 10:03,1
@宇中有瀚,,,0,2019-09-25 09:30,2
@小花choker嘟嘟嘟-,,我不行啦英子 爹地,0,2019-09-25 08:32,1
@饭沉沉的瑶大大,,我沙老师是演什么像什么，上综艺就有综艺效果，简直不能太棒,0,2019-09-25 08:03,1
@现入我心08101008,,沙溢，一直都是个好演员,0,2019-09-25 00:34,6
@胖阿-,,英za  开门，爹地,0,2019-09-25 00:24,1
@不作死就不会死你怎么就不知道呢,,图片评论 评论配图,0,2019-09-24 23:47,1
@小P孩儿kkw,,沙溢演戏还挺好看的,0,2019-09-24 22:12,1
@在你心头扎一枪,,音乐一出来我笑了。,0,2019-09-24 21:52,1
@皮卡丘电完你是什么东西啊,,哈哈哈哈,0,2019-09-24 21:19,1
