User,Reter,Comment,Votes,Time
@大脑切片,,dbq我可能是个男的,5068,2019-09-23 23:12
@大脑切片,,视频来源dy：华南好嗨哟,302,2019-09-23 23:41
@查理布朗尼_,,我为什么洗的袜子就是男生的那样？,9064,2019-09-23 18:24
@11Pm睡觉号,,看完视频之后我才发现十九年来我都搞错了自己的性别,4064,2019-09-23 19:46
@焦虑的阿西,,男生洗的袜子有一种脚踏实地的安全感,3089,2019-09-23 18:24
@学姐奶超挺,,是洗衣液或者洗衣粉没洗干净哈哈哈,1575,2019-09-23 18:29
@橙酱ruanyue,,男生的袜子为何会那样 想知道咋做到的,671,2019-09-23 18:25
@不爱吃青菜的英子,,我可能是个男的？,580,2019-09-23 18:40
@Hong-haeyeong,,拧得太干 然后凉的时候没抖开 就会那样,509,2019-09-23 18:27
@Ycx仰汐,,女生洗的袜子是有香味的！！！,299,2019-09-23 18:27
@七彩尤加利,,男生洗之前就那样，一扔能站住。,272,2019-09-23 18:26
@不会修图的粉丝,,拿袜子水龙头对着装水洗的在哪里！,273,2019-09-23 22:22
@ciciAaa-,,男生不是都闻一闻 然后看能穿哪双吗,116,2019-09-23 22:21
@Aztsui,,,74,2019-09-23 19:08
@杨嘉铭Wayne,,太真实了,30,2019-09-23 18:23
@迈斯特儿王,,等等，这玩意儿还能洗软？,43,2019-09-23 23:36
@路人粉阿言丫,,？？为什么我是男生那样的,44,2019-09-23 20:04
@pandananana,,为啥会这样呢？洗衣粉没洗净？？？,23,2019-09-23 18:23
@秦岭北啊,,我洗的，好像，介于，二者，，，，之间…………,17,2019-09-23 22:26
@把个明,,别放太多洗涤物，冲干净，拧干水…,17,2019-09-23 18:30
@今天的晚安呢,,男生的洗袜子就是袜子过一遍水吧,12,2019-09-23 19:52
@酸菜小丑鱼啊,,水龙头对着袜子灌水的举手,15,2019-09-24 05:30
@All-or-nothing-Now-or-never,,腊肉做错了什么 要被这样形容！,4,2019-09-24 08:49
