User,Reter,Comment,Votes,Time
@junjun利军,,换上只是觉得头像中有个小国旗很棒，评论里这些言辞激烈的实在让人搞不懂,43,2019-09-24 15:13
@薅shSy羊毛,,？ 评论配图,18,2019-09-24 14:15
@心岛未晴WB,,没换，但是看大家玩得很开心,32,2019-09-24 12:47
@有缘千里来冲浪,,哈哈哈哈哈哈,10,2019-09-24 15:26
@每天都是为拢龙昏迷的一天,,图片评论 评论配图,17,2019-09-24 13:05
@扎根的koiLee,,,13,2019-09-24 13:00
@晨曦穆玥,,换上啦,12,2019-09-24 15:11
@麻辣隔壁清汤锅,,国旗在心  永不下线,9,2019-09-24 12:57
@bull-shit嘘,,换了，其实换不换都无所谓，爱国不是非要这样！！！,8,2019-09-24 14:59
@我的灵魂两米八,,,8,2019-09-24 13:13
@不知火舞花蝶扇,,,12,2019-09-24 13:07
@小哥哥们喜欢瘦的,,不管代表了代表不了我爱国，我都换了，,2,2019-09-24 16:42
@霂小风,,齐了 评论配图,9,2019-09-24 14:58
@克林顿de地盘,,符合国旗法吗？,3,2019-09-24 12:58
@卓师兄官方号,,图片评论 评论配图,5,2019-09-24 12:48
@人生如梦宁采臣,,系统挂了，没换上，安慰安慰，,1,2019-09-24 17:47
@南方男孩,,我叫他们明早6点准时参加升旗仪式了,1,2019-09-24 15:07
@寒尽不知年Cicia,,图片评论 评论配图,3,2019-09-24 13:06
@做我茱丽叶好吗,,心中有国，无需流表,1,2019-09-24 16:54
@PppWDo,,服务器崩了。。。,2,2019-09-24 12:50
@南城一霸贾十五,,自己p了,2,2019-09-24 12:49
@是啊楠呢,,安排上了,1,2019-09-24 16:45
@turbo章鱼小丸子,,为什么我照片好糊呀，你们的为啥这么清楚,1,2019-09-24 15:34
@Susu1995-,,已安排上 评论配图,2,2019-09-24 13:35
@不曾爱过的过去,,国家在我心里，不跟风,3,2019-09-24 13:27
@军情观察员01,,,1,2019-09-24 12:56
@康玉婷DAYTOY,,已换哈哈 评论配图,6,2019-09-24 16:01
@今天迪丽热巴工作室换人了吗,,图片评论 评论配图,2,2019-09-24 13:07
@小飞鱼Y,,哈哈哈哈还没换,0,2019-09-25 07:11
@v凤飞求凰v,,图片评论 评论配图,0,2019-09-24 22:03
