User,Reter,Comment,Votes,Time
@BIE别的,,恭喜@唯一的黄绿红 @黄小嗨BOOM 获得正版 Neo 的 Hot Toys 奖品，请私信我们提供地址电话领取。,6,2019-09-24 12:23
@费那奇动画小组,,黑客帝国动画版，是动画短片合集中的最高峰，《爱，死亡，机器人》难以望其项背,36,2019-09-24 09:21
@B恐尖叫女王,,接广告了,15,2019-09-24 09:07
@鲁坚科,,差一步，就差一步，我们中国演员已经集体补过钙了,18,2019-09-24 10:03
@Clarinet_Soloist,,我们中国演艺界可都集体补过钙了，就差一步，就差一步啊！！泰勒，没来得及为你们美国演艺界补钙。这次Keanu你可不能差这一步。,13,2019-09-24 11:49
@黄大仙别哈哈哈了,,我去，昨天刚刚怒刷了一遍黑客帝国,5,2019-09-24 09:10
@白鹰疯子,,这红丸治的是男儿汉,3,2019-09-24 12:53
@稍微来一下,,同年不同月上映的异次元骇客也是极其有意思,0,2019-09-24 11:56
@睁眼,,坐等！,0,2019-09-24 09:14
@高分子卷材,,酷,1,2019-09-24 13:26
@屴旻,,有点刺激,2,2019-09-24 12:11
@萬事鄧,,感觉剧情已经结束了哈，再来一波难不成是又演一次程序升级？,2,2019-09-24 10:53
@wtf-bboy,,你觉得John wick 有一点老胳膊老腿的样子吗？？？？？？？？,1,2019-09-25 00:55
@大么么n,,10分 是我喜欢的经典,0,2019-09-24 19:27
@OrO小項,,哈哈哈哈哈钙尔奇,0,2019-09-24 09:52
@煉獄無雙爆熱,,app怎么撸不动了,0,2019-09-24 09:46
@刺猬取暖1988,,刚看第二部没看完,0,2019-09-24 09:34
@人间何处富贵花,,广告,1,2019-09-24 14:25
@安柠会看脸,,打卡，回坐哦,0,2019-09-24 15:44
@生淏,,蓝色小药丸,0,2019-09-24 15:03
@老舍小予2017,,不知是出于什么心情转发,0,2019-09-24 14:25
@九天的围围,,致敬黑客帝国,0,2019-09-24 14:21
@我叫肉夹馍啊,,黑客帝国,1,2019-09-24 12:55
@贰月鸟呀,,躲子弹这个动作太经典了,0,2019-09-24 10:40
@doreme-ricky,,沙雕广告,0,2019-09-24 10:32
@fei奔的小野驴,,中国功夫,1,2019-09-24 21:38
@最值得的陪伴,,啊咧咧？！！！第四部要咋拍？！期待一下啊！！！,0,2019-10-01 01:19
@jerry--许,,转发微博,0,2019-09-27 19:56
@_intheshell_,,广…广告？？？,0,2019-09-25 13:54
@醇酒美人与雅歌,,电影里恐怖的人工智能和载入监控基本已经降临人间。,0,2019-09-25 13:02
@政Vic,,我john wick还能一打一百,0,2019-09-25 12:11
@LonelyYork,,@小熊冬眠,0,2019-09-25 11:11
@阿刀少校,,20年前的冷饭都要拿出来炒…车轮滚滚向后？,0,2019-09-25 09:33
@一个无法拒绝的条件,,天下第一武指,0,2019-09-25 08:34
@南一NE,,看起来很强势,0,2019-09-25 08:18
@爱拉小提琴的羊角安宴,,可以可以，竟然会有善存的植入,0,2019-09-25 08:12
@狐狸玫瑰落日,,超喜欢黑客帝国,0,2019-09-25 00:46
@榴莲爱上香樟,,嗯嗯？第四部？不会是史密斯复活然后又进化了吧,0,2019-09-24 23:35
@小小哩藜梨哩锂,,转发微博,0,2019-09-24 22:40
@CHENRUJINGBOT,,@MoBdc,0,2019-09-24 22:07
@元小泱,,转发微博,0,2019-09-24 22:00
@海龟望月,,《黑客帝国》系列电影，真的太经典了！即使放在2019年上映都不落后。,0,2019-09-24 20:47
@快乐的白洞,,转发微博,0,2019-09-24 18:07
@北极苔原虎,,这广告。。。,0,2019-09-24 17:09
@野兔月崎,,才看完三部没多久哈哈哈,0,2019-09-24 16:49
@都阔以了啦,,中午刚看完3，我觉得Mr. 安德森定义了我这辈子对墨镜以及风衣的认知，Smith又让我有了西装情节,0,2019-09-24 16:36
@Hotpotter1991,,转发微博,0,2019-09-24 16:16
@姜末子1996,,转发微博,0,2019-09-24 15:59
@花花爱吃鲨鱼小饼干,,,0,2019-09-24 15:48
@平静的时间k,,终于来了！,0,2019-09-24 15:28
@Xdiffer,,期待ing,0,2019-09-24 15:21
@chikaitoh,,这个6,0,2019-09-24 15:18
@咸亨酒店的粉板,,我的名字叫neo,0,2019-09-24 14:28
@蘇打綠Luck,,,0,2019-09-24 14:25
@丨雕牌丨洗面奶,,后期那些高难度动作基本都是电脑特效了吧，好莱坞的科幻片动作要求不高,0,2019-09-24 14:21
@章先森no1,,经典神作，期待。,0,2019-09-24 14:06
@花生味的肥仔馒头铺,,啊啊啊我好期待！,0,2019-09-24 12:23
@屴旻,,厉害了，我的钢盔。,0,2019-09-24 12:11
@HJXin3,,转发微博,0,2019-09-24 11:38
@米MI粉转米MI嘿,,转发微博,0,2019-09-24 11:21
@梦断巫山冷,,转发微博,0,2019-09-24 11:19
@清风自来过山岗,,,0,2019-09-24 11:08
@万一中一次大奖呢,,#致敬黑客帝国UC2#,0,2019-09-24 10:58
@松鼠敲果壳,,文案可以的哈哈哈，不过很期待！,0,2019-10-14 15:57
@八级的我天天来,,一直以为是伟哥，wake up，nice to see U again……必须是伟哥的功劳啊,0,2019-09-25 12:49
@弓長天木及,,我靠,0,2019-09-24 15:48
@Shindoge,,我真是high到不行啊,0,2019-09-24 09:38
@妄也QAQ,,我泪了，现在广告都这么牛逼的嘛，一大早上我都看了些什么神仙视频，我又想看黑客帝国了，看一次惊艳一次,0,2019-09-25 08:53
@兔小灰太郎,,转发微博,0,2019-09-25 08:49
@夜其实黑,,@如矢斯棘_ 这个电影你看过没？,0,2019-09-24 18:24
@夏-奡,,！！！,0,2019-09-24 14:31
@牛顿的火苗激光剑,,@慎若履冰河,1,2019-09-24 14:29
@半文钱大哥,,厉害了,0,2019-09-24 11:23
@湫兮如风丶只念椿,,真有第四部吗？开心,0,2019-09-24 10:57
@松鼠敲果壳,,文案可以的哈哈哈，不过很期待！,0,2019-10-14 15:57
