User,Reter,Comment,Votes,Time
@KUN_now-Suenkae,,我寻思着和蔡徐坤没什么关系吧？,751,2019-09-24 10:20
@仝颜无忌,,首先表达对周董的尊敬。蔡徐坤是个初出茅庐的小歌手，认真安静做音乐。粉丝们打榜 无需特别回应。 评论配图,530,2019-09-24 10:26
@糖麻麻_笑淡浮华,,爱豆和粉丝一样闲吗？,307,2019-09-24 10:21
@花田守護著,,我寻思着和蔡徐坤没什么关系吧？,315,2019-09-24 10:20
@小狮子爱嗑瓜子,,还需要搞个投票不无聊吗,177,2019-09-24 10:23
@神经大粗,,和正主没关系的事，为什么要回应？,139,2019-09-24 10:23
@可喜Ephemeral,,记者问，你觉得自己情商高吗，他说，这个问题不能我自己来回答，我回答了就会显得情商很低。你自己领会蔡徐坤的情商吧,80,2019-09-24 10:46
@Dearest·Kun,,这和蔡徐坤没关系吧,62,2019-09-24 11:03
@Curedents_牙签,,“自然现象” 顺其自然 且他并没有回应什么 没错啊都让他回应可是需要回应什么呢 也没什么好解释的 网民自娱自乐和粉丝正常守榜,46,2019-09-24 10:48
@无幻君,,热搜有点奇怪。。过去多久了。。。有时间不如多听歌。为杰伦演唱会加油,27,2019-09-24 10:29
@宝贝宝贝kun,,真的不需要回应。。。,32,2019-09-24 10:47
@galaxy-xin1118,,不要代表周杰伦，谢谢,30,2019-09-24 10:32
@热血市民王富贵,,他的意思。这些都是粉丝干的，他又不知道，这锅他不背。粉丝。我艹，白瞎了。本人什么都不认。杰伦还知道回应下。他就牛批了,30,2019-09-24 14:02
@飞好好好fh,,不是天天嚷嚷粉丝行为偶像买单吗,18,2019-09-24 10:40
@圣斗士与奎,,我去，这事儿不是yxh挑起的嘛，跟cxk粉丝啥事儿？无缘无故去招惹前辈我们吃饱了撑的？,17,2019-09-24 22:38
@我就是娇娇呀,,抱走我伦。别扯到他……,14,2019-09-24 19:45
@骑着乌龟溜兔,,一群喜欢菜虚鲲的沙币，尤其还有一个妈妈团，也不知道羞耻，多大年龄了，还做别人妈妈，自己没有孩子吗,19,2019-09-24 10:50
@五号球迷,,不回应你们说不尊重前丨辈 要是回应了呢你们yxh是不是又得说蒸煮下场 low ,13,2019-09-24 19:46
@AriesJessica,,你夠了吧！營銷商每天唯恐天下不亂，高抬貴手，別cue蔡徐坤！,4,2019-09-26 00:55
@蔡徐坤的哈哈小姐,,时间会证明一切，顺其自然就好,5,2019-09-24 13:05
@一吃就胖的An啊,,粉圈的事情不要上升蒸煮吧，这是饭圈粉圈公理，无需解释，只有某些勤劳的搬运工yxh引战，黑粉才会干出的弱智事情，但是凡事有例外，你上升我蒸煮了，我再不上升就太对不起你这么认真的态度了,7,2019-09-24 10:58
@在等人,,给人一,5,2019-09-24 12:14
@金髮姐姐,,順其自然 無需回應,3,2019-09-24 16:17
