User,Reter,Comment,Votes,Time
@chen891213,,站那么高，太TMD危险了，下来!!!!,198,2019-09-21 17:34
@彩糖_肖AO,,天天都需要你爱，我的心思由你猜,109,2019-09-21 12:46
@最爱的潘俊岑,,我透，真好听,90,2019-09-21 14:52
@bAnana_ONE-,,罗志祥好帅,96,2019-09-21 13:50
@兔子两颗糖,,一分37秒出现的是裴子瑜吗？？？,35,2019-09-21 13:35
@一昂羊韵七宜,,一首歌最迷人的地方就在于，同一首歌有着无数人不同的回忆,37,2019-09-21 15:16
@你的歌声像太阳,,观众都在找罗志祥,41,2019-09-21 14:07
@瑜生与洲相遇,,我又想去看潘玮柏演唱会了,23,2019-09-21 20:51
@普通旧朋友吧,,什么节目啊这么多明星,22,2019-09-21 14:28
@你的笑容最让我心动,,潘玮柏小巨蛋演唱会,25,2019-09-21 14:29
@尕琪琪同学,,@卞珵-囬憶,3,2019-09-23 22:32
@玫瑰气泡花茶,,我的天 潘潘也太温柔了 ,13,2019-09-21 16:53
@year浅画,,好温柔的声音    潘玮柏的气息很好,14,2019-09-21 17:27
@-泡泡呀,,去看潘帅演唱会吧@choigyeoll ！,3,2019-09-21 18:03
@X41203,,我看到啦我们家猪两次耶,10,2019-09-21 15:13
@傻飞的傻元,,那个牌子上的日本是啥意思,3,2019-09-21 20:41
@汤圆不太圆哦-,,我的妈这个男人是吞了CD吗,8,2019-09-21 23:27
@ShakeSuk_cri,,@捏着肥梦的奇异生活 加钱也想去看一次,0,2019-09-26 07:39
@辣手一支花,,你学学这个，我们唱,1,2019-09-24 22:19
@我的英文超级溜,,潘帅超帅,8,2019-09-21 14:53
@我家的潘先森,,我潘最棒,6,2019-09-21 14:47
@xiaoxiao的紫蔷薇,,女粉丝都好漂亮啊,3,2019-09-21 22:45
@xiaoxiao的紫蔷薇,,小猪,3,2019-09-21 22:45
@星闻情报,,不得不爱,0,2019-10-28 13:41
@黄贺基,,2分30秒出现小猪罗志祥,1,2019-09-25 08:00
@闻晓旋xz,,萧亚轩：你是怎么做到的？？？,3,2019-09-22 09:00
@栗子栗子爱发呆,,潘玮柏爱你3000,0,2019-09-22 08:43
@水果味的李子,,青春……,3,2019-09-21 15:15
@老虎的小迷妹_丸子火锅妈妈,,这首当时班里每个人都会唱 因为太火了,3,2019-09-21 14:11
@爱吐槽的小巴哥,,这场演唱会超感动,3,2019-09-21 13:55
@就是不想用之前那个名字了,,瘦的时候和阮经天也有点像唉 但是台子升的太高了吧,1,2019-09-22 08:07
@CWei葳WeiC,,@一念一天堂丶晗,1,2019-09-21 22:20
@来自南城的人,,潘帅的发型好酷,2,2019-09-21 16:20
@叫我大姑娘_,,这个台子太高了吧,2,2019-09-21 16:14
@7SS-霜,,好听,2,2019-09-21 16:05
@A超人uncle,,这个发型有点好看,0,2019-09-28 23:16
@易生欢玺-bxt,,好危险啊，就那么点地方,0,2019-09-26 15:23
@美少女僵尸,,喔！我的青春啊！！！ #周冬雨潘玮柏k歌#,0,2019-09-25 09:40
@千玺弟的瘦鹤姐,,潘帅真的好帅,0,2019-09-25 08:21
@CeCiliaaaaaaa_,,@阳小迪迪迪迪迪,0,2019-09-25 01:49
@_海绵宝宝笑了,,太好听了,0,2019-09-24 23:39
@丷易易阿,,回忆嗷,0,2019-09-24 19:52
@smdiakahduqlalsjsbwhqajl,,@柳杨Leah 剪这个吧 和你发型差不多,0,2019-09-24 16:42
@lin小小健,,陪我度过了整个中学时代,0,2019-09-24 15:35
@泡沫沫楠,,潘帅真是及可爱、霸气于一身啊,0,2019-09-24 11:48
@小唱桥,,太爱听你的歌,0,2019-09-24 11:33
@一个老婆饼不加饼,,小时候的歌现在听还是好好听！,0,2019-09-24 10:41
@潘潘钢粉·南野雪儿,,今天还在刷小巨蛋，北京不见不散！@潘瑋柏,0,2019-09-22 22:47
@金尊的祭司,,06年的时候，姥姥在我家住，我每天都放老大的《不得不爱》，听得久了，我姥姥都学会了几句。时间流走的真快，姥姥离开我们已经五年了。,0,2019-09-22 09:32
@safe_and_sound_balabala,,潘玮柏真的好帅啊,0,2019-09-22 09:14
@若依RR,,这个太高了，有个栏杆也行呀,0,2019-09-22 08:39
@孟浩浩,,哪里有周冬雨啊  我怎么没找到？？,0,2019-09-22 08:02
@MIAYIXIN,,我的妈鸭这首歌真的是我童年 以前和小学同学上学路上一直哼的那种歌 还是觉得玮柏现在胖胖的更可爱哈哈哈哈哈,1,2019-09-22 03:52
@CarinaLyn27,,我错了刚出来那一秒看成了杨坤,1,2019-09-22 00:24
@Aha黄昏昏,,天天都需要你爱我的心思由你猜～@潘瑋柏,0,2019-09-22 00:12
@liulisibaby,,好,0,2019-09-21 22:54
@夜瘾女子,,我去，那么高，地方那么小，很危险的,0,2019-09-21 22:51
@我还是个小朋友呐,,舞台好危险,1,2019-09-21 22:47
@淑淑是个小仙女,,哇青春啊，上学的时候听的歌,0,2019-09-21 22:41
@Bonnie-bo,,小猪也在哈哈哈哈,0,2019-09-21 22:31
@wilber的小太阳,,潘玮柏小巨蛋演唱会，后面串烧更牛,0,2019-09-21 22:16
@迷人的23号特务,,潘大胖,0,2019-09-21 21:58
@一粒紫米a,,不得不爱太好听了，站的这么高的么，厉害,0,2019-09-21 21:43
@PengPengkkk,,好瘦,0,2019-09-21 20:58
@粥粥_不加糖,,啊啊啊啊啊 我耳朵怀孕了,0,2019-09-21 20:50
@SONEyui,,他的声音真的 喜欢,1,2019-09-21 20:49
@熊熊leo非你莫属,,超有回忆的一首歌,0,2019-09-21 20:47
@有点小脾气的猫小姐,,一直爱你呀@潘瑋柏 ,0,2019-09-21 20:15
@皮皮洁,,站那么高好吓人奥,0,2019-09-21 19:53
@Vinsone文奕然,,那会潘帅好瘦,0,2019-09-21 18:37
@隆隆隆隆隆隆_,,都是回忆,1,2019-09-21 23:12
@杊洵善唀,,热度狗,1,2019-09-21 19:14
@力宏爱你到2060,,潘帅啊,0,2019-09-25 09:49
@日落爱琴海海,,不得不爱,0,2019-09-25 09:42
@smilesweet柒柒,,太淡定了吧,0,2019-09-25 09:38
@杜杜那个娟,,这也太高了吧,0,2019-09-25 09:37
@ss会跑的鱼,,有周冬雨什么事,0,2019-09-25 09:12
@喜欢李宏毅的第999天,,所以说，哪里和周冬雨.k歌了？,0,2019-09-25 09:08
@走在寒枫中,,潘帅,0,2019-09-25 08:54
@米落大象和猫小喵,,满满的青春回忆啊，我今年32了,0,2019-09-25 08:33
@陈朗海,,有点泪目啊,0,2019-09-25 08:12
@Jo左左,,什么时候的,0,2019-09-25 08:02
@小悦小悦小悦,,好想去看演唱会,0,2019-09-25 07:53
@一只低调的双子座,,每次看我潘的小巨蛋都被他折服,0,2019-09-25 07:19
@巧克力都是我的_,,全是回忆,0,2019-09-25 07:05
@_莫哈哈,,竟然想哭。,0,2019-09-25 05:34
@圆角与茴蕉,,潘潘的歌好喜欢,0,2019-09-25 00:16
@我后桌的同桌的前桌的同桌是逗比,,好好听啊   感觉潘帅又帅了,0,2019-09-25 00:14
@GGGG-Janly,,,0,2019-09-24 22:52
@穿-靴子的貓,,看到潘妈妈了,0,2019-09-24 22:50
@SUK_帅抽,,有点怕怕太高了,0,2019-09-24 22:11
@17号精神病员,,爱了爱了 我的青春啊,0,2019-09-24 21:27
@qinys_heart,,温柔,0,2019-09-24 21:11
@哦嘿嘿蓝精灵,,即便有围栏，也太危险了吧！我的天,0,2019-09-24 21:03
@M曼h_h,,好听啊啊啊,0,2019-09-24 21:01
@風唲莎莎,,转发微博,0,2019-09-24 20:49
@优雅且追逐的鹿,,别那么高好不好？上次你摔伤我都觉得心疼,0,2019-09-24 20:36
