User,Reter,Comment,Votes,Time
@GrsouI,,辛苦男主了 得加钱吧这个,17595,2019-09-25 10:01
@生活充实李二胖,,男主白人？种族歧视？另外王子为什么一定要男人？性别歧视？,15780,2019-09-25 10:04
@Won455,,是是是 我们都知道美人鱼是谁了别再重复了,10312,2019-09-25 10:01
@KKIOZ,,黑人美人鱼不惜牺牲声音 来换取白人男性的爱,8034,2019-09-25 10:22
@逝去的冬天丶,,要不把男主也换成黑人算了,6619,2019-09-25 10:02
@JessssssseH,,我实在对这个电影相关信息过敏，一人血书不要发主角照片。,5860,2019-09-25 10:25
@Camila_Cabello的小娇夫,,让我康康谁最倒霉成为男主,1968,2019-09-25 10:01
@和唐门大战的菇,,您放过可爱的沙赞弟弟吧！！,765,2019-09-25 10:06
@用户我去年买了个包,,为什么一定要是男女恋爱？歧视同性恋！！！应该再选个女主！乌苏拉为什么一定要是女人？！歧视女性！！！要求平权！选个男反派！！！！另一个主角为什么一定要选一个白人来搭配我们的女主：小·美杜莎·黑人·比目鱼？！太过分了！要求全片都只征用黑人演员！因为黑人的权利不容忽视！！！,376,2019-09-25 11:38
@-熊熊的嵩羽-,,看看是哪个幸运儿能中奖,338,2019-09-25 10:00
@我们的胡士托_,,答应我 以后别发最后一张 要发也打上马赛克,332,2019-09-25 10:56
@卷裁缝,,my eye!!!!!!不要再发了!!!!! 评论配图,311,2019-09-25 10:37
@彦中SF,,瓦坎达的女将军长得都比她漂亮多了,220,2019-09-25 11:04
@打个碟都是爱你的形状,,奥尼尔可以尝试演一下,238,2019-09-25 10:29
@溺死在深坑里的仙女,,请您撤回这条鱼的照片谢谢,191,2019-09-25 17:46
@April_越,,…雪你还是算了,96,2019-09-25 10:01
@黑我老公的人看不出他世界最帅吗,,这些可怜的男孩子有做错了什么呢,134,2019-09-25 11:36
@盛京遗鬼,,男主：“你们找一个黑人演美人鱼简直是毁我童年，这可是我儿时最喜欢的童话……得加钱！”,105,2019-09-25 10:05
@李俊美De大世界,,王子连夜买站票逃跑了,92,2019-09-25 19:14
@JasonChristmasD,,选倒霉蛋了！,72,2019-09-25 10:02
@Lex27186,,别搞Asher,35,2019-09-25 10:24
@萌一萌新,,让我康康谁成为男主，真...,33,2019-09-25 10:05
@MrHowardC,,来看看是哪个小倒霉蛋,38,2019-09-25 12:16
@莎莉是枝丫,,都配不上我们黝黑的公主,44,2019-09-25 11:09
@LiliFeii,,。。。。。 评论配图,20,2019-09-25 10:08
@是过程不是解答,,看到第六张图又裂开了,26,2019-09-25 10:04
@叮xxx你的蒲蒲已上线,,我真特么服死这个小美人鱼的选角结果了，我小时候最喜欢的童话啊！美女与野兽都能让EMMA这种大美女来，为什么恢我小美人鱼！？这么久以来我真得难以平复心情！,20,2019-09-25 22:35
@萝卜解接,,广撒网？才两名？我没想到迪爸爸这个片子 我曾经最爱的动画 能凉成这个样子,21,2019-09-25 11:11
@黄金菇菇兔_Togi,,为什么就不能找个白一点的演小美人鱼呢，真的疑惑，难不成活在海里，这海水还能自动美黑的吗？无语.jpg,25,2019-09-25 19:04
