User,Reter,Comment,Votes,Time,Count
@凉月满屋,,竟然是她！我在知乎还看到过这篇高赞回答呢！果然知乎全靠编,2786,2019-09-25 16:43,3
@yifeieh_,,卧槽，虐不虐猫我不知道，不过图345是真的看吐了,2152,2019-09-25 13:49,1
@阿晴阿晴打牌总赢,,图三我真的气疯了。“虽然我把猫锁柜子里导致猫不能自由活动还因此长了一身猫癣，但我都是为它好，我真的好善良我感动天感动地”？？？？？？？？？？？？？？,1979,2019-09-25 15:18,1
@Wong-Mama,,这猫看着像假猫,1337,2019-09-25 13:40,1
@小高哲学nice,,而且她做过鼻子，最早贴吧逆袭吧有她的所有记录，什么逆袭女神之类的，初中开始早恋说她妈出轨之类的,797,2019-09-25 14:01,2
@阿芮酱,,哎   别的都不说了   图一二真的是 猫都僵硬成这样了 看了真心疼    养猫的都可以看出来 原视频里瑞拉有试过扭头 想走  被人按着头转回去 估计也无力反抗了吧,778,2019-09-25 13:51,1
@CHENCHUNG925,,她得了精分…晚上她是皇城脚下的公主，白天是没钱给猫治病的灰姑娘，第一次那么恶心一个人…,521,2019-09-25 14:38,1
@蘑菇蘑菇为什么打伞,,,494,2019-09-25 13:26,1
@lizy莉是小仙女呀,,这个女孩我关注了有7到8年了，并不是因为宠物关注她的，而是差不多十年前我在贴吧逆袭吧里面看到她一篇暴火置顶的文章，那时候还加了她的qq，才知道只是一个初三的孩子，看着她上高一到大学，那时候是很喜欢炫富，也记录了和男朋友所有的恋爱全过程，上大一那年隆了鼻子还在qq分享了，家里挺有钱的,266,2019-09-25 14:41,1
@养了三只猫,,她真的是被扒了个底朝天，就这样她微博下面还有一些捧臭脚的，猫血馒头就那么好吃,309,2019-09-25 14:04,1
@小鹿纸deer,,不是吧，我一直关注柔柔这个博主，她爸也特有才，还有斑比也很可爱，瑞拉好像是一直有重病的小猫，她们一直再给瑞拉治病，微博也都特别暖有正能量，难道都是假的,123,2019-09-25 15:16,1
@村头那棵狗尾巴草dio,,路转黑了，这个女生真的好差！！！！,17,2019-09-25 14:20,2
@lovepuppy_w,,太恶心了吧这种人,15,2019-09-25 13:06,1
@欢脱的小魔怪别太堕落哈哈哈哈哈,,这人踏马的精神分裂吧。,9,2019-09-25 16:13,1
@白昼之月·,,养猫的人看不得这种…不管私生活怎么样家里有没有钱 既然决定养宠物的那刻 就该对它负责 不是一时兴起 不是博眼球 不是为了赶养猫潮流 是活生生的生命啊 这件事如果是真的就丧失良知了 挺难过的,12,2019-09-25 21:23,1
@今晚请和我见面_,,啊？瑞拉不是捡来的病猫猫然后她们家给治好了吗,5,2019-09-25 15:12,1
@今天葡萄还是柚子,,说实话我也是因为她写的感人文章关注了她一段时间，发现压根就不是那么回事，还天天打广告我就取关了（别喷……,8,2019-09-25 20:16,1
@蔷靥,,我北京的朋友说她家还是挺厉害的……她家住大院儿 她爸爸也是 你们懂的 有那么一点点红色背景的 一个月工资也不少 可能她爸爸并不知道她女儿这么戏精吧 可惜了,3,2019-09-27 22:37,1
@鳄鱼的眼泪掉下来,,我关注过她一段时间，我是个爱猫狂魔，后来看她发微博觉得特别矫情，就是不是那种一般矫情，装的那种，就取关了。爱猫不是这么个爱法吧,3,2019-09-30 09:49,1
@是90家的小甜甜呀-,,她好像真的精神分裂 一会哭穷说自己1000生活费 一会说自己是小公主优越的不行 我zen吐了,8,2019-09-25 16:59,1
