User,Reter,Comment,Votes,Time
@湃南1230,,所以校方回应什么了？？？,164,2019-09-25 19:55
@管它什么的还是算了吧,,小礼物没关系，太大自己该不该收，自己斟酌呗,8,2019-09-25 20:05
@圈外人士MissWang,,家长们别送了，我作为老师真的不需要那些东西，拒接信封的时候把我手都扯红了，这些钱和礼物是收买不了我的，因为拿人手短，拿了就等于受人摆布，我又不傻,9,2019-09-25 20:19
@白色仙人掌23845,,就想问问，既然你觉得老师收礼不对，你为什送呢？你送老师，然后你再去举报，钓鱼执法，陷害栽赃一手好牌啊。为了你那个儿子当班长，可真是龌龊至极。,12,2019-09-25 20:12
@二陈89,,虽然教师工资也不高，但也真不缺钱，更不喜欢收礼物，别都说的老师那么势利眼。,6,2019-09-25 20:32
@忧桑的老七七,,家长和老师之间天然存在一层利益关系，家长和老师搞好关系，说到底就是为自己孩子争取比别家孩子更多的教育资源，拿闺蜜情说事简直了，官员和地产商还是兄弟情呢……拿人手短，礼收了又不办事，这老师心术不正且情商低，主角职业把老师换成医生或者公务员试试，怕是要被喷死,9,2019-09-25 20:15
@timbo阿金,,我觉得规矩立好了就不要破坏 这样大环境在能越来越好 家长老师都好做,6,2019-09-25 19:57
@ILY八岐,,补课，是逼家长补，图钱；不补，是家长怕老师不负责、举报老师只给自家孩子补。教育局严打教师补课，你送辅导班，宁信校外负责，不信在校老师负责。收礼，收要挨骂挨举报艾处分；不收，家长不放心，还主动硬送。漫天师德败坏，贪得无厌，工作轻松，跟遇到官出错、商太富的消息一样，一点就炸开花。,3,2019-09-25 20:30
@老仙女胖儿,,为啥不能给老师送礼物？我上学成绩差，老师并没有区别看待，老师对待每一位学生在我看来都一样，我父母给老师送礼是因为老师费心了，并不是每个家长都有目的的,8,2019-09-25 20:16
@AJ榴莲,,我想说，她们是闺蜜，朋友之间送礼很正常，这个家长因太坏了，直接影响了孩子在学校，孩子肯定被其他同学孤立，没有想过孩子感受,3,2019-09-25 20:26
@洹水精豆,,抛开送礼不说啊，现在的孩子和家长对老师的感恩之心都没有了，一副理所当然的样子。,3,2019-09-25 20:17
@一个挺老逗的博主,,谁都知道不应该，可不得不送。社会就是人情世故。谁都想让老师对自己家孩子好一点。那就要送礼表示一下，不然那么多孩子，指望着老师对每个孩子都一样也是不可能。要不然大家早就不用送礼了。人性罢了。但是检察举报制度还是要有，不然吸血鬼老师会更多。,3,2019-09-25 20:05
@-庄婷虹,,浙江那边给老师送礼都成常态了,2,2019-09-25 19:59
@_邓梓浩DZH,,中秋节给班主任送月饼 算不算,0,2019-09-25 19:54
@懒惰的琪琪猪,,不喜欢那班主任，不稀罕当班干部，不会送礼。,0,2019-09-26 10:28
@又双木是Sang,,不是老师想收礼，而是有些家长贱皮子非要送，搞得老师难为情，建议再有送礼的就把学生家长名单贴在校门口，看还有脸来送不！,0,2019-09-25 23:45
@你可真好吃,,没什么应该不应该的，肯定是按情况而定吧！我就给老师送过礼，是那种非常感谢老师的，中秋节送了一盒月饼。但如果是那种送礼为了特别照顾的肯定是不妥，但是老师也很辛苦，有的愿意感谢的其实可以适当点，按情况而定别太这么死板就行,0,2019-09-25 21:58
@六块腹肌终化一,,高中  一w五,0,2019-09-25 21:49
@还是婧花缘,,这个直接这样说，不管老师以什么身份和这个家长相交而产生了人情往来送礼，但是瓜田李下的道理也应该懂吧。不知道他是心太大还是什么。,0,2019-09-25 21:35
@痞子的合体,,尊师重教，变味了。,0,2019-09-25 21:22
@痞子的合体,,听一个亲戚说的，教师节她给老师送的五百购物卡。有个班主任说xxx你的爸爸是部队的吧，听说部队的罐头挺好吃的…后面就不用说了。,0,2019-09-25 21:21
@ArsenalFor4444,,中国教育的悲哀就是家长和教育者的关系，阻碍社会的发展,0,2019-09-25 21:18
@嗨罗三斤,,都不知道该选啥了,0,2019-09-25 20:26
@微笑着安静只因漠然,,教师节的时候我家送了老师每人一盒巧克力，几十块钱。就是一点点心意，平时根本就不会往老师面前凑，他们不找我就更好了,0,2019-09-25 20:08
@随我婆娑,,严厉打击不良社会风气！教师有工资，做的就是教书育人的工作，不该收礼！,1,2019-09-25 20:01
@哲思语录,,送礼都是为了私利，不排除为了达到目的弄虚作假，不择手段。何来礼尚往来一说？,1,2019-09-25 20:35
@温瞳哇,,说的都感觉自己很高尚一样，老师不许家长来往最好了，只教书，别的都别管，自己也能轻松,1,2019-09-25 20:20
@易拉罐kkk,,有点人情味，送点礼不好吗？人家过中秋送盒月饼怎么了？？？？,5,2019-09-25 19:57
@九环小妞Liratos,,所以现在老师避免和家长接触联系。,0,2019-09-25 21:42
@下场雨就好了,,礼尚往来我觉得就算了这样分明是让老师区别对待，但是送礼的话怎么说的，像买点水果啊牛奶啊这些还是好的毕竟尊师是中国这么多年来非常值得推崇的一个传统,0,2019-09-25 20:19
@一个吖吖吖,,让我想起来我们高中生物老师啦 人非常好，学生都很喜欢她，过节时办公桌上会收到很多匿名小礼物，她看到会询问想退回，她会找机会带礼物给我们；我们有一个英语老师，平安夜那天去她代的几个班里溜达：今天有没有人送我苹果呢,3,2019-09-25 20:16
@AaaqUaRius7,,作为在编教师，客观点说现在城市一线教师工资真的不算低了，在严查的态势下，没必要为了一点财物上的东西冒这么大风险。我周围整体的日常就是对这类事情避如蛇蝎，哪个家长要送礼还会觉得这个家长不懂事儿，起到负面作用。,4,2019-09-25 20:16
@美美刘小美,,教师节我同学给了老师1000块钱，在放学的时候校外给的，老师都没推辞，直接接了，所以……现在这种风气真该整顿，不送礼就针对孩子，没有师德，送礼就没完没了，一年送，年年送，还有各种节日，孩子多的还活不活了……,2,2019-09-25 20:10
@在万芳亭呢喃的墨兰,,我参与了@一手Video 发起的投票【你认为家长应不应给给老师送礼？】，我投给了“看情况，可以适度送礼”这个选项，你也快来表态吧~,0,2019-09-25 20:04
@weifang立夏,,君子之交淡如水，老师跟家长之间的交往应该像水一样淡，交往过密不是什么好事。一亲密，心里的天平也会倾斜，对别的学生也是一种不公平，要想权力不被绑架，就得干干净净,2,2019-09-25 20:15
@TT西西酱,,如果只是学生和老师的简单关系，还是觉得不该送什么礼吧，过节送送花巧克力的就够了。,1,2019-09-25 21:51
@春暖花开之时丶便是重生之日,,都是工作而已，怎么不见你跟餐厅的服务员礼尚往来？,1,2019-09-25 20:55
@呲牙哼,,什么叫适度，对于有钱人，几千几万在他们眼里都是小意思。对于大多数人，几百块都是很好的。收了一次就有第二次。,1,2019-09-25 20:44
@秋风凉啊吧,,也没说清是主动还是被动收礼，我妹小学老师，学生教师节给她送自己做的花，还有送一个月饼的，还有送一盒糖果的，你说你退回去人家以为你看不上，嫌弃礼物小呢。家长心里还会多想，你说收了吧，就落下收礼的名义了。,1,2019-09-25 20:11
@冻京乙女莉子,,想送礼，孩子毕业了送多少都可以，为什么要在孩子上学的时候送？人生百年，好朋友之间就差那么三年？如果你们的友情三年就解约，孩子一毕业，家长老师就断绝联系，那也算不上什么友情，孩子们毕业后还有同学会还互相送生日礼物呢！,0,2019-09-26 08:06
@愿每一天充满阳光,,作为一名老师也觉得应该公事公办，虽然挣得不多，但是不差家长的一个礼物的。这个事例给了大家一个警醒吧，不要跟家长走的太近，谁知道家长哪天反咬你一口呢，真心对待每一个孩子就好。,0,2019-09-25 21:50
@请叫我安达,,反正我知道前段时间被家长逼死投河自尽的周老师不会是最后一个，评论里的一些家长或者以后要做家长的人，你们要多加油，用你们阴暗的心继续,0,2019-09-25 21:05
@谢谢谢一浔,,让家庭条件一般的孩子怎么办,0,2019-09-25 21:04
@千金散去回不来,,以前上学平平静静完全没有这些送礼啥的乌七八糟的事情。现在都什么毛病，天天电视看多了还是职场混成神经病了。手都伸的那么长了。啥都想用钱搞事。,0,2019-09-25 21:00
@年轮独白,,就没有合理的选项,0,2019-09-25 20:57
@人渣柳,,我从高中毕业一直到现在大学毕业，每年都会给我的高中班主任老师送些礼品，高中时候我父亲送，毕业之后我送，我觉得送礼没有什么不好，只是表达我对老师对我照顾的感激之情,1,2019-09-25 20:53
@小木梅子李,,老师都要收礼，还有什么事有公正可言,0,2019-09-25 20:46
@Lara武啦啦,,好老师也收礼。家长希望老师对自己孩子好，所以送礼。好老师也嫌弃礼小，家长有不满也不说。因为孩子在校，受制于老师，孩子毕业了，也没必要说了。我们想像中的师之德，定高了。而实中能把学生成绩提高，已经算好老师了。,0,2019-09-25 20:43
@乐意割草,,小学六年 家里送了六年 然并卵 一点都不影响我倒数的成绩 哈哈哈,0,2019-09-25 20:43
@每日穗穗念,,每年换班主任就解决不少问题的了,0,2019-09-25 20:42
@Lara武啦啦,,好老师也收礼呀。家长愿意老师对自己孩子好，所以送礼。好老师也嫌弃礼小，家长有不满也不说。因为孩子在校，受制于老师，孩子毕业了，也没必要说了。我们想像中的师德，定的太高了。而面实中能把学生成绩提高，已经算好老师了。,0,2019-09-25 20:41
@单行道977,,我不支持老师收礼。但现在老师真是太难了，按现在的舆论风向，“程门立雪”的事要是发生在现在，程颐会不会被批得灰头土脸的？！,0,2019-09-25 20:30
@美丽的美魅力的魅,,为人师表要坚守高尚情操，知荣明耻，严于律己，以身作则，作风正派，廉洁从教，不利用职务之便谋取私利。,0,2019-09-25 20:28
@奉心丶zyl,,回复@门三三呦三三 的表态:错别字的我  还钱的还  不是换,0,2019-09-25 20:27
@bobo的GAGA,,无论如何就不应该开这个坏头！,0,2019-09-25 20:27
@Huangchengcheng888,,我想说，一堆收礼的 ，自己同学当老师 经常炫耀收不完的礼,0,2019-09-25 20:26
@大头倩下雨不愁,,呃。。。。@国服第一素质玩家,0,2019-09-25 20:26
@是你的爽妹儿呀,,老师真不愿意收礼好嘛！表示糖果，巧克力，水果，贺卡，花这些收了没负担。其他的压根不想看见，就怕搞事情的家长，先送你礼物，然后回头就搞死你！没必要，普通老师只想安安稳稳赚工资，既然当了老师（一般教师）就没想过那些花里胡哨的事。,0,2019-09-25 20:25
@寂夜永宁,,我妈每学期给我弟班主任送一只鸡，没别的意思，希望老师能多关照一下我弟。我妈送鸡是单纯地和老师交个好，所以这件事的那个家长送礼想干啥？,0,2019-09-25 20:24
@蕃子大大,,送的品牌手链，没敢收,0,2019-09-25 20:24
@早-安,,听说老师市区缺少一套200平方的房子，各位家长，表示一下吧。,0,2019-09-25 20:23
@minnie倩1030,,老师这个职业真的只有自己知道有多艰难，一切都是为了孩子，孩子不交作业，找家长私聊，结果一切变成了老师的错,0,2019-09-25 20:23
@银塔马,,@艾曲的三次方,0,2019-09-25 20:22
@娜尔娜-,,现在学校都养成什么破风气，家长喜欢送礼，老师喜欢收礼，更搞笑的是我们这里的小学，老师还要求家长每天去学校做卫生，搞什么家委会、鼓动学生为班里捐东西 然后就形成了小学生攀起的活动.....,0,2019-09-25 20:22
@刷大炮,,老师收礼不是理所当然的吗？,0,2019-09-25 20:22
@布鲁素色,,我那年代老师每年就收个挂历和贺卡 教书真的是呕心沥血 也没什么老师和家长之间的矛盾 社会进步到今天 怎么师长和家长都衍生出尔虞我诈了,0,2019-09-25 20:22
@如果再爱你一点,,你应该问老师应不应该收礼,1,2019-09-25 20:21
@Adhere--Sun,,那天才听同事说，现在的小学都要给老师送礼，老师才会安排比较好的座位（也是在深圳的）,0,2019-09-25 20:21
@生死悠悠一寸心,,七年了，我没收过家长任何礼品，不稀罕。就是这么傲娇。,0,2019-09-25 20:19
@十年盛夏的约定,,老师有时可以收，高三时我们老师都好辛苦，对我们也超好，我们大家送礼物时都希望老师收下，没那么贵重，也是心意和纪念,0,2019-09-25 20:14
@奔跑的屁屁猪,,苍蝇不叮无缝的蛋，还有那些家长，不要再纵容这种行为,0,2019-09-25 20:14
@周文n,,适度适度就收不住了，这种事就得杜绝,0,2019-09-25 20:13
@Etiailine,,确实很多收礼的，也有很多人把收礼想当然了,0,2019-09-25 20:07
@卐赫拉,,上个学整的跟jb宫斗一样,1,2019-09-25 20:06
@曾经的miriam,,不应该。送了礼 老师对孩子就不公平了。,0,2019-09-25 20:03
@可乐的不靠谱麻麻,,我们只有出去玩的时候给英语班的老师带一个有当地特色的钥匙链，老师都特别开心，虽然只有16块钱。,0,2019-09-25 20:03
@你說你也一樣嗎,,送了的同学会被区别对待吗？那么没送的呢？,0,2019-09-25 20:02
@天然呆傻二蠢萌,,那么教育部就要下个公告，价值多少钱以上算送礼？,1,2019-09-25 19:59
@为什么说了再见,,我参与了@一手Video 发起的投票【你认为家长应不应给给老师送礼？】，我投给了“不应该，公事公办”这个选项，你也快来表态吧~ 当然不应该了，收礼性质就变了,0,2019-09-25 19:59
@小老胖_,,我特么也知道不应该，可是都送你告诉我咋办。,1,2019-09-25 19:59
@叫我悠悠,,没有没想过那个家长也是被人指使的,0,2019-09-25 19:58
@马小野他的微博,,这个社会一部分人，公务员，老师，企业相关职位，等等，都不应该承担职务性以外的的收礼，收礼会引起不公平。,0,2019-09-25 19:58
@Alfred_go,,不应该，但现实是你不送别人送，你家孩子就是会被区别对待,0,2019-09-25 19:56
@洗尽铅华的自己,,不知道为啥现在老师和学生，家长之间的逼事儿那么多，以前的老师和学生家长之间关系正常的多,0,2019-09-25 20:27
@岳如悬,,我是老师，我认为不应该！,0,2019-09-25 20:11
@wuli宋多多,,老师回礼了 不欠他的,0,2019-09-25 20:05
@大咖小红豆,,礼尚往来是什么鬼,0,2019-09-25 20:05
@galaxy十六,,反正我们这都送，老师也收,0,2019-09-25 19:56
@磨人晶没有创可贴,,送不送也不该收，家长是否送礼没办法控制，但是老师收礼有职业道德约束,1,2019-09-25 19:55
@咿只小可爱,,所以说某辅导员强制收礼，该如何是好,0,2019-09-26 09:36
@想飞的马20863,,如果为了逾矩而送礼不合适，但是因为老师优秀，想要表达感谢就可以,0,2019-09-25 22:36
@轻轻的草,,这有几个公事公办的？送点礼都挺正常的,0,2019-09-25 21:06
@金绮丽37899,,emm，不知道大家知不知道成都七中，在那上学，收礼很正常,1,2019-09-25 20:51
@飞翔蓝天下-峰,,本来就不能送,0,2019-09-25 20:50
@力口说,,楼主你家里没人吧？？,0,2019-09-25 20:27
@网络超时007,,憨批问题,0,2019-09-25 20:25
@Shirley-7163731495,,我会自己作卡片送老师,1,2019-09-25 20:00
@郑立菲,,看情况，有时候感谢老师教导，也可以，不要攀比就行,0,2019-09-25 19:56
@郭猿潮,,我是体育老师，家长给老师塞了红包，过后老师才知道，老师用钱给学生充了饭卡……偶尔没办法也收过红包，老师是认真负责的老师，别上纲上线！,0,2019-09-26 07:19
@忧桑的老七七,,关于还礼这件事，不要报道看一半无视标注，这话是出自路人（这种据某路人反映而无实际证据的报道本身就很具引导性），如果真有证据每次都还礼，那这事完全不需要扯皮一年多，更不需要闹到纪委。真是老师太单纯一点没留痕迹？现在网购有订单，聊天有微信记录，逛街有录像，小区有监控，想完全不留痕都难,0,2019-09-25 22:49
@Lunatic_Ding,,老师现在真的挺难的……我闺蜜是老师，家长的红包礼品从来不收，家长就给充话费，她只能自己再给对方家长充回去……心里mmp，用不完的话费越来越多，钱包里的钱越来越少,0,2019-09-25 21:55
@秋瞳zz,,新老师，拒收家长红包，被家长充成话费，我又得一个个还回去，虽然是好意，但真的被迫交了很多话费,0,2019-09-25 20:29
@子月廿五-,,其实说真的，你给老师送礼，老师不一定记得住，因为那么多家长都送了。但是谁不送礼，她一定记得清清楚楚！,0,2019-09-25 20:28
@文刀三水泽,,哎，想当初高中，过教师节我们每人要送五百块当班费。其中班主任的一双球鞋就几千块，还有送了一块品牌手表几千块，一个玉镯子，还有。。各种六个老师，一个比一个贵重。哈哈哈，可能当时我们要是更有钱就还送房子了吧。现在想来真的傻，毕业以后再也没联系，电话都没有。,0,2019-09-25 20:25
@GDPGTOP,,我同事家孩子幼儿园就开始班主任多少钱 生活老师多少钱 别人都送就你不送怕对你孩子不好 想想孩子到大学毕业那得多少钱啊 没钱别要孩子了,0,2019-09-25 20:23
@啊呜啊呜小鱼干,,我们以前老师不收的，家访骑自行车来，自备矿泉水，同学家长送，夹在作业里退回去了,0,2019-09-25 20:19
@雨霁天虹43565,,金额小表感恩就行，金额太大不应该  几百块钱都是,0,2019-09-25 20:17
@散-----花花花,,之前有个新闻不是说 家长给了老师88元红包，老师收下 并给了100红包。家长没收，转头就把老师举报了,0,2019-09-25 20:15
@小猴子的尾巴啊,,我姐小孩的幼儿园，不会送红包之类的，但会送高级化妆品，口红，包包之类的，她说很常态，老师也收。,0,2019-09-25 20:11
@彼岸花Alone,,去年在朋友圈发孩子过生日视频，幼儿园园长给我发了红包，我给园长回了同等价位的礼物，今年没发朋友圈,0,2019-09-25 20:09
@Spining1980,,我家长就是从我小学送到高中，虽然不是啥特值钱的，但也不少，超市卡，月饼，特产，奶，电话费一充给充一年的。家长以为我不懂，我全看在眼里，老师也确实关心我多了，对我关注度就高了，考试前还帮助辅导两下，迟到什么的没那么凶。现在的老师你以为靠那点工资生活，外收入不少。,0,2019-09-25 20:09
@snow0773,,真心要感谢老师，毕业后随便送，在学校一天，就不要送，送任何东西都是对其他同学不公平。我女儿特别喜欢她一二年级的老师，换老师后，我非常郑重的邀请老师参加她的生日会，老师给孩子备了一份大礼。我们和老师分开五年了，现在初中，今年生日依旧邀请老师参加。,1,2019-09-25 20:08
@sh-shell,,我只想说……办公室的老师真的讨论过这个问题。家长发的红包点都不要点开……因为真的被家长反手一个举报过……,1,2019-09-25 20:07
@徐曙啊,,很正常呀  我高中时候班主任很多家长送烟送红包 他也没拒绝过 收了就对孩子好一点,1,2019-09-25 20:02
@GB18918-2002,,自行束脩以上，吾未尝无诲焉。谁懂这个，求解释。,1,2019-09-25 20:00
@懒惰的琪琪猪,,不喜欢那班主任，不稀罕当班干部，不会送礼。,0,2019-09-26 10:28
@咿只小可爱,,所以说某辅导员强制收礼，该如何是好,0,2019-09-26 09:36
@冻京乙女莉子,,想送礼，孩子毕业了送多少都可以，为什么要在孩子上学的时候送？人生百年，好朋友之间就差那么三年？如果你们的友情三年就解约，孩子一毕业，家长老师就断绝联系，那也算不上什么友情，孩子们毕业后还有同学会还互相送生日礼物呢！,0,2019-09-26 08:06
@郭猿潮,,我是体育老师，家长给老师塞了红包，过后老师才知道，老师用钱给学生充了饭卡……偶尔没办法也收过红包，老师是认真负责的老师，别上纲上线！,0,2019-09-26 07:19
@又双木是Sang,,不是老师想收礼，而是有些家长贱皮子非要送，搞得老师难为情，建议再有送礼的就把学生家长名单贴在校门口，看还有脸来送不！,0,2019-09-25 23:45
@忧桑的老七七,,关于还礼这件事，不要报道看一半无视标注，这话是出自路人（这种据某路人反映而无实际证据的报道本身就很具引导性），如果真有证据每次都还礼，那这事完全不需要扯皮一年多，更不需要闹到纪委。真是老师太单纯一点没留痕迹？现在网购有订单，聊天有微信记录，逛街有录像，小区有监控，想完全不留痕都难,0,2019-09-25 22:49
@想飞的马20863,,如果为了逾矩而送礼不合适，但是因为老师优秀，想要表达感谢就可以,0,2019-09-25 22:36
@你可真好吃,,没什么应该不应该的，肯定是按情况而定吧！我就给老师送过礼，是那种非常感谢老师的，中秋节送了一盒月饼。但如果是那种送礼为了特别照顾的肯定是不妥，但是老师也很辛苦，有的愿意感谢的其实可以适当点，按情况而定别太这么死板就行,0,2019-09-25 21:58
@懒惰的琪琪猪,,不喜欢那班主任，不稀罕当班干部，不会送礼。,0,2019-09-26 10:28
@咿只小可爱,,所以说某辅导员强制收礼，该如何是好,0,2019-09-26 09:36
@冻京乙女莉子,,想送礼，孩子毕业了送多少都可以，为什么要在孩子上学的时候送？人生百年，好朋友之间就差那么三年？如果你们的友情三年就解约，孩子一毕业，家长老师就断绝联系，那也算不上什么友情，孩子们毕业后还有同学会还互相送生日礼物呢！,0,2019-09-26 08:06
@郭猿潮,,我是体育老师，家长给老师塞了红包，过后老师才知道，老师用钱给学生充了饭卡……偶尔没办法也收过红包，老师是认真负责的老师，别上纲上线！,0,2019-09-26 07:19
@又双木是Sang,,不是老师想收礼，而是有些家长贱皮子非要送，搞得老师难为情，建议再有送礼的就把学生家长名单贴在校门口，看还有脸来送不！,0,2019-09-25 23:45
@忧桑的老七七,,关于还礼这件事，不要报道看一半无视标注，这话是出自路人（这种据某路人反映而无实际证据的报道本身就很具引导性），如果真有证据每次都还礼，那这事完全不需要扯皮一年多，更不需要闹到纪委。真是老师太单纯一点没留痕迹？现在网购有订单，聊天有微信记录，逛街有录像，小区有监控，想完全不留痕都难,0,2019-09-25 22:49
@想飞的马20863,,如果为了逾矩而送礼不合适，但是因为老师优秀，想要表达感谢就可以,0,2019-09-25 22:36
@你可真好吃,,没什么应该不应该的，肯定是按情况而定吧！我就给老师送过礼，是那种非常感谢老师的，中秋节送了一盒月饼。但如果是那种送礼为了特别照顾的肯定是不妥，但是老师也很辛苦，有的愿意感谢的其实可以适当点，按情况而定别太这么死板就行,0,2019-09-25 21:58
@Lunatic_Ding,,老师现在真的挺难的……我闺蜜是老师，家长的红包礼品从来不收，家长就给充话费，她只能自己再给对方家长充回去……心里mmp，用不完的话费越来越多，钱包里的钱越来越少,0,2019-09-25 21:55
