User,Reter,Comment,Votes,Time
@如果可以做柠檬树,,“我们自己的山，自己要登上去”，为杨光而来@胡歌 评论配图,1881,2019-09-06 09:01
@博士的蓝盒子,,期待方五洲！ 评论配图,1133,2019-09-06 09:04
@吳京,,1960年-1975年-如今，珠峰之巅飘扬的五星红旗，安放着几代人的心血与回忆！9月30日，为国登顶，寸土不让！#攀登者使命版预告#,1157,2019-09-06 12:13
@Zero蕉,,期待930攀登者，期待方五洲！ 评论配图,540,2019-09-06 09:06
@deliberatecity,,[几亿人民只能想着吃饭问题，我们这个民族又有什么希望呢？] 这句台词棒！点出了建国初人民的精神骨！没有前辈们当初勒紧裤腰带搞建设，为今天打好工业基础和战略环境基础，又哪来改开后飞速的发展,509,2019-09-06 09:47
@Clare奶霜白桃乌龙茶,,方五洲队长冲鸭！！！活着回来！！！ 评论配图,262,2019-09-06 09:04
@哎呀阿大,,登上去，活着回来呜呜呜呜方五洲,206,2019-09-06 09:05
@QinJongsuk,,期待胡歌哦,225,2019-09-06 09:01
@京雨喵喵咪,,方五洲，我为你骄傲！ 评论配图,135,2019-09-06 09:05
@我是西四啊,,如果几亿人都只想着吃饭问题，那这个民族还有什么希望？,175,2019-09-06 09:05
@白考儿,,期待井柏然,88,2019-09-06 09:03
@駑力勤快的mover,,期待杨光，期待胡歌,176,2019-09-06 09:09
@馨雨朦朦qd,,登上去活着回来！#电影攀登者# 930杨光影院见！,152,2019-09-06 09:18
@张译,,活下来，登上去#930攀登者#,139,2019-09-06 12:38
@·AkiTa,,期待井柏然李国梁 使命必达！,76,2019-09-06 09:03
@陈龙,,心怀使命，越是危难时刻越是不顾一切。9月30日，为国登顶，寸土不让！#攀登者使命版预告#,94,2019-09-06 10:12
@小井先生工作室,,#井柏然[超话]# #井柏然攀登者# 背负使命与荣耀，心怀信念和希望，9月30日《攀登者》为国登顶，寸土不让！@井柏然,46,2019-09-06 10:51
@城中餐,,期待#章子怡攀登者# ,70,2019-09-06 09:03
@胡椒的小宇宙,,我们自己的山，自己要登上去！活着回来！,73,2019-09-06 09:29
@随缘随你随我,,胡歌杨光攀登者，支持 评论配图,82,2019-09-06 11:10
@如果可以做柠檬树,,#胡歌[超话]# 心中有山 所以坚韧 坚持不懈 追逐阳光@胡歌 期待攀登者胡歌饰演的杨光，为你而来,77,2019-09-06 09:03
@入梦听歌,,期待我们的阳光,68,2019-09-06 09:19
@CENTER13,,期待杨光 期待攀登者,71,2019-09-06 09:12
@爱歌如梦0920,,期待胡歌的杨光@胡歌 评论配图,65,2019-09-06 10:22
@一哥的小饼干,,攀登者杨光,64,2019-09-06 10:25
@紫水晶sa,,攀登者胡歌[加油],44,2019-09-06 10:51
@Yue味糖,,期待杨光,34,2019-09-06 09:24
@吉拉德克劳夫特,,期待胡歌杨光！！！,37,2019-09-06 11:07
@款式简单,,期待杨光#930攀登者#,30,2019-09-06 11:16
@July193,,等你！攀登者杨光！,28,2019-09-06 10:20
@葫芦是个闷葫芦,,我又起鸡皮疙瘩了！！！！！！！,19,2019-09-06 09:16
@Clare奶霜白桃乌龙茶,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,14,2019-09-06 09:03
@回聲失落,,#吴京攀登者#终于把预告盼来啦！！ 为国登顶，寸土不让！930电影院见,17,2019-09-06 09:16
@超认真的可爱多,,张译！张译！！,19,2019-09-06 09:42
@夏屋_渠渠,,如果几亿人民只考虑吃饭这个问题，我们这个民族还有什么希望呢，方五洲你说的对！！！,14,2019-09-06 09:08
@风暴SAMA,,“几亿人只想着吃饭问题，我们这个民族又有什么希望呢？”这句话让我想到了前段时间那个新闻，大陆小伙说台湾发展差的时候被反问“吃不饱吗？”。当时我就在想，台湾已经堕落到吃饱就能满足的地步了？,18,2019-09-06 10:03
@张译官网官方资讯,,“如果完不成任务，自己跟老队长解释！”曲松林，霸气！#张译[超话]#,13,2019-09-06 10:17
@雁子kwkw,,期待杨光，期待胡歌，期待攀登者。,23,2019-09-06 10:38
@森川文青葵,,方五啾啊啊啊啊啊啊啊,13,2019-09-06 09:14
@喵喵su喵喵,,,12,2019-09-06 09:10
@晴晴的美女小姨ihuge,,期待,15,2019-09-06 09:22
@南方车站的小聚会,,咦   杨光没死,16,2019-09-06 09:25
@叶千鱼,,新预告！！呜呜呜方队长好苏太期待了,9,2019-09-06 09:06
@正在煮茶,,期待我译！！！！,12,2019-09-06 09:45
@Joy_zhao0910,,“我们自己的山，自己要登上去，让全世界看到中国人！”#电影攀登者[超话]#只为坚守心中的信念，只为不辜负这份不一样的使命！#张译[超话]#曲松林0930登顶！,9,2019-09-06 09:40
@吴京影迷会,,#吴京[超话]##930攀登者# 我们自己的山，我们要自己要登山去！,8,2019-09-06 09:03
@吴师傅的不乖,,太燃了,5,2019-09-06 09:47
@Mia阿喵喵,,井柏然李国梁，9.30电影院见,9,2019-09-06 09:07
@贾衣玫,,支持胡歌,18,2019-09-06 11:20
@等大熊猫的小能苗,,方五洲队长！！！ 评论配图,6,2019-09-06 09:15
@胡歌神秘女友,,胡歌我来了，支持你,17,2019-09-06 11:19
@嬷嬷V,,曲指导！期待张译！！,9,2019-09-06 09:46
@The_x小旭,,9月赶紧过去吧，我快点儿想见到曲松林,7,2019-09-06 09:17
@LJY_梁,,期待曲松林！ 评论配图,10,2019-09-06 10:27
@兔兔T晶,,期待曲松林，期待张译！,7,2019-09-06 09:58
@月弍呀,,杨光 活着回来,20,2019-09-06 10:58
@坑王妃,,,4,2019-09-06 10:51
@阿门阿前阿波卡利斯,,呜呜呜呜呜呜呜队长,4,2019-09-06 09:10
@然然的小肚皮,,#井柏然攀登者# 期待李国梁,4,2019-09-06 11:49
@Yan嫣然_三米之内,,期待#张译[超话]#曲松林[羞嗒嗒],6,2019-09-06 10:09
@快乐333kk111,,期待井柏然李国梁,6,2019-09-06 10:00
@sxf歌,,,6,2019-09-06 09:07
@无为尚有为,,#胡歌[超话]#@电影攀登者  这就是我们的攀登精神,14,2019-09-06 11:43
@remark2011,,玛尼，电影《攀登者》最新预告！！！好震撼！！！燃爆了！！！吴京章子怡胡歌张译井柏然，，，爆了爆了！！！,6,2019-09-06 09:57
@张译官网官方资讯,,同日上映的两部片，先看哪部好？要不建议下电影院两部连映？//@张译: 1960年，以“人梯”去跨越第二台阶。攀登者前行的每一步都是以生命作赌注。9月30日，为国登顶，寸土不让！#攀登者使命版预告#,4,2019-09-06 12:42
@Lonicera_W,,期待 评论配图,5,2019-09-06 11:48
@阿鱼啊-ly,,期待李国梁,5,2019-09-06 11:40
@寂寞雾了_唯然,,#井柏然[超话]# 登上去就是使命 期待李国梁#井柏然攀登者# [加油][加油][加油],4,2019-09-06 11:34
@_SUNh燕,,期待李国梁 评论配图,4,2019-09-06 10:55
@拖延成灰的蚊香,,点赞 顺便请战狼ptsd患者尽快去世,6,2019-09-06 10:04
@-灿然一心,,这预告里李国梁在哪里？连一个超过一秒或清晰点的镜头都没有,2,2019-09-06 14:33
@一尘大湿blachite7,,这版好燃,3,2019-09-06 09:28
@mj198762,,啊啊啊啊啊啊啊啊啊啊啊发出土拨鼠的尖叫！！！！,2,2019-09-06 09:17
@阿桐是资深欣吹呀-,,期待曲松林[加油] 评论配图,5,2019-09-06 10:11
@爱番茄的秋瞳学姐,,期待曲松林，期待张译！,5,2019-09-06 10:04
@看透云,,期待杨光,9,2019-09-06 11:04
@神秘人质123,,图片评论 评论配图,1,2019-09-06 10:37
@吃可爱多长大的废柴,,最近爱上张译,2,2019-09-06 10:29
@翼下之风动漫科技有限公司,,#那年那兔那些事儿[超话]# “我们自己的山，自己要登上去”！,1,2019-09-06 10:16
@staerkererMann,,几亿人民只想着吃饭这点儿问题 我们的民族又有什么希望呢,3,2019-09-06 09:48
@今天吃姜饼人了么,,"#井柏然攀登者# 期待国梁,期待你能活着回来",1,2019-09-06 09:45
@今天吃姜饼人了么,,,1,2019-09-06 09:42
@不愿透露姓名的蒙面观众,,含京量致死,3,2019-09-06 09:15
@猎场熊青春,,胡歌杨光！支持杨光！！！,8,2019-09-06 11:15
@其实不是骑士,,加大含京量 我撑得住,3,2019-09-06 10:09
@-卷卷卷酱-,,期待方方期待京京！！！！！！9.30快点来吧,1,2019-09-06 09:34
@以翱以翔tao,,期待,1,2019-09-06 09:04
@countrystrong陈,,内心异常激动澎湃，等了好久终于等到你,1,2019-09-06 09:03
@countrystrong陈,,终于等出来了，妈呀,1,2019-09-06 09:02
@maykmh,,"越來越期待了，,加油 !! 楊光 ~~~ [加油][加油]",3,2019-09-06 13:43
@微微_CarrotsHowie,,期待！！,0,2019-09-06 21:24
@胡大男神6,,几亿人民只想着吃饭问题，我们这个民族能有希望吗,1,2019-09-06 19:47
@花卷jun,,登上去，活着回来！,1,2019-09-06 19:27
@长歌行688,,为国登顶 寸土不让,2,2019-09-06 18:58
@zzzy_biubiu,,好燃！,0,2019-09-06 17:48
@今天吃姜饼人了么,,放一些我们李国梁小队长吧,0,2019-09-06 16:40
@井柏然资讯直通车,,#井柏然[超话]# 心怀使命，为国登顶！930攀登者李国梁来了！#井柏然攀登者#,0,2019-09-06 15:27
@笑或盼,,月底影院见巅峰,0,2019-09-06 15:02
@仟寻喵,,杨光,6,2019-09-06 14:07
@天焕,,来了来了，真的来了,0,2019-09-06 14:04
@四季奶青加燕麦谢谢,,巅峰之战，你好杨光！,5,2019-09-06 13:59
@望岁月风华,,预告看哭我了,0,2019-09-06 13:12
@The_x小旭,,让我再来转一次顶一顶这个热搜,0,2019-09-06 12:58
@来生愿做你的猫,,期待我译哥！930去见曲松林！,0,2019-09-06 12:55
@ocil_lico,,#攀登者使命版预告# 9月30号 大荧幕见[加油],0,2019-09-06 12:49
@决不允许有人黑我男神女神,,#井柏然攀登者# 期待李国梁,0,2019-09-06 12:06
@笛里梅音,,心中有梦，向阳而生@胡歌 评论配图,5,2019-09-06 11:44
@凤茗夏,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊鸡皮疙瘩一身,0,2019-09-06 11:17
@胡歌电影南方车站的聚会,,杨光冲鸭，支持胡歌，支持杨光,6,2019-09-06 11:16
@遗月TBC,,看个预告片都看哭了,1,2019-09-06 10:57
@CC你是二哈,,来了来了！！,0,2019-09-06 10:57
@神秘人质123,,回复@若凌天 的表态,0,2019-09-06 10:55
@松文十七,,转发微博,0,2019-09-06 10:22
@谁人妄想一曲一世,,#胡歌[超话]#    有没有人告诉我，有一幕和京哥、译哥抱在一块儿相拥而泣的是不是我们的胡歌？？？,3,2019-09-06 10:17
