User,Reter,Comment,Votes,Time
@iCARPE_DIEM,,不是4款吗？？都想要,121,2019-09-26 16:04
@和风嘉一,,小米9 Pro，是5000元以下唯一支持三频的5G手机，真的厉害了！,249,2019-09-26 19:16
@Yyea_o,,小米性价比不高吗????,60,2019-09-26 19:51
@白公子的地盘,,华为和小米吧，小米价格还是可以的,65,2019-09-26 19:08
@whoisbella素j,,三星我觉得没用过的话，应该都不会买三星了，差不多都是苹果，小米，华为这三者！周围没有一个人用三星了，还用三星差不多都是以前到现在都比较喜欢的,25,2019-09-26 18:08
@爱吃虾球的耶啵家的小赞,,我大oppo不配拥有名字？？？,7,2019-09-26 22:40
@哟瞧你那疯样,,虽然我是果粉，但是华为这次是真的很优秀啊，价格也公道，有点爱。但是那些碍国者真的败路人缘。,11,2019-09-27 00:25
@就算你是个过客,,三星来凑啥热闹？,7,2019-09-27 00:11
@马来先生是帅哥,,为了屏幕和外观，我选三星,13,2019-09-26 23:03
@一山之秋,,手机各有所爱，何必比较，苹果你喜欢就喜欢，华为你喜欢就喜欢，何必吵架，真的服了，一些人连个手机都能追究到爱国上,15,2019-09-26 21:00
@灰舦狼,,小米9pro 好可怜,18,2019-09-26 19:33
@小露露的最爱,,厉害了   苹果脑残粉真的是越来越刷新我对苹果的认知了    现在苹果粉丝反串黑太低级了吧  不先去买一部华为手机么   你们不是号称很有钱么  买一个一两千的还是可以的吧   去哦  用华为小标记发才算数哦,4,2019-09-27 02:17
@Enduring_,,如果有一天我选择华为。肯定是因为华为手机比苹果好用而不是因为爱国。什么事都要上升到国家高度。怎么想的。。。,14,2019-09-27 01:10
@叫我Sakura丶,,三星,12,2019-09-26 22:45
@晶非昔比z,,谁特么买小米,7,2019-09-26 20:53
@陈小果110,,我的mixα呢,1,2019-09-27 00:57
@做你的Clark,,要喷华为的是脑袋有泡么，明显有人刻意带节奏都看不出来？？？自己喜欢哪个就买哪个没人逼你，peace一点吧,2,2019-09-26 23:24
@浩林兄耶,,苹果系统这么难用谁说好用的分屏都不能，果粉戏也太多了吧,2,2019-09-26 23:22
@Howdareubi,,如果我有钱就换三星n10  太喜欢Spen了  无敌,8,2019-09-27 00:36
@那个啥来I,,选你个鬼，远了就能给吗,1,2019-09-26 22:48
@Gjc01and晓晓,,华为,1,2019-09-26 19:27
@延吉养猪王,,华为biss,1,2019-09-27 08:21
@罗根保罗,,某为买热搜的形式越来越接近蔡徐坤了,2,2019-09-27 02:28
@女子占卜馆,,来看看你，欢迎有时间回访哦。,0,2019-09-27 08:03
@爱笑的问题青年lzs,,小米的MIX α不配留名？,1,2019-09-27 01:33
@琲洸HUAWEI,,看不起vivo吗,0,2019-09-28 17:37
@终是梦lihv,,都想要怎么办,0,2019-09-27 23:48
@山下梅子酒lllll,,华为啊。,0,2019-09-27 17:27
@邓诗文GelardClyde,,虽然我个人喜欢小米手机，但是在5G上面我会选择支持华为，毕竟华为的处境不是很乐观,0,2019-09-27 15:28
@作天作地的苡米孙,,请问我买的都是假手机么 苹果有人说用五六年都不卡为啥我的7P卡 6P卡 完后电池也是一言难尽 X听筒声音又小,0,2019-09-27 12:01
@可乐要加冰repose,,这个世界真是奇葩，用个手机都能有手机粉，看个历史还能有朝代粉，啥都能往粉圈靠，是不是吃个饭都能有面食粉，米饭粉，然后喜欢面食喜欢米饭人群双方互喷？？？,0,2019-09-27 11:31
@hamakaze_,,,0,2019-09-27 10:19
@爱心使者54186,,华为,0,2019-09-27 09:03
@湘军2777241,,愿意当韭菜的还真不少，收割者变着法割韭菜，韭菜们挤破脑袋抢着被割。,0,2019-09-27 08:56
@WB4183,,好,0,2019-09-27 08:53
@最皧昰她F,,支持华为,0,2019-09-27 08:51
@友善199810,,华为的技术那没说的,0,2019-09-27 08:50
@老虎发威88,,哈哈,0,2019-09-27 08:50
@相思入药,,三星真的卡啊。。而且电池金贵还尿崩，以前我爸妈只肯用三星觉得有档次，我眼见过note，s4，note4。每一个都是最后卡到不行电池也不行。我男朋友一家也一直用三星，我看过他用note5，s7，到现在用s8+，电池早就不行了，他还不敢用别的充电器只买原厂的。感觉三星是给那些手机只用一年的有钱人用的,0,2019-09-27 08:21
@姜先生爱吃肉,,我个人觉得：无论哪个品牌的手机，它也仅仅是一个通讯工具，如果华为给我带来了更大的方便，那我就选它，苹果也是一样的道理。我觉得用哪款手机与爱不爱国无关，我现在用的苹果，但是我觉得新款华为mate30比新款的苹果会给我带来更好的体验，所以我买了华为，每个人选哪款手机肯定有自己的理由（勿喷）,0,2019-09-27 08:20
@大孟一场-,,反正我只用苹果的，也别把爱国和手机捆绑一起。,0,2019-09-27 08:12
@景浴Riczly,,谁他妈买小米儿啊,1,2019-09-27 08:07
@狼先生第七任总管,,买个手机上升到爱国层面 有必要那么搞笑吗,0,2019-09-27 08:03
@铭心刻骨jc,,我选鲁班，我鲁班贼溜。,0,2019-09-27 07:59
@JOKERZ869,,所以能力强不如娶得好,0,2019-09-27 07:58
@谜一样的男人Yzh,,谁他妈买小米啊？！？！？,0,2019-09-27 07:57
@杨灵磊哈哈哈哈,,手持三星note10+小透明路过。。。,0,2019-09-27 07:50
@丶寒鸦声渡,,我选择一加,0,2019-09-27 07:49
@只想爱自己的喵,,投错了,0,2019-09-27 07:01
@喵大神a,,真心受不了苹果的续航 老充电 烦死了,0,2019-09-27 06:26
@森茗丶star,,iPhone11好没有排面,0,2019-09-27 06:14
@番茄炒鸡蛋会做吗,,都是理性选择的吗？三星note10.真机手感不要太好，外形屏幕spen甩好几条街,1,2019-09-27 06:13
@情歌里的样子,,我可求求你们了，别做舔狗了！,0,2019-09-27 05:37
@梦想家康于,,我一个外国人都看不下去了，别打着华为的旗号去侮辱买苹果的不爱国！有麝自然香，何必当风立！！爱国是来自心里的！,0,2019-09-27 05:24
@地狱空荡荡v,,。。。我明明就是歧视安卓而已。。。。,0,2019-09-27 02:33
@b站梦雨,,HUAWEI的新手机也就一w来元，可便宜了，爱疯11才7000多,0,2019-09-27 00:36
@阿綦Willing,,华为Nova系列啊,0,2019-09-27 00:35
@-琉沫兮-,,我想买vivo,0,2019-09-26 23:39
@安lo,,有钱就好了,0,2019-09-26 23:38
@Ms赵O_o,,一加,0,2019-09-26 23:34
@寰视今朝,,有点意思，雷军这样就是diss 余大嘴就是吐槽 硬刚,0,2019-09-26 23:09
@一只蠢驴辣辣辣,,我是锤子手机，我该选啥,0,2019-09-26 22:26
@草加的秋月,,华为或小米,0,2019-09-26 22:18
@盥洗室有门,,如果是白给我选贵的,0,2019-09-26 21:54
@上山下乡小小知青,,数学没学好,0,2019-09-26 20:36
@我就是美少女咋子了嘛,,只是点一下mate30，想想是可以的,0,2019-09-26 20:35
@200斤的UZI,,苹果一个4g手机想买的人还这么多？,0,2019-09-26 19:43
@爱太阳啦,,反正没钱买,0,2019-09-26 19:30
@NS释然,,我小米这么不受待见？？,0,2019-09-26 19:11
@名字不能起太长会有傻子跟着读,,投票的有几个买的？,0,2019-09-26 18:56
@哈小龙人,,华为三星,0,2019-09-26 17:48
@滄海歳月,,刚买了mate20pro,0,2019-09-26 17:12
@翻斗花园小霸王胡图图,,推广包年?,0,2019-09-26 16:42
@McV小点心,,选了就送吗？,0,2019-09-26 16:14
@行思梦,,我参与了@我的读书小马甲 发起的投票【下面三款手机，你会选？】，我投给了“华为mate30系列”这个选项，你也快来表态吧~,0,2019-09-26 16:14
@唯一的我p,,三星最牛不解释,4,2019-09-27 00:09
@毒舌明远,,4G都用不起，还5G，4G限速好歹还有3G网络用，5G流量是一次性买断还是用到一定额度限速？如果限速后可以用4G，那我喜欢,1,2019-10-07 17:15
@为了北方神的荣耀Edc,,谁他妈买小米儿  ,1,2019-09-27 15:24
@瑶瑶我最喜欢呀,,66,0,2019-09-27 08:57
@牙牙在缝里哇,,天天一有热搜，就是在底下投票投票！,0,2019-09-27 02:14
@BAINAM,,N,0,2019-09-27 08:51
@亢龙有悔GTR,,选小米的都是我等屌丝，但是小米真的是性价比之选，华为价格是和苹果看齐了。,0,2019-09-27 07:43
@转徙难寻,,虽然热评没有一个人顶华为，然而华为投票仍然第一，这就像p30系列销量一样，有的人用钱投票，有的人用键盘投票,1,2019-09-27 06:34
@Shin-冷火,,还是小米吧，MIUI11真心流畅省电，界面的小清新风格越来越具有整体性，字体也比以前好看，主要还是办公套件离不开。,0,2019-09-27 00:38
@Jear江儿,,我愿意全部拥有,0,2019-09-27 00:32
@拉风的花姐,,三星换成蓝绿大厂可能会更好,0,2019-09-27 00:09
@不在远方的Nick,,可以顶我上去吗，看看我第一条微博，入手4个小时还热乎的mate30问题机,0,2019-09-26 23:20
@许洪昊,,此评论来自mate30pro,0,2019-09-26 23:12
@mmc诶嘿嘿,,明明应该上小学的年纪，却遭遇这么大的不幸，因燃气爆炸71%烧伤，在生与死的边缘徘徊，俊秀的容貌尽毁，功能受限，生活不能自理，拜求好心人@烧伤患儿明明   救救这个渴望活下去的孩子！,4,2019-09-26 21:22
@活得像一颗星星,,原谅我数学不好，是1-2-3-3-5-6-7-8-9,0,2019-09-26 16:23
@春来冬去201616,,小米或者华为,0,2019-09-26 16:00
@花雪似浮云,,转发微博,0,2019-09-26 15:59
@毒舌明远,,4G都用不起，还5G，4G限速好歹还有3G网络用，5G流量是一次性买断还是用到一定额度限速？如果限速后可以用4G，那我喜欢,1,2019-10-07 17:15
@琲洸HUAWEI,,看不起vivo吗,0,2019-09-28 17:37
@终是梦lihv,,都想要怎么办,0,2019-09-27 23:48
@山下梅子酒lllll,,华为啊。,0,2019-09-27 17:27
@邓诗文GelardClyde,,虽然我个人喜欢小米手机，但是在5G上面我会选择支持华为，毕竟华为的处境不是很乐观,0,2019-09-27 15:28
@为了北方神的荣耀Edc,,谁他妈买小米儿  ,1,2019-09-27 15:24
@作天作地的苡米孙,,请问我买的都是假手机么 苹果有人说用五六年都不卡为啥我的7P卡 6P卡 完后电池也是一言难尽 X听筒声音又小,0,2019-09-27 12:01
@可乐要加冰repose,,这个世界真是奇葩，用个手机都能有手机粉，看个历史还能有朝代粉，啥都能往粉圈靠，是不是吃个饭都能有面食粉，米饭粉，然后喜欢面食喜欢米饭人群双方互喷？？？,0,2019-09-27 11:31
