User,Reter,Comment,Votes,Time
@安之若素2046,,爱买不买，开发商会理你的这些，即使投诉也都是一伙的，它们逢年过节都是要去相关部门表示的！,13,2019-10-06 07:30
@天水碧黄旭,,我飘了，我开始看买房要注意啥了,7,2019-10-06 07:32
@大兔眼看世界,,平均买房年龄27岁，大部分应该是靠父母帮买的,5,2019-10-06 07:34
@漫天的宝宝,,不好意思，今年三十，我拖后腿了,2,2019-10-06 07:53
@张炜--环保超市,,早上好！,1,2019-10-06 07:22
@Lovethesun-yong,,干货第一条最重要的一条：得有钱！,0,2019-10-06 10:41
@元気青年,,@陈喜庆 ,0,2019-10-06 10:33
@Audrey_Lu,,@如来小姐,0,2019-10-06 08:30
@我是香橙布丁ray,,转发微博,0,2019-10-06 08:02
@竹醉菁华,,收起来,0,2019-10-06 07:13
@揭底出租屋被人冤打事件,,原来是莫秀群故意拆了铁门加锁之处，制造机会给陈秀惠上门来打伤我的,0,2019-10-06 17:09
@xuelala,,其实是怕现在不买以后再也买不起。房价涨得让人绝望,0,2019-10-06 10:58
@谁家小同学,,希望我27岁可以买到房,0,2019-10-06 10:23
@RemainZhao,,@没有马甲线的水瓶,0,2019-10-06 09:44
@雪棋啊,,@嘎啦嘎啦_ @我的阿油 你们看看咯,0,2019-10-06 09:07
@我是可爱的小鱼仔,,根本买不起,0,2019-10-06 08:00
@Aeryouok包哥,,....,0,2019-10-06 07:54
@施主o贱笑了,,我26岁买的，父母帮我掏了大部分首付。,0,2019-10-06 07:50
@乾福TJ,,,0,2019-10-06 07:42
@马儿不吃草596,,大家早上好,0,2019-10-06 07:26
@二两生榨加紫苏,,捷径就是努力赚钱,0,2019-10-06 07:24
@小羊角群群,,收藏,0,2019-10-06 07:14
@达哥90,,收藏,0,2019-10-06 07:06
@dc邓大山,,@陈大倩chenqian,0,2019-10-06 07:05
@二十大报告,,最近正在看房子，太难选了,0,2019-10-06 07:03
@催你运动的崔,,多谢科普,0,2019-10-06 07:01
@帅哭3,,吃饭好的呀嘟嘟嘟嘟嘟u度的,0,2019-10-06 07:01
@必胜谢小蟹,,29岁了。才正式工作3年。真心没买房的想法,1,2019-10-06 07:34
@大盘只服997,,27不吹牛会死啊，一套房约半生收入，27岁，多少人才刚步入社会,1,2019-10-06 07:30
@夏天的芮,,那说明平均27岁就被父母催婚了,0,2019-10-06 19:52
@眼镜要靠谱2003,,,0,2019-10-06 10:17
@飞影33510,,加油,0,2019-10-06 07:52
@龙星林编剧工作室,,,0,2019-10-07 06:46
@__不热心村民,,@卡布达进化,0,2019-10-06 09:53
@枯叶蝶落泪,,@干了这杯鸡汤就上路,0,2019-10-06 08:36
@松岭张三,,哦哦哦,0,2019-10-06 08:19
@泽哥哥的宝贝蛋,,@宝贝蛋的泽哥哥,0,2019-10-06 08:00
@美丽的西藏布达拉宫,,新手买房指南,0,2019-10-06 07:58
@渡口心,,投诉也没用,0,2019-10-06 07:38
@千千爱七七,,@唐宋袁明清1996,0,2019-10-06 07:37
@十月寒霜2333,,最近准备看房子,0,2019-10-06 07:32
@Jennifer_Ssss,,@秋娟qj,0,2019-10-06 07:24
@微大头仔,,,0,2019-10-06 07:19
@杨嘉彬,,实地验房很少见,0,2019-10-06 07:14
@龙星林编剧工作室,,,0,2019-10-07 06:46
@夏天的芮,,那说明平均27岁就被父母催婚了,0,2019-10-06 19:52
@揭底出租屋被人冤打事件,,原来是莫秀群故意拆了铁门加锁之处，制造机会给陈秀惠上门来打伤我的,0,2019-10-06 17:09
@xuelala,,其实是怕现在不买以后再也买不起。房价涨得让人绝望,0,2019-10-06 10:58
@Lovethesun-yong,,干货第一条最重要的一条：得有钱！,0,2019-10-06 10:41
@元気青年,,@陈喜庆 ,0,2019-10-06 10:33
@谁家小同学,,希望我27岁可以买到房,0,2019-10-06 10:23
@眼镜要靠谱2003,,,0,2019-10-06 10:17
@龙星林编剧工作室,,,0,2019-10-07 06:46
@夏天的芮,,那说明平均27岁就被父母催婚了,0,2019-10-06 19:52
@揭底出租屋被人冤打事件,,原来是莫秀群故意拆了铁门加锁之处，制造机会给陈秀惠上门来打伤我的,0,2019-10-06 17:09
@xuelala,,其实是怕现在不买以后再也买不起。房价涨得让人绝望,0,2019-10-06 10:58
@Lovethesun-yong,,干货第一条最重要的一条：得有钱！,0,2019-10-06 10:41
@元気青年,,@陈喜庆 ,0,2019-10-06 10:33
@谁家小同学,,希望我27岁可以买到房,0,2019-10-06 10:23
@眼镜要靠谱2003,,,0,2019-10-06 10:17
@__不热心村民,,@卡布达进化,0,2019-10-06 09:53
