User,Reter,Comment,Votes,Time,Count
@过气儿学长汪美美呀,,中国成为目前最长时间存在的社会主义国家 打破苏联69年的记录，惟愿山河无恙 国富兵强 你我皆能不辱使命。,10978,2019-10-01 19:51,1
@谦谦均成,,一句话，论大场面，中国始终是鼻祖！,8245,2019-10-01 20:09,1
@抱辣椒的小仙女,,被那对亲额头的爷爷奶奶甜到了,6617,2019-10-01 20:18,1
@矜持小女孩儿,,看好啦，我一会就要上去唱歌了。,3835,2019-10-01 19:50,3
@重庆共青团,,视觉盛宴，一起期待,1764,2019-10-01 19:51,2
@相似路人L,,从早上六点一直看到现在，心情激动啊,1626,2019-10-01 19:50,1
@X仅供欣赏,,我挺想去打扫卫生的，看不看烟花无所谓,1021,2019-10-01 19:50,2
@泼墨花前醉,,我想等节目结束了，去长安街帮忙打扫卫生,675,2019-10-01 20:22,1
@砒霜大娘,,比过年还热闹开心。。。,577,2019-10-01 20:22,1
@热短句bot,,中国成为目前最长时间存在的社会主义国家 打破苏联69年的记录，惟愿山河无恙 国富兵强 你我皆能不辱使命。,527,2019-10-01 19:56,2
@是婧子啊啊啊,,建议张艺谋导演找一个御用导播 这镜头切的 大场面瞬间变成细节秀,463,2019-10-01 20:24,1
@词不达意的CC,,联欢晚会好好看啊，每个人看起来都好开心好幸福的样子，张艺谋真的太厉害了！！！！,299,2019-10-01 20:26,1
@冰欺凌de眼泪,,国庆过后，请不要把手中的小国旗扔掉，把它放好，每一年的国庆都可以用。请记得我们都是护旗手！,109,2019-10-01 21:26,1
@扬帆粤港澳,,张艺谋，中国的王牌导演,84,2019-10-01 19:57,1
@阿阳从不吃香菜,,一路之隔 我过不去 我太难了,66,2019-10-01 19:50,1
@原来是涓涓呀,,好激动啊 啊啊啊啊啊啊啊开始啦,51,2019-10-01 19:53,4
@美式加冰不加糖77,,2019年的国庆联欢能吹一辈子,46,2019-10-01 21:36,1
@丘比·千岛酱,,这个晚会真心不错，就是...这导播切镜头...一个完整画面没看到呀...,62,2019-10-01 20:42,1
@今日宝藏,,真的是联欢催泪弹，阅兵，晚会，真的是从早到晚，眼泪止不住，看会这个还必须看别的，不然真的是缓不过来了都,34,2019-10-01 22:54,27
@今天你成精了吗,,日本花火大会，这么一比，就是弟弟。,35,2019-10-01 20:24,2
@沐浴阳光soso,,留言的都想约100周年啊,27,2019-10-01 21:15,1
@39度的风一样的梦,,真的是苹果树,25,2019-10-01 20:56,1
@等你光临我的世界呀,,今天比没有烟火冷清清过年热闹多了,24,2019-10-01 21:21,1
@朝意灼,,哇哇哇 好欢乐 也想去蹦哒蹦哒,16,2019-10-01 20:15,1
@影子kuroki_hikari,,东风夜放花千树。更吹落、星如雨。,11,2019-10-01 21:23,3
@来自M78星的好人,,看得真的很震撼，作为中国人，民族自豪感和国家自豪感油然而生，祖国，生日快乐！,7,2019-10-01 21:04,1
@天然呆的忘忧草-7,,看得我热血沸腾，此刻好想去北京啊。,10,2019-10-01 20:21,1
@果冻不要勺,,我们国家和人民，以前经历了太多的苦难，好希望我们现在能团结一致，香港废青早日清醒，大家都是同一个祖国，希望我们祖国越来越强大，珍惜现在的和平幸福日子！,7,2019-10-01 21:03,1
@原来是名名噢,,我爱你中国 今天太激动了,4,2019-10-01 21:16,1
@孙颖-sunying,,其他国家：哇哇哇～太强了太强了比不了比不了,4,2019-10-01 21:00,1
@月出星野阔,,今晚这晚宴让我恍然有一种我们已经复兴到盛唐在逛上元节的感觉,9,2019-10-01 21:48,1
@老王是梦啊,,想飞过去加入大家的狂欢！,3,2019-10-01 21:10,1
@超级萌的怪兽史瑞克呢,,中国成为目前最长时间存在的社会主义国家 打破苏联69年的记录，惟愿山河无恙 国富兵强 你我皆能不辱使命。,4,2019-10-01 22:31,10
@沙雕小秃豆,,太棒了！阿中哥哥生日快乐！！！,2,2019-10-01 23:37,1
@7212231597_707,,祖国母亲生日快乐,2,2019-10-01 20:13,2
@squirrel_王,,有没有在赶往珠市口站的7号线上地铁没停而到了广安门的,4,2019-10-01 20:06,1
@UniqueFaith,,和奶奶一起看直播，奶奶一边看一边感叹祖国的伟大，愿祖国万万岁，永远昌荣繁盛！,5,2019-10-01 20:10,1
@里里风里百合,,祝愿我们伟大的祖国生日快乐，繁荣富强！,1,2019-10-02 06:39,1
@苦涩军旅,,梁启超曾经说过：“少年志则国志、少年强则国强”我认为少年对于一个国家一个民族来说是非常重要非常有决定性作用的，那么在生活中可能有的人并没有那么伟大的梦想，那么我们也应该尊重他们的梦想，毕竟他们的梦想对于复兴中国梦、对于振兴民族来说都非常有意义，中国梦我的梦，中国加油！[加油][加油],1,2019-10-02 01:28,1
@黑白基准线,,牢记使命，不忘初心，必能砥砺前行！愿祖国繁荣昌盛，祝中华走向辉煌！,1,2019-10-01 22:17,1
@国铭先生,,祖国生日快乐，中国万岁,2,2019-10-01 22:17,1
@南方的南方在南方,,太猛了我的国,2,2019-10-01 22:15,1
@宸慕,,,1,2019-10-01 22:15,1
@花海一片兮,,好美,1,2019-10-01 22:04,1
@胡萝卜素yu,,今天是热泪盈眶的一整天,2,2019-10-01 22:01,1
@Ltof,,祖国母亲生日快乐,1,2019-10-01 21:54,1
@H_Crescent,,真的是大场面,2,2019-10-01 21:33,1
@徐徐_LLLotus,,视觉盛宴,1,2019-10-01 21:01,1
@梅香淡雪yzh,,祖国万岁，真厉害，演出非常精彩，演出和工作人员辛苦啦，这场面前无古人啊，看得人热血沸腾,2,2019-10-01 21:00,1
@思连晓晓,,正在欣赏！我们的家乡在希望的田野上！,1,2019-10-01 20:55,1
