User,Reter,Comment,Votes,Time
@焦糖奶油泡芙,,D这么押韵的rap应该出自白rap,4382,2019-10-09 19:24
@右京橘24,,你敢定档吗,3786,2019-10-09 19:24
@嗲呆,,不管C是谁 先送一首绿光,2500,2019-10-09 19:25
@废柴少女阿乐,,不要在网上哔哔赖赖，有能力咱们明天就播，你看我充不充会员就完事了,2110,2019-10-09 19:25
@pandyee,,总有一个是撒撒,1277,2019-10-09 19:25
@冯鹿-,,嘉宾c难道是,527,2019-10-09 19:24
@BoUrBoN_零,,代入撒老师都没有毛病,430,2019-10-09 19:24
@回首乄陌路殇,,来推理一下。 能说自己沙眼的一定是一个具有自嘲精神的谐星（×）对没错就是我撒,401,2019-10-09 19:33
@湖南腔是很重又怎样,,我能套一万个人进去,162,2019-10-09 19:24
@顾家语,,定档！,152,2019-10-09 19:24
@柚柚跨灶,,你有本事出后记！你有本事定档啊！,110,2019-10-09 19:25
@小桉小桉快乐多担,,D这么能叭叭是不是魏大勋,88,2019-10-09 19:25
@橘又黄·,,盲猜D是魏晨,47,2019-10-09 20:00
@北极浮漂日志,,头上绿油油的想必是..,34,2019-10-09 19:25
@薛长腿_,,废话少说赶紧定档！,30,2019-10-09 19:24
@夏天天是柠檬来的,,快快定档,26,2019-10-09 19:26
@戳小呆,,明侦爸爸快定档！！！！！,19,2019-10-09 19:25
@靖听松风寒,,不绿不明侦,16,2019-10-09 19:25
@每天八杯水_,,头上绿的不会是白bra叭,13,2019-10-09 19:26
@喝不到茶颜悦色就不改名的秋衣,,敢不敢明天就播,12,2019-10-09 19:26
@苏苏烊烊Xx·,,今天有白白嘛，没有就是梗王了,12,2019-10-09 19:31
@我的85号王甜甜,,啊啊啊啊啊来了！,8,2019-10-09 19:24
@蜜糖砂锅,,淦啊肯定是啊 撒 蓉 白 晨,8,2019-10-09 20:17
@等我变成秃顶,,我猜A是撒老师，B是蓉，C是何老师，D是梗王,12,2019-10-09 19:26
@每个孩纸都是压力山大,,绿油油的？这不是我们那个谁的应援色吗？（疯狂暗示,6,2019-10-09 19:28
@樺笙,,C让人想起了某绿帽专业户……,5,2019-10-09 19:33
@我今天还没被翻牌吗,,我猜 A撒撒！！！！！！！！赶紧定吧求您了！！！！！,4,2019-10-09 19:25
@西壶甜豆,,吃瓜群众我猜是魏，还是这么有梗,7,2019-10-09 19:56
@阳光苑儿,,嘉宾E问什么时候定档？,4,2019-10-09 19:43
@dab白鸽,,我猜c是何，ab是鬼鸥,5,2019-10-09 19:25
@小呆要奋斗了,,C按常理来推断 应该是小白,3,2019-10-09 19:26
@魏晨扎心老铁-婷子,,盲猜吃瓜群众是梗王,3,2019-10-10 16:06
@-Zxy迷人又可爱,,节目组啥时候邀请邀请我 我啥都能干 帮何老师拎包儿 给鸥姐捶腿儿 给小白刷鞋 帮鬼鬼拆家 跟在撒老师屁股后面手捧过期瓜子儿,3,2019-10-09 21:24
@唤我一声草莓大仙,,爱是一道绿光让我又想到恐怖童谣里面（你们为爱情鼓过掌吗？我不知道我只知道我上面绿了） 评论配图,3,2019-10-10 09:46
@小兔子和奶糖,,D这么押韵…怕不是白rap吧,4,2019-10-09 19:39
@赵毓麒的微博_,,定档！！,2,2019-10-09 19:32
@-元嘉-,,我只想知道什么时候播,1,2019-10-09 19:26
@-乐多乐多咕噜咕噜ha,,赶紧定档 天天从这溜粉,2,2019-10-09 19:26
@柯南打小怪兽,,头上绿油油莫非是常年带绿的小白,1,2019-10-09 20:45
@你瑶yyao,,这个绿油油的是白白吗,1,2019-10-11 10:18
@今天也是快乐孤儿酒酒,,c？白bra？,1,2019-10-10 19:46
@一颗暖阳薄荷糖,,绿油油，怎么让我想到我白@白敬亭 :我不喜欢这个色,1,2019-10-10 12:49
@马佳的猪,,请你赶快定档好吗,1,2019-10-09 23:16
@TinxiWilling,,按常理来说 c是白敬亭没错了,1,2019-10-09 22:14
@晴天太阳太阳晴天,,哈哈哈哈哈哈哈，说实话，我就喜欢你发动态。亟不可待。想看的ysl,1,2019-10-09 21:56
@满目星河皆为熙华,,A是不是我撒撒,1,2019-10-09 21:47
@芥川珂,,你到底什么时候能播！给个准话！让我傻眼一下！,1,2019-10-09 21:15
@寻寻觅觅mei,,不要老剧透，有本事你定档,1,2019-10-09 20:51
@-两不厌,,会员已经充好了,1,2019-10-09 19:53
@lamyaniug,,你是在溜粉吗,1,2019-10-09 19:49
@喜欢咸鱼生活,,你在吊我的胃口嘛,1,2019-10-09 19:44
@谈恋爱不如发家致富,,A嘉宾是撒撒吗,1,2019-10-09 19:43
@吕吕吕尔马,,谐音梗要扣钱的！,1,2019-10-09 19:40
@龙言太白,,在？什么时候换头像,1,2019-10-09 19:34
@学号416的安栀同學,,快去剪视频啊啊啊啊啊啊啊啊你要是没那个意思就不要撩拨我们！,1,2019-10-09 19:34
@限定记易,,定档！！！,2,2019-10-09 19:30
@是为了摸你头说你乖,,定档吧,1,2019-10-09 19:29
@嘟嘟在吗,,A撒D白,1,2019-10-09 19:28
@南南腿长两米八呀,,啥时候播,1,2019-10-09 19:27
@没烦恼的泡泡,,A是撒老师吗,1,2019-10-09 19:27
@Lyyyyyyyyy嘟嘟,,不要遛了！！！不要吊胃口了！！！gkdgkd,2,2019-10-09 19:27
